,pontos,dia,horarios
0,ALCIDES MUNHOZ,DIA ÚTIL,05:58
1,ALCIDES MUNHOZ,DIA ÚTIL,06:23
2,ALCIDES MUNHOZ,DIA ÚTIL,06:48
3,ALCIDES MUNHOZ,DIA ÚTIL,07:12
4,ALCIDES MUNHOZ,DIA ÚTIL,07:35
5,ALCIDES MUNHOZ,DIA ÚTIL,08:00
6,ALCIDES MUNHOZ,DIA ÚTIL,08:26
7,ALCIDES MUNHOZ,DIA ÚTIL,08:55
8,ALCIDES MUNHOZ,DIA ÚTIL,09:24
9,ALCIDES MUNHOZ,DIA ÚTIL,09:52
10,ALCIDES MUNHOZ,DIA ÚTIL,10:20
11,ALCIDES MUNHOZ,DIA ÚTIL,10:48
12,ALCIDES MUNHOZ,DIA ÚTIL,11:16
13,ALCIDES MUNHOZ,DIA ÚTIL,11:45
14,ALCIDES MUNHOZ,DIA ÚTIL,12:14
15,ALCIDES MUNHOZ,DIA ÚTIL,12:42
16,ALCIDES MUNHOZ,DIA ÚTIL,13:10
17,ALCIDES MUNHOZ,DIA ÚTIL,13:38
18,ALCIDES MUNHOZ,DIA ÚTIL,14:06
19,ALCIDES MUNHOZ,DIA ÚTIL,14:35
20,ALCIDES MUNHOZ,DIA ÚTIL,15:04
21,ALCIDES MUNHOZ,DIA ÚTIL,15:32
22,ALCIDES MUNHOZ,DIA ÚTIL,16:00
23,ALCIDES MUNHOZ,DIA ÚTIL,16:28
24,ALCIDES MUNHOZ,DIA ÚTIL,16:56
25,ALCIDES MUNHOZ,DIA ÚTIL,17:21
26,ALCIDES MUNHOZ,DIA ÚTIL,17:51
27,ALCIDES MUNHOZ,DIA ÚTIL,18:20
28,ALCIDES MUNHOZ,DIA ÚTIL,18:50
29,ALCIDES MUNHOZ,DIA ÚTIL,19:28
30,ALCIDES MUNHOZ,DIA ÚTIL,20:08
31,ALCIDES MUNHOZ,DIA ÚTIL,20:38
32,ALCIDES MUNHOZ,DIA ÚTIL,21:08
33,ALCIDES MUNHOZ,DIA ÚTIL,21:38
34,ALCIDES MUNHOZ,DIA ÚTIL,22:07
35,ALCIDES MUNHOZ,DIA ÚTIL,22:37
36,ALCIDES MUNHOZ,DIA ÚTIL,23:07
37,ALCIDES MUNHOZ,DIA ÚTIL,23:40
38,RUA JOSE LOUREIRO,DIA ÚTIL,05:55
39,RUA JOSE LOUREIRO,DIA ÚTIL,06:17
40,RUA JOSE LOUREIRO,DIA ÚTIL,06:40
41,RUA JOSE LOUREIRO,DIA ÚTIL,07:04
42,RUA JOSE LOUREIRO,DIA ÚTIL,07:28
43,RUA JOSE LOUREIRO,DIA ÚTIL,07:53
44,RUA JOSE LOUREIRO,DIA ÚTIL,08:18
45,RUA JOSE LOUREIRO,DIA ÚTIL,08:46
46,RUA JOSE LOUREIRO,DIA ÚTIL,09:15
47,RUA JOSE LOUREIRO,DIA ÚTIL,09:44
48,RUA JOSE LOUREIRO,DIA ÚTIL,10:12
49,RUA JOSE LOUREIRO,DIA ÚTIL,10:40
50,RUA JOSE LOUREIRO,DIA ÚTIL,11:08
51,RUA JOSE LOUREIRO,DIA ÚTIL,11:36
52,RUA JOSE LOUREIRO,DIA ÚTIL,12:05
53,RUA JOSE LOUREIRO,DIA ÚTIL,12:33
54,RUA JOSE LOUREIRO,DIA ÚTIL,13:01
55,RUA JOSE LOUREIRO,DIA ÚTIL,13:28
56,RUA JOSE LOUREIRO,DIA ÚTIL,13:56
57,RUA JOSE LOUREIRO,DIA ÚTIL,14:24
58,RUA JOSE LOUREIRO,DIA ÚTIL,14:52
59,RUA JOSE LOUREIRO,DIA ÚTIL,15:22
60,RUA JOSE LOUREIRO,DIA ÚTIL,15:50
61,RUA JOSE LOUREIRO,DIA ÚTIL,16:18
62,RUA JOSE LOUREIRO,DIA ÚTIL,16:46
63,RUA JOSE LOUREIRO,DIA ÚTIL,17:14
64,RUA JOSE LOUREIRO,DIA ÚTIL,17:38
65,RUA JOSE LOUREIRO,DIA ÚTIL,18:10
66,RUA JOSE LOUREIRO,DIA ÚTIL,18:40
67,RUA JOSE LOUREIRO,DIA ÚTIL,19:10
68,RUA JOSE LOUREIRO,DIA ÚTIL,19:45
69,RUA JOSE LOUREIRO,DIA ÚTIL,20:20
70,RUA JOSE LOUREIRO,DIA ÚTIL,20:50
71,RUA JOSE LOUREIRO,DIA ÚTIL,21:20
72,RUA JOSE LOUREIRO,DIA ÚTIL,21:50
73,RUA JOSE LOUREIRO,DIA ÚTIL,22:20
74,RUA JOSE LOUREIRO,DIA ÚTIL,22:50
75,RUA JOSE LOUREIRO,DIA ÚTIL,23:20
