,pontos,dia,horarios
0,TERMINAL BOA VISTA,DIA ÚTIL,05:20
1,TERMINAL BOA VISTA,DIA ÚTIL,05:44
2,TERMINAL BOA VISTA,DIA ÚTIL,06:05
3,TERMINAL BOA VISTA,DIA ÚTIL,06:22
4,TERMINAL BOA VISTA,DIA ÚTIL,06:35
5,TERMINAL BOA VISTA,DIA ÚTIL,06:47
6,TERMINAL BOA VISTA,DIA ÚTIL,07:00
7,TERMINAL BOA VISTA,DIA ÚTIL,07:13
8,TERMINAL BOA VISTA,DIA ÚTIL,07:27
9,TERMINAL BOA VISTA,DIA ÚTIL,07:40
10,TERMINAL BOA VISTA,DIA ÚTIL,07:53
11,TERMINAL BOA VISTA,DIA ÚTIL,08:08
12,TERMINAL BOA VISTA,DIA ÚTIL,08:25
13,TERMINAL BOA VISTA,DIA ÚTIL,08:45
14,TERMINAL BOA VISTA,DIA ÚTIL,09:05
15,TERMINAL BOA VISTA,DIA ÚTIL,09:25
16,TERMINAL BOA VISTA,DIA ÚTIL,09:45
17,TERMINAL BOA VISTA,DIA ÚTIL,10:05
18,TERMINAL BOA VISTA,DIA ÚTIL,10:25
19,TERMINAL BOA VISTA,DIA ÚTIL,10:45
20,TERMINAL BOA VISTA,DIA ÚTIL,11:05
21,TERMINAL BOA VISTA,DIA ÚTIL,11:25
22,TERMINAL BOA VISTA,DIA ÚTIL,11:45
23,TERMINAL BOA VISTA,DIA ÚTIL,12:04
24,TERMINAL BOA VISTA,DIA ÚTIL,12:24
25,TERMINAL BOA VISTA,DIA ÚTIL,12:43
26,TERMINAL BOA VISTA,DIA ÚTIL,13:03
27,TERMINAL BOA VISTA,DIA ÚTIL,13:24
28,TERMINAL BOA VISTA,DIA ÚTIL,13:45
29,TERMINAL BOA VISTA,DIA ÚTIL,14:05
30,TERMINAL BOA VISTA,DIA ÚTIL,14:25
31,TERMINAL BOA VISTA,DIA ÚTIL,14:45
32,TERMINAL BOA VISTA,DIA ÚTIL,15:05
33,TERMINAL BOA VISTA,DIA ÚTIL,15:25
34,TERMINAL BOA VISTA,DIA ÚTIL,15:45
35,TERMINAL BOA VISTA,DIA ÚTIL,16:05
36,TERMINAL BOA VISTA,DIA ÚTIL,16:25
37,TERMINAL BOA VISTA,DIA ÚTIL,16:45
38,TERMINAL BOA VISTA,DIA ÚTIL,17:05
39,TERMINAL BOA VISTA,DIA ÚTIL,17:24
40,TERMINAL BOA VISTA,DIA ÚTIL,17:37
41,TERMINAL BOA VISTA,DIA ÚTIL,17:50
42,TERMINAL BOA VISTA,DIA ÚTIL,18:04
43,TERMINAL BOA VISTA,DIA ÚTIL,18:17
44,TERMINAL BOA VISTA,DIA ÚTIL,18:31
45,TERMINAL BOA VISTA,DIA ÚTIL,18:44
46,TERMINAL BOA VISTA,DIA ÚTIL,18:58
47,TERMINAL BOA VISTA,DIA ÚTIL,19:11
48,TERMINAL BOA VISTA,DIA ÚTIL,19:25
49,TERMINAL BOA VISTA,DIA ÚTIL,19:45
50,TERMINAL BOA VISTA,DIA ÚTIL,20:05
51,TERMINAL BOA VISTA,DIA ÚTIL,20:25
52,TERMINAL BOA VISTA,DIA ÚTIL,20:45
53,TERMINAL BOA VISTA,DIA ÚTIL,21:05
54,TERMINAL BOA VISTA,DIA ÚTIL,21:25
55,TERMINAL BOA VISTA,DIA ÚTIL,21:45
56,TERMINAL BOA VISTA,DIA ÚTIL,22:05
57,TERMINAL BOA VISTA,DIA ÚTIL,22:25
58,TERMINAL BOA VISTA,DIA ÚTIL,22:45
59,TERMINAL BOA VISTA,DIA ÚTIL,23:05
60,TERMINAL BOA VISTA,DIA ÚTIL,23:25
61,TERMINAL BOA VISTA,DIA ÚTIL,23:45
62,TERMINAL BOA VISTA,DIA ÚTIL,00:15
63,BAIRRO ABAETE,DIA ÚTIL,05:00
64,BAIRRO ABAETE,DIA ÚTIL,05:25
65,BAIRRO ABAETE,DIA ÚTIL,05:43
66,BAIRRO ABAETE,DIA ÚTIL,06:00
67,BAIRRO ABAETE,DIA ÚTIL,06:15
68,BAIRRO ABAETE,DIA ÚTIL,06:28
69,BAIRRO ABAETE,DIA ÚTIL,06:41
70,BAIRRO ABAETE,DIA ÚTIL,06:53
71,BAIRRO ABAETE,DIA ÚTIL,07:05
72,BAIRRO ABAETE,DIA ÚTIL,07:17
73,BAIRRO ABAETE,DIA ÚTIL,07:30
74,BAIRRO ABAETE,DIA ÚTIL,07:44
75,BAIRRO ABAETE,DIA ÚTIL,07:58
76,BAIRRO ABAETE,DIA ÚTIL,08:13
77,BAIRRO ABAETE,DIA ÚTIL,08:28
78,BAIRRO ABAETE,DIA ÚTIL,08:45
79,BAIRRO ABAETE,DIA ÚTIL,09:05
80,BAIRRO ABAETE,DIA ÚTIL,09:25
81,BAIRRO ABAETE,DIA ÚTIL,09:45
82,BAIRRO ABAETE,DIA ÚTIL,10:05
83,BAIRRO ABAETE,DIA ÚTIL,10:25
84,BAIRRO ABAETE,DIA ÚTIL,10:45
85,BAIRRO ABAETE,DIA ÚTIL,11:05
86,BAIRRO ABAETE,DIA ÚTIL,11:25
87,BAIRRO ABAETE,DIA ÚTIL,11:43
88,BAIRRO ABAETE,DIA ÚTIL,12:03
89,BAIRRO ABAETE,DIA ÚTIL,12:23
90,BAIRRO ABAETE,DIA ÚTIL,12:42
91,BAIRRO ABAETE,DIA ÚTIL,13:01
92,BAIRRO ABAETE,DIA ÚTIL,13:22
93,BAIRRO ABAETE,DIA ÚTIL,13:43
94,BAIRRO ABAETE,DIA ÚTIL,14:03
95,BAIRRO ABAETE,DIA ÚTIL,14:23
96,BAIRRO ABAETE,DIA ÚTIL,14:43
97,BAIRRO ABAETE,DIA ÚTIL,15:03
98,BAIRRO ABAETE,DIA ÚTIL,15:23
99,BAIRRO ABAETE,DIA ÚTIL,15:43
100,BAIRRO ABAETE,DIA ÚTIL,16:03
101,BAIRRO ABAETE,DIA ÚTIL,16:23
102,BAIRRO ABAETE,DIA ÚTIL,16:43
103,BAIRRO ABAETE,DIA ÚTIL,17:04
104,BAIRRO ABAETE,DIA ÚTIL,17:25
105,BAIRRO ABAETE,DIA ÚTIL,17:42
106,BAIRRO ABAETE,DIA ÚTIL,17:56
107,BAIRRO ABAETE,DIA ÚTIL,18:09
108,BAIRRO ABAETE,DIA ÚTIL,18:22
109,BAIRRO ABAETE,DIA ÚTIL,18:36
110,BAIRRO ABAETE,DIA ÚTIL,18:49
111,BAIRRO ABAETE,DIA ÚTIL,19:06
112,BAIRRO ABAETE,DIA ÚTIL,19:28
113,BAIRRO ABAETE,DIA ÚTIL,19:44
114,BAIRRO ABAETE,DIA ÚTIL,20:03
115,BAIRRO ABAETE,DIA ÚTIL,20:22
116,BAIRRO ABAETE,DIA ÚTIL,20:42
117,BAIRRO ABAETE,DIA ÚTIL,21:02
118,BAIRRO ABAETE,DIA ÚTIL,21:22
119,BAIRRO ABAETE,DIA ÚTIL,21:42
120,BAIRRO ABAETE,DIA ÚTIL,22:02
121,BAIRRO ABAETE,DIA ÚTIL,22:22
122,BAIRRO ABAETE,DIA ÚTIL,22:42
123,BAIRRO ABAETE,DIA ÚTIL,23:02
124,BAIRRO ABAETE,DIA ÚTIL,23:25
125,BAIRRO ABAETE,DIA ÚTIL,00:00
126,TERMINAL BOA VISTA,SÁBADO,06:05
127,TERMINAL BOA VISTA,SÁBADO,06:20
128,TERMINAL BOA VISTA,SÁBADO,06:40
129,TERMINAL BOA VISTA,SÁBADO,07:00
130,TERMINAL BOA VISTA,SÁBADO,07:20
131,TERMINAL BOA VISTA,SÁBADO,07:40
132,TERMINAL BOA VISTA,SÁBADO,08:00
133,TERMINAL BOA VISTA,SÁBADO,08:40
134,TERMINAL BOA VISTA,SÁBADO,09:20
135,TERMINAL BOA VISTA,SÁBADO,10:00
136,TERMINAL BOA VISTA,SÁBADO,10:40
137,TERMINAL BOA VISTA,SÁBADO,11:20
138,TERMINAL BOA VISTA,SÁBADO,11:40
139,TERMINAL BOA VISTA,SÁBADO,12:00
140,TERMINAL BOA VISTA,SÁBADO,12:20
141,TERMINAL BOA VISTA,SÁBADO,12:40
142,TERMINAL BOA VISTA,SÁBADO,13:00
143,TERMINAL BOA VISTA,SÁBADO,13:20
144,TERMINAL BOA VISTA,SÁBADO,14:00
145,TERMINAL BOA VISTA,SÁBADO,14:40
146,TERMINAL BOA VISTA,SÁBADO,15:20
147,TERMINAL BOA VISTA,SÁBADO,16:00
148,TERMINAL BOA VISTA,SÁBADO,16:40
149,TERMINAL BOA VISTA,SÁBADO,17:20
150,TERMINAL BOA VISTA,SÁBADO,18:00
151,TERMINAL BOA VISTA,SÁBADO,18:40
152,TERMINAL BOA VISTA,SÁBADO,19:20
153,TERMINAL BOA VISTA,SÁBADO,20:00
154,TERMINAL BOA VISTA,SÁBADO,20:40
155,TERMINAL BOA VISTA,SÁBADO,21:20
156,TERMINAL BOA VISTA,SÁBADO,22:00
157,TERMINAL BOA VISTA,SÁBADO,22:40
158,TERMINAL BOA VISTA,SÁBADO,23:30
159,TERMINAL BOA VISTA,SÁBADO,00:15
160,BAIRRO ABAETE,SÁBADO,05:45
161,BAIRRO ABAETE,SÁBADO,06:00
162,BAIRRO ABAETE,SÁBADO,06:20
163,BAIRRO ABAETE,SÁBADO,06:40
164,BAIRRO ABAETE,SÁBADO,07:00
165,BAIRRO ABAETE,SÁBADO,07:20
166,BAIRRO ABAETE,SÁBADO,07:40
167,BAIRRO ABAETE,SÁBADO,08:00
168,BAIRRO ABAETE,SÁBADO,08:20
169,BAIRRO ABAETE,SÁBADO,09:00
170,BAIRRO ABAETE,SÁBADO,09:40
171,BAIRRO ABAETE,SÁBADO,10:20
172,BAIRRO ABAETE,SÁBADO,11:00
173,BAIRRO ABAETE,SÁBADO,11:40
174,BAIRRO ABAETE,SÁBADO,12:00
175,BAIRRO ABAETE,SÁBADO,12:20
176,BAIRRO ABAETE,SÁBADO,12:40
177,BAIRRO ABAETE,SÁBADO,13:00
178,BAIRRO ABAETE,SÁBADO,13:20
179,BAIRRO ABAETE,SÁBADO,13:40
180,BAIRRO ABAETE,SÁBADO,14:20
181,BAIRRO ABAETE,SÁBADO,15:00
182,BAIRRO ABAETE,SÁBADO,15:40
183,BAIRRO ABAETE,SÁBADO,16:20
184,BAIRRO ABAETE,SÁBADO,17:00
185,BAIRRO ABAETE,SÁBADO,17:40
186,BAIRRO ABAETE,SÁBADO,18:20
187,BAIRRO ABAETE,SÁBADO,19:00
188,BAIRRO ABAETE,SÁBADO,19:40
189,BAIRRO ABAETE,SÁBADO,20:20
190,BAIRRO ABAETE,SÁBADO,21:00
191,BAIRRO ABAETE,SÁBADO,21:40
192,BAIRRO ABAETE,SÁBADO,22:20
193,BAIRRO ABAETE,SÁBADO,23:10
194,BAIRRO ABAETE,SÁBADO,23:50
195,TERMINAL BOA VISTA,DOMINGO,06:35
196,TERMINAL BOA VISTA,DOMINGO,07:20
197,TERMINAL BOA VISTA,DOMINGO,08:00
198,TERMINAL BOA VISTA,DOMINGO,08:40
199,TERMINAL BOA VISTA,DOMINGO,09:20
200,TERMINAL BOA VISTA,DOMINGO,10:00
201,TERMINAL BOA VISTA,DOMINGO,10:40
202,TERMINAL BOA VISTA,DOMINGO,11:20
203,TERMINAL BOA VISTA,DOMINGO,12:00
204,TERMINAL BOA VISTA,DOMINGO,12:40
205,TERMINAL BOA VISTA,DOMINGO,13:20
206,TERMINAL BOA VISTA,DOMINGO,14:00
207,TERMINAL BOA VISTA,DOMINGO,14:40
208,TERMINAL BOA VISTA,DOMINGO,15:20
209,TERMINAL BOA VISTA,DOMINGO,16:00
210,TERMINAL BOA VISTA,DOMINGO,16:40
211,TERMINAL BOA VISTA,DOMINGO,17:20
212,TERMINAL BOA VISTA,DOMINGO,18:00
213,TERMINAL BOA VISTA,DOMINGO,18:40
214,TERMINAL BOA VISTA,DOMINGO,19:20
215,TERMINAL BOA VISTA,DOMINGO,20:00
216,TERMINAL BOA VISTA,DOMINGO,20:40
217,TERMINAL BOA VISTA,DOMINGO,21:20
218,TERMINAL BOA VISTA,DOMINGO,22:00
219,TERMINAL BOA VISTA,DOMINGO,22:40
220,TERMINAL BOA VISTA,DOMINGO,23:30
221,TERMINAL BOA VISTA,DOMINGO,00:15
222,BAIRRO ABAETE,DOMINGO,06:10
223,BAIRRO ABAETE,DOMINGO,07:00
224,BAIRRO ABAETE,DOMINGO,07:40
225,BAIRRO ABAETE,DOMINGO,08:20
226,BAIRRO ABAETE,DOMINGO,09:00
227,BAIRRO ABAETE,DOMINGO,09:40
228,BAIRRO ABAETE,DOMINGO,10:20
229,BAIRRO ABAETE,DOMINGO,11:00
230,BAIRRO ABAETE,DOMINGO,11:40
231,BAIRRO ABAETE,DOMINGO,12:20
232,BAIRRO ABAETE,DOMINGO,13:00
233,BAIRRO ABAETE,DOMINGO,13:40
234,BAIRRO ABAETE,DOMINGO,14:20
235,BAIRRO ABAETE,DOMINGO,15:00
236,BAIRRO ABAETE,DOMINGO,15:40
237,BAIRRO ABAETE,DOMINGO,16:20
238,BAIRRO ABAETE,DOMINGO,17:00
239,BAIRRO ABAETE,DOMINGO,17:40
240,BAIRRO ABAETE,DOMINGO,18:20
241,BAIRRO ABAETE,DOMINGO,19:00
242,BAIRRO ABAETE,DOMINGO,19:40
243,BAIRRO ABAETE,DOMINGO,20:20
244,BAIRRO ABAETE,DOMINGO,21:00
245,BAIRRO ABAETE,DOMINGO,21:40
246,BAIRRO ABAETE,DOMINGO,22:20
247,BAIRRO ABAETE,DOMINGO,23:10
248,BAIRRO ABAETE,DOMINGO,23:50
