,pontos,dia,horarios
0,TERMINAL BARREIRINHA,DIA ÚTIL,05:20
1,TERMINAL BARREIRINHA,DIA ÚTIL,05:38
2,TERMINAL BARREIRINHA,DIA ÚTIL,05:56
3,TERMINAL BARREIRINHA,DIA ÚTIL,06:13
4,TERMINAL BARREIRINHA,DIA ÚTIL,06:30
5,TERMINAL BARREIRINHA,DIA ÚTIL,06:47
6,TERMINAL BARREIRINHA,DIA ÚTIL,07:02
7,TERMINAL BARREIRINHA,DIA ÚTIL,07:19
8,TERMINAL BARREIRINHA,DIA ÚTIL,07:36
9,TERMINAL BARREIRINHA,DIA ÚTIL,07:54
10,TERMINAL BARREIRINHA,DIA ÚTIL,08:12
11,TERMINAL BARREIRINHA,DIA ÚTIL,08:30
12,TERMINAL BARREIRINHA,DIA ÚTIL,08:50
13,TERMINAL BARREIRINHA,DIA ÚTIL,09:28
14,TERMINAL BARREIRINHA,DIA ÚTIL,10:06
15,TERMINAL BARREIRINHA,DIA ÚTIL,10:44
16,TERMINAL BARREIRINHA,DIA ÚTIL,11:22
17,TERMINAL BARREIRINHA,DIA ÚTIL,12:00
18,TERMINAL BARREIRINHA,DIA ÚTIL,12:38
19,TERMINAL BARREIRINHA,DIA ÚTIL,13:16
20,TERMINAL BARREIRINHA,DIA ÚTIL,13:54
21,TERMINAL BARREIRINHA,DIA ÚTIL,14:32
22,TERMINAL BARREIRINHA,DIA ÚTIL,15:10
23,TERMINAL BARREIRINHA,DIA ÚTIL,15:55
24,TERMINAL BARREIRINHA,DIA ÚTIL,16:31
25,TERMINAL BARREIRINHA,DIA ÚTIL,16:57
26,TERMINAL BARREIRINHA,DIA ÚTIL,17:20
27,TERMINAL BARREIRINHA,DIA ÚTIL,17:43
28,TERMINAL BARREIRINHA,DIA ÚTIL,18:00
29,TERMINAL BARREIRINHA,DIA ÚTIL,18:25
30,TERMINAL BARREIRINHA,DIA ÚTIL,18:50
31,TERMINAL BARREIRINHA,DIA ÚTIL,19:30
32,TERMINAL BARREIRINHA,DIA ÚTIL,20:10
33,TERMINAL BARREIRINHA,DIA ÚTIL,20:45
34,TERMINAL BARREIRINHA,DIA ÚTIL,21:20
35,TERMINAL BARREIRINHA,DIA ÚTIL,21:55
36,TERMINAL BARREIRINHA,DIA ÚTIL,22:30
37,TERMINAL BARREIRINHA,DIA ÚTIL,23:05
38,TERMINAL BARREIRINHA,DIA ÚTIL,23:40
39,TERMINAL BARREIRINHA,DIA ÚTIL,00:15
40,PRACA TIRADENTES,DIA ÚTIL,05:59
41,PRACA TIRADENTES,DIA ÚTIL,06:14
42,PRACA TIRADENTES,DIA ÚTIL,06:29
43,PRACA TIRADENTES,DIA ÚTIL,06:45
44,PRACA TIRADENTES,DIA ÚTIL,07:02
45,PRACA TIRADENTES,DIA ÚTIL,07:20
46,PRACA TIRADENTES,DIA ÚTIL,07:38
47,PRACA TIRADENTES,DIA ÚTIL,07:55
48,PRACA TIRADENTES,DIA ÚTIL,08:15
49,PRACA TIRADENTES,DIA ÚTIL,08:50
50,PRACA TIRADENTES,DIA ÚTIL,09:28
51,PRACA TIRADENTES,DIA ÚTIL,10:06
52,PRACA TIRADENTES,DIA ÚTIL,10:44
53,PRACA TIRADENTES,DIA ÚTIL,11:22
54,PRACA TIRADENTES,DIA ÚTIL,12:00
55,PRACA TIRADENTES,DIA ÚTIL,12:38
56,PRACA TIRADENTES,DIA ÚTIL,13:16
57,PRACA TIRADENTES,DIA ÚTIL,13:54
58,PRACA TIRADENTES,DIA ÚTIL,14:32
59,PRACA TIRADENTES,DIA ÚTIL,15:10
60,PRACA TIRADENTES,DIA ÚTIL,15:46
61,PRACA TIRADENTES,DIA ÚTIL,16:16
62,PRACA TIRADENTES,DIA ÚTIL,16:40
63,PRACA TIRADENTES,DIA ÚTIL,16:58
64,PRACA TIRADENTES,DIA ÚTIL,17:16
65,PRACA TIRADENTES,DIA ÚTIL,17:39
66,PRACA TIRADENTES,DIA ÚTIL,18:02
67,PRACA TIRADENTES,DIA ÚTIL,18:26
68,PRACA TIRADENTES,DIA ÚTIL,18:50
69,PRACA TIRADENTES,DIA ÚTIL,19:15
70,PRACA TIRADENTES,DIA ÚTIL,19:40
71,PRACA TIRADENTES,DIA ÚTIL,20:10
72,PRACA TIRADENTES,DIA ÚTIL,20:45
73,PRACA TIRADENTES,DIA ÚTIL,21:20
74,PRACA TIRADENTES,DIA ÚTIL,21:55
75,PRACA TIRADENTES,DIA ÚTIL,22:30
76,PRACA TIRADENTES,DIA ÚTIL,23:05
77,PRACA TIRADENTES,DIA ÚTIL,23:40
78,PRACA TIRADENTES,DIA ÚTIL,00:15
79,PARQUE SAO LOURENCO,DIA ÚTIL,05:25
80,TERMINAL BARREIRINHA,SÁBADO,05:20
81,TERMINAL BARREIRINHA,SÁBADO,05:55
82,TERMINAL BARREIRINHA,SÁBADO,06:30
83,TERMINAL BARREIRINHA,SÁBADO,07:05
84,TERMINAL BARREIRINHA,SÁBADO,07:40
85,TERMINAL BARREIRINHA,SÁBADO,08:15
86,TERMINAL BARREIRINHA,SÁBADO,08:49
87,TERMINAL BARREIRINHA,SÁBADO,09:24
88,TERMINAL BARREIRINHA,SÁBADO,09:59
89,TERMINAL BARREIRINHA,SÁBADO,10:34
90,TERMINAL BARREIRINHA,SÁBADO,11:09
91,TERMINAL BARREIRINHA,SÁBADO,11:44
92,TERMINAL BARREIRINHA,SÁBADO,12:19
93,TERMINAL BARREIRINHA,SÁBADO,12:54
94,TERMINAL BARREIRINHA,SÁBADO,13:29
95,TERMINAL BARREIRINHA,SÁBADO,14:04
96,TERMINAL BARREIRINHA,SÁBADO,14:39
97,TERMINAL BARREIRINHA,SÁBADO,15:14
98,TERMINAL BARREIRINHA,SÁBADO,15:49
99,TERMINAL BARREIRINHA,SÁBADO,16:24
100,TERMINAL BARREIRINHA,SÁBADO,17:00
101,TERMINAL BARREIRINHA,SÁBADO,17:37
102,TERMINAL BARREIRINHA,SÁBADO,18:15
103,TERMINAL BARREIRINHA,SÁBADO,18:54
104,TERMINAL BARREIRINHA,SÁBADO,20:04
105,TERMINAL BARREIRINHA,SÁBADO,21:14
106,TERMINAL BARREIRINHA,SÁBADO,22:24
107,TERMINAL BARREIRINHA,SÁBADO,23:35
108,PRACA TIRADENTES,SÁBADO,05:57
109,PRACA TIRADENTES,SÁBADO,06:32
110,PRACA TIRADENTES,SÁBADO,07:07
111,PRACA TIRADENTES,SÁBADO,07:41
112,PRACA TIRADENTES,SÁBADO,08:15
113,PRACA TIRADENTES,SÁBADO,08:50
114,PRACA TIRADENTES,SÁBADO,09:25
115,PRACA TIRADENTES,SÁBADO,10:00
116,PRACA TIRADENTES,SÁBADO,10:35
117,PRACA TIRADENTES,SÁBADO,11:10
118,PRACA TIRADENTES,SÁBADO,11:45
119,PRACA TIRADENTES,SÁBADO,12:20
120,PRACA TIRADENTES,SÁBADO,12:55
121,PRACA TIRADENTES,SÁBADO,13:30
122,PRACA TIRADENTES,SÁBADO,14:05
123,PRACA TIRADENTES,SÁBADO,14:40
124,PRACA TIRADENTES,SÁBADO,15:15
125,PRACA TIRADENTES,SÁBADO,15:50
126,PRACA TIRADENTES,SÁBADO,16:25
127,PRACA TIRADENTES,SÁBADO,17:00
128,PRACA TIRADENTES,SÁBADO,17:37
129,PRACA TIRADENTES,SÁBADO,18:14
130,PRACA TIRADENTES,SÁBADO,18:51
131,PRACA TIRADENTES,SÁBADO,19:30
132,PRACA TIRADENTES,SÁBADO,20:40
133,PRACA TIRADENTES,SÁBADO,21:50
134,PRACA TIRADENTES,SÁBADO,23:00
135,PRACA TIRADENTES,SÁBADO,00:15
136,TERMINAL BARREIRINHA,DOMINGO,05:20
137,TERMINAL BARREIRINHA,DOMINGO,05:55
138,TERMINAL BARREIRINHA,DOMINGO,06:30
139,TERMINAL BARREIRINHA,DOMINGO,07:05
140,TERMINAL BARREIRINHA,DOMINGO,07:40
141,TERMINAL BARREIRINHA,DOMINGO,08:15
142,TERMINAL BARREIRINHA,DOMINGO,08:49
143,TERMINAL BARREIRINHA,DOMINGO,09:24
144,TERMINAL BARREIRINHA,DOMINGO,09:59
145,TERMINAL BARREIRINHA,DOMINGO,10:34
146,TERMINAL BARREIRINHA,DOMINGO,11:09
147,TERMINAL BARREIRINHA,DOMINGO,11:44
148,TERMINAL BARREIRINHA,DOMINGO,12:19
149,TERMINAL BARREIRINHA,DOMINGO,12:54
150,TERMINAL BARREIRINHA,DOMINGO,13:29
151,TERMINAL BARREIRINHA,DOMINGO,14:04
152,TERMINAL BARREIRINHA,DOMINGO,14:39
153,TERMINAL BARREIRINHA,DOMINGO,15:14
154,TERMINAL BARREIRINHA,DOMINGO,15:49
155,TERMINAL BARREIRINHA,DOMINGO,16:24
156,TERMINAL BARREIRINHA,DOMINGO,17:00
157,TERMINAL BARREIRINHA,DOMINGO,17:37
158,TERMINAL BARREIRINHA,DOMINGO,18:15
159,TERMINAL BARREIRINHA,DOMINGO,18:54
160,TERMINAL BARREIRINHA,DOMINGO,20:04
161,TERMINAL BARREIRINHA,DOMINGO,21:14
162,TERMINAL BARREIRINHA,DOMINGO,22:24
163,TERMINAL BARREIRINHA,DOMINGO,23:35
164,PRACA TIRADENTES,DOMINGO,05:57
165,PRACA TIRADENTES,DOMINGO,06:32
166,PRACA TIRADENTES,DOMINGO,07:07
167,PRACA TIRADENTES,DOMINGO,07:41
168,PRACA TIRADENTES,DOMINGO,08:15
169,PRACA TIRADENTES,DOMINGO,08:50
170,PRACA TIRADENTES,DOMINGO,09:25
171,PRACA TIRADENTES,DOMINGO,10:00
172,PRACA TIRADENTES,DOMINGO,10:35
173,PRACA TIRADENTES,DOMINGO,11:10
174,PRACA TIRADENTES,DOMINGO,11:45
175,PRACA TIRADENTES,DOMINGO,12:20
176,PRACA TIRADENTES,DOMINGO,12:55
177,PRACA TIRADENTES,DOMINGO,13:30
178,PRACA TIRADENTES,DOMINGO,14:05
179,PRACA TIRADENTES,DOMINGO,14:40
180,PRACA TIRADENTES,DOMINGO,15:15
181,PRACA TIRADENTES,DOMINGO,15:50
182,PRACA TIRADENTES,DOMINGO,16:25
183,PRACA TIRADENTES,DOMINGO,17:00
184,PRACA TIRADENTES,DOMINGO,17:37
185,PRACA TIRADENTES,DOMINGO,18:14
186,PRACA TIRADENTES,DOMINGO,18:51
187,PRACA TIRADENTES,DOMINGO,19:30
188,PRACA TIRADENTES,DOMINGO,20:40
189,PRACA TIRADENTES,DOMINGO,21:50
190,PRACA TIRADENTES,DOMINGO,23:00
191,PRACA TIRADENTES,DOMINGO,00:20
