,pontos,dia,horarios
0,TERMINAL CENTENARIO,DIA ÚTIL,04:50
1,TERMINAL CENTENARIO,DIA ÚTIL,05:10
2,TERMINAL CENTENARIO,DIA ÚTIL,05:30
3,TERMINAL CENTENARIO,DIA ÚTIL,05:40
4,TERMINAL CENTENARIO,DIA ÚTIL,05:48
5,TERMINAL CENTENARIO,DIA ÚTIL,05:56
6,TERMINAL CENTENARIO,DIA ÚTIL,06:04
7,TERMINAL CENTENARIO,DIA ÚTIL,06:12
8,TERMINAL CENTENARIO,DIA ÚTIL,06:20
9,TERMINAL CENTENARIO,DIA ÚTIL,06:28
10,TERMINAL CENTENARIO,DIA ÚTIL,06:36
11,TERMINAL CENTENARIO,DIA ÚTIL,06:44
12,TERMINAL CENTENARIO,DIA ÚTIL,06:52
13,TERMINAL CENTENARIO,DIA ÚTIL,07:00
14,TERMINAL CENTENARIO,DIA ÚTIL,07:08
15,TERMINAL CENTENARIO,DIA ÚTIL,07:16
16,TERMINAL CENTENARIO,DIA ÚTIL,07:24
17,TERMINAL CENTENARIO,DIA ÚTIL,07:32
18,TERMINAL CENTENARIO,DIA ÚTIL,07:40
19,TERMINAL CENTENARIO,DIA ÚTIL,07:48
20,TERMINAL CENTENARIO,DIA ÚTIL,07:56
21,TERMINAL CENTENARIO,DIA ÚTIL,08:04
22,TERMINAL CENTENARIO,DIA ÚTIL,08:12
23,TERMINAL CENTENARIO,DIA ÚTIL,08:20
24,TERMINAL CENTENARIO,DIA ÚTIL,08:28
25,TERMINAL CENTENARIO,DIA ÚTIL,08:40
26,TERMINAL CENTENARIO,DIA ÚTIL,08:52
27,TERMINAL CENTENARIO,DIA ÚTIL,09:04
28,TERMINAL CENTENARIO,DIA ÚTIL,09:16
29,TERMINAL CENTENARIO,DIA ÚTIL,09:28
30,TERMINAL CENTENARIO,DIA ÚTIL,09:40
31,TERMINAL CENTENARIO,DIA ÚTIL,09:52
32,TERMINAL CENTENARIO,DIA ÚTIL,10:04
33,TERMINAL CENTENARIO,DIA ÚTIL,10:16
34,TERMINAL CENTENARIO,DIA ÚTIL,10:28
35,TERMINAL CENTENARIO,DIA ÚTIL,10:40
36,TERMINAL CENTENARIO,DIA ÚTIL,10:52
37,TERMINAL CENTENARIO,DIA ÚTIL,11:04
38,TERMINAL CENTENARIO,DIA ÚTIL,11:16
39,TERMINAL CENTENARIO,DIA ÚTIL,11:28
40,TERMINAL CENTENARIO,DIA ÚTIL,11:40
41,TERMINAL CENTENARIO,DIA ÚTIL,11:52
42,TERMINAL CENTENARIO,DIA ÚTIL,12:04
43,TERMINAL CENTENARIO,DIA ÚTIL,12:16
