,pontos,dia,horarios
0,TERMINAL CENTENARIO,DIA ÚTIL,04:55
1,TERMINAL CENTENARIO,DIA ÚTIL,05:15
2,TERMINAL CENTENARIO,DIA ÚTIL,05:42
3,TERMINAL CENTENARIO,DIA ÚTIL,05:56
4,TERMINAL CENTENARIO,DIA ÚTIL,06:09
5,TERMINAL CENTENARIO,DIA ÚTIL,06:23
6,TERMINAL CENTENARIO,DIA ÚTIL,06:36
7,TERMINAL CENTENARIO,DIA ÚTIL,06:50
8,TERMINAL CENTENARIO,DIA ÚTIL,07:03
9,TERMINAL CENTENARIO,DIA ÚTIL,07:17
10,TERMINAL CENTENARIO,DIA ÚTIL,07:30
11,TERMINAL CENTENARIO,DIA ÚTIL,07:44
12,TERMINAL CENTENARIO,DIA ÚTIL,07:57
13,TERMINAL CENTENARIO,DIA ÚTIL,08:11
14,TERMINAL CENTENARIO,DIA ÚTIL,08:38
15,TERMINAL CENTENARIO,DIA ÚTIL,09:05
16,TERMINAL CENTENARIO,DIA ÚTIL,09:32
17,TERMINAL CENTENARIO,DIA ÚTIL,09:59
18,TERMINAL CENTENARIO,DIA ÚTIL,10:26
19,TERMINAL CENTENARIO,DIA ÚTIL,10:53
20,TERMINAL CENTENARIO,DIA ÚTIL,11:20
21,TERMINAL CENTENARIO,DIA ÚTIL,11:47
22,TERMINAL CENTENARIO,DIA ÚTIL,12:14
23,TERMINAL CENTENARIO,DIA ÚTIL,12:41
24,TERMINAL CENTENARIO,DIA ÚTIL,13:08
25,TERMINAL CENTENARIO,DIA ÚTIL,13:35
26,TERMINAL CENTENARIO,DIA ÚTIL,14:02
27,TERMINAL CENTENARIO,DIA ÚTIL,14:29
28,TERMINAL CENTENARIO,DIA ÚTIL,14:56
29,TERMINAL CENTENARIO,DIA ÚTIL,15:23
30,TERMINAL CENTENARIO,DIA ÚTIL,15:50
31,TERMINAL CENTENARIO,DIA ÚTIL,16:17
32,TERMINAL CENTENARIO,DIA ÚTIL,16:30
33,TERMINAL CENTENARIO,DIA ÚTIL,16:44
34,TERMINAL CENTENARIO,DIA ÚTIL,16:57
35,TERMINAL CENTENARIO,DIA ÚTIL,17:11
36,TERMINAL CENTENARIO,DIA ÚTIL,17:24
37,TERMINAL CENTENARIO,DIA ÚTIL,17:38
38,TERMINAL CENTENARIO,DIA ÚTIL,17:51
39,TERMINAL CENTENARIO,DIA ÚTIL,18:05
40,TERMINAL CENTENARIO,DIA ÚTIL,18:18
41,TERMINAL CENTENARIO,DIA ÚTIL,18:32
42,TERMINAL CENTENARIO,DIA ÚTIL,18:45
43,TERMINAL CENTENARIO,DIA ÚTIL,18:59
44,TERMINAL CENTENARIO,DIA ÚTIL,19:12
45,TERMINAL CENTENARIO,DIA ÚTIL,19:26
46,TERMINAL CENTENARIO,DIA ÚTIL,19:53
47,TERMINAL CENTENARIO,DIA ÚTIL,20:20
48,TERMINAL CENTENARIO,DIA ÚTIL,20:47
49,TERMINAL CENTENARIO,DIA ÚTIL,21:14
50,TERMINAL CENTENARIO,DIA ÚTIL,21:41
51,TERMINAL CENTENARIO,DIA ÚTIL,22:08
52,TERMINAL CENTENARIO,DIA ÚTIL,22:35
53,TERMINAL CENTENARIO,DIA ÚTIL,23:00
54,TERMINAL CENTENARIO,DIA ÚTIL,23:25
55,TERMINAL CENTENARIO,DIA ÚTIL,23:50
56,TERMINAL CENTENARIO,DIA ÚTIL,00:15
57,TERMINAL CENTENARIO,SÁBADO,04:55
58,TERMINAL CENTENARIO,SÁBADO,05:15
59,TERMINAL CENTENARIO,SÁBADO,05:42
60,TERMINAL CENTENARIO,SÁBADO,06:09
61,TERMINAL CENTENARIO,SÁBADO,06:36
62,TERMINAL CENTENARIO,SÁBADO,07:03
63,TERMINAL CENTENARIO,SÁBADO,07:30
64,TERMINAL CENTENARIO,SÁBADO,07:57
65,TERMINAL CENTENARIO,SÁBADO,08:24
66,TERMINAL CENTENARIO,SÁBADO,08:51
67,TERMINAL CENTENARIO,SÁBADO,09:18
68,TERMINAL CENTENARIO,SÁBADO,09:45
69,TERMINAL CENTENARIO,SÁBADO,10:12
70,TERMINAL CENTENARIO,SÁBADO,10:39
71,TERMINAL CENTENARIO,SÁBADO,11:06
72,TERMINAL CENTENARIO,SÁBADO,11:33
73,TERMINAL CENTENARIO,SÁBADO,12:00
74,TERMINAL CENTENARIO,SÁBADO,12:27
75,TERMINAL CENTENARIO,SÁBADO,12:54
76,TERMINAL CENTENARIO,SÁBADO,13:21
77,TERMINAL CENTENARIO,SÁBADO,13:48
78,TERMINAL CENTENARIO,SÁBADO,14:15
79,TERMINAL CENTENARIO,SÁBADO,14:42
80,TERMINAL CENTENARIO,SÁBADO,15:09
81,TERMINAL CENTENARIO,SÁBADO,15:36
82,TERMINAL CENTENARIO,SÁBADO,16:03
83,TERMINAL CENTENARIO,SÁBADO,16:30
84,TERMINAL CENTENARIO,SÁBADO,16:57
85,TERMINAL CENTENARIO,SÁBADO,17:24
86,TERMINAL CENTENARIO,SÁBADO,17:51
87,TERMINAL CENTENARIO,SÁBADO,18:18
88,TERMINAL CENTENARIO,SÁBADO,18:45
89,TERMINAL CENTENARIO,SÁBADO,19:12
90,TERMINAL CENTENARIO,SÁBADO,19:39
91,TERMINAL CENTENARIO,SÁBADO,20:06
92,TERMINAL CENTENARIO,SÁBADO,20:33
93,TERMINAL CENTENARIO,SÁBADO,21:00
94,TERMINAL CENTENARIO,SÁBADO,21:27
95,TERMINAL CENTENARIO,SÁBADO,21:54
96,TERMINAL CENTENARIO,SÁBADO,22:21
97,TERMINAL CENTENARIO,SÁBADO,22:48
98,TERMINAL CENTENARIO,SÁBADO,23:15
99,TERMINAL CENTENARIO,SÁBADO,23:42
100,TERMINAL CENTENARIO,SÁBADO,00:10
101,TERMINAL CENTENARIO,DOMINGO,04:55
102,TERMINAL CENTENARIO,DOMINGO,05:15
103,TERMINAL CENTENARIO,DOMINGO,05:42
104,TERMINAL CENTENARIO,DOMINGO,06:09
105,TERMINAL CENTENARIO,DOMINGO,06:36
106,TERMINAL CENTENARIO,DOMINGO,07:03
107,TERMINAL CENTENARIO,DOMINGO,07:30
108,TERMINAL CENTENARIO,DOMINGO,07:57
109,TERMINAL CENTENARIO,DOMINGO,08:24
110,TERMINAL CENTENARIO,DOMINGO,08:51
111,TERMINAL CENTENARIO,DOMINGO,09:18
112,TERMINAL CENTENARIO,DOMINGO,09:45
113,TERMINAL CENTENARIO,DOMINGO,10:12
114,TERMINAL CENTENARIO,DOMINGO,10:39
115,TERMINAL CENTENARIO,DOMINGO,11:06
116,TERMINAL CENTENARIO,DOMINGO,11:33
117,TERMINAL CENTENARIO,DOMINGO,12:00
118,TERMINAL CENTENARIO,DOMINGO,12:27
119,TERMINAL CENTENARIO,DOMINGO,12:54
120,TERMINAL CENTENARIO,DOMINGO,13:21
121,TERMINAL CENTENARIO,DOMINGO,13:48
122,TERMINAL CENTENARIO,DOMINGO,14:15
123,TERMINAL CENTENARIO,DOMINGO,14:42
124,TERMINAL CENTENARIO,DOMINGO,15:09
125,TERMINAL CENTENARIO,DOMINGO,15:36
126,TERMINAL CENTENARIO,DOMINGO,16:03
127,TERMINAL CENTENARIO,DOMINGO,16:30
128,TERMINAL CENTENARIO,DOMINGO,16:57
129,TERMINAL CENTENARIO,DOMINGO,17:24
130,TERMINAL CENTENARIO,DOMINGO,17:51
131,TERMINAL CENTENARIO,DOMINGO,18:18
132,TERMINAL CENTENARIO,DOMINGO,18:45
133,TERMINAL CENTENARIO,DOMINGO,19:12
134,TERMINAL CENTENARIO,DOMINGO,19:39
135,TERMINAL CENTENARIO,DOMINGO,20:06
136,TERMINAL CENTENARIO,DOMINGO,20:33
137,TERMINAL CENTENARIO,DOMINGO,21:00
138,TERMINAL CENTENARIO,DOMINGO,21:27
