,pontos,dia,horarios
0,BAIRRO LOS ANGELES,DIA ÚTIL,05:20
1,BAIRRO LOS ANGELES,DIA ÚTIL,05:41
2,BAIRRO LOS ANGELES,DIA ÚTIL,06:02
3,BAIRRO LOS ANGELES,DIA ÚTIL,06:23
4,BAIRRO LOS ANGELES,DIA ÚTIL,06:45
5,BAIRRO LOS ANGELES,DIA ÚTIL,07:07
6,BAIRRO LOS ANGELES,DIA ÚTIL,07:29
7,BAIRRO LOS ANGELES,DIA ÚTIL,07:52
8,BAIRRO LOS ANGELES,DIA ÚTIL,08:15
9,BAIRRO LOS ANGELES,DIA ÚTIL,08:38
10,BAIRRO LOS ANGELES,DIA ÚTIL,09:00
11,BAIRRO LOS ANGELES,DIA ÚTIL,09:23
12,BAIRRO LOS ANGELES,DIA ÚTIL,09:46
13,BAIRRO LOS ANGELES,DIA ÚTIL,10:09
14,BAIRRO LOS ANGELES,DIA ÚTIL,10:32
15,BAIRRO LOS ANGELES,DIA ÚTIL,10:55
16,BAIRRO LOS ANGELES,DIA ÚTIL,11:18
17,BAIRRO LOS ANGELES,DIA ÚTIL,11:41
18,BAIRRO LOS ANGELES,DIA ÚTIL,12:05
19,BAIRRO LOS ANGELES,DIA ÚTIL,12:29
20,BAIRRO LOS ANGELES,DIA ÚTIL,12:53
21,BAIRRO LOS ANGELES,DIA ÚTIL,13:17
22,BAIRRO LOS ANGELES,DIA ÚTIL,13:41
23,BAIRRO LOS ANGELES,DIA ÚTIL,14:05
24,BAIRRO LOS ANGELES,DIA ÚTIL,14:29
25,BAIRRO LOS ANGELES,DIA ÚTIL,14:53
26,BAIRRO LOS ANGELES,DIA ÚTIL,15:17
27,BAIRRO LOS ANGELES,DIA ÚTIL,15:41
28,BAIRRO LOS ANGELES,DIA ÚTIL,16:05
29,BAIRRO LOS ANGELES,DIA ÚTIL,16:30
30,BAIRRO LOS ANGELES,DIA ÚTIL,16:55
31,BAIRRO LOS ANGELES,DIA ÚTIL,17:20
32,BAIRRO LOS ANGELES,DIA ÚTIL,17:49
33,BAIRRO LOS ANGELES,DIA ÚTIL,18:19
34,BAIRRO LOS ANGELES,DIA ÚTIL,18:50
35,BAIRRO LOS ANGELES,DIA ÚTIL,19:21
36,BAIRRO LOS ANGELES,DIA ÚTIL,19:50
37,BAIRRO LOS ANGELES,DIA ÚTIL,20:19
38,BAIRRO LOS ANGELES,DIA ÚTIL,20:48
39,BAIRRO LOS ANGELES,DIA ÚTIL,21:16
40,BAIRRO LOS ANGELES,DIA ÚTIL,21:44
41,BAIRRO LOS ANGELES,DIA ÚTIL,22:12
42,BAIRRO LOS ANGELES,DIA ÚTIL,22:55
