,pontos,dia,horarios
0,PRACA RUI BARBOSA,DIA ÚTIL,06:17
1,PRACA RUI BARBOSA,DIA ÚTIL,06:59
2,PRACA RUI BARBOSA,DIA ÚTIL,07:41
3,PRACA RUI BARBOSA,DIA ÚTIL,08:23
4,PRACA RUI BARBOSA,DIA ÚTIL,09:07
5,PRACA RUI BARBOSA,DIA ÚTIL,09:51
6,PRACA RUI BARBOSA,DIA ÚTIL,10:35
7,PRACA RUI BARBOSA,DIA ÚTIL,11:19
8,PRACA RUI BARBOSA,DIA ÚTIL,12:03
9,PRACA RUI BARBOSA,DIA ÚTIL,12:47
10,PRACA RUI BARBOSA,DIA ÚTIL,13:31
11,PRACA RUI BARBOSA,DIA ÚTIL,14:15
12,PRACA RUI BARBOSA,DIA ÚTIL,14:59
13,PRACA RUI BARBOSA,DIA ÚTIL,15:43
14,PRACA RUI BARBOSA,DIA ÚTIL,16:27
15,PRACA RUI BARBOSA,DIA ÚTIL,17:11
16,PRACA RUI BARBOSA,DIA ÚTIL,17:55
17,PRACA RUI BARBOSA,DIA ÚTIL,18:39
18,PRACA RUI BARBOSA,DIA ÚTIL,19:23
19,PRACA RUI BARBOSA,DIA ÚTIL,20:07
20,PRACA RUI BARBOSA,DIA ÚTIL,20:50
21,PRACA RUI BARBOSA,DIA ÚTIL,21:32
22,PRACA RUI BARBOSA,DIA ÚTIL,22:15
23,PRACA RUI BARBOSA,DIA ÚTIL,22:55
24,PRACA RUI BARBOSA,DIA ÚTIL,23:35
25,ESTACAO TUBO FANNY-LINHA VERDE,DIA ÚTIL,05:55
26,ESTACAO TUBO FANNY-LINHA VERDE,DIA ÚTIL,06:37
27,ESTACAO TUBO FANNY-LINHA VERDE,DIA ÚTIL,07:19
28,ESTACAO TUBO FANNY-LINHA VERDE,DIA ÚTIL,08:01
29,ESTACAO TUBO FANNY-LINHA VERDE,DIA ÚTIL,08:45
30,ESTACAO TUBO FANNY-LINHA VERDE,DIA ÚTIL,09:29
31,ESTACAO TUBO FANNY-LINHA VERDE,DIA ÚTIL,10:13
32,ESTACAO TUBO FANNY-LINHA VERDE,DIA ÚTIL,10:57
33,ESTACAO TUBO FANNY-LINHA VERDE,DIA ÚTIL,11:41
34,ESTACAO TUBO FANNY-LINHA VERDE,DIA ÚTIL,12:25
35,ESTACAO TUBO FANNY-LINHA VERDE,DIA ÚTIL,13:09
36,ESTACAO TUBO FANNY-LINHA VERDE,DIA ÚTIL,13:53
37,ESTACAO TUBO FANNY-LINHA VERDE,DIA ÚTIL,14:37
38,ESTACAO TUBO FANNY-LINHA VERDE,DIA ÚTIL,15:21
39,ESTACAO TUBO FANNY-LINHA VERDE,DIA ÚTIL,16:05
40,ESTACAO TUBO FANNY-LINHA VERDE,DIA ÚTIL,16:49
41,ESTACAO TUBO FANNY-LINHA VERDE,DIA ÚTIL,17:33
42,ESTACAO TUBO FANNY-LINHA VERDE,DIA ÚTIL,18:17
43,ESTACAO TUBO FANNY-LINHA VERDE,DIA ÚTIL,19:01
44,ESTACAO TUBO FANNY-LINHA VERDE,DIA ÚTIL,19:45
45,ESTACAO TUBO FANNY-LINHA VERDE,DIA ÚTIL,20:29
46,ESTACAO TUBO FANNY-LINHA VERDE,DIA ÚTIL,21:11
47,ESTACAO TUBO FANNY-LINHA VERDE,DIA ÚTIL,21:53
48,ESTACAO TUBO FANNY-LINHA VERDE,DIA ÚTIL,22:35
49,ESTACAO TUBO FANNY-LINHA VERDE,DIA ÚTIL,23:15
50,PRACA RUI BARBOSA,SÁBADO,06:45
51,PRACA RUI BARBOSA,SÁBADO,07:25
52,PRACA RUI BARBOSA,SÁBADO,08:05
53,PRACA RUI BARBOSA,SÁBADO,08:45
54,PRACA RUI BARBOSA,SÁBADO,09:25
55,PRACA RUI BARBOSA,SÁBADO,10:05
56,PRACA RUI BARBOSA,SÁBADO,10:45
57,PRACA RUI BARBOSA,SÁBADO,11:25
58,PRACA RUI BARBOSA,SÁBADO,12:05
59,PRACA RUI BARBOSA,SÁBADO,12:45
60,PRACA RUI BARBOSA,SÁBADO,13:25
61,PRACA RUI BARBOSA,SÁBADO,14:05
62,PRACA RUI BARBOSA,SÁBADO,14:45
63,PRACA RUI BARBOSA,SÁBADO,15:25
64,PRACA RUI BARBOSA,SÁBADO,16:05
65,PRACA RUI BARBOSA,SÁBADO,16:45
66,PRACA RUI BARBOSA,SÁBADO,17:25
67,PRACA RUI BARBOSA,SÁBADO,18:05
68,PRACA RUI BARBOSA,SÁBADO,18:45
69,PRACA RUI BARBOSA,SÁBADO,19:25
70,PRACA RUI BARBOSA,SÁBADO,20:05
