,pontos,dia,horarios
0,TERMINAL SANTA CANDIDA,DIA ÚTIL,05:22
1,TERMINAL SANTA CANDIDA,DIA ÚTIL,05:38
2,TERMINAL SANTA CANDIDA,DIA ÚTIL,05:56
3,TERMINAL SANTA CANDIDA,DIA ÚTIL,06:11
4,TERMINAL SANTA CANDIDA,DIA ÚTIL,06:22
5,TERMINAL SANTA CANDIDA,DIA ÚTIL,06:35
6,TERMINAL SANTA CANDIDA,DIA ÚTIL,06:44
7,TERMINAL SANTA CANDIDA,DIA ÚTIL,06:54
8,TERMINAL SANTA CANDIDA,DIA ÚTIL,07:04
9,TERMINAL SANTA CANDIDA,DIA ÚTIL,07:14
10,TERMINAL SANTA CANDIDA,DIA ÚTIL,07:23
11,TERMINAL SANTA CANDIDA,DIA ÚTIL,07:34
12,TERMINAL SANTA CANDIDA,DIA ÚTIL,07:44
13,TERMINAL SANTA CANDIDA,DIA ÚTIL,07:55
14,TERMINAL SANTA CANDIDA,DIA ÚTIL,08:09
15,TERMINAL SANTA CANDIDA,DIA ÚTIL,08:23
16,TERMINAL SANTA CANDIDA,DIA ÚTIL,08:38
17,TERMINAL SANTA CANDIDA,DIA ÚTIL,08:56
18,TERMINAL SANTA CANDIDA,DIA ÚTIL,09:14
19,TERMINAL SANTA CANDIDA,DIA ÚTIL,09:32
20,TERMINAL SANTA CANDIDA,DIA ÚTIL,09:50
21,TERMINAL SANTA CANDIDA,DIA ÚTIL,10:10
22,TERMINAL SANTA CANDIDA,DIA ÚTIL,10:30
23,TERMINAL SANTA CANDIDA,DIA ÚTIL,10:50
24,TERMINAL SANTA CANDIDA,DIA ÚTIL,11:10
25,TERMINAL SANTA CANDIDA,DIA ÚTIL,11:30
26,TERMINAL SANTA CANDIDA,DIA ÚTIL,11:50
27,TERMINAL SANTA CANDIDA,DIA ÚTIL,12:10
28,TERMINAL SANTA CANDIDA,DIA ÚTIL,12:30
29,TERMINAL SANTA CANDIDA,DIA ÚTIL,12:50
30,TERMINAL SANTA CANDIDA,DIA ÚTIL,13:10
31,TERMINAL SANTA CANDIDA,DIA ÚTIL,13:30
32,TERMINAL SANTA CANDIDA,DIA ÚTIL,13:50
33,TERMINAL SANTA CANDIDA,DIA ÚTIL,14:10
34,TERMINAL SANTA CANDIDA,DIA ÚTIL,14:30
35,TERMINAL SANTA CANDIDA,DIA ÚTIL,14:50
36,TERMINAL SANTA CANDIDA,DIA ÚTIL,15:10
37,TERMINAL SANTA CANDIDA,DIA ÚTIL,15:30
38,TERMINAL SANTA CANDIDA,DIA ÚTIL,15:50
39,TERMINAL SANTA CANDIDA,DIA ÚTIL,16:10
40,TERMINAL SANTA CANDIDA,DIA ÚTIL,16:30
