,pontos,dia,horarios
0,TERMINAL CAPAO RASO,DIA ÚTIL,05:20
1,TERMINAL CAPAO RASO,DIA ÚTIL,05:40
2,TERMINAL CAPAO RASO,DIA ÚTIL,05:50
3,TERMINAL CAPAO RASO,DIA ÚTIL,06:00
4,TERMINAL CAPAO RASO,DIA ÚTIL,06:10
5,TERMINAL CAPAO RASO,DIA ÚTIL,06:20
6,TERMINAL CAPAO RASO,DIA ÚTIL,06:30
7,TERMINAL CAPAO RASO,DIA ÚTIL,06:40
8,TERMINAL CAPAO RASO,DIA ÚTIL,06:50
9,TERMINAL CAPAO RASO,DIA ÚTIL,07:00
10,TERMINAL CAPAO RASO,DIA ÚTIL,07:10
11,TERMINAL CAPAO RASO,DIA ÚTIL,07:20
12,TERMINAL CAPAO RASO,DIA ÚTIL,07:30
13,TERMINAL CAPAO RASO,DIA ÚTIL,07:40
14,TERMINAL CAPAO RASO,DIA ÚTIL,07:50
15,TERMINAL CAPAO RASO,DIA ÚTIL,08:00
16,TERMINAL CAPAO RASO,DIA ÚTIL,08:10
17,TERMINAL CAPAO RASO,DIA ÚTIL,08:30
18,TERMINAL CAPAO RASO,DIA ÚTIL,08:44
19,TERMINAL CAPAO RASO,DIA ÚTIL,09:02
20,TERMINAL CAPAO RASO,DIA ÚTIL,09:20
21,TERMINAL CAPAO RASO,DIA ÚTIL,09:38
22,TERMINAL CAPAO RASO,DIA ÚTIL,09:56
23,TERMINAL CAPAO RASO,DIA ÚTIL,10:14
24,TERMINAL CAPAO RASO,DIA ÚTIL,10:32
25,TERMINAL CAPAO RASO,DIA ÚTIL,10:50
26,TERMINAL CAPAO RASO,DIA ÚTIL,11:08
27,TERMINAL CAPAO RASO,DIA ÚTIL,11:26
28,TERMINAL CAPAO RASO,DIA ÚTIL,11:44
29,TERMINAL CAPAO RASO,DIA ÚTIL,12:02
30,TERMINAL CAPAO RASO,DIA ÚTIL,12:20
31,TERMINAL CAPAO RASO,DIA ÚTIL,12:38
32,TERMINAL CAPAO RASO,DIA ÚTIL,12:56
33,TERMINAL CAPAO RASO,DIA ÚTIL,13:14
34,TERMINAL CAPAO RASO,DIA ÚTIL,13:32
35,TERMINAL CAPAO RASO,DIA ÚTIL,13:50
36,TERMINAL CAPAO RASO,DIA ÚTIL,14:08
37,TERMINAL CAPAO RASO,DIA ÚTIL,14:26
38,TERMINAL CAPAO RASO,DIA ÚTIL,14:44
39,TERMINAL CAPAO RASO,DIA ÚTIL,15:02
40,TERMINAL CAPAO RASO,DIA ÚTIL,15:20
41,TERMINAL CAPAO RASO,DIA ÚTIL,15:38
42,TERMINAL CAPAO RASO,DIA ÚTIL,15:56
43,TERMINAL CAPAO RASO,DIA ÚTIL,16:14
44,TERMINAL CAPAO RASO,DIA ÚTIL,16:32
45,TERMINAL CAPAO RASO,DIA ÚTIL,16:50
46,TERMINAL CAPAO RASO,DIA ÚTIL,17:08
47,TERMINAL CAPAO RASO,DIA ÚTIL,17:20
48,TERMINAL CAPAO RASO,DIA ÚTIL,17:32
49,TERMINAL CAPAO RASO,DIA ÚTIL,17:44
50,TERMINAL CAPAO RASO,DIA ÚTIL,17:56
51,TERMINAL CAPAO RASO,DIA ÚTIL,18:08
52,TERMINAL CAPAO RASO,DIA ÚTIL,18:20
53,TERMINAL CAPAO RASO,DIA ÚTIL,18:32
54,TERMINAL CAPAO RASO,DIA ÚTIL,18:44
55,TERMINAL CAPAO RASO,DIA ÚTIL,18:56
56,TERMINAL CAPAO RASO,DIA ÚTIL,19:08
57,TERMINAL CAPAO RASO,DIA ÚTIL,19:20
58,TERMINAL CAPAO RASO,DIA ÚTIL,19:40
59,TERMINAL CAPAO RASO,DIA ÚTIL,20:05
60,TERMINAL CAPAO RASO,DIA ÚTIL,20:25
61,TERMINAL CAPAO RASO,DIA ÚTIL,20:45
62,TERMINAL CAPAO RASO,DIA ÚTIL,21:05
63,TERMINAL CAPAO RASO,DIA ÚTIL,21:25
64,TERMINAL CAPAO RASO,DIA ÚTIL,21:45
65,TERMINAL CAPAO RASO,DIA ÚTIL,22:05
66,TERMINAL CAPAO RASO,DIA ÚTIL,22:25
67,TERMINAL CAPAO RASO,DIA ÚTIL,22:45
68,TERMINAL CAPAO RASO,DIA ÚTIL,23:05
69,TERMINAL CAPAO RASO,DIA ÚTIL,23:25
70,TERMINAL CAPAO RASO,DIA ÚTIL,23:45
71,TERMINAL CAPAO RASO,DIA ÚTIL,00:05
72,TERMINAL CAPAO RASO,DIA ÚTIL,00:30
73,BAIRRO ALTO BOQUEIRAO,DIA ÚTIL,04:50
74,BAIRRO ALTO BOQUEIRAO,DIA ÚTIL,05:10
75,BAIRRO ALTO BOQUEIRAO,DIA ÚTIL,05:20
76,BAIRRO ALTO BOQUEIRAO,DIA ÚTIL,05:30
77,BAIRRO ALTO BOQUEIRAO,DIA ÚTIL,05:40
78,BAIRRO ALTO BOQUEIRAO,DIA ÚTIL,05:50
79,BAIRRO ALTO BOQUEIRAO,DIA ÚTIL,06:00
80,BAIRRO ALTO BOQUEIRAO,DIA ÚTIL,06:10
81,BAIRRO ALTO BOQUEIRAO,DIA ÚTIL,06:20
82,BAIRRO ALTO BOQUEIRAO,DIA ÚTIL,06:30
83,BAIRRO ALTO BOQUEIRAO,DIA ÚTIL,06:40
84,BAIRRO ALTO BOQUEIRAO,DIA ÚTIL,06:50
85,BAIRRO ALTO BOQUEIRAO,DIA ÚTIL,07:00
86,BAIRRO ALTO BOQUEIRAO,DIA ÚTIL,07:10
87,BAIRRO ALTO BOQUEIRAO,DIA ÚTIL,07:20
88,BAIRRO ALTO BOQUEIRAO,DIA ÚTIL,07:30
89,BAIRRO ALTO BOQUEIRAO,DIA ÚTIL,07:40
90,BAIRRO ALTO BOQUEIRAO,DIA ÚTIL,07:50
91,BAIRRO ALTO BOQUEIRAO,DIA ÚTIL,08:00
92,BAIRRO ALTO BOQUEIRAO,DIA ÚTIL,08:10
93,BAIRRO ALTO BOQUEIRAO,DIA ÚTIL,08:20
94,BAIRRO ALTO BOQUEIRAO,DIA ÚTIL,08:30
95,BAIRRO ALTO BOQUEIRAO,DIA ÚTIL,08:40
96,BAIRRO ALTO BOQUEIRAO,DIA ÚTIL,09:00
97,BAIRRO ALTO BOQUEIRAO,DIA ÚTIL,09:20
98,BAIRRO ALTO BOQUEIRAO,DIA ÚTIL,09:38
99,BAIRRO ALTO BOQUEIRAO,DIA ÚTIL,09:56
100,BAIRRO ALTO BOQUEIRAO,DIA ÚTIL,10:14
101,BAIRRO ALTO BOQUEIRAO,DIA ÚTIL,10:32
102,BAIRRO ALTO BOQUEIRAO,DIA ÚTIL,10:50
103,BAIRRO ALTO BOQUEIRAO,DIA ÚTIL,11:08
104,BAIRRO ALTO BOQUEIRAO,DIA ÚTIL,11:26
105,BAIRRO ALTO BOQUEIRAO,DIA ÚTIL,11:44
106,BAIRRO ALTO BOQUEIRAO,DIA ÚTIL,12:02
107,BAIRRO ALTO BOQUEIRAO,DIA ÚTIL,12:20
108,BAIRRO ALTO BOQUEIRAO,DIA ÚTIL,12:38
109,BAIRRO ALTO BOQUEIRAO,DIA ÚTIL,12:56
