,pontos,dia,horarios
0,TERMINAL BAIRRO ALTO,DIA ÚTIL,05:45
1,TERMINAL BAIRRO ALTO,DIA ÚTIL,06:20
2,TERMINAL BAIRRO ALTO,DIA ÚTIL,06:50
3,TERMINAL BAIRRO ALTO,DIA ÚTIL,07:20
4,TERMINAL BAIRRO ALTO,DIA ÚTIL,07:55
5,TERMINAL BAIRRO ALTO,DIA ÚTIL,08:30
6,TERMINAL BAIRRO ALTO,DIA ÚTIL,09:10
7,TERMINAL BAIRRO ALTO,DIA ÚTIL,09:50
8,TERMINAL BAIRRO ALTO,DIA ÚTIL,10:25
9,TERMINAL BAIRRO ALTO,DIA ÚTIL,11:00
10,TERMINAL BAIRRO ALTO,DIA ÚTIL,11:35
11,TERMINAL BAIRRO ALTO,DIA ÚTIL,12:08
12,TERMINAL BAIRRO ALTO,DIA ÚTIL,12:40
13,TERMINAL BAIRRO ALTO,DIA ÚTIL,13:12
14,TERMINAL BAIRRO ALTO,DIA ÚTIL,13:45
15,TERMINAL BAIRRO ALTO,DIA ÚTIL,14:20
16,TERMINAL BAIRRO ALTO,DIA ÚTIL,14:55
17,TERMINAL BAIRRO ALTO,DIA ÚTIL,15:30
18,TERMINAL BAIRRO ALTO,DIA ÚTIL,16:05
19,TERMINAL BAIRRO ALTO,DIA ÚTIL,16:40
20,TERMINAL BAIRRO ALTO,DIA ÚTIL,17:15
21,TERMINAL BAIRRO ALTO,DIA ÚTIL,17:50
22,TERMINAL BAIRRO ALTO,DIA ÚTIL,18:32
23,TERMINAL BAIRRO ALTO,DIA ÚTIL,19:05
24,TERMINAL BAIRRO ALTO,DIA ÚTIL,19:33
25,TERMINAL BAIRRO ALTO,DIA ÚTIL,20:08
26,TERMINAL BAIRRO ALTO,DIA ÚTIL,21:05
27,TERMINAL BAIRRO ALTO,DIA ÚTIL,22:05
28,TERMINAL BAIRRO ALTO,DIA ÚTIL,23:05
29,PRACA CARLOS GOMES,DIA ÚTIL,06:15
30,PRACA CARLOS GOMES,DIA ÚTIL,06:50
31,PRACA CARLOS GOMES,DIA ÚTIL,07:25
32,PRACA CARLOS GOMES,DIA ÚTIL,08:02
33,PRACA CARLOS GOMES,DIA ÚTIL,08:37
34,PRACA CARLOS GOMES,DIA ÚTIL,09:12
35,PRACA CARLOS GOMES,DIA ÚTIL,09:48
36,PRACA CARLOS GOMES,DIA ÚTIL,10:24
37,PRACA CARLOS GOMES,DIA ÚTIL,11:00
38,PRACA CARLOS GOMES,DIA ÚTIL,11:35
39,PRACA CARLOS GOMES,DIA ÚTIL,12:10
