,pontos,dia,horarios
0,TERMINAL CABRAL,DIA ÚTIL,06:03
1,TERMINAL CABRAL,DIA ÚTIL,06:19
2,TERMINAL CABRAL,DIA ÚTIL,06:46
3,TERMINAL CABRAL,DIA ÚTIL,07:12
4,TERMINAL CABRAL,DIA ÚTIL,07:40
5,TERMINAL CABRAL,DIA ÚTIL,16:15
6,TERMINAL CABRAL,DIA ÚTIL,16:44
7,TERMINAL CABRAL,DIA ÚTIL,17:12
8,TERMINAL CABRAL,DIA ÚTIL,17:40
9,TERMINAL CABRAL,DIA ÚTIL,18:09
10,TERMINAL CABRAL,DIA ÚTIL,18:37
11,TERMINAL CABRAL,DIA ÚTIL,19:05
12,"ANITA GARIBALDI,8500/R.TELE SA",DIA ÚTIL,05:42
13,"ANITA GARIBALDI,8500/R.TELE SA",DIA ÚTIL,05:58
14,"ANITA GARIBALDI,8500/R.TELE SA",DIA ÚTIL,06:22
15,"ANITA GARIBALDI,8500/R.TELE SA",DIA ÚTIL,06:42
16,"ANITA GARIBALDI,8500/R.TELE SA",DIA ÚTIL,07:08
17,"ANITA GARIBALDI,8500/R.TELE SA",DIA ÚTIL,07:35
18,"ANITA GARIBALDI,8500/R.TELE SA",DIA ÚTIL,08:02
19,"ANITA GARIBALDI,8500/R.TELE SA",DIA ÚTIL,16:42
20,"ANITA GARIBALDI,8500/R.TELE SA",DIA ÚTIL,17:10
21,"ANITA GARIBALDI,8500/R.TELE SA",DIA ÚTIL,17:39
22,"ANITA GARIBALDI,8500/R.TELE SA",DIA ÚTIL,18:07
23,"ANITA GARIBALDI,8500/R.TELE SA",DIA ÚTIL,18:37
