,pontos,dia,horarios
0,TERMINAL CAPAO DA IMBUIA,DIA ÚTIL,05:42
1,TERMINAL CAPAO DA IMBUIA,DIA ÚTIL,06:06
2,TERMINAL CAPAO DA IMBUIA,DIA ÚTIL,06:28
3,TERMINAL CAPAO DA IMBUIA,DIA ÚTIL,06:51
4,TERMINAL CAPAO DA IMBUIA,DIA ÚTIL,07:14
5,TERMINAL CAPAO DA IMBUIA,DIA ÚTIL,07:36
6,TERMINAL CAPAO DA IMBUIA,DIA ÚTIL,08:00
7,TERMINAL CAPAO DA IMBUIA,DIA ÚTIL,08:22
8,TERMINAL CAPAO DA IMBUIA,DIA ÚTIL,08:46
9,TERMINAL CAPAO DA IMBUIA,DIA ÚTIL,09:07
10,TERMINAL CAPAO DA IMBUIA,DIA ÚTIL,09:33
11,TERMINAL CAPAO DA IMBUIA,DIA ÚTIL,09:55
12,TERMINAL CAPAO DA IMBUIA,DIA ÚTIL,10:18
13,TERMINAL CAPAO DA IMBUIA,DIA ÚTIL,10:41
14,TERMINAL CAPAO DA IMBUIA,DIA ÚTIL,11:02
15,TERMINAL CAPAO DA IMBUIA,DIA ÚTIL,11:25
16,TERMINAL CAPAO DA IMBUIA,DIA ÚTIL,11:50
17,TERMINAL CAPAO DA IMBUIA,DIA ÚTIL,12:15
18,TERMINAL CAPAO DA IMBUIA,DIA ÚTIL,12:37
19,TERMINAL CAPAO DA IMBUIA,DIA ÚTIL,12:59
20,TERMINAL CAPAO DA IMBUIA,DIA ÚTIL,13:21
21,TERMINAL CAPAO DA IMBUIA,DIA ÚTIL,13:42
22,TERMINAL CAPAO DA IMBUIA,DIA ÚTIL,14:06
23,TERMINAL CAPAO DA IMBUIA,DIA ÚTIL,14:30
24,TERMINAL CAPAO DA IMBUIA,DIA ÚTIL,14:54
25,TERMINAL CAPAO DA IMBUIA,DIA ÚTIL,15:18
26,TERMINAL CAPAO DA IMBUIA,DIA ÚTIL,15:42
27,TERMINAL CAPAO DA IMBUIA,DIA ÚTIL,16:06
28,TERMINAL CAPAO DA IMBUIA,DIA ÚTIL,16:30
29,TERMINAL CAPAO DA IMBUIA,DIA ÚTIL,16:54
30,TERMINAL CAPAO DA IMBUIA,DIA ÚTIL,17:18
31,TERMINAL CAPAO DA IMBUIA,DIA ÚTIL,17:42
32,TERMINAL CAPAO DA IMBUIA,DIA ÚTIL,18:06
33,TERMINAL CAPAO DA IMBUIA,DIA ÚTIL,18:30
34,TERMINAL CAPAO DA IMBUIA,DIA ÚTIL,18:54
35,TERMINAL CAPAO DA IMBUIA,DIA ÚTIL,19:18
36,TERMINAL CAPAO DA IMBUIA,DIA ÚTIL,19:42
37,TERMINAL CAPAO DA IMBUIA,DIA ÚTIL,20:06
38,TERMINAL CAPAO DA IMBUIA,DIA ÚTIL,20:30
39,TERMINAL CAPAO DA IMBUIA,DIA ÚTIL,20:54
40,TERMINAL CAPAO DA IMBUIA,DIA ÚTIL,21:18
41,TERMINAL CAPAO DA IMBUIA,DIA ÚTIL,21:42
42,TERMINAL CAPAO DA IMBUIA,DIA ÚTIL,22:06
43,TERMINAL CAPAO DA IMBUIA,DIA ÚTIL,22:30
44,TERMINAL CAPAO DA IMBUIA,DIA ÚTIL,22:54
45,TERMINAL CAPAO DA IMBUIA,DIA ÚTIL,23:18
46,TERMINAL CAPAO DA IMBUIA,DIA ÚTIL,23:42
47,TERMINAL CAPAO DA IMBUIA,DIA ÚTIL,00:02
48,TERMINAL CAPAO DA IMBUIA,DIA ÚTIL,00:20
49,BAIRRO ARAGUAIA,DIA ÚTIL,05:30
50,BAIRRO ARAGUAIA,DIA ÚTIL,05:53
51,BAIRRO ARAGUAIA,DIA ÚTIL,06:16
52,BAIRRO ARAGUAIA,DIA ÚTIL,06:39
53,BAIRRO ARAGUAIA,DIA ÚTIL,07:02
54,BAIRRO ARAGUAIA,DIA ÚTIL,07:25
55,BAIRRO ARAGUAIA,DIA ÚTIL,07:48
56,BAIRRO ARAGUAIA,DIA ÚTIL,08:11
57,BAIRRO ARAGUAIA,DIA ÚTIL,08:34
58,BAIRRO ARAGUAIA,DIA ÚTIL,08:56
59,BAIRRO ARAGUAIA,DIA ÚTIL,09:20
60,BAIRRO ARAGUAIA,DIA ÚTIL,09:44
61,BAIRRO ARAGUAIA,DIA ÚTIL,10:06
62,BAIRRO ARAGUAIA,DIA ÚTIL,10:29
63,BAIRRO ARAGUAIA,DIA ÚTIL,10:51
64,BAIRRO ARAGUAIA,DIA ÚTIL,11:13
65,BAIRRO ARAGUAIA,DIA ÚTIL,11:38
66,BAIRRO ARAGUAIA,DIA ÚTIL,12:03
67,BAIRRO ARAGUAIA,DIA ÚTIL,12:26
68,BAIRRO ARAGUAIA,DIA ÚTIL,12:47
69,BAIRRO ARAGUAIA,DIA ÚTIL,13:10
70,BAIRRO ARAGUAIA,DIA ÚTIL,13:32
71,BAIRRO ARAGUAIA,DIA ÚTIL,13:54
72,BAIRRO ARAGUAIA,DIA ÚTIL,14:18
73,BAIRRO ARAGUAIA,DIA ÚTIL,14:42
74,BAIRRO ARAGUAIA,DIA ÚTIL,15:06
75,BAIRRO ARAGUAIA,DIA ÚTIL,15:30
76,BAIRRO ARAGUAIA,DIA ÚTIL,15:54
77,BAIRRO ARAGUAIA,DIA ÚTIL,16:18
78,BAIRRO ARAGUAIA,DIA ÚTIL,16:42
79,BAIRRO ARAGUAIA,DIA ÚTIL,17:06
80,BAIRRO ARAGUAIA,DIA ÚTIL,17:30
81,BAIRRO ARAGUAIA,DIA ÚTIL,17:55
82,BAIRRO ARAGUAIA,DIA ÚTIL,18:19
83,BAIRRO ARAGUAIA,DIA ÚTIL,18:43
84,BAIRRO ARAGUAIA,DIA ÚTIL,19:07
85,BAIRRO ARAGUAIA,DIA ÚTIL,19:31
86,BAIRRO ARAGUAIA,DIA ÚTIL,19:53
87,BAIRRO ARAGUAIA,DIA ÚTIL,20:17
88,BAIRRO ARAGUAIA,DIA ÚTIL,20:41
89,BAIRRO ARAGUAIA,DIA ÚTIL,21:05
90,BAIRRO ARAGUAIA,DIA ÚTIL,21:29
91,BAIRRO ARAGUAIA,DIA ÚTIL,21:53
92,BAIRRO ARAGUAIA,DIA ÚTIL,22:17
93,BAIRRO ARAGUAIA,DIA ÚTIL,22:41
94,BAIRRO ARAGUAIA,DIA ÚTIL,23:05
95,BAIRRO ARAGUAIA,DIA ÚTIL,23:29
96,BAIRRO ARAGUAIA,DIA ÚTIL,23:52
97,BAIRRO ARAGUAIA,DIA ÚTIL,00:11
98,TERMINAL CAPAO DA IMBUIA,SÁBADO,05:45
99,TERMINAL CAPAO DA IMBUIA,SÁBADO,06:15
100,TERMINAL CAPAO DA IMBUIA,SÁBADO,06:45
101,TERMINAL CAPAO DA IMBUIA,SÁBADO,07:15
102,TERMINAL CAPAO DA IMBUIA,SÁBADO,07:45
103,TERMINAL CAPAO DA IMBUIA,SÁBADO,08:15
104,TERMINAL CAPAO DA IMBUIA,SÁBADO,08:45
105,TERMINAL CAPAO DA IMBUIA,SÁBADO,09:15
106,TERMINAL CAPAO DA IMBUIA,SÁBADO,09:45
107,TERMINAL CAPAO DA IMBUIA,SÁBADO,10:15
108,TERMINAL CAPAO DA IMBUIA,SÁBADO,10:45
109,TERMINAL CAPAO DA IMBUIA,SÁBADO,11:15
110,TERMINAL CAPAO DA IMBUIA,SÁBADO,11:45
111,TERMINAL CAPAO DA IMBUIA,SÁBADO,12:15
112,TERMINAL CAPAO DA IMBUIA,SÁBADO,12:45
113,TERMINAL CAPAO DA IMBUIA,SÁBADO,13:15
114,TERMINAL CAPAO DA IMBUIA,SÁBADO,13:45
115,TERMINAL CAPAO DA IMBUIA,SÁBADO,14:15
116,TERMINAL CAPAO DA IMBUIA,SÁBADO,14:45
117,TERMINAL CAPAO DA IMBUIA,SÁBADO,15:15
118,TERMINAL CAPAO DA IMBUIA,SÁBADO,15:45
119,TERMINAL CAPAO DA IMBUIA,SÁBADO,16:15
120,TERMINAL CAPAO DA IMBUIA,SÁBADO,16:45
121,TERMINAL CAPAO DA IMBUIA,SÁBADO,17:15
122,TERMINAL CAPAO DA IMBUIA,SÁBADO,17:45
123,TERMINAL CAPAO DA IMBUIA,SÁBADO,18:15
124,TERMINAL CAPAO DA IMBUIA,SÁBADO,18:45
125,TERMINAL CAPAO DA IMBUIA,SÁBADO,19:15
126,TERMINAL CAPAO DA IMBUIA,SÁBADO,19:45
127,TERMINAL CAPAO DA IMBUIA,SÁBADO,20:15
128,TERMINAL CAPAO DA IMBUIA,SÁBADO,20:45
129,TERMINAL CAPAO DA IMBUIA,SÁBADO,21:15
130,TERMINAL CAPAO DA IMBUIA,SÁBADO,21:45
131,TERMINAL CAPAO DA IMBUIA,SÁBADO,22:15
132,TERMINAL CAPAO DA IMBUIA,SÁBADO,22:45
133,TERMINAL CAPAO DA IMBUIA,SÁBADO,23:15
134,TERMINAL CAPAO DA IMBUIA,SÁBADO,23:45
135,TERMINAL CAPAO DA IMBUIA,SÁBADO,00:15
136,BAIRRO ARAGUAIA,SÁBADO,05:30
137,BAIRRO ARAGUAIA,SÁBADO,06:00
138,BAIRRO ARAGUAIA,SÁBADO,06:30
139,BAIRRO ARAGUAIA,SÁBADO,07:00
140,BAIRRO ARAGUAIA,SÁBADO,07:30
141,BAIRRO ARAGUAIA,SÁBADO,08:00
142,BAIRRO ARAGUAIA,SÁBADO,08:30
143,BAIRRO ARAGUAIA,SÁBADO,09:00
144,BAIRRO ARAGUAIA,SÁBADO,09:30
145,BAIRRO ARAGUAIA,SÁBADO,10:00
146,BAIRRO ARAGUAIA,SÁBADO,10:30
147,BAIRRO ARAGUAIA,SÁBADO,11:00
148,BAIRRO ARAGUAIA,SÁBADO,11:30
149,BAIRRO ARAGUAIA,SÁBADO,12:00
150,BAIRRO ARAGUAIA,SÁBADO,12:30
151,BAIRRO ARAGUAIA,SÁBADO,13:00
152,BAIRRO ARAGUAIA,SÁBADO,13:30
153,BAIRRO ARAGUAIA,SÁBADO,14:00
154,BAIRRO ARAGUAIA,SÁBADO,14:30
155,BAIRRO ARAGUAIA,SÁBADO,15:00
156,BAIRRO ARAGUAIA,SÁBADO,15:30
157,BAIRRO ARAGUAIA,SÁBADO,16:00
158,BAIRRO ARAGUAIA,SÁBADO,16:30
159,BAIRRO ARAGUAIA,SÁBADO,17:00
160,BAIRRO ARAGUAIA,SÁBADO,17:30
161,BAIRRO ARAGUAIA,SÁBADO,18:00
162,BAIRRO ARAGUAIA,SÁBADO,18:30
163,BAIRRO ARAGUAIA,SÁBADO,19:00
164,BAIRRO ARAGUAIA,SÁBADO,19:30
165,BAIRRO ARAGUAIA,SÁBADO,20:00
166,BAIRRO ARAGUAIA,SÁBADO,20:30
167,BAIRRO ARAGUAIA,SÁBADO,21:00
168,BAIRRO ARAGUAIA,SÁBADO,21:30
169,BAIRRO ARAGUAIA,SÁBADO,22:00
170,BAIRRO ARAGUAIA,SÁBADO,22:30
171,BAIRRO ARAGUAIA,SÁBADO,23:00
172,BAIRRO ARAGUAIA,SÁBADO,23:30
173,BAIRRO ARAGUAIA,SÁBADO,00:00
174,TERMINAL CAPAO DA IMBUIA,DOMINGO,05:45
175,TERMINAL CAPAO DA IMBUIA,DOMINGO,06:15
176,TERMINAL CAPAO DA IMBUIA,DOMINGO,06:45
177,TERMINAL CAPAO DA IMBUIA,DOMINGO,07:15
178,TERMINAL CAPAO DA IMBUIA,DOMINGO,07:45
179,TERMINAL CAPAO DA IMBUIA,DOMINGO,08:15
180,TERMINAL CAPAO DA IMBUIA,DOMINGO,08:45
181,TERMINAL CAPAO DA IMBUIA,DOMINGO,09:15
182,TERMINAL CAPAO DA IMBUIA,DOMINGO,09:45
183,TERMINAL CAPAO DA IMBUIA,DOMINGO,10:15
184,TERMINAL CAPAO DA IMBUIA,DOMINGO,10:45
185,TERMINAL CAPAO DA IMBUIA,DOMINGO,11:15
186,TERMINAL CAPAO DA IMBUIA,DOMINGO,11:45
187,TERMINAL CAPAO DA IMBUIA,DOMINGO,12:15
188,TERMINAL CAPAO DA IMBUIA,DOMINGO,12:45
189,TERMINAL CAPAO DA IMBUIA,DOMINGO,13:15
190,TERMINAL CAPAO DA IMBUIA,DOMINGO,13:45
191,TERMINAL CAPAO DA IMBUIA,DOMINGO,14:15
192,TERMINAL CAPAO DA IMBUIA,DOMINGO,14:45
193,TERMINAL CAPAO DA IMBUIA,DOMINGO,15:15
194,TERMINAL CAPAO DA IMBUIA,DOMINGO,15:45
195,TERMINAL CAPAO DA IMBUIA,DOMINGO,16:15
196,TERMINAL CAPAO DA IMBUIA,DOMINGO,16:45
197,TERMINAL CAPAO DA IMBUIA,DOMINGO,17:15
198,TERMINAL CAPAO DA IMBUIA,DOMINGO,17:45
199,TERMINAL CAPAO DA IMBUIA,DOMINGO,18:15
200,TERMINAL CAPAO DA IMBUIA,DOMINGO,18:45
201,TERMINAL CAPAO DA IMBUIA,DOMINGO,19:15
202,TERMINAL CAPAO DA IMBUIA,DOMINGO,19:45
203,TERMINAL CAPAO DA IMBUIA,DOMINGO,20:15
204,TERMINAL CAPAO DA IMBUIA,DOMINGO,20:45
205,TERMINAL CAPAO DA IMBUIA,DOMINGO,21:15
206,TERMINAL CAPAO DA IMBUIA,DOMINGO,21:45
207,TERMINAL CAPAO DA IMBUIA,DOMINGO,22:15
208,TERMINAL CAPAO DA IMBUIA,DOMINGO,22:45
209,TERMINAL CAPAO DA IMBUIA,DOMINGO,23:15
