,pontos,dia,horarios
0,BAIRRO AUGUSTA VIA MOR.TRIANON,DOMINGO,06:00
1,BAIRRO AUGUSTA VIA MOR.TRIANON,DOMINGO,07:10
2,BAIRRO AUGUSTA VIA MOR.TRIANON,DOMINGO,08:20
3,BAIRRO AUGUSTA VIA MOR.TRIANON,DOMINGO,09:30
4,BAIRRO AUGUSTA VIA MOR.TRIANON,DOMINGO,10:42
5,BAIRRO AUGUSTA VIA MOR.TRIANON,DOMINGO,12:04
6,BAIRRO AUGUSTA VIA MOR.TRIANON,DOMINGO,13:26
7,BAIRRO AUGUSTA VIA MOR.TRIANON,DOMINGO,14:50
8,BAIRRO AUGUSTA VIA MOR.TRIANON,DOMINGO,16:14
9,BAIRRO AUGUSTA VIA MOR.TRIANON,DOMINGO,17:38
10,BAIRRO AUGUSTA VIA MOR.TRIANON,DOMINGO,19:02
11,BAIRRO AUGUSTA VIA MOR.TRIANON,DOMINGO,20:26
12,BAIRRO AUGUSTA VIA MOR.TRIANON,DOMINGO,21:00
13,BAIRRO AUGUSTA VIA MOR.TRIANON,DOMINGO,21:34
14,BAIRRO AUGUSTA VIA MOR.TRIANON,DOMINGO,22:08
15,BAIRRO AUGUSTA VIA MOR.TRIANON,DOMINGO,22:42
16,BAIRRO AUGUSTA VIA MOR.TRIANON,DOMINGO,23:15
17,BAIRRO AUGUSTA VIA MOR.TRIANON,DOMINGO,23:48
18,T.C.C./V. MARQUETO,DOMINGO,06:15
19,T.C.C./V. MARQUETO,DOMINGO,07:25
20,T.C.C./V. MARQUETO,DOMINGO,08:35
21,T.C.C./V. MARQUETO,DOMINGO,09:45
22,T.C.C./V. MARQUETO,DOMINGO,10:59
23,T.C.C./V. MARQUETO,DOMINGO,12:21
24,T.C.C./V. MARQUETO,DOMINGO,13:43
25,T.C.C./V. MARQUETO,DOMINGO,15:07
26,T.C.C./V. MARQUETO,DOMINGO,16:31
27,T.C.C./V. MARQUETO,DOMINGO,17:55
28,T.C.C./V. MARQUETO,DOMINGO,19:19
29,BAIRRO VILA MARQUETO,DOMINGO,06:32
30,BAIRRO VILA MARQUETO,DOMINGO,07:42
31,BAIRRO VILA MARQUETO,DOMINGO,08:52
32,BAIRRO VILA MARQUETO,DOMINGO,10:02
33,BAIRRO VILA MARQUETO,DOMINGO,11:22
34,BAIRRO VILA MARQUETO,DOMINGO,12:44
35,BAIRRO VILA MARQUETO,DOMINGO,14:06
36,BAIRRO VILA MARQUETO,DOMINGO,15:30
37,BAIRRO VILA MARQUETO,DOMINGO,16:54
38,BAIRRO VILA MARQUETO,DOMINGO,18:18
39,BAIRRO VILA MARQUETO,DOMINGO,19:42
40,TERM.C.COMPRIDO / TRIANON,DOMINGO,06:55
41,TERM.C.COMPRIDO / TRIANON,DOMINGO,08:05
42,TERM.C.COMPRIDO / TRIANON,DOMINGO,09:15
43,TERM.C.COMPRIDO / TRIANON,DOMINGO,10:25
44,TERM.C.COMPRIDO / TRIANON,DOMINGO,11:47
45,TERM.C.COMPRIDO / TRIANON,DOMINGO,13:09
46,TERM.C.COMPRIDO / TRIANON,DOMINGO,14:33
47,TERM.C.COMPRIDO / TRIANON,DOMINGO,15:57
48,TERM.C.COMPRIDO / TRIANON,DOMINGO,17:21
49,TERM.C.COMPRIDO / TRIANON,DOMINGO,18:45
50,TERM.C.COMPRIDO / TRIANON,DOMINGO,20:09
51,TERM.C.COMPRIDO / TRIANON,DOMINGO,20:43
52,TERM.C.COMPRIDO / TRIANON,DOMINGO,21:17
53,TERM.C.COMPRIDO / TRIANON,DOMINGO,21:51
54,TERM.C.COMPRIDO / TRIANON,DOMINGO,22:25
55,TERM.C.COMPRIDO / TRIANON,DOMINGO,22:59
56,TERM.C.COMPRIDO / TRIANON,DOMINGO,23:32
57,TERM.C.COMPRIDO / TRIANON,DOMINGO,00:05
