,pontos,dia,horarios
0,TERMINAL CAMPO COMPRIDO,DIA ÚTIL,06:10
1,TERMINAL CAMPO COMPRIDO,DIA ÚTIL,06:48
2,TERMINAL CAMPO COMPRIDO,DIA ÚTIL,07:20
3,TERMINAL CAMPO COMPRIDO,DIA ÚTIL,07:52
4,TERMINAL CAMPO COMPRIDO,DIA ÚTIL,08:24
5,TERMINAL CAMPO COMPRIDO,DIA ÚTIL,08:56
6,TERMINAL CAMPO COMPRIDO,DIA ÚTIL,09:28
7,TERMINAL CAMPO COMPRIDO,DIA ÚTIL,10:00
8,TERMINAL CAMPO COMPRIDO,DIA ÚTIL,10:32
9,TERMINAL CAMPO COMPRIDO,DIA ÚTIL,11:04
10,TERMINAL CAMPO COMPRIDO,DIA ÚTIL,11:38
11,TERMINAL CAMPO COMPRIDO,DIA ÚTIL,12:12
12,TERMINAL CAMPO COMPRIDO,DIA ÚTIL,12:46
13,TERMINAL CAMPO COMPRIDO,DIA ÚTIL,13:20
14,TERMINAL CAMPO COMPRIDO,DIA ÚTIL,13:54
15,TERMINAL CAMPO COMPRIDO,DIA ÚTIL,14:28
16,TERMINAL CAMPO COMPRIDO,DIA ÚTIL,15:02
17,TERMINAL CAMPO COMPRIDO,DIA ÚTIL,15:36
18,TERMINAL CAMPO COMPRIDO,DIA ÚTIL,16:10
19,TERMINAL CAMPO COMPRIDO,DIA ÚTIL,16:45
20,TERMINAL CAMPO COMPRIDO,DIA ÚTIL,17:20
21,TERMINAL CAMPO COMPRIDO,DIA ÚTIL,17:55
22,TERMINAL CAMPO COMPRIDO,DIA ÚTIL,18:30
23,TERMINAL CAMPO COMPRIDO,DIA ÚTIL,19:05
24,TERMINAL CAMPO COMPRIDO,DIA ÚTIL,19:45
25,TERMINAL CAMPO COMPRIDO,DIA ÚTIL,20:25
26,TERMINAL CAMPO COMPRIDO,DIA ÚTIL,21:05
27,TERMINAL CAMPO COMPRIDO,DIA ÚTIL,21:45
28,TERMINAL CAMPO COMPRIDO,DIA ÚTIL,22:25
29,BAIRRO AUGUSTA,DIA ÚTIL,05:50
30,BAIRRO AUGUSTA,DIA ÚTIL,06:30
31,BAIRRO AUGUSTA,DIA ÚTIL,07:02
32,BAIRRO AUGUSTA,DIA ÚTIL,07:34
33,BAIRRO AUGUSTA,DIA ÚTIL,08:06
34,BAIRRO AUGUSTA,DIA ÚTIL,08:38
35,BAIRRO AUGUSTA,DIA ÚTIL,09:10
36,BAIRRO AUGUSTA,DIA ÚTIL,09:42
37,BAIRRO AUGUSTA,DIA ÚTIL,10:14
38,BAIRRO AUGUSTA,DIA ÚTIL,10:46
39,BAIRRO AUGUSTA,DIA ÚTIL,11:20
40,BAIRRO AUGUSTA,DIA ÚTIL,11:54
41,BAIRRO AUGUSTA,DIA ÚTIL,12:28
42,BAIRRO AUGUSTA,DIA ÚTIL,13:02
43,BAIRRO AUGUSTA,DIA ÚTIL,13:36
44,BAIRRO AUGUSTA,DIA ÚTIL,14:10
45,BAIRRO AUGUSTA,DIA ÚTIL,14:44
46,BAIRRO AUGUSTA,DIA ÚTIL,15:18
47,BAIRRO AUGUSTA,DIA ÚTIL,15:52
48,BAIRRO AUGUSTA,DIA ÚTIL,16:27
49,BAIRRO AUGUSTA,DIA ÚTIL,17:02
50,BAIRRO AUGUSTA,DIA ÚTIL,17:37
51,BAIRRO AUGUSTA,DIA ÚTIL,18:12
52,BAIRRO AUGUSTA,DIA ÚTIL,18:47
53,BAIRRO AUGUSTA,DIA ÚTIL,19:25
54,BAIRRO AUGUSTA,DIA ÚTIL,20:03
55,BAIRRO AUGUSTA,DIA ÚTIL,20:43
56,BAIRRO AUGUSTA,DIA ÚTIL,21:23
57,BAIRRO AUGUSTA,DIA ÚTIL,22:03
58,BAIRRO AUGUSTA VIA MOR.TRIANON,DIA ÚTIL,05:30
59,BAIRRO AUGUSTA VIA MOR.TRIANON,DIA ÚTIL,06:10
60,BAIRRO AUGUSTA VIA MOR.TRIANON,DIA ÚTIL,06:46
61,BAIRRO AUGUSTA VIA MOR.TRIANON,DIA ÚTIL,07:18
62,BAIRRO AUGUSTA VIA MOR.TRIANON,DIA ÚTIL,07:50
63,BAIRRO AUGUSTA VIA MOR.TRIANON,DIA ÚTIL,08:22
64,BAIRRO AUGUSTA VIA MOR.TRIANON,DIA ÚTIL,08:54
65,BAIRRO AUGUSTA VIA MOR.TRIANON,DIA ÚTIL,09:26
66,BAIRRO AUGUSTA VIA MOR.TRIANON,DIA ÚTIL,09:58
67,BAIRRO AUGUSTA VIA MOR.TRIANON,DIA ÚTIL,10:30
68,BAIRRO AUGUSTA VIA MOR.TRIANON,DIA ÚTIL,11:03
69,BAIRRO AUGUSTA VIA MOR.TRIANON,DIA ÚTIL,11:37
70,BAIRRO AUGUSTA VIA MOR.TRIANON,DIA ÚTIL,12:11
71,BAIRRO AUGUSTA VIA MOR.TRIANON,DIA ÚTIL,12:45
72,BAIRRO AUGUSTA VIA MOR.TRIANON,DIA ÚTIL,13:19
73,BAIRRO AUGUSTA VIA MOR.TRIANON,DIA ÚTIL,13:53
74,BAIRRO AUGUSTA VIA MOR.TRIANON,DIA ÚTIL,14:27
75,BAIRRO AUGUSTA VIA MOR.TRIANON,DIA ÚTIL,15:01
76,BAIRRO AUGUSTA VIA MOR.TRIANON,DIA ÚTIL,15:35
77,BAIRRO AUGUSTA VIA MOR.TRIANON,DIA ÚTIL,16:10
78,BAIRRO AUGUSTA VIA MOR.TRIANON,DIA ÚTIL,16:45
79,BAIRRO AUGUSTA VIA MOR.TRIANON,DIA ÚTIL,17:20
80,BAIRRO AUGUSTA VIA MOR.TRIANON,DIA ÚTIL,17:55
81,BAIRRO AUGUSTA VIA MOR.TRIANON,DIA ÚTIL,18:30
82,BAIRRO AUGUSTA VIA MOR.TRIANON,DIA ÚTIL,19:05
83,BAIRRO AUGUSTA VIA MOR.TRIANON,DIA ÚTIL,19:43
84,BAIRRO AUGUSTA VIA MOR.TRIANON,DIA ÚTIL,20:23
85,BAIRRO AUGUSTA VIA MOR.TRIANON,DIA ÚTIL,21:03
86,BAIRRO AUGUSTA VIA MOR.TRIANON,DIA ÚTIL,21:43
87,BAIRRO AUGUSTA VIA MOR.TRIANON,DIA ÚTIL,22:23
88,BAIRRO AUGUSTA VIA MOR.TRIANON,DIA ÚTIL,22:58
89,BAIRRO AUGUSTA VIA MOR.TRIANON,DIA ÚTIL,23:28
90,BAIRRO AUGUSTA VIA MOR.TRIANON,DIA ÚTIL,23:58
91,TERM.C.COMPRIDO / TRIANON,DIA ÚTIL,05:50
92,TERM.C.COMPRIDO / TRIANON,DIA ÚTIL,06:31
93,TERM.C.COMPRIDO / TRIANON,DIA ÚTIL,07:04
94,TERM.C.COMPRIDO / TRIANON,DIA ÚTIL,07:36
95,TERM.C.COMPRIDO / TRIANON,DIA ÚTIL,08:08
96,TERM.C.COMPRIDO / TRIANON,DIA ÚTIL,08:40
97,TERM.C.COMPRIDO / TRIANON,DIA ÚTIL,09:12
98,TERM.C.COMPRIDO / TRIANON,DIA ÚTIL,09:44
99,TERM.C.COMPRIDO / TRIANON,DIA ÚTIL,10:16
100,TERM.C.COMPRIDO / TRIANON,DIA ÚTIL,10:48
101,TERM.C.COMPRIDO / TRIANON,DIA ÚTIL,11:21
102,TERM.C.COMPRIDO / TRIANON,DIA ÚTIL,11:55
103,TERM.C.COMPRIDO / TRIANON,DIA ÚTIL,12:29
104,TERM.C.COMPRIDO / TRIANON,DIA ÚTIL,13:03
105,TERM.C.COMPRIDO / TRIANON,DIA ÚTIL,13:37
106,TERM.C.COMPRIDO / TRIANON,DIA ÚTIL,14:11
107,TERM.C.COMPRIDO / TRIANON,DIA ÚTIL,14:45
108,TERM.C.COMPRIDO / TRIANON,DIA ÚTIL,15:19
109,TERM.C.COMPRIDO / TRIANON,DIA ÚTIL,15:53
110,TERM.C.COMPRIDO / TRIANON,DIA ÚTIL,16:28
111,TERM.C.COMPRIDO / TRIANON,DIA ÚTIL,17:03
112,TERM.C.COMPRIDO / TRIANON,DIA ÚTIL,17:38
113,TERM.C.COMPRIDO / TRIANON,DIA ÚTIL,18:13
114,TERM.C.COMPRIDO / TRIANON,DIA ÚTIL,18:48
115,TERM.C.COMPRIDO / TRIANON,DIA ÚTIL,19:25
116,TERM.C.COMPRIDO / TRIANON,DIA ÚTIL,20:05
117,TERM.C.COMPRIDO / TRIANON,DIA ÚTIL,20:45
118,TERM.C.COMPRIDO / TRIANON,DIA ÚTIL,21:25
119,TERM.C.COMPRIDO / TRIANON,DIA ÚTIL,22:05
120,TERM.C.COMPRIDO / TRIANON,DIA ÚTIL,22:45
121,TERM.C.COMPRIDO / TRIANON,DIA ÚTIL,23:15
122,TERM.C.COMPRIDO / TRIANON,DIA ÚTIL,23:45
123,TERM.C.COMPRIDO / TRIANON,DIA ÚTIL,00:15
124,BAIRRO AUGUSTA VIA MOR.TRIANON,SÁBADO,05:30
125,BAIRRO AUGUSTA VIA MOR.TRIANON,SÁBADO,06:00
126,BAIRRO AUGUSTA VIA MOR.TRIANON,SÁBADO,06:30
127,BAIRRO AUGUSTA VIA MOR.TRIANON,SÁBADO,07:00
128,BAIRRO AUGUSTA VIA MOR.TRIANON,SÁBADO,07:30
129,BAIRRO AUGUSTA VIA MOR.TRIANON,SÁBADO,08:00
130,BAIRRO AUGUSTA VIA MOR.TRIANON,SÁBADO,08:30
131,BAIRRO AUGUSTA VIA MOR.TRIANON,SÁBADO,09:10
132,BAIRRO AUGUSTA VIA MOR.TRIANON,SÁBADO,09:50
133,BAIRRO AUGUSTA VIA MOR.TRIANON,SÁBADO,10:30
134,BAIRRO AUGUSTA VIA MOR.TRIANON,SÁBADO,11:10
135,BAIRRO AUGUSTA VIA MOR.TRIANON,SÁBADO,11:50
136,BAIRRO AUGUSTA VIA MOR.TRIANON,SÁBADO,12:30
137,BAIRRO AUGUSTA VIA MOR.TRIANON,SÁBADO,13:10
138,BAIRRO AUGUSTA VIA MOR.TRIANON,SÁBADO,13:50
139,BAIRRO AUGUSTA VIA MOR.TRIANON,SÁBADO,14:30
140,BAIRRO AUGUSTA VIA MOR.TRIANON,SÁBADO,15:10
141,BAIRRO AUGUSTA VIA MOR.TRIANON,SÁBADO,15:50
142,BAIRRO AUGUSTA VIA MOR.TRIANON,SÁBADO,16:30
143,BAIRRO AUGUSTA VIA MOR.TRIANON,SÁBADO,17:10
144,BAIRRO AUGUSTA VIA MOR.TRIANON,SÁBADO,17:50
145,BAIRRO AUGUSTA VIA MOR.TRIANON,SÁBADO,18:30
