,pontos,dia,horarios
0,BAIRRO AUGUSTO STRESSER,DIA ÚTIL,05:50
1,BAIRRO AUGUSTO STRESSER,DIA ÚTIL,06:22
2,BAIRRO AUGUSTO STRESSER,DIA ÚTIL,06:50
3,BAIRRO AUGUSTO STRESSER,DIA ÚTIL,07:18
4,BAIRRO AUGUSTO STRESSER,DIA ÚTIL,07:46
5,BAIRRO AUGUSTO STRESSER,DIA ÚTIL,08:16
6,BAIRRO AUGUSTO STRESSER,DIA ÚTIL,08:47
7,BAIRRO AUGUSTO STRESSER,DIA ÚTIL,09:18
8,BAIRRO AUGUSTO STRESSER,DIA ÚTIL,09:50
9,BAIRRO AUGUSTO STRESSER,DIA ÚTIL,10:22
10,BAIRRO AUGUSTO STRESSER,DIA ÚTIL,10:54
11,BAIRRO AUGUSTO STRESSER,DIA ÚTIL,11:26
12,BAIRRO AUGUSTO STRESSER,DIA ÚTIL,11:59
13,BAIRRO AUGUSTO STRESSER,DIA ÚTIL,12:31
14,BAIRRO AUGUSTO STRESSER,DIA ÚTIL,13:04
15,BAIRRO AUGUSTO STRESSER,DIA ÚTIL,13:36
16,BAIRRO AUGUSTO STRESSER,DIA ÚTIL,14:08
17,BAIRRO AUGUSTO STRESSER,DIA ÚTIL,14:40
18,BAIRRO AUGUSTO STRESSER,DIA ÚTIL,15:12
19,BAIRRO AUGUSTO STRESSER,DIA ÚTIL,15:44
20,BAIRRO AUGUSTO STRESSER,DIA ÚTIL,16:16
21,BAIRRO AUGUSTO STRESSER,DIA ÚTIL,16:48
22,BAIRRO AUGUSTO STRESSER,DIA ÚTIL,17:21
23,BAIRRO AUGUSTO STRESSER,DIA ÚTIL,17:55
24,BAIRRO AUGUSTO STRESSER,DIA ÚTIL,18:30
25,BAIRRO AUGUSTO STRESSER,DIA ÚTIL,19:08
26,BAIRRO AUGUSTO STRESSER,DIA ÚTIL,20:08
27,BAIRRO AUGUSTO STRESSER,DIA ÚTIL,21:04
28,BAIRRO AUGUSTO STRESSER,DIA ÚTIL,22:00
29,BAIRRO AUGUSTO STRESSER,DIA ÚTIL,23:00
30,PRACA SANTOS ANDRADE,DIA ÚTIL,06:20
31,PRACA SANTOS ANDRADE,DIA ÚTIL,06:49
32,PRACA SANTOS ANDRADE,DIA ÚTIL,07:18
33,PRACA SANTOS ANDRADE,DIA ÚTIL,07:48
34,PRACA SANTOS ANDRADE,DIA ÚTIL,08:18
35,PRACA SANTOS ANDRADE,DIA ÚTIL,08:49
36,PRACA SANTOS ANDRADE,DIA ÚTIL,09:20
37,PRACA SANTOS ANDRADE,DIA ÚTIL,09:51
38,PRACA SANTOS ANDRADE,DIA ÚTIL,10:22
39,PRACA SANTOS ANDRADE,DIA ÚTIL,10:55
40,PRACA SANTOS ANDRADE,DIA ÚTIL,11:28
41,PRACA SANTOS ANDRADE,DIA ÚTIL,12:00
42,PRACA SANTOS ANDRADE,DIA ÚTIL,12:33
43,PRACA SANTOS ANDRADE,DIA ÚTIL,13:05
44,PRACA SANTOS ANDRADE,DIA ÚTIL,13:38
45,PRACA SANTOS ANDRADE,DIA ÚTIL,14:10
46,PRACA SANTOS ANDRADE,DIA ÚTIL,14:42
47,PRACA SANTOS ANDRADE,DIA ÚTIL,15:14
48,PRACA SANTOS ANDRADE,DIA ÚTIL,15:46
49,PRACA SANTOS ANDRADE,DIA ÚTIL,16:18
50,PRACA SANTOS ANDRADE,DIA ÚTIL,16:51
51,PRACA SANTOS ANDRADE,DIA ÚTIL,17:24
52,PRACA SANTOS ANDRADE,DIA ÚTIL,17:57
53,PRACA SANTOS ANDRADE,DIA ÚTIL,18:30
54,PRACA SANTOS ANDRADE,DIA ÚTIL,19:05
55,PRACA SANTOS ANDRADE,DIA ÚTIL,19:40
56,PRACA SANTOS ANDRADE,DIA ÚTIL,20:35
57,PRACA SANTOS ANDRADE,DIA ÚTIL,21:30
