,pontos,dia,horarios
0,TERMINAL BOA VISTA,DIA ÚTIL,05:02
1,TERMINAL BOA VISTA,DIA ÚTIL,05:17
2,TERMINAL BOA VISTA,DIA ÚTIL,05:32
3,TERMINAL BOA VISTA,DIA ÚTIL,05:50
4,TERMINAL BOA VISTA,DIA ÚTIL,06:08
5,TERMINAL BOA VISTA,DIA ÚTIL,06:26
6,TERMINAL BOA VISTA,DIA ÚTIL,06:46
7,TERMINAL BOA VISTA,DIA ÚTIL,07:06
8,TERMINAL BOA VISTA,DIA ÚTIL,07:26
9,TERMINAL BOA VISTA,DIA ÚTIL,07:47
10,TERMINAL BOA VISTA,DIA ÚTIL,08:08
11,TERMINAL BOA VISTA,DIA ÚTIL,08:29
12,TERMINAL BOA VISTA,DIA ÚTIL,08:50
13,TERMINAL BOA VISTA,DIA ÚTIL,09:10
14,TERMINAL BOA VISTA,DIA ÚTIL,09:30
15,TERMINAL BOA VISTA,DIA ÚTIL,09:50
16,TERMINAL BOA VISTA,DIA ÚTIL,10:10
17,TERMINAL BOA VISTA,DIA ÚTIL,10:30
18,TERMINAL BOA VISTA,DIA ÚTIL,10:50
19,TERMINAL BOA VISTA,DIA ÚTIL,11:10
20,TERMINAL BOA VISTA,DIA ÚTIL,11:30
21,TERMINAL BOA VISTA,DIA ÚTIL,11:50
22,TERMINAL BOA VISTA,DIA ÚTIL,12:10
23,TERMINAL BOA VISTA,DIA ÚTIL,12:30
24,TERMINAL BOA VISTA,DIA ÚTIL,12:50
25,TERMINAL BOA VISTA,DIA ÚTIL,13:10
26,TERMINAL BOA VISTA,DIA ÚTIL,13:30
27,TERMINAL BOA VISTA,DIA ÚTIL,13:50
28,TERMINAL BOA VISTA,DIA ÚTIL,14:10
29,TERMINAL BOA VISTA,DIA ÚTIL,14:30
30,TERMINAL BOA VISTA,DIA ÚTIL,14:50
31,TERMINAL BOA VISTA,DIA ÚTIL,15:10
32,TERMINAL BOA VISTA,DIA ÚTIL,15:30
33,TERMINAL BOA VISTA,DIA ÚTIL,15:50
34,TERMINAL BOA VISTA,DIA ÚTIL,16:10
35,TERMINAL BOA VISTA,DIA ÚTIL,16:31
36,TERMINAL BOA VISTA,DIA ÚTIL,16:52
37,TERMINAL BOA VISTA,DIA ÚTIL,17:14
38,TERMINAL BOA VISTA,DIA ÚTIL,17:37
39,TERMINAL BOA VISTA,DIA ÚTIL,18:01
40,TERMINAL BOA VISTA,DIA ÚTIL,18:24
41,TERMINAL BOA VISTA,DIA ÚTIL,18:46
42,TERMINAL BOA VISTA,DIA ÚTIL,19:08
43,TERMINAL BOA VISTA,DIA ÚTIL,19:29
44,TERMINAL BOA VISTA,DIA ÚTIL,19:50
45,TERMINAL BOA VISTA,DIA ÚTIL,20:15
46,TERMINAL BOA VISTA,DIA ÚTIL,20:40
47,TERMINAL BOA VISTA,DIA ÚTIL,21:05
48,TERMINAL BOA VISTA,DIA ÚTIL,21:31
49,TERMINAL BOA VISTA,DIA ÚTIL,21:57
50,TERMINAL BOA VISTA,DIA ÚTIL,22:23
51,TERMINAL BOA VISTA,DIA ÚTIL,22:49
52,TERMINAL BOA VISTA,DIA ÚTIL,23:15
53,TERMINAL BOA VISTA,DIA ÚTIL,23:40
54,TERMINAL BOA VISTA,DIA ÚTIL,00:25
55,TERMINAL BAIRRO ALTO,DIA ÚTIL,05:25
56,TERMINAL BAIRRO ALTO,DIA ÚTIL,05:40
57,TERMINAL BAIRRO ALTO,DIA ÚTIL,05:58
58,TERMINAL BAIRRO ALTO,DIA ÚTIL,06:16
59,TERMINAL BAIRRO ALTO,DIA ÚTIL,06:34
60,TERMINAL BAIRRO ALTO,DIA ÚTIL,06:54
61,TERMINAL BAIRRO ALTO,DIA ÚTIL,07:14
62,TERMINAL BAIRRO ALTO,DIA ÚTIL,07:35
63,TERMINAL BAIRRO ALTO,DIA ÚTIL,07:56
64,TERMINAL BAIRRO ALTO,DIA ÚTIL,08:18
65,TERMINAL BAIRRO ALTO,DIA ÚTIL,08:40
66,TERMINAL BAIRRO ALTO,DIA ÚTIL,09:00
67,TERMINAL BAIRRO ALTO,DIA ÚTIL,09:20
68,TERMINAL BAIRRO ALTO,DIA ÚTIL,09:40
69,TERMINAL BAIRRO ALTO,DIA ÚTIL,10:00
70,TERMINAL BAIRRO ALTO,DIA ÚTIL,10:20
71,TERMINAL BAIRRO ALTO,DIA ÚTIL,10:40
72,TERMINAL BAIRRO ALTO,DIA ÚTIL,11:00
73,TERMINAL BAIRRO ALTO,DIA ÚTIL,11:20
74,TERMINAL BAIRRO ALTO,DIA ÚTIL,11:40
75,TERMINAL BAIRRO ALTO,DIA ÚTIL,12:00
76,TERMINAL BAIRRO ALTO,DIA ÚTIL,12:20
77,TERMINAL BAIRRO ALTO,DIA ÚTIL,12:40
78,TERMINAL BAIRRO ALTO,DIA ÚTIL,13:00
79,TERMINAL BAIRRO ALTO,DIA ÚTIL,13:20
80,TERMINAL BAIRRO ALTO,DIA ÚTIL,13:40
81,TERMINAL BAIRRO ALTO,DIA ÚTIL,14:00
82,TERMINAL BAIRRO ALTO,DIA ÚTIL,14:20
83,TERMINAL BAIRRO ALTO,DIA ÚTIL,14:40
84,TERMINAL BAIRRO ALTO,DIA ÚTIL,15:00
85,TERMINAL BAIRRO ALTO,DIA ÚTIL,15:20
86,TERMINAL BAIRRO ALTO,DIA ÚTIL,15:40
87,TERMINAL BAIRRO ALTO,DIA ÚTIL,16:00
88,TERMINAL BAIRRO ALTO,DIA ÚTIL,16:20
89,TERMINAL BAIRRO ALTO,DIA ÚTIL,16:42
90,TERMINAL BAIRRO ALTO,DIA ÚTIL,17:04
91,TERMINAL BAIRRO ALTO,DIA ÚTIL,17:26
92,TERMINAL BAIRRO ALTO,DIA ÚTIL,17:49
93,TERMINAL BAIRRO ALTO,DIA ÚTIL,18:12
94,TERMINAL BAIRRO ALTO,DIA ÚTIL,18:35
95,TERMINAL BAIRRO ALTO,DIA ÚTIL,18:58
96,TERMINAL BAIRRO ALTO,DIA ÚTIL,19:20
97,TERMINAL BAIRRO ALTO,DIA ÚTIL,19:48
98,TERMINAL BAIRRO ALTO,DIA ÚTIL,20:15
99,TERMINAL BAIRRO ALTO,DIA ÚTIL,20:40
100,TERMINAL BAIRRO ALTO,DIA ÚTIL,21:05
101,TERMINAL BAIRRO ALTO,DIA ÚTIL,21:31
102,TERMINAL BAIRRO ALTO,DIA ÚTIL,21:57
103,TERMINAL BAIRRO ALTO,DIA ÚTIL,22:23
104,TERMINAL BAIRRO ALTO,DIA ÚTIL,22:49
105,TERMINAL BAIRRO ALTO,DIA ÚTIL,23:15
106,TERMINAL BAIRRO ALTO,DIA ÚTIL,23:40
107,TERMINAL BAIRRO ALTO,DIA ÚTIL,00:05
108,TERMINAL BAIRRO ALTO,DIA ÚTIL,00:45
109,TERMINAL BOA VISTA,SÁBADO,05:10
110,TERMINAL BOA VISTA,SÁBADO,05:40
111,TERMINAL BOA VISTA,SÁBADO,06:10
112,TERMINAL BOA VISTA,SÁBADO,06:40
113,TERMINAL BOA VISTA,SÁBADO,07:10
114,TERMINAL BOA VISTA,SÁBADO,07:40
115,TERMINAL BOA VISTA,SÁBADO,08:10
116,TERMINAL BOA VISTA,SÁBADO,08:40
117,TERMINAL BOA VISTA,SÁBADO,09:10
118,TERMINAL BOA VISTA,SÁBADO,09:40
119,TERMINAL BOA VISTA,SÁBADO,10:10
120,TERMINAL BOA VISTA,SÁBADO,10:40
121,TERMINAL BOA VISTA,SÁBADO,11:10
122,TERMINAL BOA VISTA,SÁBADO,11:40
123,TERMINAL BOA VISTA,SÁBADO,12:10
124,TERMINAL BOA VISTA,SÁBADO,12:40
125,TERMINAL BOA VISTA,SÁBADO,13:10
126,TERMINAL BOA VISTA,SÁBADO,13:40
127,TERMINAL BOA VISTA,SÁBADO,14:10
128,TERMINAL BOA VISTA,SÁBADO,14:40
129,TERMINAL BOA VISTA,SÁBADO,15:10
130,TERMINAL BOA VISTA,SÁBADO,15:40
131,TERMINAL BOA VISTA,SÁBADO,16:10
132,TERMINAL BOA VISTA,SÁBADO,16:40
133,TERMINAL BOA VISTA,SÁBADO,17:10
134,TERMINAL BOA VISTA,SÁBADO,17:40
135,TERMINAL BOA VISTA,SÁBADO,18:10
136,TERMINAL BOA VISTA,SÁBADO,18:40
137,TERMINAL BOA VISTA,SÁBADO,19:10
138,TERMINAL BOA VISTA,SÁBADO,19:40
139,TERMINAL BOA VISTA,SÁBADO,20:10
140,TERMINAL BOA VISTA,SÁBADO,20:40
141,TERMINAL BOA VISTA,SÁBADO,21:10
142,TERMINAL BOA VISTA,SÁBADO,21:40
143,TERMINAL BOA VISTA,SÁBADO,22:10
144,TERMINAL BOA VISTA,SÁBADO,22:40
145,TERMINAL BOA VISTA,SÁBADO,23:10
146,TERMINAL BOA VISTA,SÁBADO,23:40
147,TERMINAL BOA VISTA,SÁBADO,00:10
148,TERMINAL BAIRRO ALTO,SÁBADO,05:40
149,TERMINAL BAIRRO ALTO,SÁBADO,06:10
150,TERMINAL BAIRRO ALTO,SÁBADO,06:40
151,TERMINAL BAIRRO ALTO,SÁBADO,07:10
152,TERMINAL BAIRRO ALTO,SÁBADO,07:40
153,TERMINAL BAIRRO ALTO,SÁBADO,08:10
154,TERMINAL BAIRRO ALTO,SÁBADO,08:40
155,TERMINAL BAIRRO ALTO,SÁBADO,09:10
156,TERMINAL BAIRRO ALTO,SÁBADO,09:40
157,TERMINAL BAIRRO ALTO,SÁBADO,10:10
158,TERMINAL BAIRRO ALTO,SÁBADO,10:40
159,TERMINAL BAIRRO ALTO,SÁBADO,11:10
160,TERMINAL BAIRRO ALTO,SÁBADO,11:40
