,pontos,dia,horarios
0,TERMINAL SANTA CANDIDA,DIA ÚTIL,05:10
1,TERMINAL SANTA CANDIDA,DIA ÚTIL,05:30
2,TERMINAL SANTA CANDIDA,DIA ÚTIL,05:46
3,TERMINAL SANTA CANDIDA,DIA ÚTIL,06:03
4,TERMINAL SANTA CANDIDA,DIA ÚTIL,06:20
5,TERMINAL SANTA CANDIDA,DIA ÚTIL,06:38
6,TERMINAL SANTA CANDIDA,DIA ÚTIL,06:57
7,TERMINAL SANTA CANDIDA,DIA ÚTIL,07:16
8,TERMINAL SANTA CANDIDA,DIA ÚTIL,07:36
9,TERMINAL SANTA CANDIDA,DIA ÚTIL,07:56
10,TERMINAL SANTA CANDIDA,DIA ÚTIL,08:20
11,TERMINAL SANTA CANDIDA,DIA ÚTIL,08:50
12,TERMINAL SANTA CANDIDA,DIA ÚTIL,09:20
13,TERMINAL SANTA CANDIDA,DIA ÚTIL,09:50
14,TERMINAL SANTA CANDIDA,DIA ÚTIL,10:20
15,TERMINAL SANTA CANDIDA,DIA ÚTIL,10:50
16,TERMINAL SANTA CANDIDA,DIA ÚTIL,11:22
17,TERMINAL SANTA CANDIDA,DIA ÚTIL,11:55
18,TERMINAL SANTA CANDIDA,DIA ÚTIL,12:26
19,TERMINAL SANTA CANDIDA,DIA ÚTIL,12:55
20,TERMINAL SANTA CANDIDA,DIA ÚTIL,13:25
21,TERMINAL SANTA CANDIDA,DIA ÚTIL,13:55
22,TERMINAL SANTA CANDIDA,DIA ÚTIL,14:24
23,TERMINAL SANTA CANDIDA,DIA ÚTIL,14:52
24,TERMINAL SANTA CANDIDA,DIA ÚTIL,15:20
25,TERMINAL SANTA CANDIDA,DIA ÚTIL,15:50
26,TERMINAL SANTA CANDIDA,DIA ÚTIL,16:25
27,TERMINAL SANTA CANDIDA,DIA ÚTIL,16:48
28,TERMINAL SANTA CANDIDA,DIA ÚTIL,17:10
29,TERMINAL SANTA CANDIDA,DIA ÚTIL,17:34
30,TERMINAL SANTA CANDIDA,DIA ÚTIL,17:57
31,TERMINAL SANTA CANDIDA,DIA ÚTIL,18:20
32,TERMINAL SANTA CANDIDA,DIA ÚTIL,18:43
33,TERMINAL SANTA CANDIDA,DIA ÚTIL,19:06
34,TERMINAL SANTA CANDIDA,DIA ÚTIL,19:30
35,TERMINAL SANTA CANDIDA,DIA ÚTIL,19:58
36,TERMINAL SANTA CANDIDA,DIA ÚTIL,20:26
37,TERMINAL SANTA CANDIDA,DIA ÚTIL,20:54
38,TERMINAL SANTA CANDIDA,DIA ÚTIL,21:22
39,TERMINAL SANTA CANDIDA,DIA ÚTIL,21:50
40,TERMINAL SANTA CANDIDA,DIA ÚTIL,22:15
41,TERMINAL SANTA CANDIDA,DIA ÚTIL,22:40
42,TERMINAL SANTA CANDIDA,DIA ÚTIL,23:05
43,TERMINAL SANTA CANDIDA,DIA ÚTIL,23:35
44,TERMINAL SANTA CANDIDA,DIA ÚTIL,00:12
45,TERMINAL BAIRRO ALTO,DIA ÚTIL,05:10
46,TERMINAL BAIRRO ALTO,DIA ÚTIL,05:35
47,TERMINAL BAIRRO ALTO,DIA ÚTIL,05:53
48,TERMINAL BAIRRO ALTO,DIA ÚTIL,06:10
49,TERMINAL BAIRRO ALTO,DIA ÚTIL,06:28
50,TERMINAL BAIRRO ALTO,DIA ÚTIL,06:47
51,TERMINAL BAIRRO ALTO,DIA ÚTIL,07:06
52,TERMINAL BAIRRO ALTO,DIA ÚTIL,07:24
53,TERMINAL BAIRRO ALTO,DIA ÚTIL,07:44
54,TERMINAL BAIRRO ALTO,DIA ÚTIL,08:05
55,TERMINAL BAIRRO ALTO,DIA ÚTIL,08:25
56,TERMINAL BAIRRO ALTO,DIA ÚTIL,08:50
57,TERMINAL BAIRRO ALTO,DIA ÚTIL,09:20
58,TERMINAL BAIRRO ALTO,DIA ÚTIL,09:50
59,TERMINAL BAIRRO ALTO,DIA ÚTIL,10:20
60,TERMINAL BAIRRO ALTO,DIA ÚTIL,10:50
61,TERMINAL BAIRRO ALTO,DIA ÚTIL,11:22
62,TERMINAL BAIRRO ALTO,DIA ÚTIL,11:54
63,TERMINAL BAIRRO ALTO,DIA ÚTIL,12:25
64,TERMINAL BAIRRO ALTO,DIA ÚTIL,12:55
65,TERMINAL BAIRRO ALTO,DIA ÚTIL,13:24
66,TERMINAL BAIRRO ALTO,DIA ÚTIL,13:53
67,TERMINAL BAIRRO ALTO,DIA ÚTIL,14:22
68,TERMINAL BAIRRO ALTO,DIA ÚTIL,14:51
69,TERMINAL BAIRRO ALTO,DIA ÚTIL,15:20
70,TERMINAL BAIRRO ALTO,DIA ÚTIL,15:50
71,TERMINAL BAIRRO ALTO,DIA ÚTIL,16:15
72,TERMINAL BAIRRO ALTO,DIA ÚTIL,16:37
73,TERMINAL BAIRRO ALTO,DIA ÚTIL,16:59
74,TERMINAL BAIRRO ALTO,DIA ÚTIL,17:21
75,TERMINAL BAIRRO ALTO,DIA ÚTIL,17:44
76,TERMINAL BAIRRO ALTO,DIA ÚTIL,18:07
77,TERMINAL BAIRRO ALTO,DIA ÚTIL,18:30
78,TERMINAL BAIRRO ALTO,DIA ÚTIL,18:53
79,TERMINAL BAIRRO ALTO,DIA ÚTIL,19:13
80,TERMINAL BAIRRO ALTO,DIA ÚTIL,19:33
81,TERMINAL BAIRRO ALTO,DIA ÚTIL,19:58
82,TERMINAL BAIRRO ALTO,DIA ÚTIL,20:26
83,TERMINAL BAIRRO ALTO,DIA ÚTIL,20:54
84,TERMINAL BAIRRO ALTO,DIA ÚTIL,21:22
85,TERMINAL BAIRRO ALTO,DIA ÚTIL,21:50
86,TERMINAL BAIRRO ALTO,DIA ÚTIL,22:15
87,TERMINAL BAIRRO ALTO,DIA ÚTIL,22:40
88,TERMINAL BAIRRO ALTO,DIA ÚTIL,23:05
89,TERMINAL BAIRRO ALTO,DIA ÚTIL,23:54
90,TERMINAL SANTA CANDIDA,SÁBADO,05:10
91,TERMINAL SANTA CANDIDA,SÁBADO,06:00
92,TERMINAL SANTA CANDIDA,SÁBADO,06:50
93,TERMINAL SANTA CANDIDA,SÁBADO,07:40
94,TERMINAL SANTA CANDIDA,SÁBADO,08:33
95,TERMINAL SANTA CANDIDA,SÁBADO,09:28
96,TERMINAL SANTA CANDIDA,SÁBADO,10:25
97,TERMINAL SANTA CANDIDA,SÁBADO,11:25
98,TERMINAL SANTA CANDIDA,SÁBADO,12:25
99,TERMINAL SANTA CANDIDA,SÁBADO,13:25
100,TERMINAL SANTA CANDIDA,SÁBADO,14:25
101,TERMINAL SANTA CANDIDA,SÁBADO,15:25
102,TERMINAL SANTA CANDIDA,SÁBADO,16:25
103,TERMINAL SANTA CANDIDA,SÁBADO,17:25
104,TERMINAL SANTA CANDIDA,SÁBADO,18:25
105,TERMINAL SANTA CANDIDA,SÁBADO,19:25
106,TERMINAL SANTA CANDIDA,SÁBADO,20:25
107,TERMINAL SANTA CANDIDA,SÁBADO,21:25
108,TERMINAL SANTA CANDIDA,SÁBADO,22:25
109,TERMINAL SANTA CANDIDA,SÁBADO,23:25
110,TERMINAL BAIRRO ALTO,SÁBADO,05:35
111,TERMINAL BAIRRO ALTO,SÁBADO,06:25
112,TERMINAL BAIRRO ALTO,SÁBADO,07:15
113,TERMINAL BAIRRO ALTO,SÁBADO,08:05
114,TERMINAL BAIRRO ALTO,SÁBADO,09:00
115,TERMINAL BAIRRO ALTO,SÁBADO,09:55
116,TERMINAL BAIRRO ALTO,SÁBADO,10:55
117,TERMINAL BAIRRO ALTO,SÁBADO,11:55
118,TERMINAL BAIRRO ALTO,SÁBADO,12:55
119,TERMINAL BAIRRO ALTO,SÁBADO,13:55
120,TERMINAL BAIRRO ALTO,SÁBADO,14:55
121,TERMINAL BAIRRO ALTO,SÁBADO,15:55
122,TERMINAL BAIRRO ALTO,SÁBADO,16:55
123,TERMINAL BAIRRO ALTO,SÁBADO,17:55
124,TERMINAL BAIRRO ALTO,SÁBADO,18:55
125,TERMINAL BAIRRO ALTO,SÁBADO,19:55
126,TERMINAL BAIRRO ALTO,SÁBADO,20:55
127,TERMINAL BAIRRO ALTO,SÁBADO,21:55
128,TERMINAL BAIRRO ALTO,SÁBADO,22:55
129,TERMINAL BAIRRO ALTO,SÁBADO,23:55
130,TERMINAL SANTA CANDIDA,DOMINGO,05:10
131,TERMINAL SANTA CANDIDA,DOMINGO,06:00
132,TERMINAL SANTA CANDIDA,DOMINGO,06:50
133,TERMINAL SANTA CANDIDA,DOMINGO,07:43
134,TERMINAL SANTA CANDIDA,DOMINGO,08:40
135,TERMINAL SANTA CANDIDA,DOMINGO,09:40
136,TERMINAL SANTA CANDIDA,DOMINGO,10:40
137,TERMINAL SANTA CANDIDA,DOMINGO,11:40
138,TERMINAL SANTA CANDIDA,DOMINGO,12:40
139,TERMINAL SANTA CANDIDA,DOMINGO,13:40
140,TERMINAL SANTA CANDIDA,DOMINGO,14:40
141,TERMINAL SANTA CANDIDA,DOMINGO,15:40
142,TERMINAL SANTA CANDIDA,DOMINGO,16:40
143,TERMINAL SANTA CANDIDA,DOMINGO,17:40
144,TERMINAL SANTA CANDIDA,DOMINGO,18:40
145,TERMINAL SANTA CANDIDA,DOMINGO,19:40
146,TERMINAL SANTA CANDIDA,DOMINGO,20:40
147,TERMINAL SANTA CANDIDA,DOMINGO,21:40
148,TERMINAL SANTA CANDIDA,DOMINGO,22:40
149,TERMINAL SANTA CANDIDA,DOMINGO,23:35
150,TERMINAL BAIRRO ALTO,DOMINGO,05:35
151,TERMINAL BAIRRO ALTO,DOMINGO,06:25
152,TERMINAL BAIRRO ALTO,DOMINGO,07:15
153,TERMINAL BAIRRO ALTO,DOMINGO,08:10
154,TERMINAL BAIRRO ALTO,DOMINGO,09:10
155,TERMINAL BAIRRO ALTO,DOMINGO,10:10
156,TERMINAL BAIRRO ALTO,DOMINGO,11:10
157,TERMINAL BAIRRO ALTO,DOMINGO,12:10
158,TERMINAL BAIRRO ALTO,DOMINGO,13:10
159,TERMINAL BAIRRO ALTO,DOMINGO,14:10
160,TERMINAL BAIRRO ALTO,DOMINGO,15:10
