,pontos,dia,horarios
0,TERMINAL BAIRRO ALTO,DIA ÚTIL,05:52
1,TERMINAL BAIRRO ALTO,DIA ÚTIL,06:02
2,TERMINAL BAIRRO ALTO,DIA ÚTIL,06:11
3,TERMINAL BAIRRO ALTO,DIA ÚTIL,06:20
4,TERMINAL BAIRRO ALTO,DIA ÚTIL,06:28
5,TERMINAL BAIRRO ALTO,DIA ÚTIL,06:36
6,TERMINAL BAIRRO ALTO,DIA ÚTIL,06:44
7,TERMINAL BAIRRO ALTO,DIA ÚTIL,06:52
8,TERMINAL BAIRRO ALTO,DIA ÚTIL,07:02
9,TERMINAL BAIRRO ALTO,DIA ÚTIL,07:13
10,TERMINAL BAIRRO ALTO,DIA ÚTIL,07:24
11,TERMINAL BAIRRO ALTO,DIA ÚTIL,07:36
12,TERMINAL BAIRRO ALTO,DIA ÚTIL,07:48
13,TERMINAL BAIRRO ALTO,DIA ÚTIL,08:00
14,TERMINAL BAIRRO ALTO,DIA ÚTIL,08:12
15,TERMINAL BAIRRO ALTO,DIA ÚTIL,08:24
16,TERMINAL BAIRRO ALTO,DIA ÚTIL,08:36
17,TERMINAL BAIRRO ALTO,DIA ÚTIL,08:48
18,TERMINAL BAIRRO ALTO,DIA ÚTIL,09:00
19,TERMINAL BAIRRO ALTO,DIA ÚTIL,09:13
20,TERMINAL BAIRRO ALTO,DIA ÚTIL,09:25
21,TERMINAL BAIRRO ALTO,DIA ÚTIL,09:37
22,TERMINAL BAIRRO ALTO,DIA ÚTIL,09:49
23,TERMINAL BAIRRO ALTO,DIA ÚTIL,10:01
24,TERMINAL BAIRRO ALTO,DIA ÚTIL,10:13
25,TERMINAL BAIRRO ALTO,DIA ÚTIL,10:25
26,TERMINAL BAIRRO ALTO,DIA ÚTIL,10:38
27,TERMINAL BAIRRO ALTO,DIA ÚTIL,10:50
28,TERMINAL BAIRRO ALTO,DIA ÚTIL,11:02
29,TERMINAL BAIRRO ALTO,DIA ÚTIL,11:14
30,TERMINAL BAIRRO ALTO,DIA ÚTIL,11:27
31,TERMINAL BAIRRO ALTO,DIA ÚTIL,11:40
32,TERMINAL BAIRRO ALTO,DIA ÚTIL,11:53
33,TERMINAL BAIRRO ALTO,DIA ÚTIL,12:07
34,TERMINAL BAIRRO ALTO,DIA ÚTIL,12:20
35,TERMINAL BAIRRO ALTO,DIA ÚTIL,12:34
36,TERMINAL BAIRRO ALTO,DIA ÚTIL,12:48
