,pontos,dia,horarios
0,BAIRRO NOVO A,DIA ÚTIL,04:52
1,BAIRRO NOVO A,DIA ÚTIL,05:05
2,BAIRRO NOVO A,DIA ÚTIL,05:15
3,BAIRRO NOVO A,DIA ÚTIL,05:20
4,BAIRRO NOVO A,DIA ÚTIL,05:25
5,BAIRRO NOVO A,DIA ÚTIL,05:30
6,BAIRRO NOVO A,DIA ÚTIL,05:35
7,BAIRRO NOVO A,DIA ÚTIL,05:40
8,BAIRRO NOVO A,DIA ÚTIL,05:45
9,BAIRRO NOVO A,DIA ÚTIL,05:50
10,BAIRRO NOVO A,DIA ÚTIL,05:55
11,BAIRRO NOVO A,DIA ÚTIL,06:00
12,BAIRRO NOVO A,DIA ÚTIL,06:05
13,BAIRRO NOVO A,DIA ÚTIL,06:10
14,BAIRRO NOVO A,DIA ÚTIL,06:15
15,BAIRRO NOVO A,DIA ÚTIL,06:20
16,BAIRRO NOVO A,DIA ÚTIL,06:25
17,BAIRRO NOVO A,DIA ÚTIL,06:30
18,BAIRRO NOVO A,DIA ÚTIL,06:35
19,BAIRRO NOVO A,DIA ÚTIL,06:40
20,BAIRRO NOVO A,DIA ÚTIL,06:45
21,BAIRRO NOVO A,DIA ÚTIL,06:50
22,BAIRRO NOVO A,DIA ÚTIL,06:55
23,BAIRRO NOVO A,DIA ÚTIL,07:00
24,BAIRRO NOVO A,DIA ÚTIL,07:05
25,BAIRRO NOVO A,DIA ÚTIL,07:10
26,BAIRRO NOVO A,DIA ÚTIL,07:15
27,BAIRRO NOVO A,DIA ÚTIL,07:20
28,BAIRRO NOVO A,DIA ÚTIL,07:25
29,BAIRRO NOVO A,DIA ÚTIL,07:30
30,BAIRRO NOVO A,DIA ÚTIL,07:35
31,BAIRRO NOVO A,DIA ÚTIL,07:40
32,BAIRRO NOVO A,DIA ÚTIL,07:45
33,BAIRRO NOVO A,DIA ÚTIL,07:50
34,BAIRRO NOVO A,DIA ÚTIL,07:55
35,BAIRRO NOVO A,DIA ÚTIL,08:00
36,BAIRRO NOVO A,DIA ÚTIL,08:05
37,BAIRRO NOVO A,DIA ÚTIL,08:10
38,BAIRRO NOVO A,DIA ÚTIL,08:15
39,BAIRRO NOVO A,DIA ÚTIL,08:20
40,BAIRRO NOVO A,DIA ÚTIL,08:25
41,BAIRRO NOVO A,DIA ÚTIL,08:30
42,BAIRRO NOVO A,DIA ÚTIL,08:40
43,BAIRRO NOVO A,DIA ÚTIL,08:50
44,BAIRRO NOVO A,DIA ÚTIL,09:00
45,BAIRRO NOVO A,DIA ÚTIL,09:10
