,pontos,dia,horarios
0,S.CERCADO SENT.BAIRRO NOVO B,DOMINGO,04:55
1,S.CERCADO SENT.BAIRRO NOVO B,DOMINGO,05:35
2,S.CERCADO SENT.BAIRRO NOVO B,DOMINGO,06:15
3,S.CERCADO SENT.BAIRRO NOVO B,DOMINGO,06:55
4,S.CERCADO SENT.BAIRRO NOVO B,DOMINGO,07:35
5,S.CERCADO SENT.BAIRRO NOVO B,DOMINGO,08:15
6,S.CERCADO SENT.BAIRRO NOVO B,DOMINGO,08:55
7,S.CERCADO SENT.BAIRRO NOVO B,DOMINGO,09:35
8,S.CERCADO SENT.BAIRRO NOVO B,DOMINGO,10:15
9,S.CERCADO SENT.BAIRRO NOVO B,DOMINGO,10:55
10,S.CERCADO SENT.BAIRRO NOVO B,DOMINGO,11:35
11,S.CERCADO SENT.BAIRRO NOVO B,DOMINGO,12:15
12,S.CERCADO SENT.BAIRRO NOVO B,DOMINGO,12:55
13,S.CERCADO SENT.BAIRRO NOVO B,DOMINGO,13:35
14,S.CERCADO SENT.BAIRRO NOVO B,DOMINGO,14:15
15,S.CERCADO SENT.BAIRRO NOVO B,DOMINGO,14:55
16,S.CERCADO SENT.BAIRRO NOVO B,DOMINGO,15:35
17,S.CERCADO SENT.BAIRRO NOVO B,DOMINGO,16:15
18,S.CERCADO SENT.BAIRRO NOVO B,DOMINGO,16:55
19,S.CERCADO SENT.BAIRRO NOVO B,DOMINGO,17:35
20,S.CERCADO SENT.BAIRRO NOVO B,DOMINGO,18:15
21,S.CERCADO SENT.BAIRRO NOVO B,DOMINGO,18:55
22,S.CERCADO SENT.BAIRRO NOVO B,DOMINGO,19:35
23,S.CERCADO SENT.BAIRRO NOVO B,DOMINGO,20:15
24,S.CERCADO SENT.BAIRRO NOVO B,DOMINGO,20:55
25,S.CERCADO SENT.BAIRRO NOVO B,DOMINGO,21:35
26,S.CERCADO SENT.BAIRRO NOVO B,DOMINGO,22:15
27,S.CERCADO SENT.BAIRRO NOVO B,DOMINGO,22:55
28,S.CERCADO SENT.BAIRRO NOVO B,DOMINGO,23:35
29,S.CERCADO SENT.BAIRRO NOVO C,DOMINGO,05:15
30,S.CERCADO SENT.BAIRRO NOVO C,DOMINGO,05:55
31,S.CERCADO SENT.BAIRRO NOVO C,DOMINGO,06:35
32,S.CERCADO SENT.BAIRRO NOVO C,DOMINGO,07:15
33,S.CERCADO SENT.BAIRRO NOVO C,DOMINGO,07:55
34,S.CERCADO SENT.BAIRRO NOVO C,DOMINGO,08:35
35,S.CERCADO SENT.BAIRRO NOVO C,DOMINGO,09:15
36,S.CERCADO SENT.BAIRRO NOVO C,DOMINGO,09:55
37,S.CERCADO SENT.BAIRRO NOVO C,DOMINGO,10:35
38,S.CERCADO SENT.BAIRRO NOVO C,DOMINGO,11:15
39,S.CERCADO SENT.BAIRRO NOVO C,DOMINGO,11:55
40,S.CERCADO SENT.BAIRRO NOVO C,DOMINGO,12:34
41,S.CERCADO SENT.BAIRRO NOVO C,DOMINGO,13:15
42,S.CERCADO SENT.BAIRRO NOVO C,DOMINGO,13:55
43,S.CERCADO SENT.BAIRRO NOVO C,DOMINGO,14:35
44,S.CERCADO SENT.BAIRRO NOVO C,DOMINGO,15:15
45,S.CERCADO SENT.BAIRRO NOVO C,DOMINGO,15:55
46,S.CERCADO SENT.BAIRRO NOVO C,DOMINGO,16:35
47,S.CERCADO SENT.BAIRRO NOVO C,DOMINGO,17:15
48,S.CERCADO SENT.BAIRRO NOVO C,DOMINGO,17:55
49,S.CERCADO SENT.BAIRRO NOVO C,DOMINGO,18:35
50,S.CERCADO SENT.BAIRRO NOVO C,DOMINGO,19:15
51,S.CERCADO SENT.BAIRRO NOVO C,DOMINGO,19:55
52,S.CERCADO SENT.BAIRRO NOVO C,DOMINGO,20:35
53,S.CERCADO SENT.BAIRRO NOVO C,DOMINGO,21:15
54,S.CERCADO SENT.BAIRRO NOVO C,DOMINGO,21:55
55,S.CERCADO SENT.BAIRRO NOVO C,DOMINGO,22:35
56,S.CERCADO SENT.BAIRRO NOVO C,DOMINGO,23:15
57,S.CERCADO SENT.BAIRRO NOVO C,DOMINGO,23:55
