,pontos,dia,horarios
0,TERMINAL SITIO CERCADO,DIA ÚTIL,04:45
1,TERMINAL SITIO CERCADO,DIA ÚTIL,05:00
2,TERMINAL SITIO CERCADO,DIA ÚTIL,05:11
3,TERMINAL SITIO CERCADO,DIA ÚTIL,05:22
4,TERMINAL SITIO CERCADO,DIA ÚTIL,05:33
5,TERMINAL SITIO CERCADO,DIA ÚTIL,05:44
6,TERMINAL SITIO CERCADO,DIA ÚTIL,05:51
7,TERMINAL SITIO CERCADO,DIA ÚTIL,05:57
8,TERMINAL SITIO CERCADO,DIA ÚTIL,06:03
9,TERMINAL SITIO CERCADO,DIA ÚTIL,06:09
10,TERMINAL SITIO CERCADO,DIA ÚTIL,06:15
11,TERMINAL SITIO CERCADO,DIA ÚTIL,06:21
12,TERMINAL SITIO CERCADO,DIA ÚTIL,06:27
13,TERMINAL SITIO CERCADO,DIA ÚTIL,06:33
14,TERMINAL SITIO CERCADO,DIA ÚTIL,06:39
15,TERMINAL SITIO CERCADO,DIA ÚTIL,06:45
16,TERMINAL SITIO CERCADO,DIA ÚTIL,06:51
17,TERMINAL SITIO CERCADO,DIA ÚTIL,06:57
18,TERMINAL SITIO CERCADO,DIA ÚTIL,07:03
19,TERMINAL SITIO CERCADO,DIA ÚTIL,07:09
20,TERMINAL SITIO CERCADO,DIA ÚTIL,07:15
21,TERMINAL SITIO CERCADO,DIA ÚTIL,07:21
22,TERMINAL SITIO CERCADO,DIA ÚTIL,07:27
23,TERMINAL SITIO CERCADO,DIA ÚTIL,07:33
24,TERMINAL SITIO CERCADO,DIA ÚTIL,07:39
25,TERMINAL SITIO CERCADO,DIA ÚTIL,07:45
26,TERMINAL SITIO CERCADO,DIA ÚTIL,07:51
27,TERMINAL SITIO CERCADO,DIA ÚTIL,07:57
28,TERMINAL SITIO CERCADO,DIA ÚTIL,08:10
29,TERMINAL SITIO CERCADO,DIA ÚTIL,08:22
30,TERMINAL SITIO CERCADO,DIA ÚTIL,08:35
31,TERMINAL SITIO CERCADO,DIA ÚTIL,08:47
32,TERMINAL SITIO CERCADO,DIA ÚTIL,09:00
33,TERMINAL SITIO CERCADO,DIA ÚTIL,09:12
34,TERMINAL SITIO CERCADO,DIA ÚTIL,09:25
35,TERMINAL SITIO CERCADO,DIA ÚTIL,09:37
36,TERMINAL SITIO CERCADO,DIA ÚTIL,09:50
37,TERMINAL SITIO CERCADO,DIA ÚTIL,10:02
38,TERMINAL SITIO CERCADO,DIA ÚTIL,10:15
39,TERMINAL SITIO CERCADO,DIA ÚTIL,10:27
40,TERMINAL SITIO CERCADO,DIA ÚTIL,10:40
41,TERMINAL SITIO CERCADO,DIA ÚTIL,10:52
42,TERMINAL SITIO CERCADO,DIA ÚTIL,11:05
43,TERMINAL SITIO CERCADO,DIA ÚTIL,11:17
44,TERMINAL SITIO CERCADO,DIA ÚTIL,11:30
45,TERMINAL SITIO CERCADO,DIA ÚTIL,11:42
46,TERMINAL SITIO CERCADO,DIA ÚTIL,11:55
47,TERMINAL SITIO CERCADO,DIA ÚTIL,12:07
48,TERMINAL SITIO CERCADO,DIA ÚTIL,12:20
49,TERMINAL SITIO CERCADO,DIA ÚTIL,12:32
50,TERMINAL SITIO CERCADO,DIA ÚTIL,12:45
51,TERMINAL SITIO CERCADO,DIA ÚTIL,12:57
52,TERMINAL SITIO CERCADO,DIA ÚTIL,13:10
53,TERMINAL SITIO CERCADO,DIA ÚTIL,13:22
54,TERMINAL SITIO CERCADO,DIA ÚTIL,13:35
55,TERMINAL SITIO CERCADO,DIA ÚTIL,13:47
56,TERMINAL SITIO CERCADO,DIA ÚTIL,14:00
57,TERMINAL SITIO CERCADO,DIA ÚTIL,14:12
58,TERMINAL SITIO CERCADO,DIA ÚTIL,14:25
59,TERMINAL SITIO CERCADO,DIA ÚTIL,14:37
60,TERMINAL SITIO CERCADO,DIA ÚTIL,14:50
61,TERMINAL SITIO CERCADO,DIA ÚTIL,15:02
62,TERMINAL SITIO CERCADO,DIA ÚTIL,15:15
63,TERMINAL SITIO CERCADO,DIA ÚTIL,15:27
64,TERMINAL SITIO CERCADO,DIA ÚTIL,15:40
65,TERMINAL SITIO CERCADO,DIA ÚTIL,15:52
66,TERMINAL SITIO CERCADO,DIA ÚTIL,16:05
67,TERMINAL SITIO CERCADO,DIA ÚTIL,16:17
68,TERMINAL SITIO CERCADO,DIA ÚTIL,16:30
69,TERMINAL SITIO CERCADO,DIA ÚTIL,16:36
70,TERMINAL SITIO CERCADO,DIA ÚTIL,16:42
71,TERMINAL SITIO CERCADO,DIA ÚTIL,16:48
72,TERMINAL SITIO CERCADO,DIA ÚTIL,16:54
73,TERMINAL SITIO CERCADO,DIA ÚTIL,17:00
74,TERMINAL SITIO CERCADO,DIA ÚTIL,17:06
75,TERMINAL SITIO CERCADO,DIA ÚTIL,17:12
76,TERMINAL SITIO CERCADO,DIA ÚTIL,17:18
77,TERMINAL SITIO CERCADO,DIA ÚTIL,17:24
78,TERMINAL SITIO CERCADO,DIA ÚTIL,17:30
79,TERMINAL SITIO CERCADO,DIA ÚTIL,17:36
80,TERMINAL SITIO CERCADO,DIA ÚTIL,17:42
81,TERMINAL SITIO CERCADO,DIA ÚTIL,17:48
82,TERMINAL SITIO CERCADO,DIA ÚTIL,17:54
83,TERMINAL SITIO CERCADO,DIA ÚTIL,18:00
84,TERMINAL SITIO CERCADO,DIA ÚTIL,18:06
85,TERMINAL SITIO CERCADO,DIA ÚTIL,18:12
86,TERMINAL SITIO CERCADO,DIA ÚTIL,18:18
87,TERMINAL SITIO CERCADO,DIA ÚTIL,18:24
88,TERMINAL SITIO CERCADO,DIA ÚTIL,18:30
89,TERMINAL SITIO CERCADO,DIA ÚTIL,18:36
90,TERMINAL SITIO CERCADO,DIA ÚTIL,18:42
91,TERMINAL SITIO CERCADO,DIA ÚTIL,18:48
92,TERMINAL SITIO CERCADO,DIA ÚTIL,18:54
93,TERMINAL SITIO CERCADO,DIA ÚTIL,19:00
94,TERMINAL SITIO CERCADO,DIA ÚTIL,19:06
95,TERMINAL SITIO CERCADO,DIA ÚTIL,19:12
96,TERMINAL SITIO CERCADO,DIA ÚTIL,19:18
97,TERMINAL SITIO CERCADO,DIA ÚTIL,19:24
98,TERMINAL SITIO CERCADO,DIA ÚTIL,19:30
99,TERMINAL SITIO CERCADO,DIA ÚTIL,19:37
100,TERMINAL SITIO CERCADO,DIA ÚTIL,19:43
101,TERMINAL SITIO CERCADO,DIA ÚTIL,19:49
102,TERMINAL SITIO CERCADO,DIA ÚTIL,19:55
103,TERMINAL SITIO CERCADO,DIA ÚTIL,20:08
104,TERMINAL SITIO CERCADO,DIA ÚTIL,20:20
105,TERMINAL SITIO CERCADO,DIA ÚTIL,20:33
106,TERMINAL SITIO CERCADO,DIA ÚTIL,20:45
107,TERMINAL SITIO CERCADO,DIA ÚTIL,20:58
108,TERMINAL SITIO CERCADO,DIA ÚTIL,21:10
109,TERMINAL SITIO CERCADO,DIA ÚTIL,21:23
110,TERMINAL SITIO CERCADO,DIA ÚTIL,21:35
111,TERMINAL SITIO CERCADO,DIA ÚTIL,21:48
112,TERMINAL SITIO CERCADO,DIA ÚTIL,22:00
113,TERMINAL SITIO CERCADO,DIA ÚTIL,22:13
114,TERMINAL SITIO CERCADO,DIA ÚTIL,22:25
115,TERMINAL SITIO CERCADO,DIA ÚTIL,22:38
116,TERMINAL SITIO CERCADO,DIA ÚTIL,22:50
117,TERMINAL SITIO CERCADO,DIA ÚTIL,23:03
118,TERMINAL SITIO CERCADO,DIA ÚTIL,23:15
119,TERMINAL SITIO CERCADO,DIA ÚTIL,23:28
120,TERMINAL SITIO CERCADO,DIA ÚTIL,23:40
121,TERMINAL SITIO CERCADO,DIA ÚTIL,23:52
122,TERMINAL SITIO CERCADO,DIA ÚTIL,00:05
123,TERMINAL SITIO CERCADO,DIA ÚTIL,00:30
124,BAIRRO NOVO B,DIA ÚTIL,04:55
125,BAIRRO NOVO B,DIA ÚTIL,05:11
126,BAIRRO NOVO B,DIA ÚTIL,05:22
127,BAIRRO NOVO B,DIA ÚTIL,05:34
128,BAIRRO NOVO B,DIA ÚTIL,05:46
129,BAIRRO NOVO B,DIA ÚTIL,05:58
130,BAIRRO NOVO B,DIA ÚTIL,06:04
131,BAIRRO NOVO B,DIA ÚTIL,06:10
132,BAIRRO NOVO B,DIA ÚTIL,06:16
133,BAIRRO NOVO B,DIA ÚTIL,06:22
134,BAIRRO NOVO B,DIA ÚTIL,06:28
135,BAIRRO NOVO B,DIA ÚTIL,06:34
136,BAIRRO NOVO B,DIA ÚTIL,06:40
137,BAIRRO NOVO B,DIA ÚTIL,06:46
138,BAIRRO NOVO B,DIA ÚTIL,06:52
139,BAIRRO NOVO B,DIA ÚTIL,06:58
140,BAIRRO NOVO B,DIA ÚTIL,07:04
141,BAIRRO NOVO B,DIA ÚTIL,07:10
142,BAIRRO NOVO B,DIA ÚTIL,07:16
143,BAIRRO NOVO B,DIA ÚTIL,07:22
144,BAIRRO NOVO B,DIA ÚTIL,07:28
145,BAIRRO NOVO B,DIA ÚTIL,07:34
146,BAIRRO NOVO B,DIA ÚTIL,07:40
147,BAIRRO NOVO B,DIA ÚTIL,07:46
148,BAIRRO NOVO B,DIA ÚTIL,07:53
149,BAIRRO NOVO B,DIA ÚTIL,07:58
150,BAIRRO NOVO B,DIA ÚTIL,08:04
151,BAIRRO NOVO B,DIA ÚTIL,08:10
152,BAIRRO NOVO B,DIA ÚTIL,08:23
153,BAIRRO NOVO B,DIA ÚTIL,08:35
154,BAIRRO NOVO B,DIA ÚTIL,08:48
155,BAIRRO NOVO B,DIA ÚTIL,09:00
156,BAIRRO NOVO B,DIA ÚTIL,09:13
157,BAIRRO NOVO B,DIA ÚTIL,09:25
158,BAIRRO NOVO B,DIA ÚTIL,09:38
159,BAIRRO NOVO B,DIA ÚTIL,09:50
160,BAIRRO NOVO B,DIA ÚTIL,10:03
161,BAIRRO NOVO B,DIA ÚTIL,10:15
162,BAIRRO NOVO B,DIA ÚTIL,10:28
163,BAIRRO NOVO B,DIA ÚTIL,10:40
164,BAIRRO NOVO B,DIA ÚTIL,10:53
165,BAIRRO NOVO B,DIA ÚTIL,11:05
166,BAIRRO NOVO B,DIA ÚTIL,11:18
167,BAIRRO NOVO B,DIA ÚTIL,11:30
