,pontos,dia,horarios
0,TERMINAL SITIO CERCADO,DIA ÚTIL,04:55
1,TERMINAL SITIO CERCADO,DIA ÚTIL,05:10
2,TERMINAL SITIO CERCADO,DIA ÚTIL,05:25
3,TERMINAL SITIO CERCADO,DIA ÚTIL,05:35
4,TERMINAL SITIO CERCADO,DIA ÚTIL,05:44
5,TERMINAL SITIO CERCADO,DIA ÚTIL,05:53
6,TERMINAL SITIO CERCADO,DIA ÚTIL,06:01
7,TERMINAL SITIO CERCADO,DIA ÚTIL,06:10
8,TERMINAL SITIO CERCADO,DIA ÚTIL,06:18
9,TERMINAL SITIO CERCADO,DIA ÚTIL,06:27
10,TERMINAL SITIO CERCADO,DIA ÚTIL,06:35
11,TERMINAL SITIO CERCADO,DIA ÚTIL,06:44
12,TERMINAL SITIO CERCADO,DIA ÚTIL,06:52
13,TERMINAL SITIO CERCADO,DIA ÚTIL,07:01
14,TERMINAL SITIO CERCADO,DIA ÚTIL,07:09
15,TERMINAL SITIO CERCADO,DIA ÚTIL,07:18
16,TERMINAL SITIO CERCADO,DIA ÚTIL,07:26
17,TERMINAL SITIO CERCADO,DIA ÚTIL,07:35
18,TERMINAL SITIO CERCADO,DIA ÚTIL,07:45
19,TERMINAL SITIO CERCADO,DIA ÚTIL,08:00
20,TERMINAL SITIO CERCADO,DIA ÚTIL,08:16
21,TERMINAL SITIO CERCADO,DIA ÚTIL,08:32
22,TERMINAL SITIO CERCADO,DIA ÚTIL,08:50
23,TERMINAL SITIO CERCADO,DIA ÚTIL,09:10
24,TERMINAL SITIO CERCADO,DIA ÚTIL,09:30
25,TERMINAL SITIO CERCADO,DIA ÚTIL,09:50
26,TERMINAL SITIO CERCADO,DIA ÚTIL,10:10
27,TERMINAL SITIO CERCADO,DIA ÚTIL,10:30
28,TERMINAL SITIO CERCADO,DIA ÚTIL,10:50
29,TERMINAL SITIO CERCADO,DIA ÚTIL,11:10
30,TERMINAL SITIO CERCADO,DIA ÚTIL,11:30
31,TERMINAL SITIO CERCADO,DIA ÚTIL,11:50
32,TERMINAL SITIO CERCADO,DIA ÚTIL,12:10
33,TERMINAL SITIO CERCADO,DIA ÚTIL,12:30
34,TERMINAL SITIO CERCADO,DIA ÚTIL,12:50
35,TERMINAL SITIO CERCADO,DIA ÚTIL,13:10
36,TERMINAL SITIO CERCADO,DIA ÚTIL,13:30
37,TERMINAL SITIO CERCADO,DIA ÚTIL,13:50
38,TERMINAL SITIO CERCADO,DIA ÚTIL,14:10
39,TERMINAL SITIO CERCADO,DIA ÚTIL,14:30
40,TERMINAL SITIO CERCADO,DIA ÚTIL,14:50
41,TERMINAL SITIO CERCADO,DIA ÚTIL,15:10
42,TERMINAL SITIO CERCADO,DIA ÚTIL,15:30
