,pontos,dia,horarios
0,ESTACAO TUBO OSTERNACK,DIA ÚTIL,05:30
1,ESTACAO TUBO OSTERNACK,DIA ÚTIL,05:45
2,ESTACAO TUBO OSTERNACK,DIA ÚTIL,05:58
3,ESTACAO TUBO OSTERNACK,DIA ÚTIL,06:10
4,ESTACAO TUBO OSTERNACK,DIA ÚTIL,06:22
5,ESTACAO TUBO OSTERNACK,DIA ÚTIL,06:34
6,ESTACAO TUBO OSTERNACK,DIA ÚTIL,06:40
7,ESTACAO TUBO OSTERNACK,DIA ÚTIL,06:46
8,ESTACAO TUBO OSTERNACK,DIA ÚTIL,06:52
9,ESTACAO TUBO OSTERNACK,DIA ÚTIL,06:57
10,ESTACAO TUBO OSTERNACK,DIA ÚTIL,07:02
11,ESTACAO TUBO OSTERNACK,DIA ÚTIL,07:07
12,ESTACAO TUBO OSTERNACK,DIA ÚTIL,07:12
13,ESTACAO TUBO OSTERNACK,DIA ÚTIL,07:18
14,ESTACAO TUBO OSTERNACK,DIA ÚTIL,07:24
15,ESTACAO TUBO OSTERNACK,DIA ÚTIL,07:29
16,ESTACAO TUBO OSTERNACK,DIA ÚTIL,07:34
17,ESTACAO TUBO OSTERNACK,DIA ÚTIL,07:40
18,ESTACAO TUBO OSTERNACK,DIA ÚTIL,07:45
19,ESTACAO TUBO OSTERNACK,DIA ÚTIL,07:51
20,ESTACAO TUBO OSTERNACK,DIA ÚTIL,07:55
21,ESTACAO TUBO OSTERNACK,DIA ÚTIL,08:00
22,ESTACAO TUBO OSTERNACK,DIA ÚTIL,08:06
23,ESTACAO TUBO OSTERNACK,DIA ÚTIL,08:11
24,ESTACAO TUBO OSTERNACK,DIA ÚTIL,08:17
25,ESTACAO TUBO OSTERNACK,DIA ÚTIL,08:25
26,ESTACAO TUBO OSTERNACK,DIA ÚTIL,08:33
27,ESTACAO TUBO OSTERNACK,DIA ÚTIL,08:43
28,ESTACAO TUBO OSTERNACK,DIA ÚTIL,08:58
29,ESTACAO TUBO OSTERNACK,DIA ÚTIL,09:13
30,ESTACAO TUBO OSTERNACK,DIA ÚTIL,09:29
31,ESTACAO TUBO OSTERNACK,DIA ÚTIL,09:44
32,ESTACAO TUBO OSTERNACK,DIA ÚTIL,09:59
33,ESTACAO TUBO OSTERNACK,DIA ÚTIL,10:14
34,ESTACAO TUBO OSTERNACK,DIA ÚTIL,10:29
35,ESTACAO TUBO OSTERNACK,DIA ÚTIL,10:44
36,ESTACAO TUBO OSTERNACK,DIA ÚTIL,11:00
37,ESTACAO TUBO OSTERNACK,DIA ÚTIL,11:15
38,ESTACAO TUBO OSTERNACK,DIA ÚTIL,11:30
39,ESTACAO TUBO OSTERNACK,DIA ÚTIL,11:45
40,ESTACAO TUBO OSTERNACK,DIA ÚTIL,12:00
41,ESTACAO TUBO OSTERNACK,DIA ÚTIL,12:15
