,pontos,dia,horarios
0,BAIRRO BANESTADO,DIA ÚTIL,05:09
1,BAIRRO BANESTADO,DIA ÚTIL,05:48
2,BAIRRO BANESTADO,DIA ÚTIL,06:17
3,BAIRRO BANESTADO,DIA ÚTIL,06:31
4,BAIRRO BANESTADO,DIA ÚTIL,07:01
5,BAIRRO BANESTADO,DIA ÚTIL,07:26
6,BAIRRO BANESTADO,DIA ÚTIL,07:51
7,BAIRRO BANESTADO,DIA ÚTIL,08:16
8,BAIRRO BANESTADO,DIA ÚTIL,08:41
9,BAIRRO BANESTADO,DIA ÚTIL,09:21
10,BAIRRO BANESTADO,DIA ÚTIL,10:01
11,BAIRRO BANESTADO,DIA ÚTIL,10:41
12,BAIRRO BANESTADO,DIA ÚTIL,11:21
13,BAIRRO BANESTADO,DIA ÚTIL,12:02
14,BAIRRO BANESTADO,DIA ÚTIL,12:44
15,BAIRRO BANESTADO,DIA ÚTIL,13:26
16,BAIRRO BANESTADO,DIA ÚTIL,14:06
17,BAIRRO BANESTADO,DIA ÚTIL,14:46
18,BAIRRO BANESTADO,DIA ÚTIL,15:26
19,BAIRRO BANESTADO,DIA ÚTIL,16:06
20,BAIRRO BANESTADO,DIA ÚTIL,16:45
21,BAIRRO BANESTADO,DIA ÚTIL,17:07
22,BAIRRO BANESTADO,DIA ÚTIL,17:30
23,BAIRRO BANESTADO,DIA ÚTIL,17:53
24,BAIRRO BANESTADO,DIA ÚTIL,18:16
25,BAIRRO BANESTADO,DIA ÚTIL,18:39
26,BAIRRO BANESTADO,DIA ÚTIL,19:00
27,BAIRRO BANESTADO,DIA ÚTIL,19:21
28,BAIRRO BANESTADO,DIA ÚTIL,20:04
29,BAIRRO BANESTADO,DIA ÚTIL,20:41
30,BAIRRO BANESTADO,DIA ÚTIL,21:21
31,BAIRRO BANESTADO,DIA ÚTIL,22:01
32,BAIRRO BANESTADO,DIA ÚTIL,22:41
33,BAIRRO BANESTADO,DIA ÚTIL,23:21
34,BAIRRO BANESTADO,DIA ÚTIL,23:59
35,BAIRRO BANESTADO,DIA ÚTIL,00:37
36,TERM.STA.CANDIDA/CALIFORNIA,DIA ÚTIL,05:22
37,TERM.STA.CANDIDA/CALIFORNIA,DIA ÚTIL,06:02
38,TERM.STA.CANDIDA/CALIFORNIA,DIA ÚTIL,06:35
39,TERM.STA.CANDIDA/CALIFORNIA,DIA ÚTIL,06:53
40,TERM.STA.CANDIDA/CALIFORNIA,DIA ÚTIL,07:20
41,TERM.STA.CANDIDA/CALIFORNIA,DIA ÚTIL,07:48
42,TERM.STA.CANDIDA/CALIFORNIA,DIA ÚTIL,08:10
43,TERM.STA.CANDIDA/CALIFORNIA,DIA ÚTIL,08:55
44,TERM.STA.CANDIDA/CALIFORNIA,DIA ÚTIL,09:34
45,TERM.STA.CANDIDA/CALIFORNIA,DIA ÚTIL,10:13
46,TERM.STA.CANDIDA/CALIFORNIA,DIA ÚTIL,10:53
47,TERM.STA.CANDIDA/CALIFORNIA,DIA ÚTIL,11:33
48,TERM.STA.CANDIDA/CALIFORNIA,DIA ÚTIL,12:15
49,TERM.STA.CANDIDA/CALIFORNIA,DIA ÚTIL,12:57
50,TERM.STA.CANDIDA/CALIFORNIA,DIA ÚTIL,13:39
51,TERM.STA.CANDIDA/CALIFORNIA,DIA ÚTIL,14:19
52,TERM.STA.CANDIDA/CALIFORNIA,DIA ÚTIL,14:59
53,TERM.STA.CANDIDA/CALIFORNIA,DIA ÚTIL,15:39
54,TERM.STA.CANDIDA/CALIFORNIA,DIA ÚTIL,16:19
55,TERM.STA.CANDIDA/CALIFORNIA,DIA ÚTIL,16:59
56,TERM.STA.CANDIDA/CALIFORNIA,DIA ÚTIL,17:22
57,TERM.STA.CANDIDA/CALIFORNIA,DIA ÚTIL,17:45
58,TERM.STA.CANDIDA/CALIFORNIA,DIA ÚTIL,18:08
59,TERM.STA.CANDIDA/CALIFORNIA,DIA ÚTIL,18:31
60,TERM.STA.CANDIDA/CALIFORNIA,DIA ÚTIL,18:54
61,TERM.STA.CANDIDA/CALIFORNIA,DIA ÚTIL,19:16
62,TERM.STA.CANDIDA/CALIFORNIA,DIA ÚTIL,19:38
63,TERM.STA.CANDIDA/CALIFORNIA,DIA ÚTIL,20:16
64,TERM.STA.CANDIDA/CALIFORNIA,DIA ÚTIL,20:54
65,TERM.STA.CANDIDA/CALIFORNIA,DIA ÚTIL,21:34
66,TERM.STA.CANDIDA/CALIFORNIA,DIA ÚTIL,22:14
67,TERM.STA.CANDIDA/CALIFORNIA,DIA ÚTIL,22:54
68,TERM.STA.CANDIDA/CALIFORNIA,DIA ÚTIL,23:34
69,TERM.STA.CANDIDA/CALIFORNIA,DIA ÚTIL,00:10
70,BAIRRO CALIFORNIA,DIA ÚTIL,05:28
71,BAIRRO CALIFORNIA,DIA ÚTIL,06:08
72,BAIRRO CALIFORNIA,DIA ÚTIL,06:41
73,BAIRRO CALIFORNIA,DIA ÚTIL,06:58
74,BAIRRO CALIFORNIA,DIA ÚTIL,07:26
75,BAIRRO CALIFORNIA,DIA ÚTIL,07:53
76,BAIRRO CALIFORNIA,DIA ÚTIL,08:16
77,BAIRRO CALIFORNIA,DIA ÚTIL,09:01
78,BAIRRO CALIFORNIA,DIA ÚTIL,09:40
79,BAIRRO CALIFORNIA,DIA ÚTIL,10:19
80,BAIRRO CALIFORNIA,DIA ÚTIL,10:59
81,BAIRRO CALIFORNIA,DIA ÚTIL,11:39
82,BAIRRO CALIFORNIA,DIA ÚTIL,12:21
83,BAIRRO CALIFORNIA,DIA ÚTIL,13:03
84,BAIRRO CALIFORNIA,DIA ÚTIL,13:45
85,BAIRRO CALIFORNIA,DIA ÚTIL,14:25
86,BAIRRO CALIFORNIA,DIA ÚTIL,15:05
87,BAIRRO CALIFORNIA,DIA ÚTIL,15:45
88,BAIRRO CALIFORNIA,DIA ÚTIL,16:25
