,pontos,dia,horarios
0,TERMINAL BARREIRINHA,DIA ÚTIL,05:38
1,TERMINAL BARREIRINHA,DIA ÚTIL,05:49
2,TERMINAL BARREIRINHA,DIA ÚTIL,06:01
3,TERMINAL BARREIRINHA,DIA ÚTIL,06:13
4,TERMINAL BARREIRINHA,DIA ÚTIL,06:25
5,TERMINAL BARREIRINHA,DIA ÚTIL,06:35
6,TERMINAL BARREIRINHA,DIA ÚTIL,06:45
7,TERMINAL BARREIRINHA,DIA ÚTIL,06:54
8,TERMINAL BARREIRINHA,DIA ÚTIL,07:04
9,TERMINAL BARREIRINHA,DIA ÚTIL,07:15
10,TERMINAL BARREIRINHA,DIA ÚTIL,07:26
11,TERMINAL BARREIRINHA,DIA ÚTIL,07:37
12,TERMINAL BARREIRINHA,DIA ÚTIL,07:48
13,TERMINAL BARREIRINHA,DIA ÚTIL,08:00
14,TERMINAL BARREIRINHA,DIA ÚTIL,08:12
15,TERMINAL BARREIRINHA,DIA ÚTIL,08:24
16,TERMINAL BARREIRINHA,DIA ÚTIL,08:37
17,TERMINAL BARREIRINHA,DIA ÚTIL,08:50
18,TERMINAL BARREIRINHA,DIA ÚTIL,09:03
19,TERMINAL BARREIRINHA,DIA ÚTIL,09:16
20,TERMINAL BARREIRINHA,DIA ÚTIL,09:29
21,TERMINAL BARREIRINHA,DIA ÚTIL,09:42
22,TERMINAL BARREIRINHA,DIA ÚTIL,09:55
23,TERMINAL BARREIRINHA,DIA ÚTIL,10:08
24,TERMINAL BARREIRINHA,DIA ÚTIL,10:21
25,TERMINAL BARREIRINHA,DIA ÚTIL,10:34
26,TERMINAL BARREIRINHA,DIA ÚTIL,10:47
27,TERMINAL BARREIRINHA,DIA ÚTIL,11:00
28,TERMINAL BARREIRINHA,DIA ÚTIL,11:14
29,TERMINAL BARREIRINHA,DIA ÚTIL,11:28
30,TERMINAL BARREIRINHA,DIA ÚTIL,11:42
31,TERMINAL BARREIRINHA,DIA ÚTIL,11:56
32,TERMINAL BARREIRINHA,DIA ÚTIL,12:10
33,TERMINAL BARREIRINHA,DIA ÚTIL,12:24
34,TERMINAL BARREIRINHA,DIA ÚTIL,12:38
35,TERMINAL BARREIRINHA,DIA ÚTIL,12:52
36,TERMINAL BARREIRINHA,DIA ÚTIL,13:06
37,TERMINAL BARREIRINHA,DIA ÚTIL,13:20
38,TERMINAL BARREIRINHA,DIA ÚTIL,13:34
39,TERMINAL BARREIRINHA,DIA ÚTIL,13:48
40,TERMINAL BARREIRINHA,DIA ÚTIL,14:02
41,TERMINAL BARREIRINHA,DIA ÚTIL,14:16
42,TERMINAL BARREIRINHA,DIA ÚTIL,14:30
43,TERMINAL BARREIRINHA,DIA ÚTIL,14:44
44,TERMINAL BARREIRINHA,DIA ÚTIL,14:58
45,TERMINAL BARREIRINHA,DIA ÚTIL,15:12
46,TERMINAL BARREIRINHA,DIA ÚTIL,15:25
47,TERMINAL BARREIRINHA,DIA ÚTIL,15:38
48,TERMINAL BARREIRINHA,DIA ÚTIL,15:52
49,TERMINAL BARREIRINHA,DIA ÚTIL,16:06
50,TERMINAL BARREIRINHA,DIA ÚTIL,16:18
51,TERMINAL BARREIRINHA,DIA ÚTIL,16:31
52,TERMINAL BARREIRINHA,DIA ÚTIL,16:50
53,TERMINAL BARREIRINHA,DIA ÚTIL,17:01
54,TERMINAL BARREIRINHA,DIA ÚTIL,17:12
55,TERMINAL BARREIRINHA,DIA ÚTIL,17:30
56,TERMINAL BARREIRINHA,DIA ÚTIL,17:40
57,TERMINAL BARREIRINHA,DIA ÚTIL,17:51
58,TERMINAL BARREIRINHA,DIA ÚTIL,18:04
59,TERMINAL BARREIRINHA,DIA ÚTIL,18:17
60,TERMINAL BARREIRINHA,DIA ÚTIL,18:30
61,TERMINAL BARREIRINHA,DIA ÚTIL,18:45
62,TERMINAL BARREIRINHA,DIA ÚTIL,19:02
63,TERMINAL BARREIRINHA,DIA ÚTIL,19:18
64,TERMINAL BARREIRINHA,DIA ÚTIL,19:33
65,TERMINAL BARREIRINHA,DIA ÚTIL,19:49
66,TERMINAL BARREIRINHA,DIA ÚTIL,20:06
67,TERMINAL BARREIRINHA,DIA ÚTIL,20:22
68,TERMINAL BARREIRINHA,DIA ÚTIL,20:39
69,TERMINAL BARREIRINHA,DIA ÚTIL,20:56
