,pontos,dia,horarios
0,TERMINAL BARREIRINHA,DIA ÚTIL,05:32
1,TERMINAL BARREIRINHA,DIA ÚTIL,05:44
2,TERMINAL BARREIRINHA,DIA ÚTIL,05:55
3,TERMINAL BARREIRINHA,DIA ÚTIL,06:05
4,TERMINAL BARREIRINHA,DIA ÚTIL,06:15
5,TERMINAL BARREIRINHA,DIA ÚTIL,06:25
6,TERMINAL BARREIRINHA,DIA ÚTIL,06:32
7,TERMINAL BARREIRINHA,DIA ÚTIL,06:40
8,TERMINAL BARREIRINHA,DIA ÚTIL,06:48
9,TERMINAL BARREIRINHA,DIA ÚTIL,06:56
10,TERMINAL BARREIRINHA,DIA ÚTIL,07:04
11,TERMINAL BARREIRINHA,DIA ÚTIL,07:12
12,TERMINAL BARREIRINHA,DIA ÚTIL,07:20
13,TERMINAL BARREIRINHA,DIA ÚTIL,07:28
14,TERMINAL BARREIRINHA,DIA ÚTIL,07:36
15,TERMINAL BARREIRINHA,DIA ÚTIL,07:44
16,TERMINAL BARREIRINHA,DIA ÚTIL,07:52
17,TERMINAL BARREIRINHA,DIA ÚTIL,08:00
18,TERMINAL BARREIRINHA,DIA ÚTIL,08:08
19,TERMINAL BARREIRINHA,DIA ÚTIL,08:17
20,TERMINAL BARREIRINHA,DIA ÚTIL,08:26
21,TERMINAL BARREIRINHA,DIA ÚTIL,08:35
22,TERMINAL BARREIRINHA,DIA ÚTIL,08:45
23,TERMINAL BARREIRINHA,DIA ÚTIL,08:55
24,TERMINAL BARREIRINHA,DIA ÚTIL,09:07
25,TERMINAL BARREIRINHA,DIA ÚTIL,09:20
26,TERMINAL BARREIRINHA,DIA ÚTIL,09:32
27,TERMINAL BARREIRINHA,DIA ÚTIL,09:45
28,TERMINAL BARREIRINHA,DIA ÚTIL,09:57
29,TERMINAL BARREIRINHA,DIA ÚTIL,10:10
30,TERMINAL BARREIRINHA,DIA ÚTIL,10:23
31,TERMINAL BARREIRINHA,DIA ÚTIL,10:36
32,TERMINAL BARREIRINHA,DIA ÚTIL,10:49
33,TERMINAL BARREIRINHA,DIA ÚTIL,11:02
34,TERMINAL BARREIRINHA,DIA ÚTIL,11:15
35,TERMINAL BARREIRINHA,DIA ÚTIL,11:28
36,TERMINAL BARREIRINHA,DIA ÚTIL,11:41
37,TERMINAL BARREIRINHA,DIA ÚTIL,11:54
38,TERMINAL BARREIRINHA,DIA ÚTIL,12:08
39,TERMINAL BARREIRINHA,DIA ÚTIL,12:22
40,TERMINAL BARREIRINHA,DIA ÚTIL,12:36
41,TERMINAL BARREIRINHA,DIA ÚTIL,12:50
42,TERMINAL BARREIRINHA,DIA ÚTIL,13:04
43,TERMINAL BARREIRINHA,DIA ÚTIL,13:18
44,TERMINAL BARREIRINHA,DIA ÚTIL,13:32
45,TERMINAL BARREIRINHA,DIA ÚTIL,13:46
