,pontos,dia,horarios
0,BAIRRO BIGORRILHO,DIA ÚTIL,05:50
1,BAIRRO BIGORRILHO,DIA ÚTIL,06:15
2,BAIRRO BIGORRILHO,DIA ÚTIL,06:40
3,BAIRRO BIGORRILHO,DIA ÚTIL,07:05
4,BAIRRO BIGORRILHO,DIA ÚTIL,07:30
5,BAIRRO BIGORRILHO,DIA ÚTIL,08:00
6,BAIRRO BIGORRILHO,DIA ÚTIL,08:30
7,BAIRRO BIGORRILHO,DIA ÚTIL,09:00
8,BAIRRO BIGORRILHO,DIA ÚTIL,09:30
9,BAIRRO BIGORRILHO,DIA ÚTIL,10:00
10,BAIRRO BIGORRILHO,DIA ÚTIL,10:30
11,BAIRRO BIGORRILHO,DIA ÚTIL,11:00
12,BAIRRO BIGORRILHO,DIA ÚTIL,11:30
13,BAIRRO BIGORRILHO,DIA ÚTIL,12:00
14,BAIRRO BIGORRILHO,DIA ÚTIL,12:30
15,BAIRRO BIGORRILHO,DIA ÚTIL,13:00
16,BAIRRO BIGORRILHO,DIA ÚTIL,13:30
17,BAIRRO BIGORRILHO,DIA ÚTIL,14:00
18,BAIRRO BIGORRILHO,DIA ÚTIL,14:30
19,BAIRRO BIGORRILHO,DIA ÚTIL,15:00
20,BAIRRO BIGORRILHO,DIA ÚTIL,15:32
21,BAIRRO BIGORRILHO,DIA ÚTIL,16:04
22,BAIRRO BIGORRILHO,DIA ÚTIL,16:36
23,BAIRRO BIGORRILHO,DIA ÚTIL,17:08
24,BAIRRO BIGORRILHO,DIA ÚTIL,17:40
25,BAIRRO BIGORRILHO,DIA ÚTIL,18:15
26,BAIRRO BIGORRILHO,DIA ÚTIL,18:50
27,BAIRRO BIGORRILHO,DIA ÚTIL,19:20
28,BAIRRO BIGORRILHO,DIA ÚTIL,19:50
29,BAIRRO BIGORRILHO,DIA ÚTIL,20:20
30,BAIRRO BIGORRILHO,DIA ÚTIL,20:50
31,BAIRRO BIGORRILHO,DIA ÚTIL,21:20
32,BAIRRO BIGORRILHO,DIA ÚTIL,21:50
33,BAIRRO BIGORRILHO,DIA ÚTIL,22:21
34,BAIRRO BIGORRILHO,DIA ÚTIL,22:52
35,BAIRRO BIGORRILHO,DIA ÚTIL,23:22
36,PRACA TIRADENTES,DIA ÚTIL,06:13
37,PRACA TIRADENTES,DIA ÚTIL,06:38
38,PRACA TIRADENTES,DIA ÚTIL,07:05
39,PRACA TIRADENTES,DIA ÚTIL,07:35
40,PRACA TIRADENTES,DIA ÚTIL,08:00
41,PRACA TIRADENTES,DIA ÚTIL,08:30
