,pontos,dia,horarios
0,TERMINAL BOA VISTA,DIA ÚTIL,05:28
1,TERMINAL BOA VISTA,DIA ÚTIL,05:45
2,TERMINAL BOA VISTA,DIA ÚTIL,05:59
3,TERMINAL BOA VISTA,DIA ÚTIL,06:14
4,TERMINAL BOA VISTA,DIA ÚTIL,06:29
5,TERMINAL BOA VISTA,DIA ÚTIL,06:43
6,TERMINAL BOA VISTA,DIA ÚTIL,06:57
7,TERMINAL BOA VISTA,DIA ÚTIL,07:09
8,TERMINAL BOA VISTA,DIA ÚTIL,07:18
9,TERMINAL BOA VISTA,DIA ÚTIL,07:27
10,TERMINAL BOA VISTA,DIA ÚTIL,07:37
11,TERMINAL BOA VISTA,DIA ÚTIL,07:47
12,TERMINAL BOA VISTA,DIA ÚTIL,07:57
13,TERMINAL BOA VISTA,DIA ÚTIL,08:14
14,TERMINAL BOA VISTA,DIA ÚTIL,08:45
15,TERMINAL BOA VISTA,DIA ÚTIL,09:15
16,TERMINAL BOA VISTA,DIA ÚTIL,09:45
17,TERMINAL BOA VISTA,DIA ÚTIL,10:15
18,TERMINAL BOA VISTA,DIA ÚTIL,10:45
19,TERMINAL BOA VISTA,DIA ÚTIL,11:16
20,TERMINAL BOA VISTA,DIA ÚTIL,11:47
21,TERMINAL BOA VISTA,DIA ÚTIL,12:18
22,TERMINAL BOA VISTA,DIA ÚTIL,12:48
23,TERMINAL BOA VISTA,DIA ÚTIL,13:18
24,TERMINAL BOA VISTA,DIA ÚTIL,13:48
25,TERMINAL BOA VISTA,DIA ÚTIL,14:18
26,TERMINAL BOA VISTA,DIA ÚTIL,14:48
27,TERMINAL BOA VISTA,DIA ÚTIL,15:18
28,TERMINAL BOA VISTA,DIA ÚTIL,15:48
29,TERMINAL BOA VISTA,DIA ÚTIL,16:18
30,TERMINAL BOA VISTA,DIA ÚTIL,16:47
31,TERMINAL BOA VISTA,DIA ÚTIL,17:02
32,TERMINAL BOA VISTA,DIA ÚTIL,17:17
33,TERMINAL BOA VISTA,DIA ÚTIL,17:32
34,TERMINAL BOA VISTA,DIA ÚTIL,17:47
35,TERMINAL BOA VISTA,DIA ÚTIL,18:02
36,TERMINAL BOA VISTA,DIA ÚTIL,18:17
37,TERMINAL BOA VISTA,DIA ÚTIL,18:32
38,TERMINAL BOA VISTA,DIA ÚTIL,18:47
39,TERMINAL BOA VISTA,DIA ÚTIL,19:15
40,TERMINAL BOA VISTA,DIA ÚTIL,19:45
41,TERMINAL BOA VISTA,DIA ÚTIL,20:15
42,TERMINAL BOA VISTA,DIA ÚTIL,20:45
43,TERMINAL BOA VISTA,DIA ÚTIL,21:15
44,TERMINAL BOA VISTA,DIA ÚTIL,21:45
45,TERMINAL BOA VISTA,DIA ÚTIL,22:15
46,TERMINAL BOA VISTA,DIA ÚTIL,22:45
47,TERMINAL BOA VISTA,DIA ÚTIL,23:15
48,TERMINAL BOA VISTA,DIA ÚTIL,23:45
49,TERMINAL BARREIRINHA,DIA ÚTIL,05:10
50,TERMINAL BARREIRINHA,DIA ÚTIL,05:30
51,TERMINAL BARREIRINHA,DIA ÚTIL,05:45
52,TERMINAL BARREIRINHA,DIA ÚTIL,06:00
53,TERMINAL BARREIRINHA,DIA ÚTIL,06:15
54,TERMINAL BARREIRINHA,DIA ÚTIL,06:29
55,TERMINAL BARREIRINHA,DIA ÚTIL,06:42
56,TERMINAL BARREIRINHA,DIA ÚTIL,06:55
57,TERMINAL BARREIRINHA,DIA ÚTIL,07:05
58,TERMINAL BARREIRINHA,DIA ÚTIL,07:13
59,TERMINAL BARREIRINHA,DIA ÚTIL,07:21
60,TERMINAL BARREIRINHA,DIA ÚTIL,07:30
61,TERMINAL BARREIRINHA,DIA ÚTIL,07:40
62,TERMINAL BARREIRINHA,DIA ÚTIL,07:51
63,TERMINAL BARREIRINHA,DIA ÚTIL,08:02
64,TERMINAL BARREIRINHA,DIA ÚTIL,08:13
65,TERMINAL BARREIRINHA,DIA ÚTIL,08:30
66,TERMINAL BARREIRINHA,DIA ÚTIL,09:00
67,TERMINAL BARREIRINHA,DIA ÚTIL,09:30
68,TERMINAL BARREIRINHA,DIA ÚTIL,10:00
69,TERMINAL BARREIRINHA,DIA ÚTIL,10:30
70,TERMINAL BARREIRINHA,DIA ÚTIL,11:00
71,TERMINAL BARREIRINHA,DIA ÚTIL,11:30
72,TERMINAL BARREIRINHA,DIA ÚTIL,12:00
73,TERMINAL BARREIRINHA,DIA ÚTIL,12:30
74,TERMINAL BARREIRINHA,DIA ÚTIL,13:00
75,TERMINAL BARREIRINHA,DIA ÚTIL,13:30
76,TERMINAL BARREIRINHA,DIA ÚTIL,14:00
77,TERMINAL BARREIRINHA,DIA ÚTIL,14:30
78,TERMINAL BARREIRINHA,DIA ÚTIL,15:00
79,TERMINAL BARREIRINHA,DIA ÚTIL,15:30
80,TERMINAL BARREIRINHA,DIA ÚTIL,16:00
81,TERMINAL BARREIRINHA,DIA ÚTIL,16:30
82,TERMINAL BARREIRINHA,DIA ÚTIL,17:00
83,TERMINAL BARREIRINHA,DIA ÚTIL,17:15
84,TERMINAL BARREIRINHA,DIA ÚTIL,17:30
85,TERMINAL BARREIRINHA,DIA ÚTIL,17:45
86,TERMINAL BARREIRINHA,DIA ÚTIL,18:00
87,TERMINAL BARREIRINHA,DIA ÚTIL,18:15
88,TERMINAL BARREIRINHA,DIA ÚTIL,18:30
