,pontos,dia,horarios
0,BAIRRO BOM RETIRO,DIA ÚTIL,05:30
1,BAIRRO BOM RETIRO,DIA ÚTIL,06:05
2,BAIRRO BOM RETIRO,DIA ÚTIL,06:25
3,BAIRRO BOM RETIRO,DIA ÚTIL,06:48
4,BAIRRO BOM RETIRO,DIA ÚTIL,07:11
5,BAIRRO BOM RETIRO,DIA ÚTIL,07:34
6,BAIRRO BOM RETIRO,DIA ÚTIL,07:57
7,BAIRRO BOM RETIRO,DIA ÚTIL,08:20
8,BAIRRO BOM RETIRO,DIA ÚTIL,08:45
9,BAIRRO BOM RETIRO,DIA ÚTIL,09:20
10,BAIRRO BOM RETIRO,DIA ÚTIL,09:55
11,BAIRRO BOM RETIRO,DIA ÚTIL,10:30
12,BAIRRO BOM RETIRO,DIA ÚTIL,11:05
13,BAIRRO BOM RETIRO,DIA ÚTIL,11:40
14,BAIRRO BOM RETIRO,DIA ÚTIL,12:15
15,BAIRRO BOM RETIRO,DIA ÚTIL,12:50
16,BAIRRO BOM RETIRO,DIA ÚTIL,13:25
17,BAIRRO BOM RETIRO,DIA ÚTIL,14:00
18,BAIRRO BOM RETIRO,DIA ÚTIL,14:35
19,BAIRRO BOM RETIRO,DIA ÚTIL,15:10
20,BAIRRO BOM RETIRO,DIA ÚTIL,15:45
21,BAIRRO BOM RETIRO,DIA ÚTIL,16:20
22,BAIRRO BOM RETIRO,DIA ÚTIL,17:00
23,BAIRRO BOM RETIRO,DIA ÚTIL,17:32
24,BAIRRO BOM RETIRO,DIA ÚTIL,17:58
25,BAIRRO BOM RETIRO,DIA ÚTIL,18:24
26,BAIRRO BOM RETIRO,DIA ÚTIL,18:50
27,BAIRRO BOM RETIRO,DIA ÚTIL,19:20
28,BAIRRO BOM RETIRO,DIA ÚTIL,19:56
29,BAIRRO BOM RETIRO,DIA ÚTIL,20:25
30,BAIRRO BOM RETIRO,DIA ÚTIL,20:55
31,BAIRRO BOM RETIRO,DIA ÚTIL,21:25
32,BAIRRO BOM RETIRO,DIA ÚTIL,21:55
33,BAIRRO BOM RETIRO,DIA ÚTIL,22:25
34,BAIRRO BOM RETIRO,DIA ÚTIL,22:55
35,BAIRRO BOM RETIRO,DIA ÚTIL,23:25
36,RUA JOSE LOUREIRO,DIA ÚTIL,05:40
37,RUA JOSE LOUREIRO,DIA ÚTIL,06:20
38,RUA JOSE LOUREIRO,DIA ÚTIL,06:40
39,RUA JOSE LOUREIRO,DIA ÚTIL,07:03
40,RUA JOSE LOUREIRO,DIA ÚTIL,07:27
41,RUA JOSE LOUREIRO,DIA ÚTIL,07:50
42,RUA JOSE LOUREIRO,DIA ÚTIL,08:13
43,RUA JOSE LOUREIRO,DIA ÚTIL,08:37
44,RUA JOSE LOUREIRO,DIA ÚTIL,09:01
45,RUA JOSE LOUREIRO,DIA ÚTIL,09:36
46,RUA JOSE LOUREIRO,DIA ÚTIL,10:11
47,RUA JOSE LOUREIRO,DIA ÚTIL,10:46
48,RUA JOSE LOUREIRO,DIA ÚTIL,11:21
49,RUA JOSE LOUREIRO,DIA ÚTIL,11:56
50,RUA JOSE LOUREIRO,DIA ÚTIL,12:31
