,pontos,dia,horarios
0,TERMINAL BOQUEIRAO,DIA ÚTIL,05:05
1,TERMINAL BOQUEIRAO,DIA ÚTIL,05:16
2,TERMINAL BOQUEIRAO,DIA ÚTIL,13:15
3,TERMINAL BOQUEIRAO,DIA ÚTIL,13:25
4,TERMINAL BOQUEIRAO,DIA ÚTIL,21:25
5,TERMINAL BOQUEIRAO,DIA ÚTIL,21:35
6,SITIO CERCADO SENTIDO MONDELEZ,DIA ÚTIL,05:17
7,SITIO CERCADO SENTIDO MONDELEZ,DIA ÚTIL,05:29
8,SITIO CERCADO SENTIDO MONDELEZ,DIA ÚTIL,13:30
9,SITIO CERCADO SENTIDO MONDELEZ,DIA ÚTIL,13:40
10,SITIO CERCADO SENTIDO MONDELEZ,DIA ÚTIL,21:40
11,SITIO CERCADO SENTIDO MONDELEZ,DIA ÚTIL,21:50
12,T.S.CERCADO SENT.BOQUEIRAO,DIA ÚTIL,06:50
13,T.S.CERCADO SENT.BOQUEIRAO,DIA ÚTIL,06:55
14,T.S.CERCADO SENT.BOQUEIRAO,DIA ÚTIL,15:12
15,T.S.CERCADO SENT.BOQUEIRAO,DIA ÚTIL,15:20
16,T.S.CERCADO SENT.BOQUEIRAO,DIA ÚTIL,23:10
17,T.S.CERCADO SENT.BOQUEIRAO,DIA ÚTIL,23:14
18,EMPRESA MONDELEZ,DIA ÚTIL,05:33
19,EMPRESA MONDELEZ,DIA ÚTIL,05:45
20,EMPRESA MONDELEZ,DIA ÚTIL,06:25
21,EMPRESA MONDELEZ,DIA ÚTIL,06:35
22,EMPRESA MONDELEZ,DIA ÚTIL,13:52
23,EMPRESA MONDELEZ,DIA ÚTIL,14:02
24,EMPRESA MONDELEZ,DIA ÚTIL,14:45
25,EMPRESA MONDELEZ,DIA ÚTIL,14:55
26,EMPRESA MONDELEZ,DIA ÚTIL,22:05
27,EMPRESA MONDELEZ,DIA ÚTIL,22:15
28,EMPRESA MONDELEZ,DIA ÚTIL,22:50
29,EMPRESA MONDELEZ,DIA ÚTIL,23:05
30,TERMINAL BOQUEIRAO,SÁBADO,05:05
31,TERMINAL BOQUEIRAO,SÁBADO,13:15
32,TERMINAL BOQUEIRAO,SÁBADO,21:30
33,SITIO CERCADO SENTIDO MONDELEZ,SÁBADO,05:17
34,SITIO CERCADO SENTIDO MONDELEZ,SÁBADO,13:28
35,SITIO CERCADO SENTIDO MONDELEZ,SÁBADO,21:43
36,T.S.CERCADO SENT.BOQUEIRAO,SÁBADO,06:50
37,T.S.CERCADO SENT.BOQUEIRAO,SÁBADO,15:05
38,T.S.CERCADO SENT.BOQUEIRAO,SÁBADO,23:15
39,EMPRESA MONDELEZ,SÁBADO,05:37
40,EMPRESA MONDELEZ,SÁBADO,06:25
41,EMPRESA MONDELEZ,SÁBADO,13:48
42,EMPRESA MONDELEZ,SÁBADO,14:45
43,EMPRESA MONDELEZ,SÁBADO,22:03
44,EMPRESA MONDELEZ,SÁBADO,22:55
45,TERMINAL BOQUEIRAO,DOMINGO,05:05
46,TERMINAL BOQUEIRAO,DOMINGO,13:15
47,TERMINAL BOQUEIRAO,DOMINGO,21:30
48,SITIO CERCADO SENTIDO MONDELEZ,DOMINGO,05:17
49,SITIO CERCADO SENTIDO MONDELEZ,DOMINGO,13:28
50,SITIO CERCADO SENTIDO MONDELEZ,DOMINGO,21:43
51,T.S.CERCADO SENT.BOQUEIRAO,DOMINGO,15:05
52,T.S.CERCADO SENT.BOQUEIRAO,DOMINGO,23:15
53,EMPRESA MONDELEZ,DOMINGO,13:48
54,EMPRESA MONDELEZ,DOMINGO,14:45
55,EMPRESA MONDELEZ,DOMINGO,22:03
56,EMPRESA MONDELEZ,DOMINGO,22:55
