,pontos,dia,horarios
0,TERMINAL BOQUEIRAO,DIA ÚTIL,05:45
1,TERMINAL BOQUEIRAO,DIA ÚTIL,05:55
2,TERMINAL BOQUEIRAO,DIA ÚTIL,06:05
3,TERMINAL BOQUEIRAO,DIA ÚTIL,06:10
4,TERMINAL BOQUEIRAO,DIA ÚTIL,06:15
5,TERMINAL BOQUEIRAO,DIA ÚTIL,06:19
6,TERMINAL BOQUEIRAO,DIA ÚTIL,06:25
7,TERMINAL BOQUEIRAO,DIA ÚTIL,06:31
8,TERMINAL BOQUEIRAO,DIA ÚTIL,06:37
9,TERMINAL BOQUEIRAO,DIA ÚTIL,06:43
10,TERMINAL BOQUEIRAO,DIA ÚTIL,06:49
11,TERMINAL BOQUEIRAO,DIA ÚTIL,06:55
12,TERMINAL BOQUEIRAO,DIA ÚTIL,07:00
13,TERMINAL BOQUEIRAO,DIA ÚTIL,07:05
14,TERMINAL BOQUEIRAO,DIA ÚTIL,07:11
15,TERMINAL BOQUEIRAO,DIA ÚTIL,07:17
16,TERMINAL BOQUEIRAO,DIA ÚTIL,07:23
17,TERMINAL BOQUEIRAO,DIA ÚTIL,07:29
18,TERMINAL BOQUEIRAO,DIA ÚTIL,07:34
19,TERMINAL BOQUEIRAO,DIA ÚTIL,07:40
20,TERMINAL BOQUEIRAO,DIA ÚTIL,07:46
21,TERMINAL BOQUEIRAO,DIA ÚTIL,07:52
22,TERMINAL BOQUEIRAO,DIA ÚTIL,07:58
23,TERMINAL BOQUEIRAO,DIA ÚTIL,08:04
24,TERMINAL BOQUEIRAO,DIA ÚTIL,08:10
25,TERMINAL BOQUEIRAO,DIA ÚTIL,08:16
26,TERMINAL BOQUEIRAO,DIA ÚTIL,08:22
27,TERMINAL BOQUEIRAO,DIA ÚTIL,08:28
28,TERMINAL BOQUEIRAO,DIA ÚTIL,08:34
29,TERMINAL BOQUEIRAO,DIA ÚTIL,08:42
30,TERMINAL BOQUEIRAO,DIA ÚTIL,09:04
31,TERMINAL BOQUEIRAO,DIA ÚTIL,09:15
32,TERMINAL BOQUEIRAO,DIA ÚTIL,09:25
