,pontos,dia,horarios
0,TERMINAL BOQUEIRAO,DIA ÚTIL,05:30
1,TERMINAL BOQUEIRAO,DIA ÚTIL,05:43
2,TERMINAL BOQUEIRAO,DIA ÚTIL,05:55
3,TERMINAL BOQUEIRAO,DIA ÚTIL,06:08
4,TERMINAL BOQUEIRAO,DIA ÚTIL,06:20
5,TERMINAL BOQUEIRAO,DIA ÚTIL,06:33
6,TERMINAL BOQUEIRAO,DIA ÚTIL,06:45
7,TERMINAL BOQUEIRAO,DIA ÚTIL,06:58
8,TERMINAL BOQUEIRAO,DIA ÚTIL,07:10
9,TERMINAL BOQUEIRAO,DIA ÚTIL,07:23
10,TERMINAL BOQUEIRAO,DIA ÚTIL,07:35
11,TERMINAL BOQUEIRAO,DIA ÚTIL,07:48
12,TERMINAL BOQUEIRAO,DIA ÚTIL,08:00
13,TERMINAL BOQUEIRAO,DIA ÚTIL,08:13
14,TERMINAL BOQUEIRAO,DIA ÚTIL,08:25
15,TERMINAL BOQUEIRAO,DIA ÚTIL,08:38
16,TERMINAL BOQUEIRAO,DIA ÚTIL,08:54
17,TERMINAL BOQUEIRAO,DIA ÚTIL,09:48
18,TERMINAL BOQUEIRAO,DIA ÚTIL,10:42
19,TERMINAL BOQUEIRAO,DIA ÚTIL,11:36
20,TERMINAL BOQUEIRAO,DIA ÚTIL,12:30
21,TERMINAL BOQUEIRAO,DIA ÚTIL,13:24
22,TERMINAL BOQUEIRAO,DIA ÚTIL,14:18
23,TERMINAL BOQUEIRAO,DIA ÚTIL,15:12
24,TERMINAL BOQUEIRAO,DIA ÚTIL,16:06
25,TERMINAL BOQUEIRAO,DIA ÚTIL,16:42
26,TERMINAL BOQUEIRAO,DIA ÚTIL,17:00
27,TERMINAL BOQUEIRAO,DIA ÚTIL,17:18
28,TERMINAL BOQUEIRAO,DIA ÚTIL,17:36
29,TERMINAL BOQUEIRAO,DIA ÚTIL,17:54
30,TERMINAL BOQUEIRAO,DIA ÚTIL,18:12
31,TERMINAL BOQUEIRAO,DIA ÚTIL,18:30
