,pontos,dia,horarios
0,TERMINAL BOQUEIRAO,DIA ÚTIL,05:05
1,TERMINAL BOQUEIRAO,DIA ÚTIL,05:15
2,TERMINAL BOQUEIRAO,DIA ÚTIL,05:27
3,TERMINAL BOQUEIRAO,DIA ÚTIL,05:39
4,TERMINAL BOQUEIRAO,DIA ÚTIL,05:51
5,TERMINAL BOQUEIRAO,DIA ÚTIL,06:03
6,TERMINAL BOQUEIRAO,DIA ÚTIL,06:15
7,TERMINAL BOQUEIRAO,DIA ÚTIL,06:23
8,TERMINAL BOQUEIRAO,DIA ÚTIL,06:35
9,TERMINAL BOQUEIRAO,DIA ÚTIL,06:44
10,TERMINAL BOQUEIRAO,DIA ÚTIL,06:59
11,TERMINAL BOQUEIRAO,DIA ÚTIL,07:06
12,TERMINAL BOQUEIRAO,DIA ÚTIL,07:13
13,TERMINAL BOQUEIRAO,DIA ÚTIL,07:21
14,TERMINAL BOQUEIRAO,DIA ÚTIL,07:30
15,TERMINAL BOQUEIRAO,DIA ÚTIL,07:36
16,TERMINAL BOQUEIRAO,DIA ÚTIL,07:45
17,TERMINAL BOQUEIRAO,DIA ÚTIL,07:52
18,TERMINAL BOQUEIRAO,DIA ÚTIL,08:05
19,TERMINAL BOQUEIRAO,DIA ÚTIL,08:15
20,TERMINAL BOQUEIRAO,DIA ÚTIL,08:27
21,TERMINAL BOQUEIRAO,DIA ÚTIL,08:38
22,TERMINAL BOQUEIRAO,DIA ÚTIL,08:49
23,TERMINAL BOQUEIRAO,DIA ÚTIL,09:00
24,TERMINAL BOQUEIRAO,DIA ÚTIL,09:11
25,TERMINAL BOQUEIRAO,DIA ÚTIL,09:22
26,TERMINAL BOQUEIRAO,DIA ÚTIL,09:33
27,TERMINAL BOQUEIRAO,DIA ÚTIL,09:44
28,TERMINAL BOQUEIRAO,DIA ÚTIL,09:55
29,TERMINAL BOQUEIRAO,DIA ÚTIL,10:06
30,TERMINAL BOQUEIRAO,DIA ÚTIL,10:17
31,TERMINAL BOQUEIRAO,DIA ÚTIL,10:29
32,TERMINAL BOQUEIRAO,DIA ÚTIL,10:40
33,TERMINAL BOQUEIRAO,DIA ÚTIL,10:50
34,TERMINAL BOQUEIRAO,DIA ÚTIL,11:01
35,TERMINAL BOQUEIRAO,DIA ÚTIL,11:12
36,TERMINAL BOQUEIRAO,DIA ÚTIL,11:23
37,TERMINAL BOQUEIRAO,DIA ÚTIL,11:34
38,TERMINAL BOQUEIRAO,DIA ÚTIL,11:45
39,TERMINAL BOQUEIRAO,DIA ÚTIL,11:56
40,TERMINAL BOQUEIRAO,DIA ÚTIL,12:07
41,TERMINAL BOQUEIRAO,DIA ÚTIL,12:18
42,TERMINAL BOQUEIRAO,DIA ÚTIL,12:29
43,TERMINAL BOQUEIRAO,DIA ÚTIL,12:40
44,TERMINAL BOQUEIRAO,DIA ÚTIL,12:51
45,TERMINAL BOQUEIRAO,DIA ÚTIL,13:02
46,TERMINAL BOQUEIRAO,DIA ÚTIL,13:13
47,TERMINAL BOQUEIRAO,DIA ÚTIL,13:24
48,TERMINAL BOQUEIRAO,DIA ÚTIL,13:35
49,TERMINAL BOQUEIRAO,DIA ÚTIL,13:46
50,TERMINAL BOQUEIRAO,DIA ÚTIL,13:57
51,TERMINAL BOQUEIRAO,DIA ÚTIL,14:08
52,TERMINAL BOQUEIRAO,DIA ÚTIL,14:19
53,TERMINAL BOQUEIRAO,DIA ÚTIL,14:30
54,TERMINAL BOQUEIRAO,DIA ÚTIL,14:41
55,TERMINAL BOQUEIRAO,DIA ÚTIL,14:52
56,TERMINAL BOQUEIRAO,DIA ÚTIL,15:03
57,TERMINAL BOQUEIRAO,DIA ÚTIL,15:14
58,TERMINAL BOQUEIRAO,DIA ÚTIL,15:25
59,TERMINAL BOQUEIRAO,DIA ÚTIL,15:36
60,TERMINAL BOQUEIRAO,DIA ÚTIL,15:47
61,TERMINAL BOQUEIRAO,DIA ÚTIL,15:57
62,TERMINAL BOQUEIRAO,DIA ÚTIL,16:09
63,TERMINAL BOQUEIRAO,DIA ÚTIL,16:20
64,TERMINAL BOQUEIRAO,DIA ÚTIL,16:31
65,TERMINAL BOQUEIRAO,DIA ÚTIL,16:42
66,TERMINAL BOQUEIRAO,DIA ÚTIL,16:55
67,TERMINAL BOQUEIRAO,DIA ÚTIL,17:04
68,TERMINAL BOQUEIRAO,DIA ÚTIL,17:17
69,TERMINAL BOQUEIRAO,DIA ÚTIL,17:26
70,TERMINAL BOQUEIRAO,DIA ÚTIL,17:38
71,TERMINAL BOQUEIRAO,DIA ÚTIL,17:48
72,TERMINAL BOQUEIRAO,DIA ÚTIL,17:55
73,TERMINAL BOQUEIRAO,DIA ÚTIL,18:02
74,TERMINAL BOQUEIRAO,DIA ÚTIL,18:10
75,TERMINAL BOQUEIRAO,DIA ÚTIL,18:17
76,TERMINAL BOQUEIRAO,DIA ÚTIL,18:25
77,TERMINAL BOQUEIRAO,DIA ÚTIL,18:33
78,TERMINAL BOQUEIRAO,DIA ÚTIL,18:45
79,TERMINAL BOQUEIRAO,DIA ÚTIL,18:54
80,TERMINAL BOQUEIRAO,DIA ÚTIL,19:01
81,TERMINAL BOQUEIRAO,DIA ÚTIL,19:09
82,TERMINAL BOQUEIRAO,DIA ÚTIL,19:16
83,TERMINAL BOQUEIRAO,DIA ÚTIL,19:30
84,TERMINAL BOQUEIRAO,DIA ÚTIL,19:41
85,TERMINAL BOQUEIRAO,DIA ÚTIL,19:52
86,TERMINAL BOQUEIRAO,DIA ÚTIL,20:03
87,TERMINAL BOQUEIRAO,DIA ÚTIL,20:14
88,TERMINAL BOQUEIRAO,DIA ÚTIL,20:25
89,TERMINAL BOQUEIRAO,DIA ÚTIL,20:36
90,TERMINAL BOQUEIRAO,DIA ÚTIL,20:47
91,TERMINAL BOQUEIRAO,DIA ÚTIL,20:58
92,TERMINAL BOQUEIRAO,DIA ÚTIL,21:09
93,TERMINAL BOQUEIRAO,DIA ÚTIL,21:20
94,TERMINAL BOQUEIRAO,DIA ÚTIL,21:31
95,TERMINAL BOQUEIRAO,DIA ÚTIL,21:42
96,TERMINAL BOQUEIRAO,DIA ÚTIL,21:53
97,TERMINAL BOQUEIRAO,DIA ÚTIL,22:04
98,TERMINAL BOQUEIRAO,DIA ÚTIL,22:15
99,TERMINAL BOQUEIRAO,DIA ÚTIL,22:26
100,TERMINAL BOQUEIRAO,DIA ÚTIL,22:37
101,TERMINAL BOQUEIRAO,DIA ÚTIL,22:48
102,TERMINAL BOQUEIRAO,DIA ÚTIL,22:59
103,TERMINAL BOQUEIRAO,DIA ÚTIL,23:10
104,TERMINAL BOQUEIRAO,DIA ÚTIL,23:25
105,PRACA CARLOS GOMES,DIA ÚTIL,05:34
106,PRACA CARLOS GOMES,DIA ÚTIL,05:49
107,PRACA CARLOS GOMES,DIA ÚTIL,06:01
108,PRACA CARLOS GOMES,DIA ÚTIL,06:12
109,PRACA CARLOS GOMES,DIA ÚTIL,06:27
110,PRACA CARLOS GOMES,DIA ÚTIL,06:38
111,PRACA CARLOS GOMES,DIA ÚTIL,06:50
112,PRACA CARLOS GOMES,DIA ÚTIL,06:55
113,PRACA CARLOS GOMES,DIA ÚTIL,07:06
114,PRACA CARLOS GOMES,DIA ÚTIL,07:16
115,PRACA CARLOS GOMES,DIA ÚTIL,07:32
116,PRACA CARLOS GOMES,DIA ÚTIL,07:39
117,PRACA CARLOS GOMES,DIA ÚTIL,07:52
118,PRACA CARLOS GOMES,DIA ÚTIL,08:04
119,PRACA CARLOS GOMES,DIA ÚTIL,08:16
120,PRACA CARLOS GOMES,DIA ÚTIL,08:27
121,PRACA CARLOS GOMES,DIA ÚTIL,08:38
122,PRACA CARLOS GOMES,DIA ÚTIL,08:49
123,PRACA CARLOS GOMES,DIA ÚTIL,09:00
124,PRACA CARLOS GOMES,DIA ÚTIL,09:11
125,PRACA CARLOS GOMES,DIA ÚTIL,09:21
126,PRACA CARLOS GOMES,DIA ÚTIL,09:31
127,PRACA CARLOS GOMES,DIA ÚTIL,09:45
128,PRACA CARLOS GOMES,DIA ÚTIL,09:56
129,PRACA CARLOS GOMES,DIA ÚTIL,10:06
130,PRACA CARLOS GOMES,DIA ÚTIL,10:17
131,PRACA CARLOS GOMES,DIA ÚTIL,10:28
132,PRACA CARLOS GOMES,DIA ÚTIL,10:39
133,PRACA CARLOS GOMES,DIA ÚTIL,10:50
134,PRACA CARLOS GOMES,DIA ÚTIL,10:59
