,pontos,dia,horarios
0,TERMINAL CAPAO RASO,DIA ÚTIL,05:00
1,TERMINAL CAPAO RASO,DIA ÚTIL,05:24
2,TERMINAL CAPAO RASO,DIA ÚTIL,05:48
3,TERMINAL CAPAO RASO,DIA ÚTIL,06:12
4,TERMINAL CAPAO RASO,DIA ÚTIL,06:36
5,TERMINAL CAPAO RASO,DIA ÚTIL,07:02
6,TERMINAL CAPAO RASO,DIA ÚTIL,07:28
7,TERMINAL CAPAO RASO,DIA ÚTIL,07:54
8,TERMINAL CAPAO RASO,DIA ÚTIL,08:20
9,TERMINAL CAPAO RASO,DIA ÚTIL,08:46
10,TERMINAL CAPAO RASO,DIA ÚTIL,09:18
11,TERMINAL CAPAO RASO,DIA ÚTIL,09:54
12,TERMINAL CAPAO RASO,DIA ÚTIL,10:30
13,TERMINAL CAPAO RASO,DIA ÚTIL,11:09
14,TERMINAL CAPAO RASO,DIA ÚTIL,11:42
15,TERMINAL CAPAO RASO,DIA ÚTIL,12:18
16,TERMINAL CAPAO RASO,DIA ÚTIL,12:54
17,TERMINAL CAPAO RASO,DIA ÚTIL,13:30
18,TERMINAL CAPAO RASO,DIA ÚTIL,14:06
19,TERMINAL CAPAO RASO,DIA ÚTIL,14:45
20,TERMINAL CAPAO RASO,DIA ÚTIL,15:18
21,TERMINAL CAPAO RASO,DIA ÚTIL,15:53
22,TERMINAL CAPAO RASO,DIA ÚTIL,16:30
23,TERMINAL CAPAO RASO,DIA ÚTIL,16:53
24,TERMINAL CAPAO RASO,DIA ÚTIL,17:16
25,TERMINAL CAPAO RASO,DIA ÚTIL,17:43
26,TERMINAL CAPAO RASO,DIA ÚTIL,18:14
27,TERMINAL CAPAO RASO,DIA ÚTIL,18:40
28,TERMINAL CAPAO RASO,DIA ÚTIL,19:10
29,TERMINAL CAPAO RASO,DIA ÚTIL,19:50
30,TERMINAL CAPAO RASO,DIA ÚTIL,20:25
31,TERMINAL CAPAO RASO,DIA ÚTIL,21:00
32,TERMINAL CAPAO RASO,DIA ÚTIL,21:35
33,TERMINAL CAPAO RASO,DIA ÚTIL,22:10
34,TERMINAL CAPAO RASO,DIA ÚTIL,22:45
35,TERMINAL CAPAO RASO,DIA ÚTIL,23:13
36,TERMINAL CAPAO RASO,DIA ÚTIL,23:47
37,TERMINAL CIC/SENT.CAPAO RASO,DIA ÚTIL,05:30
38,TERMINAL CIC/SENT.CAPAO RASO,DIA ÚTIL,05:53
39,TERMINAL CIC/SENT.CAPAO RASO,DIA ÚTIL,06:18
40,TERMINAL CIC/SENT.CAPAO RASO,DIA ÚTIL,06:44
41,TERMINAL CIC/SENT.CAPAO RASO,DIA ÚTIL,07:09
42,TERMINAL CIC/SENT.CAPAO RASO,DIA ÚTIL,07:35
43,TERMINAL CIC/SENT.CAPAO RASO,DIA ÚTIL,08:01
44,TERMINAL CIC/SENT.CAPAO RASO,DIA ÚTIL,08:27
45,TERMINAL CIC/SENT.CAPAO RASO,DIA ÚTIL,08:55
46,TERMINAL CIC/SENT.CAPAO RASO,DIA ÚTIL,09:38
47,TERMINAL CIC/SENT.CAPAO RASO,DIA ÚTIL,10:14
48,TERMINAL CIC/SENT.CAPAO RASO,DIA ÚTIL,10:50
49,TERMINAL CIC/SENT.CAPAO RASO,DIA ÚTIL,11:26
50,TERMINAL CIC/SENT.CAPAO RASO,DIA ÚTIL,11:57
51,TERMINAL CIC/SENT.CAPAO RASO,DIA ÚTIL,12:38
52,TERMINAL CIC/SENT.CAPAO RASO,DIA ÚTIL,13:14
53,TERMINAL CIC/SENT.CAPAO RASO,DIA ÚTIL,13:50
54,TERMINAL CIC/SENT.CAPAO RASO,DIA ÚTIL,14:26
55,TERMINAL CIC/SENT.CAPAO RASO,DIA ÚTIL,15:02
56,TERMINAL CIC/SENT.CAPAO RASO,DIA ÚTIL,15:38
57,TERMINAL CIC/SENT.CAPAO RASO,DIA ÚTIL,16:11
58,TERMINAL CIC/SENT.CAPAO RASO,DIA ÚTIL,16:33
59,TERMINAL CIC/SENT.CAPAO RASO,DIA ÚTIL,16:59
60,TERMINAL CIC/SENT.CAPAO RASO,DIA ÚTIL,17:25
61,TERMINAL CIC/SENT.CAPAO RASO,DIA ÚTIL,17:51
62,TERMINAL CIC/SENT.CAPAO RASO,DIA ÚTIL,18:14
63,TERMINAL CIC/SENT.CAPAO RASO,DIA ÚTIL,18:48
64,TERMINAL CIC/SENT.CAPAO RASO,DIA ÚTIL,19:33
65,TERMINAL CIC/SENT.CAPAO RASO,DIA ÚTIL,20:08
66,TERMINAL CIC/SENT.CAPAO RASO,DIA ÚTIL,20:43
67,TERMINAL CIC/SENT.CAPAO RASO,DIA ÚTIL,21:18
68,TERMINAL CIC/SENT.CAPAO RASO,DIA ÚTIL,21:53
69,TERMINAL CIC/SENT.CAPAO RASO,DIA ÚTIL,22:26
70,TERMINAL CIC/SENT.CAPAO RASO,DIA ÚTIL,22:58
71,TERMINAL CIC/SENT.CAPAO RASO,DIA ÚTIL,23:35
72,BOSCH/VILA VERDE,DIA ÚTIL,05:15
73,BOSCH/VILA VERDE,DIA ÚTIL,05:35
74,BOSCH/VILA VERDE,DIA ÚTIL,06:00
75,BOSCH/VILA VERDE,DIA ÚTIL,06:25
76,BOSCH/VILA VERDE,DIA ÚTIL,06:50
77,BOSCH/VILA VERDE,DIA ÚTIL,07:16
78,BOSCH/VILA VERDE,DIA ÚTIL,07:41
79,BOSCH/VILA VERDE,DIA ÚTIL,08:07
80,BOSCH/VILA VERDE,DIA ÚTIL,08:36
81,BOSCH/VILA VERDE,DIA ÚTIL,09:18
82,BOSCH/VILA VERDE,DIA ÚTIL,09:54
83,BOSCH/VILA VERDE,DIA ÚTIL,10:30
84,BOSCH/VILA VERDE,DIA ÚTIL,11:06
85,BOSCH/VILA VERDE,DIA ÚTIL,11:38
86,BOSCH/VILA VERDE,DIA ÚTIL,12:18
87,BOSCH/VILA VERDE,DIA ÚTIL,12:54
88,BOSCH/VILA VERDE,DIA ÚTIL,13:30
89,BOSCH/VILA VERDE,DIA ÚTIL,14:06
90,BOSCH/VILA VERDE,DIA ÚTIL,14:42
91,BOSCH/VILA VERDE,DIA ÚTIL,15:18
92,BOSCH/VILA VERDE,DIA ÚTIL,15:50
93,BOSCH/VILA VERDE,DIA ÚTIL,16:11
94,BOSCH/VILA VERDE,DIA ÚTIL,16:36
95,BOSCH/VILA VERDE,DIA ÚTIL,17:07
96,BOSCH/VILA VERDE,DIA ÚTIL,17:31
97,BOSCH/VILA VERDE,DIA ÚTIL,17:53
98,BOSCH/VILA VERDE,DIA ÚTIL,18:25
99,BOSCH/VILA VERDE,DIA ÚTIL,19:12
100,BOSCH/VILA VERDE,DIA ÚTIL,19:44
101,BOSCH/VILA VERDE,DIA ÚTIL,20:24
102,BOSCH/VILA VERDE,DIA ÚTIL,20:58
103,BOSCH/VILA VERDE,DIA ÚTIL,21:34
104,BOSCH/VILA VERDE,DIA ÚTIL,22:07
105,BOSCH/VILA VERDE,DIA ÚTIL,22:38
106,BOSCH/VILA VERDE,DIA ÚTIL,23:16
107,TERMINAL CIC/BOSCH VILA VERDE,DIA ÚTIL,05:09
108,TERMINAL CIC/BOSCH VILA VERDE,DIA ÚTIL,05:33
109,TERMINAL CIC/BOSCH VILA VERDE,DIA ÚTIL,05:58
110,TERMINAL CIC/BOSCH VILA VERDE,DIA ÚTIL,06:23
111,TERMINAL CIC/BOSCH VILA VERDE,DIA ÚTIL,06:48
112,TERMINAL CIC/BOSCH VILA VERDE,DIA ÚTIL,07:14
113,TERMINAL CIC/BOSCH VILA VERDE,DIA ÚTIL,07:40
114,TERMINAL CIC/BOSCH VILA VERDE,DIA ÚTIL,08:06
115,TERMINAL CIC/BOSCH VILA VERDE,DIA ÚTIL,08:32
116,TERMINAL CIC/BOSCH VILA VERDE,DIA ÚTIL,08:57
117,TERMINAL CIC/BOSCH VILA VERDE,DIA ÚTIL,09:32
118,TERMINAL CIC/BOSCH VILA VERDE,DIA ÚTIL,10:08
119,TERMINAL CIC/BOSCH VILA VERDE,DIA ÚTIL,10:44
120,TERMINAL CIC/BOSCH VILA VERDE,DIA ÚTIL,11:21
121,TERMINAL CIC/BOSCH VILA VERDE,DIA ÚTIL,11:56
122,TERMINAL CIC/BOSCH VILA VERDE,DIA ÚTIL,12:32
123,TERMINAL CIC/BOSCH VILA VERDE,DIA ÚTIL,13:08
124,TERMINAL CIC/BOSCH VILA VERDE,DIA ÚTIL,13:44
125,TERMINAL CIC/BOSCH VILA VERDE,DIA ÚTIL,14:20
126,TERMINAL CIC/BOSCH VILA VERDE,DIA ÚTIL,14:58
127,TERMINAL CIC/BOSCH VILA VERDE,DIA ÚTIL,15:29
128,TERMINAL CIC/BOSCH VILA VERDE,DIA ÚTIL,16:04
129,TERMINAL CIC/BOSCH VILA VERDE,DIA ÚTIL,16:41
130,TERMINAL CIC/BOSCH VILA VERDE,DIA ÚTIL,17:09
131,TERMINAL CIC/BOSCH VILA VERDE,DIA ÚTIL,17:33
132,TERMINAL CIC/BOSCH VILA VERDE,DIA ÚTIL,18:00
133,TERMINAL CIC/BOSCH VILA VERDE,DIA ÚTIL,18:30
134,TERMINAL CIC/BOSCH VILA VERDE,DIA ÚTIL,18:52
135,TERMINAL CIC/BOSCH VILA VERDE,DIA ÚTIL,19:26
136,TERMINAL CIC/BOSCH VILA VERDE,DIA ÚTIL,20:05
137,TERMINAL CIC/BOSCH VILA VERDE,DIA ÚTIL,20:40
138,TERMINAL CIC/BOSCH VILA VERDE,DIA ÚTIL,21:15
139,TERMINAL CIC/BOSCH VILA VERDE,DIA ÚTIL,21:49
140,TERMINAL CIC/BOSCH VILA VERDE,DIA ÚTIL,22:23
141,TERMINAL CIC/BOSCH VILA VERDE,DIA ÚTIL,22:58
142,TERMINAL CIC/BOSCH VILA VERDE,DIA ÚTIL,23:24
143,TERMINAL CIC/BOSCH VILA VERDE,DIA ÚTIL,00:00
144,UTFPR NEOVILE,DIA ÚTIL,12:00
145,TERMINAL CAPAO RASO,SÁBADO,05:26
146,TERMINAL CAPAO RASO,SÁBADO,05:50
147,TERMINAL CAPAO RASO,SÁBADO,06:30
148,TERMINAL CAPAO RASO,SÁBADO,07:05
149,TERMINAL CAPAO RASO,SÁBADO,07:49
150,TERMINAL CAPAO RASO,SÁBADO,08:23
151,TERMINAL CAPAO RASO,SÁBADO,09:08
152,TERMINAL CAPAO RASO,SÁBADO,09:38
153,TERMINAL CAPAO RASO,SÁBADO,10:27
154,TERMINAL CAPAO RASO,SÁBADO,10:56
155,TERMINAL CAPAO RASO,SÁBADO,11:45
156,TERMINAL CAPAO RASO,SÁBADO,12:14
157,TERMINAL CAPAO RASO,SÁBADO,13:03
158,TERMINAL CAPAO RASO,SÁBADO,13:32
159,TERMINAL CAPAO RASO,SÁBADO,14:22
160,TERMINAL CAPAO RASO,SÁBADO,14:49
161,TERMINAL CAPAO RASO,SÁBADO,15:41
162,TERMINAL CAPAO RASO,SÁBADO,16:08
163,TERMINAL CAPAO RASO,SÁBADO,17:00
164,TERMINAL CAPAO RASO,SÁBADO,17:24
165,TERMINAL CAPAO RASO,SÁBADO,18:16
166,TERMINAL CAPAO RASO,SÁBADO,18:42
167,TERMINAL CAPAO RASO,SÁBADO,20:03
168,TERMINAL CAPAO RASO,SÁBADO,21:24
169,TERMINAL CIC/SENT.CAPAO RASO,SÁBADO,06:15
170,TERMINAL CIC/SENT.CAPAO RASO,SÁBADO,06:50
171,TERMINAL CIC/SENT.CAPAO RASO,SÁBADO,07:34
172,TERMINAL CIC/SENT.CAPAO RASO,SÁBADO,08:08
173,TERMINAL CIC/SENT.CAPAO RASO,SÁBADO,08:53
174,TERMINAL CIC/SENT.CAPAO RASO,SÁBADO,09:24
175,TERMINAL CIC/SENT.CAPAO RASO,SÁBADO,10:12
176,TERMINAL CIC/SENT.CAPAO RASO,SÁBADO,10:41
177,TERMINAL CIC/SENT.CAPAO RASO,SÁBADO,11:30
178,TERMINAL CIC/SENT.CAPAO RASO,SÁBADO,11:59
