,pontos,dia,horarios
0,BAIRRO BRACATINGA,DIA ÚTIL,05:20
1,BAIRRO BRACATINGA,DIA ÚTIL,05:41
2,BAIRRO BRACATINGA,DIA ÚTIL,06:02
3,BAIRRO BRACATINGA,DIA ÚTIL,06:15
4,BAIRRO BRACATINGA,DIA ÚTIL,06:28
5,BAIRRO BRACATINGA,DIA ÚTIL,06:41
6,BAIRRO BRACATINGA,DIA ÚTIL,06:54
7,BAIRRO BRACATINGA,DIA ÚTIL,07:07
8,BAIRRO BRACATINGA,DIA ÚTIL,07:20
9,BAIRRO BRACATINGA,DIA ÚTIL,07:33
10,BAIRRO BRACATINGA,DIA ÚTIL,07:46
11,BAIRRO BRACATINGA,DIA ÚTIL,08:00
12,BAIRRO BRACATINGA,DIA ÚTIL,08:14
13,BAIRRO BRACATINGA,DIA ÚTIL,08:28
14,BAIRRO BRACATINGA,DIA ÚTIL,08:54
15,BAIRRO BRACATINGA,DIA ÚTIL,09:22
16,BAIRRO BRACATINGA,DIA ÚTIL,09:50
17,BAIRRO BRACATINGA,DIA ÚTIL,10:18
18,BAIRRO BRACATINGA,DIA ÚTIL,10:45
19,BAIRRO BRACATINGA,DIA ÚTIL,11:15
20,BAIRRO BRACATINGA,DIA ÚTIL,11:37
21,BAIRRO BRACATINGA,DIA ÚTIL,11:58
22,BAIRRO BRACATINGA,DIA ÚTIL,12:17
23,BAIRRO BRACATINGA,DIA ÚTIL,12:36
24,BAIRRO BRACATINGA,DIA ÚTIL,12:56
25,BAIRRO BRACATINGA,DIA ÚTIL,13:16
26,BAIRRO BRACATINGA,DIA ÚTIL,13:35
27,BAIRRO BRACATINGA,DIA ÚTIL,14:00
28,BAIRRO BRACATINGA,DIA ÚTIL,14:30
29,BAIRRO BRACATINGA,DIA ÚTIL,14:58
30,BAIRRO BRACATINGA,DIA ÚTIL,15:26
31,BAIRRO BRACATINGA,DIA ÚTIL,15:54
32,BAIRRO BRACATINGA,DIA ÚTIL,16:22
33,BAIRRO BRACATINGA,DIA ÚTIL,16:55
34,BAIRRO BRACATINGA,DIA ÚTIL,17:20
35,BAIRRO BRACATINGA,DIA ÚTIL,17:45
36,BAIRRO BRACATINGA,DIA ÚTIL,18:03
37,BAIRRO BRACATINGA,DIA ÚTIL,18:21
38,BAIRRO BRACATINGA,DIA ÚTIL,18:37
39,BAIRRO BRACATINGA,DIA ÚTIL,18:53
40,BAIRRO BRACATINGA,DIA ÚTIL,19:10
41,BAIRRO BRACATINGA,DIA ÚTIL,19:30
42,BAIRRO BRACATINGA,DIA ÚTIL,20:00
43,BAIRRO BRACATINGA,DIA ÚTIL,20:30
44,BAIRRO BRACATINGA,DIA ÚTIL,21:00
45,BAIRRO BRACATINGA,DIA ÚTIL,21:30
46,BAIRRO BRACATINGA,DIA ÚTIL,22:00
47,BAIRRO BRACATINGA,DIA ÚTIL,22:30
48,BAIRRO BRACATINGA,DIA ÚTIL,23:00
49,BAIRRO BRACATINGA,DIA ÚTIL,23:30
50,RUA NESTOR DE CASTRO,DIA ÚTIL,05:47
51,RUA NESTOR DE CASTRO,DIA ÚTIL,06:09
52,RUA NESTOR DE CASTRO,DIA ÚTIL,06:28
