,pontos,dia,horarios
0,BAIRRO OURO VERDE,DOMINGO,05:05
1,BAIRRO OURO VERDE,DOMINGO,06:03
2,BAIRRO OURO VERDE,DOMINGO,07:02
3,BAIRRO OURO VERDE,DOMINGO,08:01
4,BAIRRO OURO VERDE,DOMINGO,09:00
5,BAIRRO OURO VERDE,DOMINGO,10:00
6,BAIRRO OURO VERDE,DOMINGO,11:00
7,BAIRRO OURO VERDE,DOMINGO,12:00
8,BAIRRO OURO VERDE,DOMINGO,13:00
9,BAIRRO OURO VERDE,DOMINGO,14:00
10,BAIRRO OURO VERDE,DOMINGO,15:00
11,BAIRRO OURO VERDE,DOMINGO,16:00
12,BAIRRO OURO VERDE,DOMINGO,17:00
13,BAIRRO OURO VERDE,DOMINGO,18:00
14,BAIRRO OURO VERDE,DOMINGO,19:00
15,BAIRRO OURO VERDE,DOMINGO,20:00
16,BAIRRO OURO VERDE,DOMINGO,21:01
17,BAIRRO OURO VERDE,DOMINGO,22:02
18,BAIRRO OURO VERDE,DOMINGO,23:02
19,BAIRRO OURO VERDE,DOMINGO,00:02
20,TERM.STA.FELICIDADE/BUTIATUVIN,DOMINGO,05:15
21,TERM.STA.FELICIDADE/BUTIATUVIN,DOMINGO,06:15
22,TERM.STA.FELICIDADE/BUTIATUVIN,DOMINGO,07:14
23,TERM.STA.FELICIDADE/BUTIATUVIN,DOMINGO,08:13
24,TERM.STA.FELICIDADE/BUTIATUVIN,DOMINGO,09:12
25,TERM.STA.FELICIDADE/BUTIATUVIN,DOMINGO,10:11
26,TERM.STA.FELICIDADE/BUTIATUVIN,DOMINGO,11:10
27,TERM.STA.FELICIDADE/BUTIATUVIN,DOMINGO,12:10
28,TERM.STA.FELICIDADE/BUTIATUVIN,DOMINGO,13:10
29,TERM.STA.FELICIDADE/BUTIATUVIN,DOMINGO,14:10
30,TERM.STA.FELICIDADE/BUTIATUVIN,DOMINGO,15:10
31,TERM.STA.FELICIDADE/BUTIATUVIN,DOMINGO,16:10
32,TERM.STA.FELICIDADE/BUTIATUVIN,DOMINGO,17:10
33,TERM.STA.FELICIDADE/BUTIATUVIN,DOMINGO,18:10
34,TERM.STA.FELICIDADE/BUTIATUVIN,DOMINGO,19:10
35,TERM.STA.FELICIDADE/BUTIATUVIN,DOMINGO,20:11
36,TERM.STA.FELICIDADE/BUTIATUVIN,DOMINGO,21:13
37,TERM.STA.FELICIDADE/BUTIATUVIN,DOMINGO,22:14
38,TERM.STA.FELICIDADE/BUTIATUVIN,DOMINGO,23:14
39,TERM.STA.FELICIDADE/BUTIATUVIN,DOMINGO,00:15
40,BAIRRO BUTIATUVINHA,DOMINGO,05:32
41,BAIRRO BUTIATUVINHA,DOMINGO,06:31
42,BAIRRO BUTIATUVINHA,DOMINGO,07:30
43,BAIRRO BUTIATUVINHA,DOMINGO,08:30
44,BAIRRO BUTIATUVINHA,DOMINGO,09:30
45,BAIRRO BUTIATUVINHA,DOMINGO,10:29
46,BAIRRO BUTIATUVINHA,DOMINGO,11:28
47,BAIRRO BUTIATUVINHA,DOMINGO,12:28
48,BAIRRO BUTIATUVINHA,DOMINGO,13:28
49,BAIRRO BUTIATUVINHA,DOMINGO,14:28
50,BAIRRO BUTIATUVINHA,DOMINGO,15:28
51,BAIRRO BUTIATUVINHA,DOMINGO,16:28
52,BAIRRO BUTIATUVINHA,DOMINGO,17:28
53,BAIRRO BUTIATUVINHA,DOMINGO,18:28
54,BAIRRO BUTIATUVINHA,DOMINGO,19:28
55,BAIRRO BUTIATUVINHA,DOMINGO,20:28
56,BAIRRO BUTIATUVINHA,DOMINGO,21:29
57,BAIRRO BUTIATUVINHA,DOMINGO,22:30
58,BAIRRO BUTIATUVINHA,DOMINGO,23:30
59,TERM.STA.FELICIDADE/OURO VERDE,DOMINGO,05:50
60,TERM.STA.FELICIDADE/OURO VERDE,DOMINGO,06:50
61,TERM.STA.FELICIDADE/OURO VERDE,DOMINGO,07:50
62,TERM.STA.FELICIDADE/OURO VERDE,DOMINGO,08:50
63,TERM.STA.FELICIDADE/OURO VERDE,DOMINGO,09:50
64,TERM.STA.FELICIDADE/OURO VERDE,DOMINGO,10:50
65,TERM.STA.FELICIDADE/OURO VERDE,DOMINGO,11:50
66,TERM.STA.FELICIDADE/OURO VERDE,DOMINGO,12:50
67,TERM.STA.FELICIDADE/OURO VERDE,DOMINGO,13:50
68,TERM.STA.FELICIDADE/OURO VERDE,DOMINGO,14:50
69,TERM.STA.FELICIDADE/OURO VERDE,DOMINGO,15:50
70,TERM.STA.FELICIDADE/OURO VERDE,DOMINGO,16:50
71,TERM.STA.FELICIDADE/OURO VERDE,DOMINGO,17:50
72,TERM.STA.FELICIDADE/OURO VERDE,DOMINGO,18:50
73,TERM.STA.FELICIDADE/OURO VERDE,DOMINGO,19:50
74,TERM.STA.FELICIDADE/OURO VERDE,DOMINGO,20:50
75,TERM.STA.FELICIDADE/OURO VERDE,DOMINGO,21:50
76,TERM.STA.FELICIDADE/OURO VERDE,DOMINGO,22:50
77,TERM.STA.FELICIDADE/OURO VERDE,DOMINGO,23:50
