,pontos,dia,horarios
0,TERMINAL SANTA FELICIDADE,DIA ÚTIL,05:38
1,TERMINAL SANTA FELICIDADE,DIA ÚTIL,06:15
2,TERMINAL SANTA FELICIDADE,DIA ÚTIL,06:54
3,TERMINAL SANTA FELICIDADE,DIA ÚTIL,07:34
4,TERMINAL SANTA FELICIDADE,DIA ÚTIL,08:16
5,TERMINAL SANTA FELICIDADE,DIA ÚTIL,09:00
6,TERMINAL SANTA FELICIDADE,DIA ÚTIL,09:45
7,TERMINAL SANTA FELICIDADE,DIA ÚTIL,10:30
8,TERMINAL SANTA FELICIDADE,DIA ÚTIL,11:15
9,TERMINAL SANTA FELICIDADE,DIA ÚTIL,12:00
10,TERMINAL SANTA FELICIDADE,DIA ÚTIL,12:45
11,TERMINAL SANTA FELICIDADE,DIA ÚTIL,13:30
12,TERMINAL SANTA FELICIDADE,DIA ÚTIL,14:15
13,TERMINAL SANTA FELICIDADE,DIA ÚTIL,15:00
14,TERMINAL SANTA FELICIDADE,DIA ÚTIL,15:45
15,TERMINAL SANTA FELICIDADE,DIA ÚTIL,16:30
16,TERMINAL SANTA FELICIDADE,DIA ÚTIL,17:14
17,TERMINAL SANTA FELICIDADE,DIA ÚTIL,17:58
18,TERMINAL SANTA FELICIDADE,DIA ÚTIL,18:42
19,TERMINAL SANTA FELICIDADE,DIA ÚTIL,19:24
20,TERMINAL SANTA FELICIDADE,DIA ÚTIL,20:06
21,TERMINAL SANTA FELICIDADE,DIA ÚTIL,20:45
22,TERMINAL SANTA FELICIDADE,DIA ÚTIL,21:24
23,TERMINAL SANTA FELICIDADE,DIA ÚTIL,22:02
24,TERMINAL SANTA FELICIDADE,DIA ÚTIL,22:40
25,TERMINAL SANTA FELICIDADE,DIA ÚTIL,23:15
26,TERMINAL SANTA FELICIDADE,DIA ÚTIL,23:50
27,TERMINAL SANTA FELICIDADE,DIA ÚTIL,00:25
28,BAIRRO BUTIATUVINHA,DIA ÚTIL,05:20
29,BAIRRO BUTIATUVINHA,DIA ÚTIL,05:56
30,BAIRRO BUTIATUVINHA,DIA ÚTIL,06:34
31,BAIRRO BUTIATUVINHA,DIA ÚTIL,07:12
32,BAIRRO BUTIATUVINHA,DIA ÚTIL,07:54
33,BAIRRO BUTIATUVINHA,DIA ÚTIL,08:36
34,BAIRRO BUTIATUVINHA,DIA ÚTIL,09:20
35,BAIRRO BUTIATUVINHA,DIA ÚTIL,10:05
36,BAIRRO BUTIATUVINHA,DIA ÚTIL,10:50
37,BAIRRO BUTIATUVINHA,DIA ÚTIL,11:35
38,BAIRRO BUTIATUVINHA,DIA ÚTIL,12:20
39,BAIRRO BUTIATUVINHA,DIA ÚTIL,13:05
40,BAIRRO BUTIATUVINHA,DIA ÚTIL,13:50
41,BAIRRO BUTIATUVINHA,DIA ÚTIL,14:35
42,BAIRRO BUTIATUVINHA,DIA ÚTIL,15:20
43,BAIRRO BUTIATUVINHA,DIA ÚTIL,16:05
44,BAIRRO BUTIATUVINHA,DIA ÚTIL,16:50
45,BAIRRO BUTIATUVINHA,DIA ÚTIL,17:36
46,BAIRRO BUTIATUVINHA,DIA ÚTIL,18:20
47,BAIRRO BUTIATUVINHA,DIA ÚTIL,19:04
48,BAIRRO BUTIATUVINHA,DIA ÚTIL,19:46
49,BAIRRO BUTIATUVINHA,DIA ÚTIL,20:25
50,BAIRRO BUTIATUVINHA,DIA ÚTIL,21:04
51,BAIRRO BUTIATUVINHA,DIA ÚTIL,21:42
52,BAIRRO BUTIATUVINHA,DIA ÚTIL,22:20
53,BAIRRO BUTIATUVINHA,DIA ÚTIL,22:57
54,BAIRRO BUTIATUVINHA,DIA ÚTIL,23:32
55,BAIRRO BUTIATUVINHA,DIA ÚTIL,00:07
56,TERMINAL SANTA FELICIDADE,SÁBADO,05:48
57,TERMINAL SANTA FELICIDADE,SÁBADO,06:26
58,TERMINAL SANTA FELICIDADE,SÁBADO,07:04
59,TERMINAL SANTA FELICIDADE,SÁBADO,07:42
60,TERMINAL SANTA FELICIDADE,SÁBADO,08:20
61,TERMINAL SANTA FELICIDADE,SÁBADO,08:58
62,TERMINAL SANTA FELICIDADE,SÁBADO,09:40
63,TERMINAL SANTA FELICIDADE,SÁBADO,10:22
64,TERMINAL SANTA FELICIDADE,SÁBADO,11:04
65,TERMINAL SANTA FELICIDADE,SÁBADO,11:46
66,TERMINAL SANTA FELICIDADE,SÁBADO,12:28
67,TERMINAL SANTA FELICIDADE,SÁBADO,13:10
68,TERMINAL SANTA FELICIDADE,SÁBADO,13:50
69,TERMINAL SANTA FELICIDADE,SÁBADO,14:30
70,TERMINAL SANTA FELICIDADE,SÁBADO,15:12
71,TERMINAL SANTA FELICIDADE,SÁBADO,15:56
72,TERMINAL SANTA FELICIDADE,SÁBADO,16:38
73,TERMINAL SANTA FELICIDADE,SÁBADO,17:20
