,pontos,dia,horarios
0,TERM.HAUER (SENTIDO SALGADO F.,DIA ÚTIL,06:00
1,TERM.HAUER (SENTIDO SALGADO F.,DIA ÚTIL,06:50
2,TERM.HAUER (SENTIDO SALGADO F.,DIA ÚTIL,07:30
3,TERM.HAUER (SENTIDO SALGADO F.,DIA ÚTIL,08:10
4,TERM.HAUER (SENTIDO SALGADO F.,DIA ÚTIL,09:00
5,TERM.HAUER (SENTIDO SALGADO F.,DIA ÚTIL,10:00
6,TERM.HAUER (SENTIDO SALGADO F.,DIA ÚTIL,11:15
7,TERM.HAUER (SENTIDO SALGADO F.,DIA ÚTIL,12:10
8,TERM.HAUER (SENTIDO SALGADO F.,DIA ÚTIL,12:50
9,TERM.HAUER (SENTIDO SALGADO F.,DIA ÚTIL,13:30
10,TERM.HAUER (SENTIDO SALGADO F.,DIA ÚTIL,14:10
11,TERM.HAUER (SENTIDO SALGADO F.,DIA ÚTIL,15:00
12,TERM.HAUER (SENTIDO SALGADO F.,DIA ÚTIL,16:00
13,TERM.HAUER (SENTIDO SALGADO F.,DIA ÚTIL,17:10
14,TERM.HAUER (SENTIDO SALGADO F.,DIA ÚTIL,17:50
15,TERM.HAUER (SENTIDO SALGADO F.,DIA ÚTIL,18:30
16,TERM.HAUER (SENTIDO SALGADO F.,DIA ÚTIL,19:15
17,TERM.HAUER (SENTIDO SALGADO F.,DIA ÚTIL,20:00
18,TERM.HAUER (SENTIDO SALGADO F.,DIA ÚTIL,21:00
19,TERM.HAUER (SENTIDO SALGADO F.,DIA ÚTIL,22:00
20,TERM.HAUER (SENTIDO SALGADO F.,DIA ÚTIL,22:30
21,TERM.HAUER (SENTIDO SALGADO F.,DIA ÚTIL,23:00
22,SALGADO FILHO,DIA ÚTIL,06:15
23,SALGADO FILHO,DIA ÚTIL,07:00
24,SALGADO FILHO,DIA ÚTIL,07:40
25,SALGADO FILHO,DIA ÚTIL,08:20
26,SALGADO FILHO,DIA ÚTIL,09:15
27,SALGADO FILHO,DIA ÚTIL,10:15
28,SALGADO FILHO,DIA ÚTIL,11:30
29,SALGADO FILHO,DIA ÚTIL,12:20
30,SALGADO FILHO,DIA ÚTIL,13:00
31,SALGADO FILHO,DIA ÚTIL,13:40
32,SALGADO FILHO,DIA ÚTIL,14:20
33,SALGADO FILHO,DIA ÚTIL,15:15
34,SALGADO FILHO,DIA ÚTIL,16:15
35,SALGADO FILHO,DIA ÚTIL,17:20
36,SALGADO FILHO,DIA ÚTIL,18:00
37,SALGADO FILHO,DIA ÚTIL,18:40
38,SALGADO FILHO,DIA ÚTIL,19:25
39,SALGADO FILHO,DIA ÚTIL,20:15
40,SALGADO FILHO,DIA ÚTIL,21:15
41,SALGADO FILHO,DIA ÚTIL,22:15
42,SALGADO FILHO,DIA ÚTIL,22:45
43,SALGADO FILHO,DIA ÚTIL,23:15
44,TERM.HAUER (SENTIDO C.BELEM),DIA ÚTIL,05:30
45,TERM.HAUER (SENTIDO C.BELEM),DIA ÚTIL,06:30
46,TERM.HAUER (SENTIDO C.BELEM),DIA ÚTIL,07:10
47,TERM.HAUER (SENTIDO C.BELEM),DIA ÚTIL,07:50
48,TERM.HAUER (SENTIDO C.BELEM),DIA ÚTIL,08:30
49,TERM.HAUER (SENTIDO C.BELEM),DIA ÚTIL,11:45
50,TERM.HAUER (SENTIDO C.BELEM),DIA ÚTIL,12:30
51,TERM.HAUER (SENTIDO C.BELEM),DIA ÚTIL,13:10
52,TERM.HAUER (SENTIDO C.BELEM),DIA ÚTIL,13:50
53,TERM.HAUER (SENTIDO C.BELEM),DIA ÚTIL,17:30
54,TERM.HAUER (SENTIDO C.BELEM),DIA ÚTIL,18:10
55,TERM.HAUER (SENTIDO C.BELEM),DIA ÚTIL,18:50
56,TERM.HAUER (SENTIDO C.BELEM),DIA ÚTIL,19:35
57,TERM.HAUER (SENTIDO C.BELEM),DIA ÚTIL,20:30
58,C.BELEM-RUA JOSE C.DE OLIVEIRA,DIA ÚTIL,05:40
59,C.BELEM-RUA JOSE C.DE OLIVEIRA,DIA ÚTIL,06:40
60,C.BELEM-RUA JOSE C.DE OLIVEIRA,DIA ÚTIL,07:20
61,C.BELEM-RUA JOSE C.DE OLIVEIRA,DIA ÚTIL,08:00
62,C.BELEM-RUA JOSE C.DE OLIVEIRA,DIA ÚTIL,08:40
63,C.BELEM-RUA JOSE C.DE OLIVEIRA,DIA ÚTIL,12:00
64,C.BELEM-RUA JOSE C.DE OLIVEIRA,DIA ÚTIL,12:40
65,C.BELEM-RUA JOSE C.DE OLIVEIRA,DIA ÚTIL,13:20
66,C.BELEM-RUA JOSE C.DE OLIVEIRA,DIA ÚTIL,14:00
67,C.BELEM-RUA JOSE C.DE OLIVEIRA,DIA ÚTIL,17:40
68,C.BELEM-RUA JOSE C.DE OLIVEIRA,DIA ÚTIL,18:20
69,C.BELEM-RUA JOSE C.DE OLIVEIRA,DIA ÚTIL,19:00
70,C.BELEM-RUA JOSE C.DE OLIVEIRA,DIA ÚTIL,19:45
71,C.BELEM-RUA JOSE C.DE OLIVEIRA,DIA ÚTIL,20:45
