,pontos,dia,horarios
0,TERMINAL CAMPO COMPRIDO,DIA ÚTIL,05:25
1,TERMINAL CAMPO COMPRIDO,DIA ÚTIL,05:40
2,TERMINAL CAMPO COMPRIDO,DIA ÚTIL,05:55
3,TERMINAL CAMPO COMPRIDO,DIA ÚTIL,06:10
4,TERMINAL CAMPO COMPRIDO,DIA ÚTIL,06:25
5,TERMINAL CAMPO COMPRIDO,DIA ÚTIL,06:40
6,TERMINAL CAMPO COMPRIDO,DIA ÚTIL,06:55
7,TERMINAL CAMPO COMPRIDO,DIA ÚTIL,07:10
8,TERMINAL CAMPO COMPRIDO,DIA ÚTIL,07:25
9,TERMINAL CAMPO COMPRIDO,DIA ÚTIL,07:40
10,TERMINAL CAMPO COMPRIDO,DIA ÚTIL,07:56
11,TERMINAL CAMPO COMPRIDO,DIA ÚTIL,08:12
12,TERMINAL CAMPO COMPRIDO,DIA ÚTIL,08:34
13,TERMINAL CAMPO COMPRIDO,DIA ÚTIL,08:56
14,TERMINAL CAMPO COMPRIDO,DIA ÚTIL,09:18
15,TERMINAL CAMPO COMPRIDO,DIA ÚTIL,09:40
16,TERMINAL CAMPO COMPRIDO,DIA ÚTIL,10:02
17,TERMINAL CAMPO COMPRIDO,DIA ÚTIL,10:24
18,TERMINAL CAMPO COMPRIDO,DIA ÚTIL,10:46
19,TERMINAL CAMPO COMPRIDO,DIA ÚTIL,11:08
20,TERMINAL CAMPO COMPRIDO,DIA ÚTIL,11:31
21,TERMINAL CAMPO COMPRIDO,DIA ÚTIL,11:54
22,TERMINAL CAMPO COMPRIDO,DIA ÚTIL,12:17
23,TERMINAL CAMPO COMPRIDO,DIA ÚTIL,12:40
24,TERMINAL CAMPO COMPRIDO,DIA ÚTIL,13:03
25,TERMINAL CAMPO COMPRIDO,DIA ÚTIL,13:26
26,TERMINAL CAMPO COMPRIDO,DIA ÚTIL,13:49
27,TERMINAL CAMPO COMPRIDO,DIA ÚTIL,14:12
28,TERMINAL CAMPO COMPRIDO,DIA ÚTIL,14:34
29,TERMINAL CAMPO COMPRIDO,DIA ÚTIL,14:56
30,TERMINAL CAMPO COMPRIDO,DIA ÚTIL,15:18
31,TERMINAL CAMPO COMPRIDO,DIA ÚTIL,15:40
32,TERMINAL CAMPO COMPRIDO,DIA ÚTIL,16:02
33,TERMINAL CAMPO COMPRIDO,DIA ÚTIL,16:17
34,TERMINAL CAMPO COMPRIDO,DIA ÚTIL,16:32
35,TERMINAL CAMPO COMPRIDO,DIA ÚTIL,16:47
36,TERMINAL CAMPO COMPRIDO,DIA ÚTIL,17:02
37,TERMINAL CAMPO COMPRIDO,DIA ÚTIL,17:17
38,TERMINAL CAMPO COMPRIDO,DIA ÚTIL,17:32
39,TERMINAL CAMPO COMPRIDO,DIA ÚTIL,17:47
40,TERMINAL CAMPO COMPRIDO,DIA ÚTIL,18:02
41,TERMINAL CAMPO COMPRIDO,DIA ÚTIL,18:17
42,TERMINAL CAMPO COMPRIDO,DIA ÚTIL,18:33
43,TERMINAL CAMPO COMPRIDO,DIA ÚTIL,18:48
44,TERMINAL CAMPO COMPRIDO,DIA ÚTIL,19:03
45,TERMINAL CAMPO COMPRIDO,DIA ÚTIL,19:19
46,TERMINAL CAMPO COMPRIDO,DIA ÚTIL,19:35
47,TERMINAL CAMPO COMPRIDO,DIA ÚTIL,20:04
48,TERMINAL CAMPO COMPRIDO,DIA ÚTIL,20:34
49,TERMINAL CAMPO COMPRIDO,DIA ÚTIL,21:04
50,TERMINAL CAMPO COMPRIDO,DIA ÚTIL,21:34
51,TERMINAL CAMPO COMPRIDO,DIA ÚTIL,22:04
52,TERMINAL CAMPO COMPRIDO,DIA ÚTIL,22:34
53,TERMINAL CAMPO COMPRIDO,DIA ÚTIL,23:04
54,TERMINAL CAMPO COMPRIDO,DIA ÚTIL,23:34
55,TERMINAL CAMPO COMPRIDO,DIA ÚTIL,00:00
56,T.FAZENDINHA SENTIDO T.C.RASO,DIA ÚTIL,05:10
57,T.FAZENDINHA SENTIDO T.C.RASO,DIA ÚTIL,05:25
58,T.FAZENDINHA SENTIDO T.C.RASO,DIA ÚTIL,05:40
59,T.FAZENDINHA SENTIDO T.C.RASO,DIA ÚTIL,05:54
60,T.FAZENDINHA SENTIDO T.C.RASO,DIA ÚTIL,06:09
61,T.FAZENDINHA SENTIDO T.C.RASO,DIA ÚTIL,06:24
62,T.FAZENDINHA SENTIDO T.C.RASO,DIA ÚTIL,06:39
63,T.FAZENDINHA SENTIDO T.C.RASO,DIA ÚTIL,06:54
64,T.FAZENDINHA SENTIDO T.C.RASO,DIA ÚTIL,07:09
65,T.FAZENDINHA SENTIDO T.C.RASO,DIA ÚTIL,07:24
66,T.FAZENDINHA SENTIDO T.C.RASO,DIA ÚTIL,07:39
67,T.FAZENDINHA SENTIDO T.C.RASO,DIA ÚTIL,07:54
68,T.FAZENDINHA SENTIDO T.C.RASO,DIA ÚTIL,08:09
69,T.FAZENDINHA SENTIDO T.C.RASO,DIA ÚTIL,08:24
70,T.FAZENDINHA SENTIDO T.C.RASO,DIA ÚTIL,08:39
71,T.FAZENDINHA SENTIDO T.C.RASO,DIA ÚTIL,09:01
72,T.FAZENDINHA SENTIDO T.C.RASO,DIA ÚTIL,09:23
73,T.FAZENDINHA SENTIDO T.C.RASO,DIA ÚTIL,09:45
74,T.FAZENDINHA SENTIDO T.C.RASO,DIA ÚTIL,10:07
75,T.FAZENDINHA SENTIDO T.C.RASO,DIA ÚTIL,10:29
76,T.FAZENDINHA SENTIDO T.C.RASO,DIA ÚTIL,10:51
77,T.FAZENDINHA SENTIDO T.C.RASO,DIA ÚTIL,11:13
78,T.FAZENDINHA SENTIDO T.C.RASO,DIA ÚTIL,11:35
79,T.FAZENDINHA SENTIDO T.C.RASO,DIA ÚTIL,11:59
80,T.FAZENDINHA SENTIDO T.C.RASO,DIA ÚTIL,12:22
81,T.FAZENDINHA SENTIDO T.C.RASO,DIA ÚTIL,12:45
82,T.FAZENDINHA SENTIDO T.C.RASO,DIA ÚTIL,13:08
83,T.FAZENDINHA SENTIDO T.C.RASO,DIA ÚTIL,13:31
84,T.FAZENDINHA SENTIDO T.C.RASO,DIA ÚTIL,13:54
85,T.FAZENDINHA SENTIDO T.C.RASO,DIA ÚTIL,14:17
86,T.FAZENDINHA SENTIDO T.C.RASO,DIA ÚTIL,14:40
87,T.FAZENDINHA SENTIDO T.C.RASO,DIA ÚTIL,15:02
88,T.FAZENDINHA SENTIDO T.C.RASO,DIA ÚTIL,15:24
89,T.FAZENDINHA SENTIDO T.C.RASO,DIA ÚTIL,15:46
90,T.FAZENDINHA SENTIDO T.C.RASO,DIA ÚTIL,16:08
91,T.FAZENDINHA SENTIDO T.C.RASO,DIA ÚTIL,16:29
92,T.FAZENDINHA SENTIDO T.C.RASO,DIA ÚTIL,16:44
