,pontos,dia,horarios
0,TERM.CAIUA SENTIDO TERM.C.COMP,DIA ÚTIL,05:44
1,TERM.CAIUA SENTIDO TERM.C.COMP,DIA ÚTIL,06:02
2,TERM.CAIUA SENTIDO TERM.C.COMP,DIA ÚTIL,06:20
3,TERM.CAIUA SENTIDO TERM.C.COMP,DIA ÚTIL,06:38
4,TERM.CAIUA SENTIDO TERM.C.COMP,DIA ÚTIL,06:57
5,TERM.CAIUA SENTIDO TERM.C.COMP,DIA ÚTIL,07:16
6,TERM.CAIUA SENTIDO TERM.C.COMP,DIA ÚTIL,07:35
7,TERM.CAIUA SENTIDO TERM.C.COMP,DIA ÚTIL,07:54
8,TERM.CAIUA SENTIDO TERM.C.COMP,DIA ÚTIL,08:12
9,TERM.CAIUA SENTIDO TERM.C.COMP,DIA ÚTIL,08:30
10,TERM.CAIUA SENTIDO TERM.C.COMP,DIA ÚTIL,08:48
11,TERM.CAIUA SENTIDO TERM.C.COMP,DIA ÚTIL,09:22
12,TERM.CAIUA SENTIDO TERM.C.COMP,DIA ÚTIL,09:57
13,TERM.CAIUA SENTIDO TERM.C.COMP,DIA ÚTIL,10:32
14,TERM.CAIUA SENTIDO TERM.C.COMP,DIA ÚTIL,11:07
15,TERM.CAIUA SENTIDO TERM.C.COMP,DIA ÚTIL,11:42
16,TERM.CAIUA SENTIDO TERM.C.COMP,DIA ÚTIL,12:17
17,TERM.CAIUA SENTIDO TERM.C.COMP,DIA ÚTIL,12:52
18,TERM.CAIUA SENTIDO TERM.C.COMP,DIA ÚTIL,13:27
19,TERM.CAIUA SENTIDO TERM.C.COMP,DIA ÚTIL,14:02
20,TERM.CAIUA SENTIDO TERM.C.COMP,DIA ÚTIL,14:41
21,TERM.CAIUA SENTIDO TERM.C.COMP,DIA ÚTIL,15:16
22,TERM.CAIUA SENTIDO TERM.C.COMP,DIA ÚTIL,15:54
23,TERM.CAIUA SENTIDO TERM.C.COMP,DIA ÚTIL,16:32
24,TERM.CAIUA SENTIDO TERM.C.COMP,DIA ÚTIL,17:12
25,TERM.CAIUA SENTIDO TERM.C.COMP,DIA ÚTIL,17:52
26,TERM.CAIUA SENTIDO TERM.C.COMP,DIA ÚTIL,18:14
27,TERM.CAIUA SENTIDO TERM.C.COMP,DIA ÚTIL,18:36
28,TERM.CAIUA SENTIDO TERM.C.COMP,DIA ÚTIL,18:58
29,TERM.CAIUA SENTIDO TERM.C.COMP,DIA ÚTIL,19:21
30,TERM.CAIUA SENTIDO TERM.C.COMP,DIA ÚTIL,19:44
31,TERM.CAIUA SENTIDO TERM.C.COMP,DIA ÚTIL,20:47
32,TERM.CAIUA SENTIDO TERM.C.COMP,DIA ÚTIL,21:50
33,TERM.CAIUA SENTIDO TERM.C.COMP,DIA ÚTIL,22:53
34,TERM.CAIUA SENTIDO TERM.C.COMP,DIA ÚTIL,23:56
35,TERMINAL CIC,DIA ÚTIL,05:42
36,TERMINAL CIC,DIA ÚTIL,06:01
37,TERMINAL CIC,DIA ÚTIL,06:20
