,pontos,dia,horarios
0,CANAL DA MUSICA,DIA ÚTIL,06:00
1,CANAL DA MUSICA,DIA ÚTIL,06:28
2,CANAL DA MUSICA,DIA ÚTIL,06:56
3,CANAL DA MUSICA,DIA ÚTIL,07:24
4,CANAL DA MUSICA,DIA ÚTIL,07:53
5,CANAL DA MUSICA,DIA ÚTIL,08:22
6,CANAL DA MUSICA,DIA ÚTIL,08:51
7,CANAL DA MUSICA,DIA ÚTIL,09:20
8,CANAL DA MUSICA,DIA ÚTIL,09:50
9,CANAL DA MUSICA,DIA ÚTIL,10:20
10,CANAL DA MUSICA,DIA ÚTIL,10:50
11,CANAL DA MUSICA,DIA ÚTIL,11:21
12,CANAL DA MUSICA,DIA ÚTIL,11:52
13,CANAL DA MUSICA,DIA ÚTIL,12:21
14,CANAL DA MUSICA,DIA ÚTIL,12:50
15,CANAL DA MUSICA,DIA ÚTIL,13:20
16,CANAL DA MUSICA,DIA ÚTIL,13:50
17,CANAL DA MUSICA,DIA ÚTIL,14:20
18,CANAL DA MUSICA,DIA ÚTIL,14:50
19,CANAL DA MUSICA,DIA ÚTIL,15:20
20,CANAL DA MUSICA,DIA ÚTIL,15:50
21,CANAL DA MUSICA,DIA ÚTIL,16:18
22,CANAL DA MUSICA,DIA ÚTIL,16:47
23,CANAL DA MUSICA,DIA ÚTIL,17:17
24,CANAL DA MUSICA,DIA ÚTIL,17:45
25,CANAL DA MUSICA,DIA ÚTIL,18:18
26,CANAL DA MUSICA,DIA ÚTIL,18:51
27,CANAL DA MUSICA,DIA ÚTIL,19:20
28,CANAL DA MUSICA,DIA ÚTIL,19:50
29,CANAL DA MUSICA,DIA ÚTIL,20:19
30,CANAL DA MUSICA,DIA ÚTIL,20:48
31,CANAL DA MUSICA,DIA ÚTIL,21:16
32,CANAL DA MUSICA,DIA ÚTIL,21:44
33,CANAL DA MUSICA,DIA ÚTIL,22:11
34,CANAL DA MUSICA,DIA ÚTIL,22:39
35,CANAL DA MUSICA,DIA ÚTIL,23:07
36,CANAL DA MUSICA,DIA ÚTIL,23:35
37,TEATRO GUAIRA,DIA ÚTIL,06:24
38,TEATRO GUAIRA,DIA ÚTIL,06:52
39,TEATRO GUAIRA,DIA ÚTIL,07:20
40,TEATRO GUAIRA,DIA ÚTIL,07:49
41,TEATRO GUAIRA,DIA ÚTIL,08:17
42,TEATRO GUAIRA,DIA ÚTIL,08:46
43,TEATRO GUAIRA,DIA ÚTIL,09:17
44,TEATRO GUAIRA,DIA ÚTIL,09:48
45,TEATRO GUAIRA,DIA ÚTIL,10:18
46,TEATRO GUAIRA,DIA ÚTIL,10:48
47,TEATRO GUAIRA,DIA ÚTIL,11:17
