,pontos,dia,horarios
0,TERMINAL CAPAO RASO,DIA ÚTIL,05:15
1,TERMINAL CAPAO RASO,DIA ÚTIL,05:31
2,TERMINAL CAPAO RASO,DIA ÚTIL,05:47
3,TERMINAL CAPAO RASO,DIA ÚTIL,06:03
4,TERMINAL CAPAO RASO,DIA ÚTIL,06:14
5,TERMINAL CAPAO RASO,DIA ÚTIL,06:25
6,TERMINAL CAPAO RASO,DIA ÚTIL,06:36
7,TERMINAL CAPAO RASO,DIA ÚTIL,06:47
8,TERMINAL CAPAO RASO,DIA ÚTIL,06:58
9,TERMINAL CAPAO RASO,DIA ÚTIL,07:09
10,TERMINAL CAPAO RASO,DIA ÚTIL,07:19
11,TERMINAL CAPAO RASO,DIA ÚTIL,07:30
12,TERMINAL CAPAO RASO,DIA ÚTIL,07:40
13,TERMINAL CAPAO RASO,DIA ÚTIL,07:50
14,TERMINAL CAPAO RASO,DIA ÚTIL,08:15
15,TERMINAL CAPAO RASO,DIA ÚTIL,08:40
16,TERMINAL CAPAO RASO,DIA ÚTIL,09:05
17,TERMINAL CAPAO RASO,DIA ÚTIL,09:30
18,TERMINAL CAPAO RASO,DIA ÚTIL,09:55
19,TERMINAL CAPAO RASO,DIA ÚTIL,10:20
20,TERMINAL CAPAO RASO,DIA ÚTIL,10:45
21,TERMINAL CAPAO RASO,DIA ÚTIL,11:10
22,TERMINAL CAPAO RASO,DIA ÚTIL,11:35
23,TERMINAL CAPAO RASO,DIA ÚTIL,11:55
24,TERMINAL CAPAO RASO,DIA ÚTIL,12:15
25,TERMINAL CAPAO RASO,DIA ÚTIL,12:34
26,TERMINAL CAPAO RASO,DIA ÚTIL,12:53
27,TERMINAL CAPAO RASO,DIA ÚTIL,13:12
28,TERMINAL CAPAO RASO,DIA ÚTIL,13:31
29,TERMINAL CAPAO RASO,DIA ÚTIL,13:50
30,TERMINAL CAPAO RASO,DIA ÚTIL,14:09
31,TERMINAL CAPAO RASO,DIA ÚTIL,14:28
32,TERMINAL CAPAO RASO,DIA ÚTIL,14:47
33,TERMINAL CAPAO RASO,DIA ÚTIL,15:06
34,TERMINAL CAPAO RASO,DIA ÚTIL,15:25
35,TERMINAL CAPAO RASO,DIA ÚTIL,15:44
36,TERMINAL CAPAO RASO,DIA ÚTIL,16:03
37,TERMINAL CAPAO RASO,DIA ÚTIL,16:22
38,TERMINAL CAPAO RASO,DIA ÚTIL,16:33
39,TERMINAL CAPAO RASO,DIA ÚTIL,16:44
40,TERMINAL CAPAO RASO,DIA ÚTIL,16:55
41,TERMINAL CAPAO RASO,DIA ÚTIL,17:06
42,TERMINAL CAPAO RASO,DIA ÚTIL,17:17
43,TERMINAL CAPAO RASO,DIA ÚTIL,17:28
44,TERMINAL CAPAO RASO,DIA ÚTIL,17:40
45,TERMINAL CAPAO RASO,DIA ÚTIL,17:52
46,TERMINAL CAPAO RASO,DIA ÚTIL,18:04
