,pontos,dia,horarios
0,TERMINAL CABRAL,DIA ÚTIL,06:24
1,TERMINAL CABRAL,DIA ÚTIL,06:32
2,TERMINAL CABRAL,DIA ÚTIL,06:39
3,TERMINAL CABRAL,DIA ÚTIL,06:47
4,TERMINAL CABRAL,DIA ÚTIL,06:55
5,TERMINAL CABRAL,DIA ÚTIL,07:01
6,TERMINAL CABRAL,DIA ÚTIL,07:10
7,TERMINAL CABRAL,DIA ÚTIL,07:16
8,TERMINAL CABRAL,DIA ÚTIL,07:24
9,TERMINAL CABRAL,DIA ÚTIL,07:31
10,TERMINAL CABRAL,DIA ÚTIL,07:44
11,TERMINAL CABRAL,DIA ÚTIL,07:51
12,TERMINAL CABRAL,DIA ÚTIL,08:00
13,TERMINAL CABRAL,DIA ÚTIL,08:08
14,TERMINAL CABRAL,DIA ÚTIL,08:14
15,TERMINAL CABRAL,DIA ÚTIL,08:22
16,TERMINAL CABRAL,DIA ÚTIL,08:30
17,TERMINAL CABRAL,DIA ÚTIL,08:37
18,TERMINAL CABRAL,DIA ÚTIL,11:40
19,TERMINAL CABRAL,DIA ÚTIL,11:54
20,TERMINAL CABRAL,DIA ÚTIL,12:16
21,TERMINAL CABRAL,DIA ÚTIL,12:31
22,TERMINAL CABRAL,DIA ÚTIL,12:53
23,TERMINAL CABRAL,DIA ÚTIL,13:08
24,TERMINAL CABRAL,DIA ÚTIL,13:23
25,TERMINAL CABRAL,DIA ÚTIL,13:46
26,TERMINAL CABRAL,DIA ÚTIL,16:49
27,TERMINAL CABRAL,DIA ÚTIL,17:12
28,TERMINAL CABRAL,DIA ÚTIL,17:19
29,TERMINAL CABRAL,DIA ÚTIL,17:27
30,TERMINAL CABRAL,DIA ÚTIL,17:35
31,TERMINAL CABRAL,DIA ÚTIL,17:44
32,TERMINAL CABRAL,DIA ÚTIL,17:51
33,TERMINAL CABRAL,DIA ÚTIL,17:59
34,TERMINAL CABRAL,DIA ÚTIL,18:06
35,TERMINAL CABRAL,DIA ÚTIL,18:14
36,TERMINAL CABRAL,DIA ÚTIL,18:22
37,TERMINAL CABRAL,DIA ÚTIL,18:29
38,TERMINAL CABRAL,DIA ÚTIL,18:37
39,TERMINAL CABRAL,DIA ÚTIL,18:45
40,TERMINAL CABRAL,DIA ÚTIL,18:52
41,TERMINAL CABRAL,DIA ÚTIL,19:00
42,TERMINAL CABRAL,DIA ÚTIL,19:07
43,TERMINAL CABRAL,DIA ÚTIL,19:15
44,ESTACAO CENTRAL/SENTIDO SUL,DIA ÚTIL,06:36
45,ESTACAO CENTRAL/SENTIDO SUL,DIA ÚTIL,06:44
46,ESTACAO CENTRAL/SENTIDO SUL,DIA ÚTIL,06:51
47,ESTACAO CENTRAL/SENTIDO SUL,DIA ÚTIL,06:59
48,ESTACAO CENTRAL/SENTIDO SUL,DIA ÚTIL,07:07
49,ESTACAO CENTRAL/SENTIDO SUL,DIA ÚTIL,07:12
50,ESTACAO CENTRAL/SENTIDO SUL,DIA ÚTIL,07:21
51,ESTACAO CENTRAL/SENTIDO SUL,DIA ÚTIL,07:28
52,ESTACAO CENTRAL/SENTIDO SUL,DIA ÚTIL,07:36
53,ESTACAO CENTRAL/SENTIDO SUL,DIA ÚTIL,07:43
54,ESTACAO CENTRAL/SENTIDO SUL,DIA ÚTIL,07:56
55,ESTACAO CENTRAL/SENTIDO SUL,DIA ÚTIL,08:04
56,ESTACAO CENTRAL/SENTIDO SUL,DIA ÚTIL,08:12
57,ESTACAO CENTRAL/SENTIDO SUL,DIA ÚTIL,08:20
58,ESTACAO CENTRAL/SENTIDO SUL,DIA ÚTIL,08:26
59,ESTACAO CENTRAL/SENTIDO SUL,DIA ÚTIL,08:34
60,ESTACAO CENTRAL/SENTIDO SUL,DIA ÚTIL,08:42
61,ESTACAO CENTRAL/SENTIDO SUL,DIA ÚTIL,08:50
62,ESTACAO CENTRAL/SENTIDO SUL,DIA ÚTIL,11:36
63,ESTACAO CENTRAL/SENTIDO SUL,DIA ÚTIL,11:52
64,ESTACAO CENTRAL/SENTIDO SUL,DIA ÚTIL,12:06
65,ESTACAO CENTRAL/SENTIDO SUL,DIA ÚTIL,12:28
66,ESTACAO CENTRAL/SENTIDO SUL,DIA ÚTIL,12:43
67,ESTACAO CENTRAL/SENTIDO SUL,DIA ÚTIL,13:05
68,ESTACAO CENTRAL/SENTIDO SUL,DIA ÚTIL,13:20
69,ESTACAO CENTRAL/SENTIDO SUL,DIA ÚTIL,13:35
70,ESTACAO CENTRAL/SENTIDO SUL,DIA ÚTIL,13:58
71,ESTACAO CENTRAL/SENTIDO SUL,DIA ÚTIL,16:38
72,ESTACAO CENTRAL/SENTIDO SUL,DIA ÚTIL,16:53
73,ESTACAO CENTRAL/SENTIDO SUL,DIA ÚTIL,17:01
74,ESTACAO CENTRAL/SENTIDO SUL,DIA ÚTIL,17:08
75,ESTACAO CENTRAL/SENTIDO SUL,DIA ÚTIL,17:24
76,ESTACAO CENTRAL/SENTIDO SUL,DIA ÚTIL,17:31
77,ESTACAO CENTRAL/SENTIDO SUL,DIA ÚTIL,17:39
78,ESTACAO CENTRAL/SENTIDO SUL,DIA ÚTIL,17:47
79,ESTACAO CENTRAL/SENTIDO SUL,DIA ÚTIL,17:56
80,ESTACAO CENTRAL/SENTIDO SUL,DIA ÚTIL,18:03
81,ESTACAO CENTRAL/SENTIDO SUL,DIA ÚTIL,18:11
82,ESTACAO CENTRAL/SENTIDO SUL,DIA ÚTIL,18:18
83,ESTACAO CENTRAL/SENTIDO SUL,DIA ÚTIL,18:26
84,ESTACAO CENTRAL/SENTIDO SUL,DIA ÚTIL,18:34
85,ESTACAO CENTRAL/SENTIDO SUL,DIA ÚTIL,18:41
86,ESTACAO CENTRAL/SENTIDO SUL,DIA ÚTIL,18:49
87,ESTACAO CENTRAL/SENTIDO SUL,DIA ÚTIL,18:57
88,ESTACAO CENTRAL/SENTIDO SUL,DIA ÚTIL,19:04
89,ESTACAO CENTRAL/SENTIDO SUL,DIA ÚTIL,19:12
90,ESTACAO CENTRAL/SENTIDO SUL,DIA ÚTIL,19:19
91,ESTACAO CENTRAL/SENTIDO SUL,DIA ÚTIL,19:27
92,ESTACAO BENTO VIANA/SENT.SUL,DIA ÚTIL,06:49
93,ESTACAO BENTO VIANA/SENT.SUL,DIA ÚTIL,06:57
94,ESTACAO BENTO VIANA/SENT.SUL,DIA ÚTIL,07:04
95,ESTACAO BENTO VIANA/SENT.SUL,DIA ÚTIL,07:12
96,ESTACAO BENTO VIANA/SENT.SUL,DIA ÚTIL,07:20
97,ESTACAO BENTO VIANA/SENT.SUL,DIA ÚTIL,07:26
98,ESTACAO BENTO VIANA/SENT.SUL,DIA ÚTIL,07:34
99,ESTACAO BENTO VIANA/SENT.SUL,DIA ÚTIL,07:42
100,ESTACAO BENTO VIANA/SENT.SUL,DIA ÚTIL,07:49
101,ESTACAO BENTO VIANA/SENT.SUL,DIA ÚTIL,07:57
102,ESTACAO BENTO VIANA/SENT.SUL,DIA ÚTIL,08:10
103,ESTACAO BENTO VIANA/SENT.SUL,DIA ÚTIL,08:18
104,ESTACAO BENTO VIANA/SENT.SUL,DIA ÚTIL,08:26
105,ESTACAO BENTO VIANA/SENT.SUL,DIA ÚTIL,08:34
106,ESTACAO BENTO VIANA/SENT.SUL,DIA ÚTIL,08:40
107,ESTACAO BENTO VIANA/SENT.SUL,DIA ÚTIL,08:48
108,ESTACAO BENTO VIANA/SENT.SUL,DIA ÚTIL,08:55
109,ESTACAO BENTO VIANA/SENT.SUL,DIA ÚTIL,09:03
110,ESTACAO BENTO VIANA/SENT.SUL,DIA ÚTIL,11:49
111,ESTACAO BENTO VIANA/SENT.SUL,DIA ÚTIL,12:05
112,ESTACAO BENTO VIANA/SENT.SUL,DIA ÚTIL,12:19
113,ESTACAO BENTO VIANA/SENT.SUL,DIA ÚTIL,12:42
114,ESTACAO BENTO VIANA/SENT.SUL,DIA ÚTIL,12:57
115,ESTACAO BENTO VIANA/SENT.SUL,DIA ÚTIL,13:19
116,ESTACAO BENTO VIANA/SENT.SUL,DIA ÚTIL,13:34
117,ESTACAO BENTO VIANA/SENT.SUL,DIA ÚTIL,13:49
118,ESTACAO BENTO VIANA/SENT.SUL,DIA ÚTIL,14:12
119,ESTACAO BENTO VIANA/SENT.SUL,DIA ÚTIL,16:52
120,ESTACAO BENTO VIANA/SENT.SUL,DIA ÚTIL,17:07
121,ESTACAO BENTO VIANA/SENT.SUL,DIA ÚTIL,17:15
122,ESTACAO BENTO VIANA/SENT.SUL,DIA ÚTIL,17:22
123,ESTACAO BENTO VIANA/SENT.SUL,DIA ÚTIL,17:38
124,ESTACAO BENTO VIANA/SENT.SUL,DIA ÚTIL,17:45
125,ESTACAO BENTO VIANA/SENT.SUL,DIA ÚTIL,17:53
126,ESTACAO BENTO VIANA/SENT.SUL,DIA ÚTIL,18:01
127,ESTACAO BENTO VIANA/SENT.SUL,DIA ÚTIL,18:10
128,ESTACAO BENTO VIANA/SENT.SUL,DIA ÚTIL,18:17
129,ESTACAO BENTO VIANA/SENT.SUL,DIA ÚTIL,18:25
130,ESTACAO BENTO VIANA/SENT.SUL,DIA ÚTIL,18:32
131,ESTACAO BENTO VIANA/SENT.SUL,DIA ÚTIL,18:40
132,ESTACAO BENTO VIANA/SENT.SUL,DIA ÚTIL,18:49
133,ESTACAO BENTO VIANA/SENT.SUL,DIA ÚTIL,18:56
134,ESTACAO BENTO VIANA/SENT.SUL,DIA ÚTIL,19:04
135,ESTACAO BENTO VIANA/SENT.SUL,DIA ÚTIL,19:11
136,ESTACAO BENTO VIANA/SENT.SUL,DIA ÚTIL,19:18
137,ESTACAO BENTO VIANA/SENT.SUL,DIA ÚTIL,19:26
138,ESTACAO BENTO VIANA/SENT.SUL,DIA ÚTIL,19:33
139,ESTACAO BENTO VIANA/SENT.SUL,DIA ÚTIL,19:41
140,TERMINAL CAPAO RASO,DIA ÚTIL,06:02
141,TERMINAL CAPAO RASO,DIA ÚTIL,06:09
142,TERMINAL CAPAO RASO,DIA ÚTIL,06:18
143,TERMINAL CAPAO RASO,DIA ÚTIL,06:25
144,TERMINAL CAPAO RASO,DIA ÚTIL,06:34
145,TERMINAL CAPAO RASO,DIA ÚTIL,06:41
146,TERMINAL CAPAO RASO,DIA ÚTIL,06:47
147,TERMINAL CAPAO RASO,DIA ÚTIL,06:55
148,TERMINAL CAPAO RASO,DIA ÚTIL,07:05
