,pontos,dia,horarios
0,TERMINAL CABRAL,DIA ÚTIL,05:42
1,TERMINAL CABRAL,DIA ÚTIL,06:00
2,TERMINAL CABRAL,DIA ÚTIL,06:14
3,TERMINAL CABRAL,DIA ÚTIL,06:28
4,TERMINAL CABRAL,DIA ÚTIL,06:38
5,TERMINAL CABRAL,DIA ÚTIL,06:48
6,TERMINAL CABRAL,DIA ÚTIL,06:58
7,TERMINAL CABRAL,DIA ÚTIL,07:08
8,TERMINAL CABRAL,DIA ÚTIL,07:17
9,TERMINAL CABRAL,DIA ÚTIL,07:26
10,TERMINAL CABRAL,DIA ÚTIL,07:35
11,TERMINAL CABRAL,DIA ÚTIL,07:44
12,TERMINAL CABRAL,DIA ÚTIL,07:53
13,TERMINAL CABRAL,DIA ÚTIL,08:03
14,TERMINAL CABRAL,DIA ÚTIL,08:13
15,TERMINAL CABRAL,DIA ÚTIL,08:23
16,TERMINAL CABRAL,DIA ÚTIL,08:33
17,TERMINAL CABRAL,DIA ÚTIL,08:44
18,TERMINAL CABRAL,DIA ÚTIL,08:55
19,TERMINAL CABRAL,DIA ÚTIL,09:12
20,TERMINAL CABRAL,DIA ÚTIL,09:32
21,TERMINAL CABRAL,DIA ÚTIL,10:01
22,TERMINAL CABRAL,DIA ÚTIL,10:30
23,TERMINAL CABRAL,DIA ÚTIL,10:59
24,TERMINAL CABRAL,DIA ÚTIL,11:30
25,TERMINAL CABRAL,DIA ÚTIL,11:55
26,TERMINAL CABRAL,DIA ÚTIL,12:18
27,TERMINAL CABRAL,DIA ÚTIL,12:38
28,TERMINAL CABRAL,DIA ÚTIL,12:58
29,TERMINAL CABRAL,DIA ÚTIL,13:18
30,TERMINAL CABRAL,DIA ÚTIL,13:38
31,TERMINAL CABRAL,DIA ÚTIL,13:58
32,TERMINAL CABRAL,DIA ÚTIL,14:18
33,TERMINAL CABRAL,DIA ÚTIL,14:38
34,TERMINAL CABRAL,DIA ÚTIL,14:58
35,TERMINAL CABRAL,DIA ÚTIL,15:18
36,TERMINAL CABRAL,DIA ÚTIL,15:38
37,TERMINAL CABRAL,DIA ÚTIL,15:56
38,TERMINAL CABRAL,DIA ÚTIL,16:18
39,TERMINAL CABRAL,DIA ÚTIL,16:40
40,TERMINAL CABRAL,DIA ÚTIL,17:00
41,TERMINAL CABRAL,DIA ÚTIL,17:12
42,TERMINAL CABRAL,DIA ÚTIL,17:22
43,TERMINAL CABRAL,DIA ÚTIL,17:33
44,TERMINAL CABRAL,DIA ÚTIL,17:44
45,TERMINAL CABRAL,DIA ÚTIL,17:55
46,TERMINAL CABRAL,DIA ÚTIL,18:08
47,TERMINAL CABRAL,DIA ÚTIL,18:20
48,TERMINAL CABRAL,DIA ÚTIL,18:35
49,TERMINAL CABRAL,DIA ÚTIL,18:55
50,TERMINAL CABRAL,DIA ÚTIL,19:15
51,TERMINAL CABRAL,DIA ÚTIL,19:41
52,TERMINAL CABRAL,DIA ÚTIL,20:07
53,TERMINAL CABRAL,DIA ÚTIL,20:32
54,TERMINAL CABRAL,DIA ÚTIL,20:58
55,TERMINAL CABRAL,DIA ÚTIL,21:23
56,TERMINAL CABRAL,DIA ÚTIL,21:48
57,TERMINAL CABRAL,DIA ÚTIL,22:13
58,TERMINAL CABRAL,DIA ÚTIL,22:38
59,TERMINAL CABRAL,DIA ÚTIL,23:03
60,TERMINAL CABRAL,DIA ÚTIL,23:30
61,PRACA GENERAL OSORIO,DIA ÚTIL,05:47
62,PRACA GENERAL OSORIO,DIA ÚTIL,06:06
63,PRACA GENERAL OSORIO,DIA ÚTIL,06:28
64,PRACA GENERAL OSORIO,DIA ÚTIL,06:38
65,PRACA GENERAL OSORIO,DIA ÚTIL,06:55
66,PRACA GENERAL OSORIO,DIA ÚTIL,07:05
67,PRACA GENERAL OSORIO,DIA ÚTIL,07:14
68,PRACA GENERAL OSORIO,DIA ÚTIL,07:23
69,PRACA GENERAL OSORIO,DIA ÚTIL,07:34
70,PRACA GENERAL OSORIO,DIA ÚTIL,07:44
71,PRACA GENERAL OSORIO,DIA ÚTIL,07:53
72,PRACA GENERAL OSORIO,DIA ÚTIL,08:03
73,PRACA GENERAL OSORIO,DIA ÚTIL,08:14
74,PRACA GENERAL OSORIO,DIA ÚTIL,08:23
75,PRACA GENERAL OSORIO,DIA ÚTIL,08:42
76,PRACA GENERAL OSORIO,DIA ÚTIL,09:02
77,PRACA GENERAL OSORIO,DIA ÚTIL,09:28
78,PRACA GENERAL OSORIO,DIA ÚTIL,09:59
79,PRACA GENERAL OSORIO,DIA ÚTIL,10:29
80,PRACA GENERAL OSORIO,DIA ÚTIL,10:59
81,PRACA GENERAL OSORIO,DIA ÚTIL,11:25
82,PRACA GENERAL OSORIO,DIA ÚTIL,11:45
83,PRACA GENERAL OSORIO,DIA ÚTIL,12:05
84,PRACA GENERAL OSORIO,DIA ÚTIL,12:25
85,PRACA GENERAL OSORIO,DIA ÚTIL,12:45
86,PRACA GENERAL OSORIO,DIA ÚTIL,13:05
87,PRACA GENERAL OSORIO,DIA ÚTIL,13:25
88,PRACA GENERAL OSORIO,DIA ÚTIL,13:45
89,PRACA GENERAL OSORIO,DIA ÚTIL,14:05
90,PRACA GENERAL OSORIO,DIA ÚTIL,14:25
91,PRACA GENERAL OSORIO,DIA ÚTIL,14:45
92,PRACA GENERAL OSORIO,DIA ÚTIL,15:05
93,PRACA GENERAL OSORIO,DIA ÚTIL,15:25
94,PRACA GENERAL OSORIO,DIA ÚTIL,15:45
95,PRACA GENERAL OSORIO,DIA ÚTIL,16:04
96,PRACA GENERAL OSORIO,DIA ÚTIL,16:23
97,PRACA GENERAL OSORIO,DIA ÚTIL,16:35
98,PRACA GENERAL OSORIO,DIA ÚTIL,16:47
99,PRACA GENERAL OSORIO,DIA ÚTIL,16:59
100,PRACA GENERAL OSORIO,DIA ÚTIL,17:11
101,PRACA GENERAL OSORIO,DIA ÚTIL,17:23
102,PRACA GENERAL OSORIO,DIA ÚTIL,17:33
103,PRACA GENERAL OSORIO,DIA ÚTIL,17:43
104,PRACA GENERAL OSORIO,DIA ÚTIL,17:53
105,PRACA GENERAL OSORIO,DIA ÚTIL,18:03
106,PRACA GENERAL OSORIO,DIA ÚTIL,18:14
107,PRACA GENERAL OSORIO,DIA ÚTIL,18:25
108,PRACA GENERAL OSORIO,DIA ÚTIL,18:37
109,PRACA GENERAL OSORIO,DIA ÚTIL,18:50
110,PRACA GENERAL OSORIO,DIA ÚTIL,19:04
111,PRACA GENERAL OSORIO,DIA ÚTIL,19:20
112,PRACA GENERAL OSORIO,DIA ÚTIL,19:40
113,PRACA GENERAL OSORIO,DIA ÚTIL,20:05
114,PRACA GENERAL OSORIO,DIA ÚTIL,20:30
115,PRACA GENERAL OSORIO,DIA ÚTIL,20:55
116,PRACA GENERAL OSORIO,DIA ÚTIL,21:20
117,PRACA GENERAL OSORIO,DIA ÚTIL,21:45
118,PRACA GENERAL OSORIO,DIA ÚTIL,22:10
119,PRACA GENERAL OSORIO,DIA ÚTIL,22:35
120,PRACA GENERAL OSORIO,DIA ÚTIL,23:00
121,PRACA GENERAL OSORIO,DIA ÚTIL,23:25
122,PRACA GENERAL OSORIO,DIA ÚTIL,23:50
123,TERMINAL CABRAL,SÁBADO,06:00
124,TERMINAL CABRAL,SÁBADO,06:25
125,TERMINAL CABRAL,SÁBADO,06:50
126,TERMINAL CABRAL,SÁBADO,07:16
127,TERMINAL CABRAL,SÁBADO,07:42
128,TERMINAL CABRAL,SÁBADO,08:08
129,TERMINAL CABRAL,SÁBADO,08:35
130,TERMINAL CABRAL,SÁBADO,09:02
131,TERMINAL CABRAL,SÁBADO,09:30
132,TERMINAL CABRAL,SÁBADO,10:25
133,TERMINAL CABRAL,SÁBADO,11:20
134,TERMINAL CABRAL,SÁBADO,12:15
135,TERMINAL CABRAL,SÁBADO,13:10
136,TERMINAL CABRAL,SÁBADO,14:05
137,TERMINAL CABRAL,SÁBADO,15:00
138,TERMINAL CABRAL,SÁBADO,15:55
139,TERMINAL CABRAL,SÁBADO,16:50
140,TERMINAL CABRAL,SÁBADO,17:45
141,TERMINAL CABRAL,SÁBADO,18:40
142,TERMINAL CABRAL,SÁBADO,19:30
143,TERMINAL CABRAL,SÁBADO,20:20
144,TERMINAL CABRAL,SÁBADO,21:10
145,TERMINAL CABRAL,SÁBADO,22:00
146,TERMINAL CABRAL,SÁBADO,22:50
147,PRACA GENERAL OSORIO,SÁBADO,06:22
148,PRACA GENERAL OSORIO,SÁBADO,06:48
149,PRACA GENERAL OSORIO,SÁBADO,07:15
150,PRACA GENERAL OSORIO,SÁBADO,07:41
151,PRACA GENERAL OSORIO,SÁBADO,08:07
152,PRACA GENERAL OSORIO,SÁBADO,08:33
153,PRACA GENERAL OSORIO,SÁBADO,09:00
154,PRACA GENERAL OSORIO,SÁBADO,09:55
155,PRACA GENERAL OSORIO,SÁBADO,10:50
156,PRACA GENERAL OSORIO,SÁBADO,11:45
157,PRACA GENERAL OSORIO,SÁBADO,12:38
158,PRACA GENERAL OSORIO,SÁBADO,13:33
159,PRACA GENERAL OSORIO,SÁBADO,14:28
160,PRACA GENERAL OSORIO,SÁBADO,15:23
161,PRACA GENERAL OSORIO,SÁBADO,16:18
162,PRACA GENERAL OSORIO,SÁBADO,17:13
163,PRACA GENERAL OSORIO,SÁBADO,18:08
164,PRACA GENERAL OSORIO,SÁBADO,19:02
165,PRACA GENERAL OSORIO,SÁBADO,19:52
166,PRACA GENERAL OSORIO,SÁBADO,20:42
167,PRACA GENERAL OSORIO,SÁBADO,21:32
168,PRACA GENERAL OSORIO,SÁBADO,22:22
169,PRACA GENERAL OSORIO,SÁBADO,23:12
170,TERMINAL CABRAL,DOMINGO,06:00
171,TERMINAL CABRAL,DOMINGO,06:50
172,TERMINAL CABRAL,DOMINGO,07:40
173,TERMINAL CABRAL,DOMINGO,08:30
174,TERMINAL CABRAL,DOMINGO,09:20
175,TERMINAL CABRAL,DOMINGO,10:10
176,TERMINAL CABRAL,DOMINGO,11:02
177,TERMINAL CABRAL,DOMINGO,11:55
178,TERMINAL CABRAL,DOMINGO,12:48
179,TERMINAL CABRAL,DOMINGO,13:42
180,TERMINAL CABRAL,DOMINGO,14:36
181,TERMINAL CABRAL,DOMINGO,15:30
182,TERMINAL CABRAL,DOMINGO,16:22
183,TERMINAL CABRAL,DOMINGO,17:14
184,TERMINAL CABRAL,DOMINGO,18:06
185,TERMINAL CABRAL,DOMINGO,18:58
186,TERMINAL CABRAL,DOMINGO,19:48
187,TERMINAL CABRAL,DOMINGO,20:38
188,TERMINAL CABRAL,DOMINGO,21:23
189,TERMINAL CABRAL,DOMINGO,22:08
190,TERMINAL CABRAL,DOMINGO,22:52
191,TERMINAL CABRAL,DOMINGO,23:35
192,PRACA GENERAL OSORIO,DOMINGO,06:22
193,PRACA GENERAL OSORIO,DOMINGO,07:12
194,PRACA GENERAL OSORIO,DOMINGO,08:02
195,PRACA GENERAL OSORIO,DOMINGO,08:52
196,PRACA GENERAL OSORIO,DOMINGO,09:42
197,PRACA GENERAL OSORIO,DOMINGO,10:34
198,PRACA GENERAL OSORIO,DOMINGO,11:26
199,PRACA GENERAL OSORIO,DOMINGO,12:18
200,PRACA GENERAL OSORIO,DOMINGO,13:12
201,PRACA GENERAL OSORIO,DOMINGO,14:06
202,PRACA GENERAL OSORIO,DOMINGO,15:00
203,PRACA GENERAL OSORIO,DOMINGO,15:52
204,PRACA GENERAL OSORIO,DOMINGO,16:44
205,PRACA GENERAL OSORIO,DOMINGO,17:36
206,PRACA GENERAL OSORIO,DOMINGO,18:28
207,PRACA GENERAL OSORIO,DOMINGO,19:20
208,PRACA GENERAL OSORIO,DOMINGO,20:10
209,PRACA GENERAL OSORIO,DOMINGO,20:58
210,PRACA GENERAL OSORIO,DOMINGO,21:43
211,PRACA GENERAL OSORIO,DOMINGO,22:28
212,PRACA GENERAL OSORIO,DOMINGO,23:12
