,pontos,dia,horarios
0,TERMINAL CABRAL,DIA ÚTIL,05:15
1,TERMINAL CABRAL,DIA ÚTIL,05:35
2,TERMINAL CABRAL,DIA ÚTIL,05:50
3,TERMINAL CABRAL,DIA ÚTIL,06:00
4,TERMINAL CABRAL,DIA ÚTIL,06:10
5,TERMINAL CABRAL,DIA ÚTIL,06:20
6,TERMINAL CABRAL,DIA ÚTIL,06:29
7,TERMINAL CABRAL,DIA ÚTIL,06:38
8,TERMINAL CABRAL,DIA ÚTIL,06:46
9,TERMINAL CABRAL,DIA ÚTIL,06:54
10,TERMINAL CABRAL,DIA ÚTIL,07:02
11,TERMINAL CABRAL,DIA ÚTIL,07:10
12,TERMINAL CABRAL,DIA ÚTIL,07:18
13,TERMINAL CABRAL,DIA ÚTIL,07:26
14,TERMINAL CABRAL,DIA ÚTIL,07:34
15,TERMINAL CABRAL,DIA ÚTIL,07:42
16,TERMINAL CABRAL,DIA ÚTIL,07:50
17,TERMINAL CABRAL,DIA ÚTIL,07:57
18,TERMINAL CABRAL,DIA ÚTIL,08:04
19,TERMINAL CABRAL,DIA ÚTIL,08:12
20,TERMINAL CABRAL,DIA ÚTIL,08:20
21,TERMINAL CABRAL,DIA ÚTIL,08:28
22,TERMINAL CABRAL,DIA ÚTIL,08:40
23,TERMINAL CABRAL,DIA ÚTIL,08:55
24,TERMINAL CABRAL,DIA ÚTIL,09:09
25,TERMINAL CABRAL,DIA ÚTIL,09:24
26,TERMINAL CABRAL,DIA ÚTIL,09:38
27,TERMINAL CABRAL,DIA ÚTIL,09:46
28,TERMINAL CABRAL,DIA ÚTIL,10:02
29,TERMINAL CABRAL,DIA ÚTIL,10:18
30,TERMINAL CABRAL,DIA ÚTIL,10:34
31,TERMINAL CABRAL,DIA ÚTIL,10:50
32,TERMINAL CABRAL,DIA ÚTIL,11:06
33,TERMINAL CABRAL,DIA ÚTIL,11:22
34,TERMINAL CABRAL,DIA ÚTIL,11:38
35,TERMINAL CABRAL,DIA ÚTIL,11:54
36,TERMINAL CABRAL,DIA ÚTIL,12:10
37,TERMINAL CABRAL,DIA ÚTIL,12:26
38,TERMINAL CABRAL,DIA ÚTIL,12:42
39,TERMINAL CABRAL,DIA ÚTIL,12:58
40,TERMINAL CABRAL,DIA ÚTIL,13:14
41,TERMINAL CABRAL,DIA ÚTIL,13:30
42,TERMINAL CABRAL,DIA ÚTIL,13:46
43,TERMINAL CABRAL,DIA ÚTIL,14:02
44,TERMINAL CABRAL,DIA ÚTIL,14:18
45,TERMINAL CABRAL,DIA ÚTIL,14:34
46,TERMINAL CABRAL,DIA ÚTIL,14:50
47,TERMINAL CABRAL,DIA ÚTIL,15:06
48,TERMINAL CABRAL,DIA ÚTIL,15:22
49,TERMINAL CABRAL,DIA ÚTIL,15:38
50,TERMINAL CABRAL,DIA ÚTIL,15:54
51,TERMINAL CABRAL,DIA ÚTIL,16:10
52,TERMINAL CABRAL,DIA ÚTIL,16:22
53,TERMINAL CABRAL,DIA ÚTIL,16:33
54,TERMINAL CABRAL,DIA ÚTIL,16:44
55,TERMINAL CABRAL,DIA ÚTIL,16:55
56,TERMINAL CABRAL,DIA ÚTIL,17:06
57,TERMINAL CABRAL,DIA ÚTIL,17:17
58,TERMINAL CABRAL,DIA ÚTIL,17:28
59,TERMINAL CABRAL,DIA ÚTIL,17:37
60,TERMINAL CABRAL,DIA ÚTIL,17:48
61,TERMINAL CABRAL,DIA ÚTIL,17:59
62,TERMINAL CABRAL,DIA ÚTIL,18:11
63,TERMINAL CABRAL,DIA ÚTIL,18:22
64,TERMINAL CABRAL,DIA ÚTIL,18:34
65,TERMINAL CABRAL,DIA ÚTIL,18:46
66,TERMINAL CABRAL,DIA ÚTIL,18:58
67,TERMINAL CABRAL,DIA ÚTIL,19:10
68,TERMINAL CABRAL,DIA ÚTIL,19:25
69,TERMINAL CABRAL,DIA ÚTIL,19:40
70,TERMINAL CABRAL,DIA ÚTIL,19:55
71,TERMINAL CABRAL,DIA ÚTIL,20:10
72,TERMINAL CABRAL,DIA ÚTIL,20:25
73,TERMINAL CABRAL,DIA ÚTIL,20:40
74,TERMINAL CABRAL,DIA ÚTIL,20:55
75,TERMINAL CABRAL,DIA ÚTIL,21:10
76,TERMINAL CABRAL,DIA ÚTIL,21:25
77,TERMINAL CABRAL,DIA ÚTIL,21:40
78,TERMINAL CABRAL,DIA ÚTIL,21:55
79,TERMINAL CABRAL,DIA ÚTIL,22:10
80,TERMINAL CABRAL,DIA ÚTIL,22:25
81,TERMINAL CABRAL,DIA ÚTIL,22:40
82,TERMINAL CABRAL,DIA ÚTIL,22:55
83,TERMINAL CABRAL,DIA ÚTIL,23:10
84,TERMINAL CABRAL,DIA ÚTIL,23:25
85,TERMINAL CABRAL,DIA ÚTIL,23:40
86,TERMINAL CABRAL,DIA ÚTIL,23:55
87,TERMINAL CABRAL,DIA ÚTIL,00:05
88,TERMINAL PORTAO,DIA ÚTIL,05:35
89,TERMINAL PORTAO,DIA ÚTIL,05:50
90,TERMINAL PORTAO,DIA ÚTIL,06:05
91,TERMINAL PORTAO,DIA ÚTIL,06:20
92,TERMINAL PORTAO,DIA ÚTIL,06:30
93,TERMINAL PORTAO,DIA ÚTIL,06:40
94,TERMINAL PORTAO,DIA ÚTIL,06:47
95,TERMINAL PORTAO,DIA ÚTIL,06:55
96,TERMINAL PORTAO,DIA ÚTIL,07:02
97,TERMINAL PORTAO,DIA ÚTIL,07:09
98,TERMINAL PORTAO,DIA ÚTIL,07:16
99,TERMINAL PORTAO,DIA ÚTIL,07:24
100,TERMINAL PORTAO,DIA ÚTIL,07:32
101,TERMINAL PORTAO,DIA ÚTIL,07:40
102,TERMINAL PORTAO,DIA ÚTIL,07:49
103,TERMINAL PORTAO,DIA ÚTIL,07:57
104,TERMINAL PORTAO,DIA ÚTIL,08:06
