,pontos,dia,horarios
0,TERMINAL CAIUA,DIA ÚTIL,05:38
1,TERMINAL CAIUA,DIA ÚTIL,05:46
2,TERMINAL CAIUA,DIA ÚTIL,05:54
3,TERMINAL CAIUA,DIA ÚTIL,06:02
4,TERMINAL CAIUA,DIA ÚTIL,06:10
5,TERMINAL CAIUA,DIA ÚTIL,06:18
6,TERMINAL CAIUA,DIA ÚTIL,06:26
7,TERMINAL CAIUA,DIA ÚTIL,06:34
8,TERMINAL CAIUA,DIA ÚTIL,06:41
9,TERMINAL CAIUA,DIA ÚTIL,06:48
10,TERMINAL CAIUA,DIA ÚTIL,06:55
11,TERMINAL CAIUA,DIA ÚTIL,07:03
12,TERMINAL CAIUA,DIA ÚTIL,07:11
13,TERMINAL CAIUA,DIA ÚTIL,07:19
14,TERMINAL CAIUA,DIA ÚTIL,07:27
15,TERMINAL CAIUA,DIA ÚTIL,07:35
16,TERMINAL CAIUA,DIA ÚTIL,07:43
17,TERMINAL CAIUA,DIA ÚTIL,07:51
18,TERMINAL CAIUA,DIA ÚTIL,07:59
19,TERMINAL CAIUA,DIA ÚTIL,08:07
20,TERMINAL CAIUA,DIA ÚTIL,08:15
21,TERMINAL CAIUA,DIA ÚTIL,08:23
22,TERMINAL CAIUA,DIA ÚTIL,08:38
23,TERMINAL CAIUA,DIA ÚTIL,08:53
24,TERMINAL CAIUA,DIA ÚTIL,09:08
25,TERMINAL CAIUA,DIA ÚTIL,09:23
26,TERMINAL CAIUA,DIA ÚTIL,09:38
27,TERMINAL CAIUA,DIA ÚTIL,09:53
28,TERMINAL CAIUA,DIA ÚTIL,10:08
29,TERMINAL CAIUA,DIA ÚTIL,10:23
30,TERMINAL CAIUA,DIA ÚTIL,10:38
31,TERMINAL CAIUA,DIA ÚTIL,10:53
32,TERMINAL CAIUA,DIA ÚTIL,11:08
33,TERMINAL CAIUA,DIA ÚTIL,11:23
34,TERMINAL CAIUA,DIA ÚTIL,11:38
35,TERMINAL CAIUA,DIA ÚTIL,11:53
36,TERMINAL CAIUA,DIA ÚTIL,12:08
37,TERMINAL CAIUA,DIA ÚTIL,12:23
38,TERMINAL CAIUA,DIA ÚTIL,12:38
39,TERMINAL CAIUA,DIA ÚTIL,12:53
40,TERMINAL CAIUA,DIA ÚTIL,13:08
41,TERMINAL CAIUA,DIA ÚTIL,13:24
42,TERMINAL CAIUA,DIA ÚTIL,13:40
