,pontos,dia,horarios
0,TERM.FAZENDINHA/TERM.CAIUA,SÁBADO,06:01
1,TERM.FAZENDINHA/TERM.CAIUA,SÁBADO,06:33
2,TERM.FAZENDINHA/TERM.CAIUA,SÁBADO,06:45
3,TERM.FAZENDINHA/TERM.CAIUA,SÁBADO,06:57
4,TERM.FAZENDINHA/TERM.CAIUA,SÁBADO,07:09
5,TERM.FAZENDINHA/TERM.CAIUA,SÁBADO,07:21
6,TERM.FAZENDINHA/TERM.CAIUA,SÁBADO,07:33
7,TERM.FAZENDINHA/TERM.CAIUA,SÁBADO,07:45
8,TERM.FAZENDINHA/TERM.CAIUA,SÁBADO,07:58
9,TERM.FAZENDINHA/TERM.CAIUA,SÁBADO,08:11
10,TERM.FAZENDINHA/TERM.CAIUA,SÁBADO,08:24
11,TERM.FAZENDINHA/TERM.CAIUA,SÁBADO,08:37
12,TERM.FAZENDINHA/TERM.CAIUA,SÁBADO,08:50
13,TERM.FAZENDINHA/TERM.CAIUA,SÁBADO,09:03
14,TERM.FAZENDINHA/TERM.CAIUA,SÁBADO,09:16
15,TERM.FAZENDINHA/TERM.CAIUA,SÁBADO,09:29
16,TERM.FAZENDINHA/TERM.CAIUA,SÁBADO,09:42
17,TERM.FAZENDINHA/TERM.CAIUA,SÁBADO,09:55
18,TERM.FAZENDINHA/TERM.CAIUA,SÁBADO,10:08
19,TERM.FAZENDINHA/TERM.CAIUA,SÁBADO,10:21
20,TERM.FAZENDINHA/TERM.CAIUA,SÁBADO,10:34
21,TERM.FAZENDINHA/TERM.CAIUA,SÁBADO,10:47
22,TERM.FAZENDINHA/TERM.CAIUA,SÁBADO,11:01
23,TERM.FAZENDINHA/TERM.CAIUA,SÁBADO,11:15
24,TERM.FAZENDINHA/TERM.CAIUA,SÁBADO,11:29
25,TERM.FAZENDINHA/TERM.CAIUA,SÁBADO,11:42
26,TERM.FAZENDINHA/TERM.CAIUA,SÁBADO,11:56
27,TERM.FAZENDINHA/TERM.CAIUA,SÁBADO,12:10
28,TERM.FAZENDINHA/TERM.CAIUA,SÁBADO,12:24
29,TERM.FAZENDINHA/TERM.CAIUA,SÁBADO,12:38
30,TERM.FAZENDINHA/TERM.CAIUA,SÁBADO,12:52
31,TERM.FAZENDINHA/TERM.CAIUA,SÁBADO,13:06
32,TERM.FAZENDINHA/TERM.CAIUA,SÁBADO,13:20
33,TERM.FAZENDINHA/TERM.CAIUA,SÁBADO,13:34
34,TERM.FAZENDINHA/TERM.CAIUA,SÁBADO,13:48
35,TERM.FAZENDINHA/TERM.CAIUA,SÁBADO,14:02
36,TERM.FAZENDINHA/TERM.CAIUA,SÁBADO,14:16
37,TERM.FAZENDINHA/TERM.CAIUA,SÁBADO,14:30
38,TERM.FAZENDINHA/TERM.CAIUA,SÁBADO,14:44
39,TERM.FAZENDINHA/TERM.CAIUA,SÁBADO,14:58
40,TERM.FAZENDINHA/TERM.CAIUA,SÁBADO,15:12
41,TERM.FAZENDINHA/TERM.CAIUA,SÁBADO,15:26
42,TERM.FAZENDINHA/TERM.CAIUA,SÁBADO,15:39
43,TERM.FAZENDINHA/TERM.CAIUA,SÁBADO,15:52
44,TERM.FAZENDINHA/TERM.CAIUA,SÁBADO,16:05
45,TERM.FAZENDINHA/TERM.CAIUA,SÁBADO,16:18
46,TERM.FAZENDINHA/TERM.CAIUA,SÁBADO,16:31
47,TERM.FAZENDINHA/TERM.CAIUA,SÁBADO,16:44
48,TERM.FAZENDINHA/TERM.CAIUA,SÁBADO,16:57
49,TERM.FAZENDINHA/TERM.CAIUA,SÁBADO,17:10
50,TERM.FAZENDINHA/TERM.CAIUA,SÁBADO,17:23
51,TERM.FAZENDINHA/TERM.CAIUA,SÁBADO,17:36
52,TERM.FAZENDINHA/TERM.CAIUA,SÁBADO,17:49
53,TERM.FAZENDINHA/TERM.CAIUA,SÁBADO,18:02
54,TERM.FAZENDINHA/TERM.CAIUA,SÁBADO,18:16
55,TERM.FAZENDINHA/TERM.CAIUA,SÁBADO,18:30
56,TERM.FAZENDINHA/TERM.CAIUA,SÁBADO,18:44
57,TERM.FAZENDINHA/TERM.CAIUA,SÁBADO,18:58
58,TERM.FAZENDINHA/TERM.CAIUA,SÁBADO,19:10
59,TERM.FAZENDINHA/TERM.CAIUA,SÁBADO,19:22
60,TERM.FAZENDINHA/TERM.CAIUA,SÁBADO,19:33
61,TERM.FAZENDINHA/TERM.CAIUA,SÁBADO,19:44
62,TERM.FAZENDINHA/TERM.CAIUA,SÁBADO,19:58
63,TERM.FAZENDINHA/TERM.CAIUA,SÁBADO,20:14
64,TERM.FAZENDINHA/TERM.CAIUA,SÁBADO,20:30
65,TERM.FAZENDINHA/TERM.CAIUA,SÁBADO,20:48
66,TERM.FAZENDINHA/TERM.CAIUA,SÁBADO,21:06
67,TERM.FAZENDINHA/TERM.CAIUA,SÁBADO,21:24
68,TERM.FAZENDINHA/TERM.CAIUA,SÁBADO,21:42
69,TERM.FAZENDINHA/TERM.CAIUA,SÁBADO,22:00
70,TERM.FAZENDINHA/TERM.CAIUA,SÁBADO,22:18
71,TERM.FAZENDINHA/TERM.CAIUA,SÁBADO,22:36
72,TERM.FAZENDINHA/TERM.CAIUA,SÁBADO,22:54
73,TERM.FAZENDINHA/TERM.CAIUA,SÁBADO,23:12
74,TERM.FAZENDINHA/TERM.CAIUA,SÁBADO,23:30
75,TERM.FAZENDINHA/TERM.CAIUA,SÁBADO,23:48
76,TERM.FAZENDINHA/TERM.CAIUA,SÁBADO,00:06
77,TERM.FAZENDINHA/TERM.CAIUA,SÁBADO,00:24
78,TERM.FAZENDINHA/TERM.CAIUA,SÁBADO,00:42
79,TERM.FAZENDINHA SENTIDO CENTRO,SÁBADO,05:20
80,TERM.FAZENDINHA SENTIDO CENTRO,SÁBADO,05:55
81,TERM.FAZENDINHA SENTIDO CENTRO,SÁBADO,06:19
82,TERM.FAZENDINHA SENTIDO CENTRO,SÁBADO,06:43
83,TERM.FAZENDINHA SENTIDO CENTRO,SÁBADO,07:07
84,TERM.FAZENDINHA SENTIDO CENTRO,SÁBADO,07:32
85,TERM.FAZENDINHA SENTIDO CENTRO,SÁBADO,07:57
86,TERM.FAZENDINHA SENTIDO CENTRO,SÁBADO,08:22
87,TERM.FAZENDINHA SENTIDO CENTRO,SÁBADO,08:48
88,TERM.FAZENDINHA SENTIDO CENTRO,SÁBADO,09:14
89,TERM.FAZENDINHA SENTIDO CENTRO,SÁBADO,09:40
90,TERM.FAZENDINHA SENTIDO CENTRO,SÁBADO,10:06
91,TERM.FAZENDINHA SENTIDO CENTRO,SÁBADO,10:32
92,TERM.FAZENDINHA SENTIDO CENTRO,SÁBADO,10:58
93,TERM.FAZENDINHA SENTIDO CENTRO,SÁBADO,11:25
94,TERM.FAZENDINHA SENTIDO CENTRO,SÁBADO,11:53
95,TERM.FAZENDINHA SENTIDO CENTRO,SÁBADO,12:21
96,TERM.FAZENDINHA SENTIDO CENTRO,SÁBADO,12:49
97,TERM.FAZENDINHA SENTIDO CENTRO,SÁBADO,13:17
98,TERM.FAZENDINHA SENTIDO CENTRO,SÁBADO,13:45
99,TERM.FAZENDINHA SENTIDO CENTRO,SÁBADO,14:13
100,TERM.FAZENDINHA SENTIDO CENTRO,SÁBADO,14:41
101,TERM.FAZENDINHA SENTIDO CENTRO,SÁBADO,15:09
102,TERM.FAZENDINHA SENTIDO CENTRO,SÁBADO,15:37
103,TERM.FAZENDINHA SENTIDO CENTRO,SÁBADO,16:03
104,TERM.FAZENDINHA SENTIDO CENTRO,SÁBADO,16:29
105,TERM.FAZENDINHA SENTIDO CENTRO,SÁBADO,16:55
106,TERM.FAZENDINHA SENTIDO CENTRO,SÁBADO,17:21
107,TERM.FAZENDINHA SENTIDO CENTRO,SÁBADO,17:47
108,TERM.FAZENDINHA SENTIDO CENTRO,SÁBADO,18:14
109,TERM.FAZENDINHA SENTIDO CENTRO,SÁBADO,18:39
110,TERM.FAZENDINHA SENTIDO CENTRO,SÁBADO,19:05
111,TERM.FAZENDINHA SENTIDO CENTRO,SÁBADO,19:41
112,TERM.FAZENDINHA SENTIDO CENTRO,SÁBADO,20:17
113,TERM.FAZENDINHA SENTIDO CENTRO,SÁBADO,20:53
114,TERM.FAZENDINHA SENTIDO CENTRO,SÁBADO,21:29
115,TERM.FAZENDINHA SENTIDO CENTRO,SÁBADO,22:05
116,TERM.FAZENDINHA SENTIDO CENTRO,SÁBADO,22:41
117,TERM.FAZENDINHA SENTIDO CENTRO,SÁBADO,23:17
118,TERM.FAZENDINHA SENTIDO CENTRO,SÁBADO,23:53
119,TERMINAL CAIUA,SÁBADO,05:15
120,TERMINAL CAIUA,SÁBADO,05:47
121,TERMINAL CAIUA,SÁBADO,06:11
122,TERMINAL CAIUA,SÁBADO,06:35
123,TERMINAL CAIUA,SÁBADO,06:59
124,TERMINAL CAIUA,SÁBADO,07:23
125,TERMINAL CAIUA,SÁBADO,07:47
126,TERMINAL CAIUA,SÁBADO,08:12
127,TERMINAL CAIUA,SÁBADO,08:38
128,TERMINAL CAIUA,SÁBADO,09:04
129,TERMINAL CAIUA,SÁBADO,09:30
130,TERMINAL CAIUA,SÁBADO,09:56
131,TERMINAL CAIUA,SÁBADO,10:22
132,TERMINAL CAIUA,SÁBADO,10:48
133,TERMINAL CAIUA,SÁBADO,11:15
134,TERMINAL CAIUA,SÁBADO,11:43
135,TERMINAL CAIUA,SÁBADO,12:11
136,TERMINAL CAIUA,SÁBADO,12:39
137,TERMINAL CAIUA,SÁBADO,13:07
138,TERMINAL CAIUA,SÁBADO,13:35
139,TERMINAL CAIUA,SÁBADO,14:03
140,TERMINAL CAIUA,SÁBADO,14:31
141,TERMINAL CAIUA,SÁBADO,14:59
142,TERMINAL CAIUA,SÁBADO,15:27
143,TERMINAL CAIUA,SÁBADO,15:53
144,TERMINAL CAIUA,SÁBADO,16:19
145,TERMINAL CAIUA,SÁBADO,16:45
146,TERMINAL CAIUA,SÁBADO,17:11
147,TERMINAL CAIUA,SÁBADO,17:37
148,TERMINAL CAIUA,SÁBADO,18:03
149,TERMINAL CAIUA,SÁBADO,18:30
150,TERMINAL CAIUA,SÁBADO,18:57
151,TERMINAL CAIUA,SÁBADO,19:29
152,TERMINAL CAIUA,SÁBADO,20:07
153,TERMINAL CAIUA,SÁBADO,20:43
154,TERMINAL CAIUA,SÁBADO,21:19
155,TERMINAL CAIUA,SÁBADO,21:55
156,TERMINAL CAIUA,SÁBADO,22:31
157,TERMINAL CAIUA,SÁBADO,23:07
158,TERMINAL CAIUA,SÁBADO,23:43
159,TERMINAL CAIUA VIA RUA R.SIMAO,SÁBADO,05:35
160,TERMINAL CAIUA VIA RUA R.SIMAO,SÁBADO,05:59
161,TERMINAL CAIUA VIA RUA R.SIMAO,SÁBADO,06:23
162,TERMINAL CAIUA VIA RUA R.SIMAO,SÁBADO,06:47
163,TERMINAL CAIUA VIA RUA R.SIMAO,SÁBADO,07:11
164,TERMINAL CAIUA VIA RUA R.SIMAO,SÁBADO,07:35
165,TERMINAL CAIUA VIA RUA R.SIMAO,SÁBADO,07:59
166,TERMINAL CAIUA VIA RUA R.SIMAO,SÁBADO,08:25
167,TERMINAL CAIUA VIA RUA R.SIMAO,SÁBADO,08:51
168,TERMINAL CAIUA VIA RUA R.SIMAO,SÁBADO,09:17
169,TERMINAL CAIUA VIA RUA R.SIMAO,SÁBADO,09:43
170,TERMINAL CAIUA VIA RUA R.SIMAO,SÁBADO,10:09
171,TERMINAL CAIUA VIA RUA R.SIMAO,SÁBADO,10:35
172,TERMINAL CAIUA VIA RUA R.SIMAO,SÁBADO,11:01
173,TERMINAL CAIUA VIA RUA R.SIMAO,SÁBADO,11:29
