,pontos,dia,horarios
0,PRACA RUI BARBOSA,DIA ÚTIL,05:41
1,PRACA RUI BARBOSA,DIA ÚTIL,05:57
2,PRACA RUI BARBOSA,DIA ÚTIL,06:13
3,PRACA RUI BARBOSA,DIA ÚTIL,06:29
4,PRACA RUI BARBOSA,DIA ÚTIL,06:45
5,PRACA RUI BARBOSA,DIA ÚTIL,07:01
6,PRACA RUI BARBOSA,DIA ÚTIL,07:11
7,PRACA RUI BARBOSA,DIA ÚTIL,07:21
8,PRACA RUI BARBOSA,DIA ÚTIL,07:31
9,PRACA RUI BARBOSA,DIA ÚTIL,07:41
10,PRACA RUI BARBOSA,DIA ÚTIL,07:51
11,PRACA RUI BARBOSA,DIA ÚTIL,08:01
12,PRACA RUI BARBOSA,DIA ÚTIL,08:14
13,PRACA RUI BARBOSA,DIA ÚTIL,08:27
14,PRACA RUI BARBOSA,DIA ÚTIL,08:40
15,PRACA RUI BARBOSA,DIA ÚTIL,08:53
16,PRACA RUI BARBOSA,DIA ÚTIL,09:06
17,PRACA RUI BARBOSA,DIA ÚTIL,09:19
18,PRACA RUI BARBOSA,DIA ÚTIL,09:32
19,PRACA RUI BARBOSA,DIA ÚTIL,09:45
20,PRACA RUI BARBOSA,DIA ÚTIL,09:58
21,PRACA RUI BARBOSA,DIA ÚTIL,10:12
22,PRACA RUI BARBOSA,DIA ÚTIL,10:25
23,PRACA RUI BARBOSA,DIA ÚTIL,10:39
24,PRACA RUI BARBOSA,DIA ÚTIL,10:52
25,PRACA RUI BARBOSA,DIA ÚTIL,11:06
26,PRACA RUI BARBOSA,DIA ÚTIL,11:19
27,PRACA RUI BARBOSA,DIA ÚTIL,11:33
28,PRACA RUI BARBOSA,DIA ÚTIL,11:46
29,PRACA RUI BARBOSA,DIA ÚTIL,12:00
30,PRACA RUI BARBOSA,DIA ÚTIL,12:13
31,PRACA RUI BARBOSA,DIA ÚTIL,12:27
32,PRACA RUI BARBOSA,DIA ÚTIL,12:40
33,PRACA RUI BARBOSA,DIA ÚTIL,12:54
34,PRACA RUI BARBOSA,DIA ÚTIL,13:07
35,PRACA RUI BARBOSA,DIA ÚTIL,13:21
36,PRACA RUI BARBOSA,DIA ÚTIL,13:34
37,PRACA RUI BARBOSA,DIA ÚTIL,13:48
38,PRACA RUI BARBOSA,DIA ÚTIL,14:01
39,PRACA RUI BARBOSA,DIA ÚTIL,14:15
40,PRACA RUI BARBOSA,DIA ÚTIL,14:28
