,pontos,dia,horarios
0,UNIVERSIDADE DO ESPORTE,DIA ÚTIL,05:40
1,UNIVERSIDADE DO ESPORTE,DIA ÚTIL,06:00
2,UNIVERSIDADE DO ESPORTE,DIA ÚTIL,06:20
3,UNIVERSIDADE DO ESPORTE,DIA ÚTIL,06:40
4,UNIVERSIDADE DO ESPORTE,DIA ÚTIL,07:02
5,UNIVERSIDADE DO ESPORTE,DIA ÚTIL,07:25
6,UNIVERSIDADE DO ESPORTE,DIA ÚTIL,07:48
7,UNIVERSIDADE DO ESPORTE,DIA ÚTIL,08:10
8,UNIVERSIDADE DO ESPORTE,DIA ÚTIL,08:32
9,UNIVERSIDADE DO ESPORTE,DIA ÚTIL,08:54
10,UNIVERSIDADE DO ESPORTE,DIA ÚTIL,09:16
11,UNIVERSIDADE DO ESPORTE,DIA ÚTIL,09:40
12,UNIVERSIDADE DO ESPORTE,DIA ÚTIL,10:05
13,UNIVERSIDADE DO ESPORTE,DIA ÚTIL,10:30
14,UNIVERSIDADE DO ESPORTE,DIA ÚTIL,10:55
15,UNIVERSIDADE DO ESPORTE,DIA ÚTIL,11:20
16,UNIVERSIDADE DO ESPORTE,DIA ÚTIL,11:44
17,UNIVERSIDADE DO ESPORTE,DIA ÚTIL,12:09
18,UNIVERSIDADE DO ESPORTE,DIA ÚTIL,12:33
19,UNIVERSIDADE DO ESPORTE,DIA ÚTIL,12:56
20,UNIVERSIDADE DO ESPORTE,DIA ÚTIL,13:20
21,UNIVERSIDADE DO ESPORTE,DIA ÚTIL,13:45
22,UNIVERSIDADE DO ESPORTE,DIA ÚTIL,14:10
23,UNIVERSIDADE DO ESPORTE,DIA ÚTIL,14:36
24,UNIVERSIDADE DO ESPORTE,DIA ÚTIL,15:02
25,UNIVERSIDADE DO ESPORTE,DIA ÚTIL,15:27
26,UNIVERSIDADE DO ESPORTE,DIA ÚTIL,15:51
27,UNIVERSIDADE DO ESPORTE,DIA ÚTIL,16:15
28,UNIVERSIDADE DO ESPORTE,DIA ÚTIL,16:39
29,UNIVERSIDADE DO ESPORTE,DIA ÚTIL,17:03
30,UNIVERSIDADE DO ESPORTE,DIA ÚTIL,17:27
31,UNIVERSIDADE DO ESPORTE,DIA ÚTIL,17:50
32,UNIVERSIDADE DO ESPORTE,DIA ÚTIL,18:14
33,UNIVERSIDADE DO ESPORTE,DIA ÚTIL,18:40
34,UNIVERSIDADE DO ESPORTE,DIA ÚTIL,19:10
35,UNIVERSIDADE DO ESPORTE,DIA ÚTIL,19:40
36,UNIVERSIDADE DO ESPORTE,DIA ÚTIL,20:07
37,UNIVERSIDADE DO ESPORTE,DIA ÚTIL,20:33
38,UNIVERSIDADE DO ESPORTE,DIA ÚTIL,21:00
39,UNIVERSIDADE DO ESPORTE,DIA ÚTIL,21:30
40,UNIVERSIDADE DO ESPORTE,DIA ÚTIL,22:00
41,UNIVERSIDADE DO ESPORTE,DIA ÚTIL,22:30
42,UNIVERSIDADE DO ESPORTE,DIA ÚTIL,23:00
43,UNIVERSIDADE DO ESPORTE,DIA ÚTIL,23:30
44,PRACA CARLOS GOMES,DIA ÚTIL,06:10
45,PRACA CARLOS GOMES,DIA ÚTIL,06:32
46,PRACA CARLOS GOMES,DIA ÚTIL,06:54
47,PRACA CARLOS GOMES,DIA ÚTIL,07:16
48,PRACA CARLOS GOMES,DIA ÚTIL,07:38
49,PRACA CARLOS GOMES,DIA ÚTIL,08:00
50,PRACA CARLOS GOMES,DIA ÚTIL,08:23
51,PRACA CARLOS GOMES,DIA ÚTIL,08:46
52,PRACA CARLOS GOMES,DIA ÚTIL,09:08
53,PRACA CARLOS GOMES,DIA ÚTIL,09:30
54,PRACA CARLOS GOMES,DIA ÚTIL,09:52
55,PRACA CARLOS GOMES,DIA ÚTIL,10:17
56,PRACA CARLOS GOMES,DIA ÚTIL,10:42
57,PRACA CARLOS GOMES,DIA ÚTIL,11:07
58,PRACA CARLOS GOMES,DIA ÚTIL,11:31
59,PRACA CARLOS GOMES,DIA ÚTIL,11:55
60,PRACA CARLOS GOMES,DIA ÚTIL,12:20
61,PRACA CARLOS GOMES,DIA ÚTIL,12:45
62,PRACA CARLOS GOMES,DIA ÚTIL,13:10
63,PRACA CARLOS GOMES,DIA ÚTIL,13:35
64,PRACA CARLOS GOMES,DIA ÚTIL,14:00
65,PRACA CARLOS GOMES,DIA ÚTIL,14:25
66,PRACA CARLOS GOMES,DIA ÚTIL,14:50
67,PRACA CARLOS GOMES,DIA ÚTIL,15:15
68,PRACA CARLOS GOMES,DIA ÚTIL,15:40
69,PRACA CARLOS GOMES,DIA ÚTIL,16:04
70,PRACA CARLOS GOMES,DIA ÚTIL,16:28
71,PRACA CARLOS GOMES,DIA ÚTIL,16:52
72,PRACA CARLOS GOMES,DIA ÚTIL,17:15
73,PRACA CARLOS GOMES,DIA ÚTIL,17:38
74,PRACA CARLOS GOMES,DIA ÚTIL,18:02
75,PRACA CARLOS GOMES,DIA ÚTIL,18:25
76,PRACA CARLOS GOMES,DIA ÚTIL,18:50
77,PRACA CARLOS GOMES,DIA ÚTIL,19:15
78,PRACA CARLOS GOMES,DIA ÚTIL,19:40
79,PRACA CARLOS GOMES,DIA ÚTIL,20:06
80,PRACA CARLOS GOMES,DIA ÚTIL,20:32
81,PRACA CARLOS GOMES,DIA ÚTIL,21:00
82,PRACA CARLOS GOMES,DIA ÚTIL,21:30
83,PRACA CARLOS GOMES,DIA ÚTIL,22:00
84,PRACA CARLOS GOMES,DIA ÚTIL,22:30
85,PRACA CARLOS GOMES,DIA ÚTIL,23:00
86,PRACA CARLOS GOMES,DIA ÚTIL,23:30
87,PRACA CARLOS GOMES,DIA ÚTIL,00:00
88,UNIVERSIDADE DO ESPORTE,SÁBADO,06:00
89,UNIVERSIDADE DO ESPORTE,SÁBADO,06:35
90,UNIVERSIDADE DO ESPORTE,SÁBADO,07:10
91,UNIVERSIDADE DO ESPORTE,SÁBADO,07:45
92,UNIVERSIDADE DO ESPORTE,SÁBADO,08:20
93,UNIVERSIDADE DO ESPORTE,SÁBADO,08:55
94,UNIVERSIDADE DO ESPORTE,SÁBADO,09:30
95,UNIVERSIDADE DO ESPORTE,SÁBADO,10:05
96,UNIVERSIDADE DO ESPORTE,SÁBADO,10:40
97,UNIVERSIDADE DO ESPORTE,SÁBADO,11:15
98,UNIVERSIDADE DO ESPORTE,SÁBADO,11:50
99,UNIVERSIDADE DO ESPORTE,SÁBADO,12:23
100,UNIVERSIDADE DO ESPORTE,SÁBADO,12:52
101,UNIVERSIDADE DO ESPORTE,SÁBADO,13:20
102,UNIVERSIDADE DO ESPORTE,SÁBADO,13:48
103,UNIVERSIDADE DO ESPORTE,SÁBADO,14:43
104,UNIVERSIDADE DO ESPORTE,SÁBADO,15:38
105,UNIVERSIDADE DO ESPORTE,SÁBADO,16:33
106,UNIVERSIDADE DO ESPORTE,SÁBADO,17:30
107,UNIVERSIDADE DO ESPORTE,SÁBADO,18:30
108,UNIVERSIDADE DO ESPORTE,SÁBADO,19:30
109,UNIVERSIDADE DO ESPORTE,SÁBADO,20:30
110,UNIVERSIDADE DO ESPORTE,SÁBADO,21:30
111,UNIVERSIDADE DO ESPORTE,SÁBADO,22:30
112,UNIVERSIDADE DO ESPORTE,SÁBADO,23:30
113,PRACA CARLOS GOMES,SÁBADO,06:35
114,PRACA CARLOS GOMES,SÁBADO,07:10
115,PRACA CARLOS GOMES,SÁBADO,07:45
116,PRACA CARLOS GOMES,SÁBADO,08:20
117,PRACA CARLOS GOMES,SÁBADO,08:55
118,PRACA CARLOS GOMES,SÁBADO,09:30
119,PRACA CARLOS GOMES,SÁBADO,10:05
120,PRACA CARLOS GOMES,SÁBADO,10:40
121,PRACA CARLOS GOMES,SÁBADO,11:15
122,PRACA CARLOS GOMES,SÁBADO,11:50
123,PRACA CARLOS GOMES,SÁBADO,12:24
124,PRACA CARLOS GOMES,SÁBADO,12:52
125,PRACA CARLOS GOMES,SÁBADO,13:20
126,PRACA CARLOS GOMES,SÁBADO,13:48
127,PRACA CARLOS GOMES,SÁBADO,14:16
128,PRACA CARLOS GOMES,SÁBADO,15:10
129,PRACA CARLOS GOMES,SÁBADO,16:05
130,PRACA CARLOS GOMES,SÁBADO,17:00
131,PRACA CARLOS GOMES,SÁBADO,18:00
132,PRACA CARLOS GOMES,SÁBADO,19:00
133,PRACA CARLOS GOMES,SÁBADO,20:00
134,PRACA CARLOS GOMES,SÁBADO,21:00
135,PRACA CARLOS GOMES,SÁBADO,22:00
136,PRACA CARLOS GOMES,SÁBADO,23:00
137,PRACA CARLOS GOMES,SÁBADO,00:00
138,UNIVERSIDADE DO ESPORTE,DOMINGO,06:00
139,UNIVERSIDADE DO ESPORTE,DOMINGO,07:00
140,UNIVERSIDADE DO ESPORTE,DOMINGO,08:00
141,UNIVERSIDADE DO ESPORTE,DOMINGO,09:00
142,UNIVERSIDADE DO ESPORTE,DOMINGO,10:00
143,UNIVERSIDADE DO ESPORTE,DOMINGO,11:00
144,UNIVERSIDADE DO ESPORTE,DOMINGO,12:00
145,UNIVERSIDADE DO ESPORTE,DOMINGO,12:57
146,UNIVERSIDADE DO ESPORTE,DOMINGO,13:52
147,UNIVERSIDADE DO ESPORTE,DOMINGO,14:47
148,UNIVERSIDADE DO ESPORTE,DOMINGO,15:42
149,UNIVERSIDADE DO ESPORTE,DOMINGO,16:37
150,UNIVERSIDADE DO ESPORTE,DOMINGO,17:32
151,UNIVERSIDADE DO ESPORTE,DOMINGO,18:30
152,UNIVERSIDADE DO ESPORTE,DOMINGO,19:30
153,UNIVERSIDADE DO ESPORTE,DOMINGO,20:30
154,UNIVERSIDADE DO ESPORTE,DOMINGO,21:30
155,UNIVERSIDADE DO ESPORTE,DOMINGO,22:30
156,UNIVERSIDADE DO ESPORTE,DOMINGO,23:30
157,PRACA CARLOS GOMES,DOMINGO,06:30
158,PRACA CARLOS GOMES,DOMINGO,07:30
159,PRACA CARLOS GOMES,DOMINGO,08:30
160,PRACA CARLOS GOMES,DOMINGO,09:30
161,PRACA CARLOS GOMES,DOMINGO,10:30
162,PRACA CARLOS GOMES,DOMINGO,11:30
163,PRACA CARLOS GOMES,DOMINGO,12:30
164,PRACA CARLOS GOMES,DOMINGO,13:25
165,PRACA CARLOS GOMES,DOMINGO,14:20
166,PRACA CARLOS GOMES,DOMINGO,15:15
167,PRACA CARLOS GOMES,DOMINGO,16:10
168,PRACA CARLOS GOMES,DOMINGO,17:05
169,PRACA CARLOS GOMES,DOMINGO,18:00
170,PRACA CARLOS GOMES,DOMINGO,19:00
171,PRACA CARLOS GOMES,DOMINGO,20:00
172,PRACA CARLOS GOMES,DOMINGO,21:00
173,PRACA CARLOS GOMES,DOMINGO,22:00
174,PRACA CARLOS GOMES,DOMINGO,23:00
175,PRACA CARLOS GOMES,DOMINGO,00:00
