,pontos,dia,horarios
0,TERMINAL V.OFICINAS,DIA ÚTIL,05:15
1,TERMINAL V.OFICINAS,DIA ÚTIL,05:35
2,TERMINAL V.OFICINAS,DIA ÚTIL,05:48
3,TERMINAL V.OFICINAS,DIA ÚTIL,06:00
4,TERMINAL V.OFICINAS,DIA ÚTIL,06:12
5,TERMINAL V.OFICINAS,DIA ÚTIL,06:24
6,TERMINAL V.OFICINAS,DIA ÚTIL,06:36
7,TERMINAL V.OFICINAS,DIA ÚTIL,06:48
8,TERMINAL V.OFICINAS,DIA ÚTIL,07:00
9,TERMINAL V.OFICINAS,DIA ÚTIL,07:12
10,TERMINAL V.OFICINAS,DIA ÚTIL,07:24
11,TERMINAL V.OFICINAS,DIA ÚTIL,07:36
12,TERMINAL V.OFICINAS,DIA ÚTIL,07:48
13,TERMINAL V.OFICINAS,DIA ÚTIL,08:00
14,TERMINAL V.OFICINAS,DIA ÚTIL,08:20
15,TERMINAL V.OFICINAS,DIA ÚTIL,08:40
16,TERMINAL V.OFICINAS,DIA ÚTIL,09:00
17,TERMINAL V.OFICINAS,DIA ÚTIL,09:20
18,TERMINAL V.OFICINAS,DIA ÚTIL,09:40
19,TERMINAL V.OFICINAS,DIA ÚTIL,10:00
20,TERMINAL V.OFICINAS,DIA ÚTIL,10:20
21,TERMINAL V.OFICINAS,DIA ÚTIL,10:40
22,TERMINAL V.OFICINAS,DIA ÚTIL,11:00
23,TERMINAL V.OFICINAS,DIA ÚTIL,11:20
24,TERMINAL V.OFICINAS,DIA ÚTIL,11:40
25,TERMINAL V.OFICINAS,DIA ÚTIL,12:00
26,TERMINAL V.OFICINAS,DIA ÚTIL,12:20
27,TERMINAL V.OFICINAS,DIA ÚTIL,12:40
28,TERMINAL V.OFICINAS,DIA ÚTIL,13:00
29,TERMINAL V.OFICINAS,DIA ÚTIL,13:20
30,TERMINAL V.OFICINAS,DIA ÚTIL,13:40
31,TERMINAL V.OFICINAS,DIA ÚTIL,14:00
32,TERMINAL V.OFICINAS,DIA ÚTIL,14:20
33,TERMINAL V.OFICINAS,DIA ÚTIL,14:40
34,TERMINAL V.OFICINAS,DIA ÚTIL,15:00
35,TERMINAL V.OFICINAS,DIA ÚTIL,15:20
36,TERMINAL V.OFICINAS,DIA ÚTIL,15:40
37,TERMINAL V.OFICINAS,DIA ÚTIL,16:00
38,TERMINAL V.OFICINAS,DIA ÚTIL,16:20
39,TERMINAL V.OFICINAS,DIA ÚTIL,16:40
40,TERMINAL V.OFICINAS,DIA ÚTIL,17:00
41,TERMINAL V.OFICINAS,DIA ÚTIL,17:20
42,TERMINAL V.OFICINAS,DIA ÚTIL,17:40
43,TERMINAL V.OFICINAS,DIA ÚTIL,18:00
44,TERMINAL V.OFICINAS,DIA ÚTIL,18:20
45,TERMINAL V.OFICINAS,DIA ÚTIL,18:40
46,TERMINAL V.OFICINAS,DIA ÚTIL,19:00
47,TERMINAL V.OFICINAS,DIA ÚTIL,19:18
48,TERMINAL V.OFICINAS,DIA ÚTIL,19:54
49,TERMINAL V.OFICINAS,DIA ÚTIL,20:30
50,TERMINAL V.OFICINAS,DIA ÚTIL,21:06
51,TERMINAL V.OFICINAS,DIA ÚTIL,21:42
52,TERMINAL V.OFICINAS,DIA ÚTIL,22:18
53,TERMINAL V.OFICINAS,DIA ÚTIL,22:54
54,TERMINAL V.OFICINAS,DIA ÚTIL,23:30
55,TERMINAL V.OFICINAS,DIA ÚTIL,00:00
56,TERMINAL V.OFICINAS,DIA ÚTIL,00:30
57,TERMINAL CENTENARIO,DIA ÚTIL,05:00
58,TERMINAL CENTENARIO,DIA ÚTIL,05:30
59,TERMINAL CENTENARIO,DIA ÚTIL,05:42
60,TERMINAL CENTENARIO,DIA ÚTIL,05:54
61,TERMINAL CENTENARIO,DIA ÚTIL,06:06
62,TERMINAL CENTENARIO,DIA ÚTIL,06:18
63,TERMINAL CENTENARIO,DIA ÚTIL,06:30
64,TERMINAL CENTENARIO,DIA ÚTIL,06:42
65,TERMINAL CENTENARIO,DIA ÚTIL,06:54
66,TERMINAL CENTENARIO,DIA ÚTIL,07:06
67,TERMINAL CENTENARIO,DIA ÚTIL,07:18
68,TERMINAL CENTENARIO,DIA ÚTIL,07:30
69,TERMINAL CENTENARIO,DIA ÚTIL,07:42
70,TERMINAL CENTENARIO,DIA ÚTIL,07:57
71,TERMINAL CENTENARIO,DIA ÚTIL,08:06
72,TERMINAL CENTENARIO,DIA ÚTIL,08:20
73,TERMINAL CENTENARIO,DIA ÚTIL,08:40
