,pontos,dia,horarios
0,BAIRRO BATEL,DIA ÚTIL,06:17
1,BAIRRO BATEL,DIA ÚTIL,06:37
2,BAIRRO BATEL,DIA ÚTIL,06:49
3,BAIRRO BATEL,DIA ÚTIL,06:56
4,BAIRRO BATEL,DIA ÚTIL,07:02
5,BAIRRO BATEL,DIA ÚTIL,07:09
6,BAIRRO BATEL,DIA ÚTIL,07:15
7,BAIRRO BATEL,DIA ÚTIL,07:21
8,BAIRRO BATEL,DIA ÚTIL,07:28
9,BAIRRO BATEL,DIA ÚTIL,07:34
10,BAIRRO BATEL,DIA ÚTIL,07:41
11,BAIRRO BATEL,DIA ÚTIL,07:47
12,BAIRRO BATEL,DIA ÚTIL,07:53
13,BAIRRO BATEL,DIA ÚTIL,08:00
14,BAIRRO BATEL,DIA ÚTIL,08:06
15,BAIRRO BATEL,DIA ÚTIL,08:13
16,BAIRRO BATEL,DIA ÚTIL,08:20
17,BAIRRO BATEL,DIA ÚTIL,08:27
18,BAIRRO BATEL,DIA ÚTIL,08:33
19,BAIRRO BATEL,DIA ÚTIL,08:48
20,BAIRRO BATEL,DIA ÚTIL,09:03
21,BAIRRO BATEL,DIA ÚTIL,09:21
22,BAIRRO BATEL,DIA ÚTIL,09:38
23,BAIRRO BATEL,DIA ÚTIL,09:56
24,BAIRRO BATEL,DIA ÚTIL,10:13
25,BAIRRO BATEL,DIA ÚTIL,10:31
26,BAIRRO BATEL,DIA ÚTIL,10:48
27,BAIRRO BATEL,DIA ÚTIL,11:06
28,BAIRRO BATEL,DIA ÚTIL,11:23
29,BAIRRO BATEL,DIA ÚTIL,11:41
30,BAIRRO BATEL,DIA ÚTIL,11:59
31,BAIRRO BATEL,DIA ÚTIL,12:17
32,BAIRRO BATEL,DIA ÚTIL,12:35
33,BAIRRO BATEL,DIA ÚTIL,12:53
34,BAIRRO BATEL,DIA ÚTIL,13:11
35,BAIRRO BATEL,DIA ÚTIL,13:29
36,BAIRRO BATEL,DIA ÚTIL,13:47
37,BAIRRO BATEL,DIA ÚTIL,14:05
38,BAIRRO BATEL,DIA ÚTIL,14:24
39,BAIRRO BATEL,DIA ÚTIL,14:44
40,BAIRRO BATEL,DIA ÚTIL,15:04
41,BAIRRO BATEL,DIA ÚTIL,15:24
42,BAIRRO BATEL,DIA ÚTIL,15:44
43,BAIRRO BATEL,DIA ÚTIL,16:04
