,pontos,dia,horarios
0,TERMINAL CAMPINA DO SIQUEIRA,DIA ÚTIL,05:50
1,TERMINAL CAMPINA DO SIQUEIRA,DIA ÚTIL,06:10
2,TERMINAL CAMPINA DO SIQUEIRA,DIA ÚTIL,06:30
3,TERMINAL CAMPINA DO SIQUEIRA,DIA ÚTIL,06:44
4,TERMINAL CAMPINA DO SIQUEIRA,DIA ÚTIL,06:58
5,TERMINAL CAMPINA DO SIQUEIRA,DIA ÚTIL,07:11
6,TERMINAL CAMPINA DO SIQUEIRA,DIA ÚTIL,07:24
7,TERMINAL CAMPINA DO SIQUEIRA,DIA ÚTIL,07:38
8,TERMINAL CAMPINA DO SIQUEIRA,DIA ÚTIL,07:52
9,TERMINAL CAMPINA DO SIQUEIRA,DIA ÚTIL,08:06
10,TERMINAL CAMPINA DO SIQUEIRA,DIA ÚTIL,08:20
11,TERMINAL CAMPINA DO SIQUEIRA,DIA ÚTIL,08:40
12,TERMINAL CAMPINA DO SIQUEIRA,DIA ÚTIL,09:01
13,TERMINAL CAMPINA DO SIQUEIRA,DIA ÚTIL,09:22
14,TERMINAL CAMPINA DO SIQUEIRA,DIA ÚTIL,09:43
15,TERMINAL CAMPINA DO SIQUEIRA,DIA ÚTIL,10:04
16,TERMINAL CAMPINA DO SIQUEIRA,DIA ÚTIL,10:25
17,TERMINAL CAMPINA DO SIQUEIRA,DIA ÚTIL,10:46
18,TERMINAL CAMPINA DO SIQUEIRA,DIA ÚTIL,11:06
19,TERMINAL CAMPINA DO SIQUEIRA,DIA ÚTIL,11:28
20,TERMINAL CAMPINA DO SIQUEIRA,DIA ÚTIL,11:50
21,TERMINAL CAMPINA DO SIQUEIRA,DIA ÚTIL,12:12
22,TERMINAL CAMPINA DO SIQUEIRA,DIA ÚTIL,12:34
23,TERMINAL CAMPINA DO SIQUEIRA,DIA ÚTIL,12:56
24,TERMINAL CAMPINA DO SIQUEIRA,DIA ÚTIL,13:17
25,TERMINAL CAMPINA DO SIQUEIRA,DIA ÚTIL,13:36
26,TERMINAL CAMPINA DO SIQUEIRA,DIA ÚTIL,13:56
27,TERMINAL CAMPINA DO SIQUEIRA,DIA ÚTIL,14:16
28,TERMINAL CAMPINA DO SIQUEIRA,DIA ÚTIL,14:37
29,TERMINAL CAMPINA DO SIQUEIRA,DIA ÚTIL,14:58
30,TERMINAL CAMPINA DO SIQUEIRA,DIA ÚTIL,15:19
31,TERMINAL CAMPINA DO SIQUEIRA,DIA ÚTIL,15:40
32,TERMINAL CAMPINA DO SIQUEIRA,DIA ÚTIL,16:01
33,TERMINAL CAMPINA DO SIQUEIRA,DIA ÚTIL,16:22
34,TERMINAL CAMPINA DO SIQUEIRA,DIA ÚTIL,16:43
35,TERMINAL CAMPINA DO SIQUEIRA,DIA ÚTIL,17:03
36,TERMINAL CAMPINA DO SIQUEIRA,DIA ÚTIL,17:25
37,TERMINAL CAMPINA DO SIQUEIRA,DIA ÚTIL,17:47
38,TERMINAL CAMPINA DO SIQUEIRA,DIA ÚTIL,17:51
39,TERMINAL CAMPINA DO SIQUEIRA,DIA ÚTIL,18:09
