,pontos,dia,horarios
0,TERMINAL CAPAO RASO,DIA ÚTIL,05:05
1,TERMINAL CAPAO RASO,DIA ÚTIL,05:15
2,TERMINAL CAPAO RASO,DIA ÚTIL,05:25
3,TERMINAL CAPAO RASO,DIA ÚTIL,05:35
4,TERMINAL CAPAO RASO,DIA ÚTIL,05:45
5,TERMINAL CAPAO RASO,DIA ÚTIL,05:55
6,TERMINAL CAPAO RASO,DIA ÚTIL,06:05
7,TERMINAL CAPAO RASO,DIA ÚTIL,06:15
8,TERMINAL CAPAO RASO,DIA ÚTIL,06:25
9,TERMINAL CAPAO RASO,DIA ÚTIL,06:35
10,TERMINAL CAPAO RASO,DIA ÚTIL,06:45
11,TERMINAL CAPAO RASO,DIA ÚTIL,06:55
12,TERMINAL CAPAO RASO,DIA ÚTIL,07:05
13,TERMINAL CAPAO RASO,DIA ÚTIL,07:15
14,TERMINAL CAPAO RASO,DIA ÚTIL,07:27
15,TERMINAL CAPAO RASO,DIA ÚTIL,07:39
16,TERMINAL CAPAO RASO,DIA ÚTIL,07:51
17,TERMINAL CAPAO RASO,DIA ÚTIL,08:03
18,TERMINAL CAPAO RASO,DIA ÚTIL,08:14
19,TERMINAL CAPAO RASO,DIA ÚTIL,08:26
20,TERMINAL CAPAO RASO,DIA ÚTIL,08:37
21,TERMINAL CAPAO RASO,DIA ÚTIL,08:49
22,TERMINAL CAPAO RASO,DIA ÚTIL,09:12
23,TERMINAL CAPAO RASO,DIA ÚTIL,09:35
24,TERMINAL CAPAO RASO,DIA ÚTIL,09:58
25,TERMINAL CAPAO RASO,DIA ÚTIL,10:21
26,TERMINAL CAPAO RASO,DIA ÚTIL,10:44
27,TERMINAL CAPAO RASO,DIA ÚTIL,11:07
28,TERMINAL CAPAO RASO,DIA ÚTIL,11:30
29,TERMINAL CAPAO RASO,DIA ÚTIL,11:44
30,TERMINAL CAPAO RASO,DIA ÚTIL,11:58
31,TERMINAL CAPAO RASO,DIA ÚTIL,12:13
32,TERMINAL CAPAO RASO,DIA ÚTIL,12:28
33,TERMINAL CAPAO RASO,DIA ÚTIL,12:43
34,TERMINAL CAPAO RASO,DIA ÚTIL,12:58
35,TERMINAL CAPAO RASO,DIA ÚTIL,13:13
36,TERMINAL CAPAO RASO,DIA ÚTIL,13:28
37,TERMINAL CAPAO RASO,DIA ÚTIL,13:43
38,TERMINAL CAPAO RASO,DIA ÚTIL,13:58
39,TERMINAL CAPAO RASO,DIA ÚTIL,14:14
40,TERMINAL CAPAO RASO,DIA ÚTIL,14:30
41,TERMINAL CAPAO RASO,DIA ÚTIL,14:46
42,TERMINAL CAPAO RASO,DIA ÚTIL,15:02
43,TERMINAL CAPAO RASO,DIA ÚTIL,15:18
44,TERMINAL CAPAO RASO,DIA ÚTIL,15:34
45,TERMINAL CAPAO RASO,DIA ÚTIL,15:50
46,TERMINAL CAPAO RASO,DIA ÚTIL,16:06
47,TERMINAL CAPAO RASO,DIA ÚTIL,16:22
48,TERMINAL CAPAO RASO,DIA ÚTIL,16:38
49,TERMINAL CAPAO RASO,DIA ÚTIL,16:54
50,TERMINAL CAPAO RASO,DIA ÚTIL,17:10
51,TERMINAL CAPAO RASO,DIA ÚTIL,17:26
52,TERMINAL CAPAO RASO,DIA ÚTIL,17:42
53,TERMINAL CAPAO RASO,DIA ÚTIL,17:58
54,TERMINAL CAPAO RASO,DIA ÚTIL,18:14
55,TERMINAL CAPAO RASO,DIA ÚTIL,18:30
56,TERMINAL CAPAO RASO,DIA ÚTIL,18:46
57,TERMINAL CAPAO RASO,DIA ÚTIL,19:02
58,TERMINAL CAPAO RASO,DIA ÚTIL,19:18
59,TERMINAL CAPAO RASO,DIA ÚTIL,19:34
60,TERMINAL CAPAO RASO,DIA ÚTIL,19:50
61,TERMINAL CAPAO RASO,DIA ÚTIL,20:10
62,TERMINAL CAPAO RASO,DIA ÚTIL,20:30
63,TERMINAL CAPAO RASO,DIA ÚTIL,20:50
64,TERMINAL CAPAO RASO,DIA ÚTIL,21:10
65,TERMINAL CAPAO RASO,DIA ÚTIL,21:30
66,TERMINAL CAPAO RASO,DIA ÚTIL,21:50
67,TERMINAL CAPAO RASO,DIA ÚTIL,22:10
68,TERMINAL CAPAO RASO,DIA ÚTIL,22:31
69,TERMINAL CAPAO RASO,DIA ÚTIL,22:52
70,TERMINAL CAPAO RASO,DIA ÚTIL,23:13
71,TERMINAL CAPAO RASO,DIA ÚTIL,23:34
72,TERMINAL CAPAO RASO,DIA ÚTIL,23:55
73,TERMINAL CIC,DIA ÚTIL,05:25
74,TERMINAL CIC,DIA ÚTIL,05:35
75,TERMINAL CIC,DIA ÚTIL,05:45
76,TERMINAL CIC,DIA ÚTIL,05:55
77,TERMINAL CIC,DIA ÚTIL,06:05
78,TERMINAL CIC,DIA ÚTIL,06:15
79,TERMINAL CIC,DIA ÚTIL,06:25
80,TERMINAL CIC,DIA ÚTIL,06:35
81,TERMINAL CIC,DIA ÚTIL,06:45
82,TERMINAL CIC,DIA ÚTIL,06:55
83,TERMINAL CIC,DIA ÚTIL,07:05
84,TERMINAL CIC,DIA ÚTIL,07:15
85,TERMINAL CIC,DIA ÚTIL,07:27
86,TERMINAL CIC,DIA ÚTIL,07:39
87,TERMINAL CIC,DIA ÚTIL,07:51
88,TERMINAL CIC,DIA ÚTIL,08:03
89,TERMINAL CIC,DIA ÚTIL,08:14
90,TERMINAL CIC,DIA ÚTIL,08:25
91,TERMINAL CIC,DIA ÚTIL,08:37
92,TERMINAL CIC,DIA ÚTIL,08:49
93,TERMINAL CIC,DIA ÚTIL,09:12
94,TERMINAL CIC,DIA ÚTIL,09:35
95,TERMINAL CIC,DIA ÚTIL,09:58
96,TERMINAL CIC,DIA ÚTIL,10:21
