,pontos,dia,horarios
0,BAIRRO CANAL BELEM,DIA ÚTIL,05:15
1,BAIRRO CANAL BELEM,DIA ÚTIL,05:34
2,BAIRRO CANAL BELEM,DIA ÚTIL,05:53
3,BAIRRO CANAL BELEM,DIA ÚTIL,06:12
4,BAIRRO CANAL BELEM,DIA ÚTIL,06:30
5,BAIRRO CANAL BELEM,DIA ÚTIL,06:49
6,BAIRRO CANAL BELEM,DIA ÚTIL,07:08
7,BAIRRO CANAL BELEM,DIA ÚTIL,07:27
8,BAIRRO CANAL BELEM,DIA ÚTIL,07:45
9,BAIRRO CANAL BELEM,DIA ÚTIL,08:04
10,BAIRRO CANAL BELEM,DIA ÚTIL,08:23
11,BAIRRO CANAL BELEM,DIA ÚTIL,08:48
12,BAIRRO CANAL BELEM,DIA ÚTIL,09:13
13,BAIRRO CANAL BELEM,DIA ÚTIL,09:38
14,BAIRRO CANAL BELEM,DIA ÚTIL,10:03
15,BAIRRO CANAL BELEM,DIA ÚTIL,10:28
16,BAIRRO CANAL BELEM,DIA ÚTIL,10:53
17,BAIRRO CANAL BELEM,DIA ÚTIL,11:18
18,BAIRRO CANAL BELEM,DIA ÚTIL,11:43
19,BAIRRO CANAL BELEM,DIA ÚTIL,12:08
20,BAIRRO CANAL BELEM,DIA ÚTIL,12:33
21,BAIRRO CANAL BELEM,DIA ÚTIL,12:58
22,BAIRRO CANAL BELEM,DIA ÚTIL,13:23
23,BAIRRO CANAL BELEM,DIA ÚTIL,13:48
24,BAIRRO CANAL BELEM,DIA ÚTIL,14:13
25,BAIRRO CANAL BELEM,DIA ÚTIL,14:38
26,BAIRRO CANAL BELEM,DIA ÚTIL,15:03
27,BAIRRO CANAL BELEM,DIA ÚTIL,15:28
28,BAIRRO CANAL BELEM,DIA ÚTIL,15:53
29,BAIRRO CANAL BELEM,DIA ÚTIL,16:18
30,BAIRRO CANAL BELEM,DIA ÚTIL,16:43
31,BAIRRO CANAL BELEM,DIA ÚTIL,17:08
32,BAIRRO CANAL BELEM,DIA ÚTIL,17:33
33,BAIRRO CANAL BELEM,DIA ÚTIL,17:58
34,BAIRRO CANAL BELEM,DIA ÚTIL,18:23
35,BAIRRO CANAL BELEM,DIA ÚTIL,18:48
36,BAIRRO CANAL BELEM,DIA ÚTIL,19:13
37,BAIRRO CANAL BELEM,DIA ÚTIL,19:38
38,BAIRRO CANAL BELEM,DIA ÚTIL,20:03
39,BAIRRO CANAL BELEM,DIA ÚTIL,20:28
40,BAIRRO CANAL BELEM,DIA ÚTIL,20:53
41,BAIRRO CANAL BELEM,DIA ÚTIL,21:18
42,BAIRRO CANAL BELEM,DIA ÚTIL,21:43
43,BAIRRO CANAL BELEM,DIA ÚTIL,22:08
44,BAIRRO CANAL BELEM,DIA ÚTIL,22:33
45,BAIRRO CANAL BELEM,DIA ÚTIL,22:58
46,BAIRRO CANAL BELEM,DIA ÚTIL,23:23
47,PRACA RUI BARBOSA,DIA ÚTIL,05:52
48,PRACA RUI BARBOSA,DIA ÚTIL,06:11
49,PRACA RUI BARBOSA,DIA ÚTIL,06:30
50,PRACA RUI BARBOSA,DIA ÚTIL,06:49
51,PRACA RUI BARBOSA,DIA ÚTIL,07:07
52,PRACA RUI BARBOSA,DIA ÚTIL,07:26
53,PRACA RUI BARBOSA,DIA ÚTIL,07:45
54,PRACA RUI BARBOSA,DIA ÚTIL,08:08
55,PRACA RUI BARBOSA,DIA ÚTIL,08:32
56,PRACA RUI BARBOSA,DIA ÚTIL,09:00
57,PRACA RUI BARBOSA,DIA ÚTIL,09:25
58,PRACA RUI BARBOSA,DIA ÚTIL,09:50
59,PRACA RUI BARBOSA,DIA ÚTIL,10:15
60,PRACA RUI BARBOSA,DIA ÚTIL,10:40
61,PRACA RUI BARBOSA,DIA ÚTIL,11:05
62,PRACA RUI BARBOSA,DIA ÚTIL,11:30
63,PRACA RUI BARBOSA,DIA ÚTIL,11:55
64,PRACA RUI BARBOSA,DIA ÚTIL,12:20
65,PRACA RUI BARBOSA,DIA ÚTIL,12:45
66,PRACA RUI BARBOSA,DIA ÚTIL,13:10
67,PRACA RUI BARBOSA,DIA ÚTIL,13:35
68,PRACA RUI BARBOSA,DIA ÚTIL,14:00
69,PRACA RUI BARBOSA,DIA ÚTIL,14:25
70,PRACA RUI BARBOSA,DIA ÚTIL,14:50
71,PRACA RUI BARBOSA,DIA ÚTIL,15:15
72,PRACA RUI BARBOSA,DIA ÚTIL,15:40
73,PRACA RUI BARBOSA,DIA ÚTIL,16:05
74,PRACA RUI BARBOSA,DIA ÚTIL,16:30
75,PRACA RUI BARBOSA,DIA ÚTIL,16:55
76,PRACA RUI BARBOSA,DIA ÚTIL,17:20
77,PRACA RUI BARBOSA,DIA ÚTIL,17:45
78,PRACA RUI BARBOSA,DIA ÚTIL,18:10
79,PRACA RUI BARBOSA,DIA ÚTIL,18:35
80,PRACA RUI BARBOSA,DIA ÚTIL,19:00
81,PRACA RUI BARBOSA,DIA ÚTIL,19:25
82,PRACA RUI BARBOSA,DIA ÚTIL,19:50
83,PRACA RUI BARBOSA,DIA ÚTIL,20:15
84,PRACA RUI BARBOSA,DIA ÚTIL,20:40
85,PRACA RUI BARBOSA,DIA ÚTIL,21:05
86,PRACA RUI BARBOSA,DIA ÚTIL,21:30
87,PRACA RUI BARBOSA,DIA ÚTIL,21:55
88,PRACA RUI BARBOSA,DIA ÚTIL,22:20
89,PRACA RUI BARBOSA,DIA ÚTIL,22:45
90,PRACA RUI BARBOSA,DIA ÚTIL,23:10
91,PRACA RUI BARBOSA,DIA ÚTIL,23:35
92,PRACA RUI BARBOSA,DIA ÚTIL,00:05
93,BAIRRO CANAL BELEM,SÁBADO,05:45
94,BAIRRO CANAL BELEM,SÁBADO,06:05
95,BAIRRO CANAL BELEM,SÁBADO,06:32
96,BAIRRO CANAL BELEM,SÁBADO,06:55
97,BAIRRO CANAL BELEM,SÁBADO,07:19
98,BAIRRO CANAL BELEM,SÁBADO,07:42
