,pontos,dia,horarios
0,TERMINAL CAPAO RASO,DIA ÚTIL,05:15
1,TERMINAL CAPAO RASO,DIA ÚTIL,05:38
2,TERMINAL CAPAO RASO,DIA ÚTIL,05:57
3,TERMINAL CAPAO RASO,DIA ÚTIL,06:16
4,TERMINAL CAPAO RASO,DIA ÚTIL,06:35
5,TERMINAL CAPAO RASO,DIA ÚTIL,06:54
6,TERMINAL CAPAO RASO,DIA ÚTIL,07:13
7,TERMINAL CAPAO RASO,DIA ÚTIL,07:32
8,TERMINAL CAPAO RASO,DIA ÚTIL,07:52
9,TERMINAL CAPAO RASO,DIA ÚTIL,08:12
10,TERMINAL CAPAO RASO,DIA ÚTIL,08:36
11,TERMINAL CAPAO RASO,DIA ÚTIL,09:00
12,TERMINAL CAPAO RASO,DIA ÚTIL,09:29
13,TERMINAL CAPAO RASO,DIA ÚTIL,09:58
14,TERMINAL CAPAO RASO,DIA ÚTIL,10:25
15,TERMINAL CAPAO RASO,DIA ÚTIL,10:52
16,TERMINAL CAPAO RASO,DIA ÚTIL,11:20
17,TERMINAL CAPAO RASO,DIA ÚTIL,11:48
18,TERMINAL CAPAO RASO,DIA ÚTIL,12:16
19,TERMINAL CAPAO RASO,DIA ÚTIL,12:44
20,TERMINAL CAPAO RASO,DIA ÚTIL,13:12
21,TERMINAL CAPAO RASO,DIA ÚTIL,13:40
22,TERMINAL CAPAO RASO,DIA ÚTIL,14:08
23,TERMINAL CAPAO RASO,DIA ÚTIL,14:36
24,TERMINAL CAPAO RASO,DIA ÚTIL,15:04
25,TERMINAL CAPAO RASO,DIA ÚTIL,15:32
26,TERMINAL CAPAO RASO,DIA ÚTIL,16:00
27,TERMINAL CAPAO RASO,DIA ÚTIL,16:28
28,TERMINAL CAPAO RASO,DIA ÚTIL,16:56
29,TERMINAL CAPAO RASO,DIA ÚTIL,17:17
30,TERMINAL CAPAO RASO,DIA ÚTIL,17:38
31,TERMINAL CAPAO RASO,DIA ÚTIL,17:59
