,pontos,dia,horarios
0,CASA DE CUSTODIA (SAIDA),DIA ÚTIL,06:47
1,CASA DE CUSTODIA (SAIDA),DIA ÚTIL,07:13
2,TERMINAL CIC,DIA ÚTIL,06:35
3,TERMINAL CIC,DIA ÚTIL,07:00
4,TERMINAL CIC,DIA ÚTIL,07:30
5,TERMINAL CIC,DIA ÚTIL,14:10
6,PRINCESA DOS CAMPOS,DIA ÚTIL,18:10
7,CASA DE CUSTODIA (CHEGADA),SÁBADO,06:45
8,CASA DE CUSTODIA (CHEGADA),SÁBADO,15:05
9,CASA DE CUSTODIA (SAIDA),SÁBADO,07:15
10,CASA DE CUSTODIA (SAIDA),SÁBADO,15:20
11,TERMINAL CIC,SÁBADO,06:30
12,TERMINAL CIC,SÁBADO,07:30
13,CASA DE CUSTODIA (CHEGADA),DOMINGO,06:45
14,CASA DE CUSTODIA (CHEGADA),DOMINGO,15:05
15,CASA DE CUSTODIA (SAIDA),DOMINGO,07:15
16,CASA DE CUSTODIA (SAIDA),DOMINGO,15:20
17,TERMINAL CIC,DOMINGO,06:30
18,TERMINAL CIC,DOMINGO,07:30
