,pontos,dia,horarios
0,TERMINAL BOA VISTA,DIA ÚTIL,06:02
1,TERMINAL BOA VISTA,DIA ÚTIL,06:25
2,TERMINAL BOA VISTA,DIA ÚTIL,06:45
3,TERMINAL BOA VISTA,DIA ÚTIL,07:08
4,TERMINAL BOA VISTA,DIA ÚTIL,07:31
5,TERMINAL BOA VISTA,DIA ÚTIL,07:54
6,TERMINAL BOA VISTA,DIA ÚTIL,08:18
7,TERMINAL BOA VISTA,DIA ÚTIL,08:43
8,TERMINAL BOA VISTA,DIA ÚTIL,09:08
9,TERMINAL BOA VISTA,DIA ÚTIL,09:34
10,TERMINAL BOA VISTA,DIA ÚTIL,10:00
11,TERMINAL BOA VISTA,DIA ÚTIL,10:25
12,TERMINAL BOA VISTA,DIA ÚTIL,10:50
13,TERMINAL BOA VISTA,DIA ÚTIL,11:15
14,TERMINAL BOA VISTA,DIA ÚTIL,11:40
15,TERMINAL BOA VISTA,DIA ÚTIL,12:03
16,TERMINAL BOA VISTA,DIA ÚTIL,12:25
17,TERMINAL BOA VISTA,DIA ÚTIL,12:50
18,TERMINAL BOA VISTA,DIA ÚTIL,13:15
19,TERMINAL BOA VISTA,DIA ÚTIL,13:40
20,TERMINAL BOA VISTA,DIA ÚTIL,14:05
21,TERMINAL BOA VISTA,DIA ÚTIL,14:30
22,TERMINAL BOA VISTA,DIA ÚTIL,14:55
23,TERMINAL BOA VISTA,DIA ÚTIL,15:20
24,TERMINAL BOA VISTA,DIA ÚTIL,15:45
25,TERMINAL BOA VISTA,DIA ÚTIL,16:10
26,TERMINAL BOA VISTA,DIA ÚTIL,16:35
27,TERMINAL BOA VISTA,DIA ÚTIL,17:00
28,TERMINAL BOA VISTA,DIA ÚTIL,17:25
29,TERMINAL BOA VISTA,DIA ÚTIL,17:50
30,TERMINAL BOA VISTA,DIA ÚTIL,18:15
31,TERMINAL BOA VISTA,DIA ÚTIL,18:40
32,TERMINAL BOA VISTA,DIA ÚTIL,19:05
33,TERMINAL BOA VISTA,DIA ÚTIL,19:30
34,TERMINAL BOA VISTA,DIA ÚTIL,19:55
35,TERMINAL BOA VISTA,DIA ÚTIL,20:20
36,TERMINAL BOA VISTA,DIA ÚTIL,20:45
37,TERMINAL BOA VISTA,DIA ÚTIL,21:10
38,TERMINAL BOA VISTA,DIA ÚTIL,21:35
39,TERMINAL BOA VISTA,DIA ÚTIL,22:00
40,TERMINAL BOA VISTA,DIA ÚTIL,22:25
41,TERMINAL BOA VISTA,DIA ÚTIL,22:50
42,TERMINAL BOA VISTA,DIA ÚTIL,23:15
43,TERMINAL BOA VISTA,DIA ÚTIL,23:40
44,TERMINAL BOA VISTA,DIA ÚTIL,00:05
45,TERMINAL BOA VISTA,SÁBADO,06:00
46,TERMINAL BOA VISTA,SÁBADO,06:25
47,TERMINAL BOA VISTA,SÁBADO,06:50
48,TERMINAL BOA VISTA,SÁBADO,07:15
49,TERMINAL BOA VISTA,SÁBADO,07:40
50,TERMINAL BOA VISTA,SÁBADO,08:05
51,TERMINAL BOA VISTA,SÁBADO,08:30
52,TERMINAL BOA VISTA,SÁBADO,08:55
53,TERMINAL BOA VISTA,SÁBADO,09:20
54,TERMINAL BOA VISTA,SÁBADO,09:45
55,TERMINAL BOA VISTA,SÁBADO,10:10
56,TERMINAL BOA VISTA,SÁBADO,10:35
57,TERMINAL BOA VISTA,SÁBADO,11:00
58,TERMINAL BOA VISTA,SÁBADO,11:25
59,TERMINAL BOA VISTA,SÁBADO,11:50
60,TERMINAL BOA VISTA,SÁBADO,12:15
61,TERMINAL BOA VISTA,SÁBADO,12:40
62,TERMINAL BOA VISTA,SÁBADO,13:05
63,TERMINAL BOA VISTA,SÁBADO,13:30
64,TERMINAL BOA VISTA,SÁBADO,13:55
65,TERMINAL BOA VISTA,SÁBADO,14:20
66,TERMINAL BOA VISTA,SÁBADO,14:45
67,TERMINAL BOA VISTA,SÁBADO,15:10
68,TERMINAL BOA VISTA,SÁBADO,15:35
69,TERMINAL BOA VISTA,SÁBADO,16:00
70,TERMINAL BOA VISTA,SÁBADO,16:25
71,TERMINAL BOA VISTA,SÁBADO,16:50
72,TERMINAL BOA VISTA,SÁBADO,17:15
73,TERMINAL BOA VISTA,SÁBADO,17:40
74,TERMINAL BOA VISTA,SÁBADO,18:05
75,TERMINAL BOA VISTA,SÁBADO,18:30
76,TERMINAL BOA VISTA,SÁBADO,18:55
77,TERMINAL BOA VISTA,SÁBADO,19:20
78,TERMINAL BOA VISTA,SÁBADO,19:45
79,TERMINAL BOA VISTA,SÁBADO,20:10
80,TERMINAL BOA VISTA,SÁBADO,20:35
81,TERMINAL BOA VISTA,SÁBADO,21:00
82,TERMINAL BOA VISTA,SÁBADO,21:25
83,TERMINAL BOA VISTA,SÁBADO,21:50
84,TERMINAL BOA VISTA,SÁBADO,22:15
85,TERMINAL BOA VISTA,SÁBADO,22:40
86,TERMINAL BOA VISTA,SÁBADO,23:05
87,TERMINAL BOA VISTA,SÁBADO,23:30
88,TERMINAL BOA VISTA,DOMINGO,06:00
89,TERMINAL BOA VISTA,DOMINGO,06:25
90,TERMINAL BOA VISTA,DOMINGO,06:50
91,TERMINAL BOA VISTA,DOMINGO,07:15
92,TERMINAL BOA VISTA,DOMINGO,07:40
93,TERMINAL BOA VISTA,DOMINGO,08:05
94,TERMINAL BOA VISTA,DOMINGO,08:30
95,TERMINAL BOA VISTA,DOMINGO,08:55
96,TERMINAL BOA VISTA,DOMINGO,09:20
97,TERMINAL BOA VISTA,DOMINGO,09:45
98,TERMINAL BOA VISTA,DOMINGO,10:10
99,TERMINAL BOA VISTA,DOMINGO,10:35
100,TERMINAL BOA VISTA,DOMINGO,11:00
101,TERMINAL BOA VISTA,DOMINGO,11:25
102,TERMINAL BOA VISTA,DOMINGO,11:50
103,TERMINAL BOA VISTA,DOMINGO,12:15
104,TERMINAL BOA VISTA,DOMINGO,12:40
105,TERMINAL BOA VISTA,DOMINGO,13:05
106,TERMINAL BOA VISTA,DOMINGO,13:30
107,TERMINAL BOA VISTA,DOMINGO,13:55
108,TERMINAL BOA VISTA,DOMINGO,14:20
109,TERMINAL BOA VISTA,DOMINGO,14:45
110,TERMINAL BOA VISTA,DOMINGO,15:10
111,TERMINAL BOA VISTA,DOMINGO,15:35
112,TERMINAL BOA VISTA,DOMINGO,16:00
113,TERMINAL BOA VISTA,DOMINGO,16:25
114,TERMINAL BOA VISTA,DOMINGO,16:50
115,TERMINAL BOA VISTA,DOMINGO,17:15
116,TERMINAL BOA VISTA,DOMINGO,17:40
117,TERMINAL BOA VISTA,DOMINGO,18:05
118,TERMINAL BOA VISTA,DOMINGO,18:30
119,TERMINAL BOA VISTA,DOMINGO,18:55
120,TERMINAL BOA VISTA,DOMINGO,19:20
121,TERMINAL BOA VISTA,DOMINGO,19:45
122,TERMINAL BOA VISTA,DOMINGO,20:10
123,TERMINAL BOA VISTA,DOMINGO,20:35
124,TERMINAL BOA VISTA,DOMINGO,21:00
125,TERMINAL BOA VISTA,DOMINGO,21:25
126,TERMINAL BOA VISTA,DOMINGO,21:50
127,TERMINAL BOA VISTA,DOMINGO,22:15
128,TERMINAL BOA VISTA,DOMINGO,22:40
129,TERMINAL BOA VISTA,DOMINGO,23:05
130,TERMINAL BOA VISTA,DOMINGO,23:30
