,pontos,dia,horarios
0,CAXIMBA/OLARIA,DIA ÚTIL,05:30
1,CAXIMBA/OLARIA,DIA ÚTIL,06:12
2,CAXIMBA/OLARIA,DIA ÚTIL,06:53
3,CAXIMBA/OLARIA,DIA ÚTIL,07:35
4,CAXIMBA/OLARIA,DIA ÚTIL,08:16
5,CAXIMBA/OLARIA,DIA ÚTIL,08:58
6,CAXIMBA/OLARIA,DIA ÚTIL,09:39
7,CAXIMBA/OLARIA,DIA ÚTIL,10:21
8,CAXIMBA/OLARIA,DIA ÚTIL,11:02
9,CAXIMBA/OLARIA,DIA ÚTIL,11:44
10,CAXIMBA/OLARIA,DIA ÚTIL,12:25
11,CAXIMBA/OLARIA,DIA ÚTIL,13:06
12,CAXIMBA/OLARIA,DIA ÚTIL,13:46
13,CAXIMBA/OLARIA,DIA ÚTIL,14:26
14,CAXIMBA/OLARIA,DIA ÚTIL,15:06
15,CAXIMBA/OLARIA,DIA ÚTIL,15:48
16,CAXIMBA/OLARIA,DIA ÚTIL,16:30
17,CAXIMBA/OLARIA,DIA ÚTIL,17:06
18,CAXIMBA/OLARIA,DIA ÚTIL,17:33
19,CAXIMBA/OLARIA,DIA ÚTIL,18:00
20,CAXIMBA/OLARIA,DIA ÚTIL,18:27
21,CAXIMBA/OLARIA,DIA ÚTIL,18:55
22,CAXIMBA/OLARIA,DIA ÚTIL,19:23
23,CAXIMBA/OLARIA,DIA ÚTIL,19:52
24,CAXIMBA/OLARIA,DIA ÚTIL,20:36
25,CAXIMBA/OLARIA,DIA ÚTIL,21:08
26,CAXIMBA/OLARIA,DIA ÚTIL,21:43
27,CAXIMBA/OLARIA,DIA ÚTIL,22:18
28,CAXIMBA/OLARIA,DIA ÚTIL,22:53
29,CAXIMBA/OLARIA,DIA ÚTIL,23:28
30,TERMINAL PINHEIRINHO,DIA ÚTIL,06:13
31,TERMINAL PINHEIRINHO,DIA ÚTIL,06:55
32,TERMINAL PINHEIRINHO,DIA ÚTIL,07:36
33,TERMINAL PINHEIRINHO,DIA ÚTIL,08:18
34,TERMINAL PINHEIRINHO,DIA ÚTIL,08:59
35,TERMINAL PINHEIRINHO,DIA ÚTIL,09:41
36,TERMINAL PINHEIRINHO,DIA ÚTIL,10:22
37,TERMINAL PINHEIRINHO,DIA ÚTIL,11:04
38,TERMINAL PINHEIRINHO,DIA ÚTIL,11:45
39,TERMINAL PINHEIRINHO,DIA ÚTIL,12:27
40,TERMINAL PINHEIRINHO,DIA ÚTIL,13:08
41,TERMINAL PINHEIRINHO,DIA ÚTIL,13:48
42,TERMINAL PINHEIRINHO,DIA ÚTIL,14:28
43,TERMINAL PINHEIRINHO,DIA ÚTIL,15:08
