,pontos,dia,horarios
0,TERMINAL CENTENARIO,DIA ÚTIL,04:50
1,TERMINAL CENTENARIO,DIA ÚTIL,05:05
2,TERMINAL CENTENARIO,DIA ÚTIL,05:20
3,TERMINAL CENTENARIO,DIA ÚTIL,05:35
4,TERMINAL CENTENARIO,DIA ÚTIL,05:46
5,TERMINAL CENTENARIO,DIA ÚTIL,05:58
6,TERMINAL CENTENARIO,DIA ÚTIL,06:11
7,TERMINAL CENTENARIO,DIA ÚTIL,06:25
8,TERMINAL CENTENARIO,DIA ÚTIL,06:38
9,TERMINAL CENTENARIO,DIA ÚTIL,06:52
10,TERMINAL CENTENARIO,DIA ÚTIL,07:05
11,TERMINAL CENTENARIO,DIA ÚTIL,07:19
12,TERMINAL CENTENARIO,DIA ÚTIL,07:32
13,TERMINAL CENTENARIO,DIA ÚTIL,07:46
14,TERMINAL CENTENARIO,DIA ÚTIL,07:59
15,TERMINAL CENTENARIO,DIA ÚTIL,08:13
16,TERMINAL CENTENARIO,DIA ÚTIL,08:26
17,TERMINAL CENTENARIO,DIA ÚTIL,08:42
18,TERMINAL CENTENARIO,DIA ÚTIL,08:58
19,TERMINAL CENTENARIO,DIA ÚTIL,09:16
20,TERMINAL CENTENARIO,DIA ÚTIL,09:34
21,TERMINAL CENTENARIO,DIA ÚTIL,09:52
22,TERMINAL CENTENARIO,DIA ÚTIL,10:10
23,TERMINAL CENTENARIO,DIA ÚTIL,10:28
24,TERMINAL CENTENARIO,DIA ÚTIL,10:46
25,TERMINAL CENTENARIO,DIA ÚTIL,11:04
26,TERMINAL CENTENARIO,DIA ÚTIL,11:22
27,TERMINAL CENTENARIO,DIA ÚTIL,11:40
28,TERMINAL CENTENARIO,DIA ÚTIL,11:58
29,TERMINAL CENTENARIO,DIA ÚTIL,12:16
30,TERMINAL CENTENARIO,DIA ÚTIL,12:34
31,TERMINAL CENTENARIO,DIA ÚTIL,12:52
32,TERMINAL CENTENARIO,DIA ÚTIL,13:10
33,TERMINAL CENTENARIO,DIA ÚTIL,13:28
34,TERMINAL CENTENARIO,DIA ÚTIL,13:46
35,TERMINAL CENTENARIO,DIA ÚTIL,14:04
36,TERMINAL CENTENARIO,DIA ÚTIL,14:22
37,TERMINAL CENTENARIO,DIA ÚTIL,14:40
38,TERMINAL CENTENARIO,DIA ÚTIL,14:58
39,TERMINAL CENTENARIO,DIA ÚTIL,15:16
40,TERMINAL CENTENARIO,DIA ÚTIL,15:34
41,TERMINAL CENTENARIO,DIA ÚTIL,15:52
42,TERMINAL CENTENARIO,DIA ÚTIL,16:10
43,TERMINAL CENTENARIO,DIA ÚTIL,16:28
44,TERMINAL CENTENARIO,DIA ÚTIL,16:46
45,TERMINAL CENTENARIO,DIA ÚTIL,17:04
46,TERMINAL CENTENARIO,DIA ÚTIL,17:22
47,TERMINAL CENTENARIO,DIA ÚTIL,17:40
48,TERMINAL CENTENARIO,DIA ÚTIL,17:58
49,TERMINAL CENTENARIO,DIA ÚTIL,18:16
50,TERMINAL CENTENARIO,DIA ÚTIL,18:34
51,TERMINAL CENTENARIO,DIA ÚTIL,18:52
52,TERMINAL CENTENARIO,DIA ÚTIL,19:10
53,TERMINAL CENTENARIO,DIA ÚTIL,19:28
54,TERMINAL CENTENARIO,DIA ÚTIL,19:46
55,TERMINAL CENTENARIO,DIA ÚTIL,20:04
56,TERMINAL CENTENARIO,DIA ÚTIL,20:22
57,TERMINAL CENTENARIO,DIA ÚTIL,20:40
58,TERMINAL CENTENARIO,DIA ÚTIL,20:58
59,TERMINAL CENTENARIO,DIA ÚTIL,21:16
60,TERMINAL CENTENARIO,DIA ÚTIL,21:34
61,TERMINAL CENTENARIO,DIA ÚTIL,21:52
62,TERMINAL CENTENARIO,DIA ÚTIL,22:10
63,TERMINAL CENTENARIO,DIA ÚTIL,22:28
64,TERMINAL CENTENARIO,DIA ÚTIL,22:46
65,TERMINAL CENTENARIO,DIA ÚTIL,23:04
66,TERMINAL CENTENARIO,DIA ÚTIL,23:20
