,pontos,dia,horarios
0,TERMINAL CENTENARIO,DIA ÚTIL,05:10
1,TERMINAL CENTENARIO,DIA ÚTIL,05:21
2,TERMINAL CENTENARIO,DIA ÚTIL,05:33
3,TERMINAL CENTENARIO,DIA ÚTIL,05:45
4,TERMINAL CENTENARIO,DIA ÚTIL,05:52
5,TERMINAL CENTENARIO,DIA ÚTIL,05:58
6,TERMINAL CENTENARIO,DIA ÚTIL,06:04
7,TERMINAL CENTENARIO,DIA ÚTIL,06:10
8,TERMINAL CENTENARIO,DIA ÚTIL,06:15
9,TERMINAL CENTENARIO,DIA ÚTIL,06:20
10,TERMINAL CENTENARIO,DIA ÚTIL,06:25
11,TERMINAL CENTENARIO,DIA ÚTIL,06:30
12,TERMINAL CENTENARIO,DIA ÚTIL,06:35
13,TERMINAL CENTENARIO,DIA ÚTIL,06:40
14,TERMINAL CENTENARIO,DIA ÚTIL,06:45
15,TERMINAL CENTENARIO,DIA ÚTIL,06:50
16,TERMINAL CENTENARIO,DIA ÚTIL,06:55
17,TERMINAL CENTENARIO,DIA ÚTIL,07:00
18,TERMINAL CENTENARIO,DIA ÚTIL,07:05
19,TERMINAL CENTENARIO,DIA ÚTIL,07:10
20,TERMINAL CENTENARIO,DIA ÚTIL,07:15
21,TERMINAL CENTENARIO,DIA ÚTIL,07:20
22,TERMINAL CENTENARIO,DIA ÚTIL,07:25
23,TERMINAL CENTENARIO,DIA ÚTIL,07:30
24,TERMINAL CENTENARIO,DIA ÚTIL,07:35
25,TERMINAL CENTENARIO,DIA ÚTIL,07:40
26,TERMINAL CENTENARIO,DIA ÚTIL,07:45
27,TERMINAL CENTENARIO,DIA ÚTIL,07:50
28,TERMINAL CENTENARIO,DIA ÚTIL,07:55
29,TERMINAL CENTENARIO,DIA ÚTIL,08:00
30,TERMINAL CENTENARIO,DIA ÚTIL,08:05
31,TERMINAL CENTENARIO,DIA ÚTIL,08:11
32,TERMINAL CENTENARIO,DIA ÚTIL,08:16
33,TERMINAL CENTENARIO,DIA ÚTIL,08:21
34,TERMINAL CENTENARIO,DIA ÚTIL,08:26
35,TERMINAL CENTENARIO,DIA ÚTIL,08:31
36,TERMINAL CENTENARIO,DIA ÚTIL,08:36
37,TERMINAL CENTENARIO,DIA ÚTIL,08:41
38,TERMINAL CENTENARIO,DIA ÚTIL,08:46
39,TERMINAL CENTENARIO,DIA ÚTIL,08:51
40,TERMINAL CENTENARIO,DIA ÚTIL,08:56
41,TERMINAL CENTENARIO,DIA ÚTIL,09:01
42,TERMINAL CENTENARIO,DIA ÚTIL,09:07
43,TERMINAL CENTENARIO,DIA ÚTIL,09:13
44,TERMINAL CENTENARIO,DIA ÚTIL,09:19
45,TERMINAL CENTENARIO,DIA ÚTIL,09:25
46,TERMINAL CENTENARIO,DIA ÚTIL,09:31
47,TERMINAL CENTENARIO,DIA ÚTIL,09:37
48,TERMINAL CENTENARIO,DIA ÚTIL,09:43
49,TERMINAL CENTENARIO,DIA ÚTIL,09:49
50,TERMINAL CENTENARIO,DIA ÚTIL,09:55
51,TERMINAL CENTENARIO,DIA ÚTIL,10:01
52,TERMINAL CENTENARIO,DIA ÚTIL,10:07
53,TERMINAL CENTENARIO,DIA ÚTIL,10:13
54,TERMINAL CENTENARIO,DIA ÚTIL,10:19
55,TERMINAL CENTENARIO,DIA ÚTIL,10:25
56,TERMINAL CENTENARIO,DIA ÚTIL,10:31
57,TERMINAL CENTENARIO,DIA ÚTIL,10:37
58,TERMINAL CENTENARIO,DIA ÚTIL,10:43
59,TERMINAL CENTENARIO,DIA ÚTIL,10:49
60,TERMINAL CENTENARIO,DIA ÚTIL,10:55
61,TERMINAL CENTENARIO,DIA ÚTIL,11:01
62,TERMINAL CENTENARIO,DIA ÚTIL,11:07
63,TERMINAL CENTENARIO,DIA ÚTIL,11:13
64,TERMINAL CENTENARIO,DIA ÚTIL,11:19
65,TERMINAL CENTENARIO,DIA ÚTIL,11:25
66,TERMINAL CENTENARIO,DIA ÚTIL,11:31
67,TERMINAL CENTENARIO,DIA ÚTIL,11:37
68,TERMINAL CENTENARIO,DIA ÚTIL,11:43
69,TERMINAL CENTENARIO,DIA ÚTIL,11:49
70,TERMINAL CENTENARIO,DIA ÚTIL,11:55
71,TERMINAL CENTENARIO,DIA ÚTIL,12:01
72,TERMINAL CENTENARIO,DIA ÚTIL,12:07
73,TERMINAL CENTENARIO,DIA ÚTIL,12:13
74,TERMINAL CENTENARIO,DIA ÚTIL,12:19
75,TERMINAL CENTENARIO,DIA ÚTIL,12:25
76,TERMINAL CENTENARIO,DIA ÚTIL,12:31
77,TERMINAL CENTENARIO,DIA ÚTIL,12:37
78,TERMINAL CENTENARIO,DIA ÚTIL,12:43
79,TERMINAL CENTENARIO,DIA ÚTIL,12:49
80,TERMINAL CENTENARIO,DIA ÚTIL,12:55
81,TERMINAL CENTENARIO,DIA ÚTIL,13:01
82,TERMINAL CENTENARIO,DIA ÚTIL,13:07
83,TERMINAL CENTENARIO,DIA ÚTIL,13:13
84,TERMINAL CENTENARIO,DIA ÚTIL,13:19
85,TERMINAL CENTENARIO,DIA ÚTIL,13:25
86,TERMINAL CENTENARIO,DIA ÚTIL,13:31
87,TERMINAL CENTENARIO,DIA ÚTIL,13:37
88,TERMINAL CENTENARIO,DIA ÚTIL,13:43
89,TERMINAL CENTENARIO,DIA ÚTIL,13:49
90,TERMINAL CENTENARIO,DIA ÚTIL,13:55
91,TERMINAL CENTENARIO,DIA ÚTIL,14:01
92,TERMINAL CENTENARIO,DIA ÚTIL,14:07
93,TERMINAL CENTENARIO,DIA ÚTIL,14:13
94,TERMINAL CENTENARIO,DIA ÚTIL,14:19
95,TERMINAL CENTENARIO,DIA ÚTIL,14:25
96,TERMINAL CENTENARIO,DIA ÚTIL,14:31
97,TERMINAL CENTENARIO,DIA ÚTIL,14:37
98,TERMINAL CENTENARIO,DIA ÚTIL,14:43
99,TERMINAL CENTENARIO,DIA ÚTIL,14:49
100,TERMINAL CENTENARIO,DIA ÚTIL,14:55
101,TERMINAL CENTENARIO,DIA ÚTIL,15:01
102,TERMINAL CENTENARIO,DIA ÚTIL,15:07
103,TERMINAL CENTENARIO,DIA ÚTIL,15:13
104,TERMINAL CENTENARIO,DIA ÚTIL,15:19
105,TERMINAL CENTENARIO,DIA ÚTIL,15:25
106,TERMINAL CENTENARIO,DIA ÚTIL,15:31
107,TERMINAL CENTENARIO,DIA ÚTIL,15:37
108,TERMINAL CENTENARIO,DIA ÚTIL,15:43
109,TERMINAL CENTENARIO,DIA ÚTIL,15:49
110,TERMINAL CENTENARIO,DIA ÚTIL,15:55
111,TERMINAL CENTENARIO,DIA ÚTIL,16:01
112,TERMINAL CENTENARIO,DIA ÚTIL,16:07
113,TERMINAL CENTENARIO,DIA ÚTIL,16:13
114,TERMINAL CENTENARIO,DIA ÚTIL,16:19
115,TERMINAL CENTENARIO,DIA ÚTIL,16:24
116,TERMINAL CENTENARIO,DIA ÚTIL,16:30
117,TERMINAL CENTENARIO,DIA ÚTIL,16:37
118,TERMINAL CENTENARIO,DIA ÚTIL,16:43
119,TERMINAL CENTENARIO,DIA ÚTIL,16:49
120,TERMINAL CENTENARIO,DIA ÚTIL,16:55
121,TERMINAL CENTENARIO,DIA ÚTIL,17:02
122,TERMINAL CENTENARIO,DIA ÚTIL,17:08
123,TERMINAL CENTENARIO,DIA ÚTIL,17:14
124,TERMINAL CENTENARIO,DIA ÚTIL,17:19
125,TERMINAL CENTENARIO,DIA ÚTIL,17:24
