,pontos,dia,horarios
0,TERMINAL CENTENARIO,DIA ÚTIL,05:10
1,TERMINAL CENTENARIO,DIA ÚTIL,05:20
2,TERMINAL CENTENARIO,DIA ÚTIL,05:33
3,TERMINAL CENTENARIO,DIA ÚTIL,05:46
4,TERMINAL CENTENARIO,DIA ÚTIL,05:58
5,TERMINAL CENTENARIO,DIA ÚTIL,06:10
6,TERMINAL CENTENARIO,DIA ÚTIL,06:22
7,TERMINAL CENTENARIO,DIA ÚTIL,06:34
8,TERMINAL CENTENARIO,DIA ÚTIL,06:46
9,TERMINAL CENTENARIO,DIA ÚTIL,06:58
10,TERMINAL CENTENARIO,DIA ÚTIL,07:10
11,TERMINAL CENTENARIO,DIA ÚTIL,07:22
12,TERMINAL CENTENARIO,DIA ÚTIL,07:36
13,TERMINAL CENTENARIO,DIA ÚTIL,07:49
14,TERMINAL CENTENARIO,DIA ÚTIL,08:02
15,TERMINAL CENTENARIO,DIA ÚTIL,08:12
16,TERMINAL CENTENARIO,DIA ÚTIL,08:22
17,TERMINAL CENTENARIO,DIA ÚTIL,08:38
18,TERMINAL CENTENARIO,DIA ÚTIL,08:54
19,TERMINAL CENTENARIO,DIA ÚTIL,09:10
20,TERMINAL CENTENARIO,DIA ÚTIL,09:26
21,TERMINAL CENTENARIO,DIA ÚTIL,09:42
22,TERMINAL CENTENARIO,DIA ÚTIL,09:58
23,TERMINAL CENTENARIO,DIA ÚTIL,10:14
24,TERMINAL CENTENARIO,DIA ÚTIL,10:30
25,TERMINAL CENTENARIO,DIA ÚTIL,10:46
26,TERMINAL CENTENARIO,DIA ÚTIL,11:02
27,TERMINAL CENTENARIO,DIA ÚTIL,11:18
28,TERMINAL CENTENARIO,DIA ÚTIL,11:34
29,TERMINAL CENTENARIO,DIA ÚTIL,11:50
30,TERMINAL CENTENARIO,DIA ÚTIL,12:06
31,TERMINAL CENTENARIO,DIA ÚTIL,12:22
32,TERMINAL CENTENARIO,DIA ÚTIL,12:38
33,TERMINAL CENTENARIO,DIA ÚTIL,12:54
34,TERMINAL CENTENARIO,DIA ÚTIL,13:10
35,TERMINAL CENTENARIO,DIA ÚTIL,13:26
36,TERMINAL CENTENARIO,DIA ÚTIL,13:42
37,TERMINAL CENTENARIO,DIA ÚTIL,13:58
38,TERMINAL CENTENARIO,DIA ÚTIL,14:14
39,TERMINAL CENTENARIO,DIA ÚTIL,14:30
40,TERMINAL CENTENARIO,DIA ÚTIL,14:46
41,TERMINAL CENTENARIO,DIA ÚTIL,15:02
42,TERMINAL CENTENARIO,DIA ÚTIL,15:18
43,TERMINAL CENTENARIO,DIA ÚTIL,15:34
44,TERMINAL CENTENARIO,DIA ÚTIL,15:50
45,TERMINAL CENTENARIO,DIA ÚTIL,16:06
46,TERMINAL CENTENARIO,DIA ÚTIL,16:24
47,TERMINAL CENTENARIO,DIA ÚTIL,16:41
48,TERMINAL CENTENARIO,DIA ÚTIL,16:56
49,TERMINAL CENTENARIO,DIA ÚTIL,17:10
50,TERMINAL CENTENARIO,DIA ÚTIL,17:24
51,TERMINAL CENTENARIO,DIA ÚTIL,17:37
52,TERMINAL CENTENARIO,DIA ÚTIL,17:50
53,TERMINAL CENTENARIO,DIA ÚTIL,18:04
54,TERMINAL CENTENARIO,DIA ÚTIL,18:17
55,TERMINAL CENTENARIO,DIA ÚTIL,18:30
56,TERMINAL CENTENARIO,DIA ÚTIL,18:44
57,TERMINAL CENTENARIO,DIA ÚTIL,18:57
58,TERMINAL CENTENARIO,DIA ÚTIL,19:10
59,TERMINAL CENTENARIO,DIA ÚTIL,19:24
60,TERMINAL CENTENARIO,DIA ÚTIL,19:37
61,TERMINAL CENTENARIO,DIA ÚTIL,19:58
62,TERMINAL CENTENARIO,DIA ÚTIL,20:24
63,TERMINAL CENTENARIO,DIA ÚTIL,20:49
64,TERMINAL CENTENARIO,DIA ÚTIL,21:13
65,TERMINAL CENTENARIO,DIA ÚTIL,21:37
66,TERMINAL CENTENARIO,DIA ÚTIL,22:01
67,TERMINAL CENTENARIO,DIA ÚTIL,22:25
68,TERMINAL CENTENARIO,DIA ÚTIL,22:49
69,TERMINAL CENTENARIO,DIA ÚTIL,23:13
70,TERMINAL CENTENARIO,DIA ÚTIL,23:42
71,TERMINAL CENTENARIO,DIA ÚTIL,00:06
72,TERMINAL CENTENARIO,DIA ÚTIL,00:30
73,TERMINAL HAUER,DIA ÚTIL,05:10
74,TERMINAL HAUER,DIA ÚTIL,05:22
75,TERMINAL HAUER,DIA ÚTIL,05:34
76,TERMINAL HAUER,DIA ÚTIL,05:46
77,TERMINAL HAUER,DIA ÚTIL,05:58
78,TERMINAL HAUER,DIA ÚTIL,06:10
79,TERMINAL HAUER,DIA ÚTIL,06:22
80,TERMINAL HAUER,DIA ÚTIL,06:34
81,TERMINAL HAUER,DIA ÚTIL,06:46
82,TERMINAL HAUER,DIA ÚTIL,06:58
83,TERMINAL HAUER,DIA ÚTIL,07:10
84,TERMINAL HAUER,DIA ÚTIL,07:22
85,TERMINAL HAUER,DIA ÚTIL,07:34
86,TERMINAL HAUER,DIA ÚTIL,07:46
87,TERMINAL HAUER,DIA ÚTIL,07:58
88,TERMINAL HAUER,DIA ÚTIL,08:14
89,TERMINAL HAUER,DIA ÚTIL,08:30
90,TERMINAL HAUER,DIA ÚTIL,08:46
91,TERMINAL HAUER,DIA ÚTIL,09:02
92,TERMINAL HAUER,DIA ÚTIL,09:18
93,TERMINAL HAUER,DIA ÚTIL,09:34
94,TERMINAL HAUER,DIA ÚTIL,09:50
95,TERMINAL HAUER,DIA ÚTIL,10:06
96,TERMINAL HAUER,DIA ÚTIL,10:22
97,TERMINAL HAUER,DIA ÚTIL,10:38
98,TERMINAL HAUER,DIA ÚTIL,10:54
99,TERMINAL HAUER,DIA ÚTIL,11:10
100,TERMINAL HAUER,DIA ÚTIL,11:26
101,TERMINAL HAUER,DIA ÚTIL,11:42
102,TERMINAL HAUER,DIA ÚTIL,11:58
103,TERMINAL HAUER,DIA ÚTIL,12:14
104,TERMINAL HAUER,DIA ÚTIL,12:30
105,TERMINAL HAUER,DIA ÚTIL,12:46
106,TERMINAL HAUER,DIA ÚTIL,13:02
107,TERMINAL HAUER,DIA ÚTIL,13:18
108,TERMINAL HAUER,DIA ÚTIL,13:34
109,TERMINAL HAUER,DIA ÚTIL,13:50
110,TERMINAL HAUER,DIA ÚTIL,14:06
111,TERMINAL HAUER,DIA ÚTIL,14:22
112,TERMINAL HAUER,DIA ÚTIL,14:38
113,TERMINAL HAUER,DIA ÚTIL,14:54
114,TERMINAL HAUER,DIA ÚTIL,15:10
115,TERMINAL HAUER,DIA ÚTIL,15:26
