,pontos,dia,horarios
0,TERMINAL CENTENARIO,DIA ÚTIL,06:18
1,TERMINAL CENTENARIO,DIA ÚTIL,06:34
2,TERMINAL CENTENARIO,DIA ÚTIL,06:53
3,TERMINAL CENTENARIO,DIA ÚTIL,07:08
4,TERMINAL CENTENARIO,DIA ÚTIL,07:23
5,TERMINAL CENTENARIO,DIA ÚTIL,07:38
6,TERMINAL CENTENARIO,DIA ÚTIL,07:58
7,ESTACAO PCA.EUFRASIO CORREIA,DIA ÚTIL,17:06
8,ESTACAO PCA.EUFRASIO CORREIA,DIA ÚTIL,17:25
9,ESTACAO PCA.EUFRASIO CORREIA,DIA ÚTIL,17:45
10,ESTACAO PCA.EUFRASIO CORREIA,DIA ÚTIL,18:05
11,ESTACAO PCA.EUFRASIO CORREIA,DIA ÚTIL,18:26
12,ESTACAO PCA.EUFRASIO CORREIA,DIA ÚTIL,18:46
13,TERMINAL CAMP.DO SIQUEIRA/LEST,DIA ÚTIL,07:57
14,ESTACAO RUI BARBOSA/SENT.LESTE,DIA ÚTIL,08:12
