,pontos,dia,horarios
0,TERMINAL CENTENARIO,DIA ÚTIL,06:00
1,TERMINAL CENTENARIO,DIA ÚTIL,06:15
2,TERMINAL CENTENARIO,DIA ÚTIL,06:30
3,TERMINAL CENTENARIO,DIA ÚTIL,06:45
4,TERMINAL CENTENARIO,DIA ÚTIL,07:00
5,TERMINAL CENTENARIO,DIA ÚTIL,07:15
6,TERMINAL CENTENARIO,DIA ÚTIL,07:30
7,TERMINAL CENTENARIO,DIA ÚTIL,07:45
8,TERMINAL CENTENARIO,DIA ÚTIL,08:00
9,TERMINAL CENTENARIO,DIA ÚTIL,08:15
10,TERMINAL CENTENARIO,DIA ÚTIL,08:30
11,TERMINAL CENTENARIO,DIA ÚTIL,08:45
12,TERMINAL CENTENARIO,DIA ÚTIL,09:00
13,TERMINAL CENTENARIO,DIA ÚTIL,09:15
14,TERMINAL CENTENARIO,DIA ÚTIL,09:30
15,TERMINAL CENTENARIO,DIA ÚTIL,09:45
16,TERMINAL CENTENARIO,DIA ÚTIL,10:00
17,TERMINAL CENTENARIO,DIA ÚTIL,10:15
18,TERMINAL CENTENARIO,DIA ÚTIL,10:30
19,TERMINAL CENTENARIO,DIA ÚTIL,10:45
20,TERMINAL CENTENARIO,DIA ÚTIL,11:00
21,TERMINAL CENTENARIO,DIA ÚTIL,11:15
22,TERMINAL CENTENARIO,DIA ÚTIL,11:30
23,TERMINAL CENTENARIO,DIA ÚTIL,11:45
24,TERMINAL CENTENARIO,DIA ÚTIL,12:00
25,TERMINAL CENTENARIO,DIA ÚTIL,12:15
26,TERMINAL CENTENARIO,DIA ÚTIL,12:30
27,TERMINAL CENTENARIO,DIA ÚTIL,12:45
28,TERMINAL CENTENARIO,DIA ÚTIL,13:00
29,TERMINAL CENTENARIO,DIA ÚTIL,13:15
30,TERMINAL CENTENARIO,DIA ÚTIL,13:30
31,TERMINAL CENTENARIO,DIA ÚTIL,13:45
32,TERMINAL CENTENARIO,DIA ÚTIL,14:00
33,TERMINAL CENTENARIO,DIA ÚTIL,14:15
34,TERMINAL CENTENARIO,DIA ÚTIL,14:30
35,TERMINAL CENTENARIO,DIA ÚTIL,14:45
36,TERMINAL CENTENARIO,DIA ÚTIL,15:00
37,TERMINAL CENTENARIO,DIA ÚTIL,15:15
38,TERMINAL CENTENARIO,DIA ÚTIL,15:30
39,TERMINAL CENTENARIO,DIA ÚTIL,15:45
40,TERMINAL CENTENARIO,DIA ÚTIL,16:00
41,TERMINAL CENTENARIO,DIA ÚTIL,16:15
42,TERMINAL CENTENARIO,DIA ÚTIL,16:30
43,TERMINAL CENTENARIO,DIA ÚTIL,16:45
44,TERMINAL CENTENARIO,DIA ÚTIL,17:00
45,TERMINAL CENTENARIO,DIA ÚTIL,17:15
46,TERMINAL CENTENARIO,DIA ÚTIL,17:30
