,pontos,dia,horarios
0,CIRCULO MILITAR,DIA ÚTIL,06:40
1,CIRCULO MILITAR,DIA ÚTIL,07:00
2,CIRCULO MILITAR,DIA ÚTIL,07:25
3,CIRCULO MILITAR,DIA ÚTIL,07:50
4,CIRCULO MILITAR,DIA ÚTIL,08:15
5,CIRCULO MILITAR,DIA ÚTIL,08:40
6,CIRCULO MILITAR,DIA ÚTIL,09:05
7,CIRCULO MILITAR,DIA ÚTIL,09:30
8,CIRCULO MILITAR,DIA ÚTIL,09:55
9,CIRCULO MILITAR,DIA ÚTIL,10:20
10,CIRCULO MILITAR,DIA ÚTIL,10:45
11,CIRCULO MILITAR,DIA ÚTIL,11:10
12,CIRCULO MILITAR,DIA ÚTIL,11:35
13,CIRCULO MILITAR,DIA ÚTIL,12:00
14,CIRCULO MILITAR,DIA ÚTIL,12:25
15,CIRCULO MILITAR,DIA ÚTIL,12:50
16,CIRCULO MILITAR,DIA ÚTIL,13:15
17,CIRCULO MILITAR,DIA ÚTIL,13:40
18,CIRCULO MILITAR,DIA ÚTIL,14:05
19,CIRCULO MILITAR,DIA ÚTIL,14:30
20,CIRCULO MILITAR,DIA ÚTIL,14:55
21,CIRCULO MILITAR,DIA ÚTIL,15:20
22,CIRCULO MILITAR,DIA ÚTIL,15:45
23,CIRCULO MILITAR,DIA ÚTIL,16:10
24,CIRCULO MILITAR,DIA ÚTIL,16:35
25,CIRCULO MILITAR,DIA ÚTIL,17:00
26,CIRCULO MILITAR,DIA ÚTIL,17:25
27,CIRCULO MILITAR,DIA ÚTIL,17:50
28,CIRCULO MILITAR,DIA ÚTIL,18:15
29,CIRCULO MILITAR,DIA ÚTIL,18:40
30,CIRCULO MILITAR,DIA ÚTIL,19:05
31,CIRCULO MILITAR,DIA ÚTIL,19:30
32,CIRCULO MILITAR,DIA ÚTIL,19:55
33,CIRCULO MILITAR,DIA ÚTIL,20:20
34,CIRCULO MILITAR,DIA ÚTIL,21:10
35,CIRCULO MILITAR,DIA ÚTIL,22:00
36,CIRCULO MILITAR,DIA ÚTIL,22:50
37,CENTRO POLITECNICO,DIA ÚTIL,07:00
38,CENTRO POLITECNICO,DIA ÚTIL,07:25
39,CENTRO POLITECNICO,DIA ÚTIL,07:50
40,CENTRO POLITECNICO,DIA ÚTIL,08:15
41,CENTRO POLITECNICO,DIA ÚTIL,08:40
42,CENTRO POLITECNICO,DIA ÚTIL,09:05
43,CENTRO POLITECNICO,DIA ÚTIL,09:30
44,CENTRO POLITECNICO,DIA ÚTIL,09:55
45,CENTRO POLITECNICO,DIA ÚTIL,10:20
46,CENTRO POLITECNICO,DIA ÚTIL,10:45
47,CENTRO POLITECNICO,DIA ÚTIL,11:10
48,CENTRO POLITECNICO,DIA ÚTIL,11:35
49,CENTRO POLITECNICO,DIA ÚTIL,12:00
50,CENTRO POLITECNICO,DIA ÚTIL,12:25
51,CENTRO POLITECNICO,DIA ÚTIL,12:50
52,CENTRO POLITECNICO,DIA ÚTIL,13:15
53,CENTRO POLITECNICO,DIA ÚTIL,13:40
54,CENTRO POLITECNICO,DIA ÚTIL,14:05
55,CENTRO POLITECNICO,DIA ÚTIL,14:30
56,CENTRO POLITECNICO,DIA ÚTIL,14:55
57,CENTRO POLITECNICO,DIA ÚTIL,15:20
58,CENTRO POLITECNICO,DIA ÚTIL,15:45
59,CENTRO POLITECNICO,DIA ÚTIL,16:10
60,CENTRO POLITECNICO,DIA ÚTIL,16:35
61,CENTRO POLITECNICO,DIA ÚTIL,17:00
62,CENTRO POLITECNICO,DIA ÚTIL,17:25
63,CENTRO POLITECNICO,DIA ÚTIL,17:50
64,CENTRO POLITECNICO,DIA ÚTIL,18:15
65,CENTRO POLITECNICO,DIA ÚTIL,18:40
66,CENTRO POLITECNICO,DIA ÚTIL,19:05
67,CENTRO POLITECNICO,DIA ÚTIL,19:30
68,CENTRO POLITECNICO,DIA ÚTIL,19:55
69,CENTRO POLITECNICO,DIA ÚTIL,20:45
70,CENTRO POLITECNICO,DIA ÚTIL,21:35
71,CENTRO POLITECNICO,DIA ÚTIL,22:25
72,CENTRO POLITECNICO,DIA ÚTIL,23:15
73,CIRCULO MILITAR,SÁBADO,07:00
74,CIRCULO MILITAR,SÁBADO,07:18
75,CIRCULO MILITAR,SÁBADO,07:36
76,CIRCULO MILITAR,SÁBADO,07:54
77,CIRCULO MILITAR,SÁBADO,08:12
78,CIRCULO MILITAR,SÁBADO,08:30
79,CIRCULO MILITAR,SÁBADO,08:48
80,CIRCULO MILITAR,SÁBADO,09:06
81,CIRCULO MILITAR,SÁBADO,09:24
82,CIRCULO MILITAR,SÁBADO,09:42
83,CIRCULO MILITAR,SÁBADO,10:00
84,CIRCULO MILITAR,SÁBADO,10:18
85,CIRCULO MILITAR,SÁBADO,10:36
86,CIRCULO MILITAR,SÁBADO,10:54
87,CIRCULO MILITAR,SÁBADO,11:12
88,CIRCULO MILITAR,SÁBADO,11:30
89,CIRCULO MILITAR,SÁBADO,11:48
90,CIRCULO MILITAR,SÁBADO,12:06
91,CENTRO POLITECNICO,SÁBADO,07:18
92,CENTRO POLITECNICO,SÁBADO,07:36
93,CENTRO POLITECNICO,SÁBADO,07:54
94,CENTRO POLITECNICO,SÁBADO,08:12
95,CENTRO POLITECNICO,SÁBADO,08:30
96,CENTRO POLITECNICO,SÁBADO,08:48
97,CENTRO POLITECNICO,SÁBADO,09:06
98,CENTRO POLITECNICO,SÁBADO,09:24
99,CENTRO POLITECNICO,SÁBADO,09:42
100,CENTRO POLITECNICO,SÁBADO,10:00
101,CENTRO POLITECNICO,SÁBADO,10:18
102,CENTRO POLITECNICO,SÁBADO,10:36
103,CENTRO POLITECNICO,SÁBADO,10:54
104,CENTRO POLITECNICO,SÁBADO,11:12
